,Company Names,Symbol
0,Adani Ports and Special Economic Zone Ltd.,ADANIPORTS
1,Asian Paints Ltd.,ASIANPAINT
2,Axis Bank Ltd.,AXISBANK
3,Bajaj Auto Ltd.,BAJAJ-AUTO
4,Bajaj Finance Ltd.,BAJFINANCE
5,Bajaj Finserv Ltd.,BAJAJFINSV
6,Bharat Petroleum Corporation Ltd.,BPCL
7,Bharti Airtel Ltd.,BHARTIARTL
8,Britannia Industries Ltd.,BRITANNIA
9,Cipla Ltd.,CIPLA
10,Coal India Ltd.,COALINDIA
11,Dr. Reddy's Laboratories Ltd.,DRREDDY
12,Eicher Motors Ltd.,EICHERMOT
13,Grasim Industries Ltd.,GRASIM
14,HCL Technologies Ltd.,HCLTECH
15,HDFC Bank Ltd.,HDFCBANK
16,Hero MotoCorp Ltd.,HEROMOTOCO
17,Hindalco Industries Ltd.,HINDALCO
18,Hindustan Unilever Ltd.,HINDUNILVR
19,Housing Development Finance Corporation Ltd.,HDFC
20,ICICI Bank Ltd.,ICICIBANK
21,ITC Ltd.,ITC
22,IndusInd Bank Ltd.,INDUSINDBK
23,Infosys Ltd.,INFY
24,JSW Steel Ltd.,JSWSTEEL
25,Kotak Mahindra Bank Ltd.,KOTAKBANK
26,Larsen & Toubro Ltd.,LT
27,Mahindra & Mahindra Ltd.,M&M
28,Maruti Suzuki India Ltd.,MARUTI
29,NTPC Ltd.,NTPC
30,Nestle India Ltd.,NESTLEIND
31,Oil & Natural Gas Corporation Ltd.,ONGC
32,Power Grid Corporation of India Ltd.,POWERGRID
33,Shree Cement Ltd.,SHREECEM
34,State Bank of India,SBIN
35,Sun Pharmaceutical Industries Ltd.,SUNPHARMA
36,Tata Consultancy Services Ltd.,TCS
37,Tata Motors Ltd.,TATAMOTORS
38,Tata Steel Ltd.,TATASTEEL
39,Tech Mahindra Ltd.,TECHM
40,Titan Company Ltd.,TITAN
41,UPL Ltd.,UPL
42,UltraTech Cement Ltd.,ULTRACEMCO
43,Wipro Ltd.,WIPRO
