Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume
2008-05-26,BAJAJFINSV,EQ,2101.05,600.0,619.0,501.0,505.1,509.1,548.85,3145446
2008-05-27,BAJAJFINSV,EQ,509.1,505.0,610.95,491.1,564.0,554.65,572.15,4349144
2008-05-28,BAJAJFINSV,EQ,554.65,564.0,665.6,564.0,643.0,640.95,618.37,4588759
2008-05-29,BAJAJFINSV,EQ,640.95,656.65,703.0,608.0,634.5,632.4,659.6,4522302
2008-05-30,BAJAJFINSV,EQ,632.4,642.4,668.0,588.3,647.0,644.0,636.41,3057669
2008-06-02,BAJAJFINSV,EQ,644.0,650.0,699.0,622.0,687.0,686.95,670.51,2247399
2008-06-03,BAJAJFINSV,EQ,686.95,672.0,689.8,632.55,670.55,672.05,665.87,2299383
2008-06-04,BAJAJFINSV,EQ,672.05,674.0,674.0,566.6,595.0,598.95,602.36,2832725
2008-06-05,BAJAJFINSV,EQ,598.95,603.0,639.8,572.3,631.5,631.85,610.65,1344712
2008-06-06,BAJAJFINSV,EQ,631.85,639.25,642.9,608.05,635.0,630.9,628.44,794722
2008-06-09,BAJAJFINSV,EQ,630.9,620.0,648.0,580.0,645.0,629.9,624.95,758393
2008-06-10,BAJAJFINSV,EQ,629.9,618.0,675.0,618.0,672.0,669.25,653.65,939180
2008-06-11,BAJAJFINSV,EQ,669.25,672.0,682.0,641.1,641.1,653.5,662.71,750714
2008-06-12,BAJAJFINSV,EQ,653.5,629.0,638.45,601.0,602.0,605.9,614.22,414320
2008-06-13,BAJAJFINSV,EQ,605.9,607.0,624.5,572.75,577.0,580.8,601.0,458514
2008-06-16,BAJAJFINSV,EQ,580.8,595.0,618.0,587.25,613.1,614.05,606.17,496439
2008-06-17,BAJAJFINSV,EQ,614.05,610.0,626.0,605.1,610.0,611.05,614.08,248850
2008-06-18,BAJAJFINSV,EQ,611.05,615.0,617.2,585.1,595.0,591.95,605.3,142386
2008-06-19,BAJAJFINSV,EQ,591.95,580.0,625.0,578.05,613.0,611.85,614.38,468038
2008-06-20,BAJAJFINSV,EQ,611.85,603.0,618.25,532.0,569.0,554.95,573.49,289352
2008-06-23,BAJAJFINSV,EQ,554.95,551.0,575.9,550.0,566.55,565.4,561.83,514992
2008-06-24,BAJAJFINSV,EQ,565.4,565.5,572.0,537.0,547.1,549.15,551.73,294467
2008-06-25,BAJAJFINSV,EQ,549.15,542.0,632.5,540.0,580.0,577.1,564.55,124264
2008-06-26,BAJAJFINSV,EQ,577.1,578.0,600.0,578.0,588.0,590.25,590.89,134458
2008-06-27,BAJAJFINSV,EQ,590.25,585.0,585.0,550.0,565.0,562.0,563.12,170967
2008-06-30,BAJAJFINSV,EQ,562.0,565.0,570.0,520.0,523.0,537.85,553.0,105379
2008-07-01,BAJAJFINSV,EQ,537.85,535.0,536.9,502.65,526.5,517.75,518.83,86030
2008-07-02,BAJAJFINSV,EQ,517.75,511.0,530.0,495.0,518.0,522.55,506.03,225316
2008-07-03,BAJAJFINSV,EQ,522.55,495.2,513.85,446.0,455.0,478.5,499.88,291484
2008-07-04,BAJAJFINSV,EQ,478.5,471.35,500.0,447.0,499.05,499.7,485.69,98707
2008-07-07,BAJAJFINSV,EQ,499.7,494.65,544.0,494.65,518.0,521.8,510.16,422193
2008-07-08,BAJAJFINSV,EQ,521.8,475.8,518.0,475.8,513.1,510.95,505.94,236281
2008-07-09,BAJAJFINSV,EQ,510.95,550.0,550.0,512.0,517.9,518.05,530.08,91041
2008-07-10,BAJAJFINSV,EQ,518.05,515.0,519.85,500.0,510.0,506.8,509.09,83723
2008-07-11,BAJAJFINSV,EQ,506.8,519.9,520.0,466.65,477.0,478.95,498.3,45764
2008-07-14,BAJAJFINSV,EQ,478.95,498.0,498.0,455.0,458.0,461.9,470.9,79049
2008-07-15,BAJAJFINSV,EQ,461.9,447.0,463.0,436.05,436.05,448.5,456.09,52550
2008-07-16,BAJAJFINSV,EQ,448.5,440.0,451.95,417.5,424.1,424.95,425.44,269364
2008-07-17,BAJAJFINSV,EQ,424.95,439.0,439.0,415.1,421.0,421.75,420.61,391481
2008-07-18,BAJAJFINSV,EQ,421.75,405.35,428.0,388.05,406.65,410.7,418.18,166930
2008-07-21,BAJAJFINSV,EQ,410.7,411.0,421.6,408.1,411.0,410.7,414.21,109056
2008-07-22,BAJAJFINSV,EQ,410.7,402.35,424.95,402.35,420.9,420.0,421.55,125018
2008-07-23,BAJAJFINSV,EQ,420.0,433.0,449.95,428.05,437.15,437.85,435.6,524250
2008-07-24,BAJAJFINSV,EQ,437.85,439.0,480.5,439.0,455.0,451.4,451.69,146863
2008-07-25,BAJAJFINSV,EQ,451.4,436.0,455.0,436.0,446.0,446.25,447.05,39059
2008-07-28,BAJAJFINSV,EQ,446.25,437.0,452.0,432.05,435.0,436.05,440.73,15178
2008-07-29,BAJAJFINSV,EQ,436.05,435.0,435.0,426.0,430.0,429.85,429.75,53978
2008-07-30,BAJAJFINSV,EQ,429.85,408.4,442.5,408.4,435.5,437.55,437.42,14333
2008-07-31,BAJAJFINSV,EQ,437.55,429.0,447.0,429.0,435.0,442.65,441.42,13873
2008-08-01,BAJAJFINSV,EQ,442.65,430.0,449.9,423.0,442.0,443.0,442.42,23610
2008-08-04,BAJAJFINSV,EQ,443.0,431.25,454.95,431.25,454.95,452.65,448.67,12186
2008-08-05,BAJAJFINSV,EQ,452.65,452.65,475.0,438.0,467.0,467.9,464.28,15674
2008-08-06,BAJAJFINSV,EQ,467.9,465.0,497.0,465.0,482.0,482.2,484.09,46278
2008-08-07,BAJAJFINSV,EQ,482.2,495.0,535.0,470.15,522.55,515.3,502.16,127300
2008-08-08,BAJAJFINSV,EQ,515.3,510.0,530.0,505.0,520.0,517.5,516.07,40717
2008-08-11,BAJAJFINSV,EQ,517.5,535.0,592.0,528.0,540.0,540.5,557.45,235630
2008-08-12,BAJAJFINSV,EQ,540.5,550.0,550.0,512.5,528.4,523.7,531.13,54384
2008-08-13,BAJAJFINSV,EQ,523.7,518.75,555.0,510.0,540.6,544.1,543.65,77028
2008-08-14,BAJAJFINSV,EQ,544.1,535.0,549.45,525.0,530.0,528.95,537.49,27675
2008-08-18,BAJAJFINSV,EQ,528.95,504.0,528.0,504.0,521.95,519.15,519.77,52577
2008-08-19,BAJAJFINSV,EQ,519.15,502.0,549.9,502.0,549.05,540.7,516.42,181658
2008-08-20,BAJAJFINSV,EQ,540.7,551.1,551.1,523.1,530.0,531.65,532.35,29888
2008-08-21,BAJAJFINSV,EQ,531.65,516.5,546.0,516.5,526.9,528.1,536.77,27053
2008-08-22,BAJAJFINSV,EQ,528.1,524.0,529.7,517.5,522.0,522.4,524.59,24210
2008-08-25,BAJAJFINSV,EQ,522.4,530.0,540.95,521.0,522.55,529.8,531.1,30557
2008-08-26,BAJAJFINSV,EQ,529.8,520.15,547.95,520.15,527.0,527.6,532.6,48975
2008-08-27,BAJAJFINSV,EQ,527.6,553.95,553.95,512.0,517.15,519.7,531.33,44049
2008-08-28,BAJAJFINSV,EQ,519.7,510.5,550.0,510.5,540.0,544.25,533.15,69852
2008-08-29,BAJAJFINSV,EQ,544.25,550.0,558.0,532.4,537.05,537.3,548.51,49228
2008-09-01,BAJAJFINSV,EQ,537.3,532.4,545.0,530.0,531.0,534.15,536.65,9667
2008-09-02,BAJAJFINSV,EQ,534.15,535.0,542.6,533.35,534.1,536.1,538.57,18033
2008-09-04,BAJAJFINSV,EQ,536.1,530.0,538.8,521.1,527.0,526.2,527.77,33867
2008-09-05,BAJAJFINSV,EQ,526.2,520.1,544.0,520.0,523.25,524.95,531.16,34115
2008-09-08,BAJAJFINSV,EQ,524.95,545.0,545.0,518.0,519.0,521.85,530.41,38680
2008-09-09,BAJAJFINSV,EQ,521.85,520.0,528.0,515.5,521.0,522.2,524.83,72156
2008-09-10,BAJAJFINSV,EQ,522.2,512.0,539.8,505.0,523.0,520.55,525.64,68972
2008-09-11,BAJAJFINSV,EQ,520.55,520.0,523.0,473.0,479.05,479.1,490.78,47512
2008-09-12,BAJAJFINSV,EQ,479.1,481.0,489.0,453.1,470.2,469.3,470.51,23704
2008-09-15,BAJAJFINSV,EQ,469.3,450.0,454.85,409.5,443.5,443.1,427.61,17263
2008-09-16,BAJAJFINSV,EQ,443.1,420.95,420.95,388.05,395.5,403.2,404.41,280801
2008-09-17,BAJAJFINSV,EQ,403.2,405.0,423.85,391.55,403.65,402.15,408.06,56180
2008-09-18,BAJAJFINSV,EQ,402.15,395.0,395.0,351.0,370.0,373.25,365.94,41952
2008-09-19,BAJAJFINSV,EQ,373.25,389.95,389.95,362.4,373.15,374.75,374.52,142879
2008-09-22,BAJAJFINSV,EQ,374.75,375.0,393.5,375.0,390.0,390.1,388.33,87283
2008-09-23,BAJAJFINSV,EQ,390.1,376.0,386.65,376.0,383.05,383.95,383.0,16468
2008-09-24,BAJAJFINSV,EQ,383.95,374.0,394.0,374.0,389.9,389.1,389.67,12401
2008-09-25,BAJAJFINSV,EQ,389.1,378.0,402.0,378.0,398.3,396.1,389.74,30354
2008-09-26,BAJAJFINSV,EQ,396.1,384.4,397.0,377.05,380.0,380.45,384.99,11006
2008-09-29,BAJAJFINSV,EQ,380.45,376.6,385.0,372.8,373.75,376.8,376.41,35562
2008-09-30,BAJAJFINSV,EQ,376.8,340.1,390.0,340.0,380.05,386.65,375.2,28963
2008-10-01,BAJAJFINSV,EQ,386.65,378.5,386.95,361.0,365.0,363.85,375.07,17324
2008-10-03,BAJAJFINSV,EQ,363.85,367.0,375.7,338.75,350.0,350.0,350.21,71683
2008-10-06,BAJAJFINSV,EQ,350.0,340.0,343.0,301.3,301.3,313.5,331.51,39225
2008-10-07,BAJAJFINSV,EQ,313.5,315.0,327.9,280.35,294.0,292.35,297.79,13770
2008-10-08,BAJAJFINSV,EQ,292.35,292.0,295.0,236.0,243.0,244.3,246.57,20067
2008-10-10,BAJAJFINSV,EQ,244.3,200.25,231.0,195.45,195.45,195.45,203.74,132964
2008-10-13,BAJAJFINSV,EQ,195.45,214.0,214.0,175.9,185.0,177.95,184.28,44431
2008-10-14,BAJAJFINSV,EQ,177.95,193.0,195.75,184.3,187.0,189.45,192.53,34733
2008-10-15,BAJAJFINSV,EQ,189.45,180.0,185.9,172.05,172.05,174.15,177.73,25074
2008-10-16,BAJAJFINSV,EQ,174.15,170.0,170.9,162.0,164.0,164.85,164.83,69341
2008-10-17,BAJAJFINSV,EQ,164.85,165.0,170.0,150.0,160.0,158.4,160.53,73429
2008-10-20,BAJAJFINSV,EQ,158.4,160.0,161.95,151.0,155.0,155.0,157.71,338910
2008-10-21,BAJAJFINSV,EQ,155.0,153.4,165.0,147.1,150.0,150.4,153.14,77927
2008-10-22,BAJAJFINSV,EQ,150.4,144.0,155.0,144.0,148.5,149.9,151.24,21688
2008-10-23,BAJAJFINSV,EQ,149.9,141.25,144.5,140.0,140.0,140.65,142.78,26377
2008-10-24,BAJAJFINSV,EQ,140.65,136.0,147.0,126.6,126.6,126.6,127.37,33043
2008-10-27,BAJAJFINSV,EQ,126.6,125.05,125.05,113.95,113.95,113.95,114.31,3741
2008-10-28,BAJAJFINSV,EQ,113.95,118.0,119.65,108.3,114.1,117.6,116.34,5433
2008-10-29,BAJAJFINSV,EQ,117.6,120.1,120.1,111.8,111.8,113.9,114.47,33055
2008-10-31,BAJAJFINSV,EQ,113.9,118.2,119.6,108.25,118.0,116.65,115.13,57456
2008-11-03,BAJAJFINSV,EQ,116.65,120.0,122.5,117.0,122.5,120.05,120.02,3032664
2008-11-04,BAJAJFINSV,EQ,120.05,126.05,126.05,118.0,122.9,122.35,121.55,73532
2008-11-05,BAJAJFINSV,EQ,122.35,126.0,128.2,124.0,125.05,125.0,125.29,63378
2008-11-06,BAJAJFINSV,EQ,125.0,124.0,126.0,120.3,123.9,122.0,122.08,124900
2008-11-07,BAJAJFINSV,EQ,122.0,118.3,128.1,118.3,128.1,128.1,125.59,33114
2008-11-10,BAJAJFINSV,EQ,128.1,130.1,134.55,130.1,134.0,133.35,133.3,41466
2008-11-11,BAJAJFINSV,EQ,133.35,132.0,140.05,132.0,140.05,140.05,136.98,9762
2008-11-12,BAJAJFINSV,EQ,140.05,136.0,146.0,136.0,141.5,140.6,141.46,88027
2008-11-14,BAJAJFINSV,EQ,140.6,142.0,144.9,135.0,137.0,136.95,136.67,30008
2008-11-17,BAJAJFINSV,EQ,136.95,131.0,137.0,130.1,130.5,130.5,130.59,20896
2008-11-18,BAJAJFINSV,EQ,130.5,124.05,129.9,124.0,124.5,124.1,125.78,7895
2008-11-19,BAJAJFINSV,EQ,124.1,123.0,123.0,117.9,120.0,119.35,119.59,110056
2008-11-20,BAJAJFINSV,EQ,119.35,113.6,118.0,113.4,118.0,117.75,113.62,47943
2008-11-21,BAJAJFINSV,EQ,117.75,111.9,118.0,111.9,113.1,113.75,114.1,49746
2008-11-24,BAJAJFINSV,EQ,113.75,110.1,114.8,108.6,109.0,109.0,113.19,97789
2008-11-25,BAJAJFINSV,EQ,109.0,108.5,112.5,103.55,103.55,103.55,104.44,182410
2008-11-26,BAJAJFINSV,EQ,103.55,98.7,102.9,98.4,99.0,98.4,98.44,43626
2008-11-28,BAJAJFINSV,EQ,98.4,97.0,98.7,93.5,96.0,95.55,94.79,188709
2008-12-01,BAJAJFINSV,EQ,95.55,95.0,100.35,90.9,94.0,93.05,99.56,168560
2008-12-02,BAJAJFINSV,EQ,93.05,93.1,93.1,88.4,92.0,90.75,89.26,13364
2008-12-03,BAJAJFINSV,EQ,90.75,88.15,94.0,88.15,91.0,91.65,93.99,3807697
2008-12-04,BAJAJFINSV,EQ,91.65,91.0,96.25,91.0,96.25,95.05,95.02,317345
2008-12-05,BAJAJFINSV,EQ,95.05,94.0,99.8,94.0,99.8,99.8,99.68,30213
2008-12-08,BAJAJFINSV,EQ,99.8,104.8,104.8,104.8,104.8,104.8,104.8,7298
2008-12-10,BAJAJFINSV,EQ,104.8,110.05,110.05,105.0,109.4,109.35,108.28,359828
2008-12-11,BAJAJFINSV,EQ,109.35,110.0,110.0,105.2,106.6,107.7,107.49,27429
2008-12-12,BAJAJFINSV,EQ,107.7,102.5,110.0,102.5,105.6,105.9,106.02,37999
2008-12-15,BAJAJFINSV,EQ,105.9,104.9,111.2,104.9,108.0,108.0,108.11,46434
2008-12-16,BAJAJFINSV,EQ,108.0,104.0,111.3,104.0,106.15,106.25,107.95,524191
2008-12-17,BAJAJFINSV,EQ,106.25,104.05,110.7,100.95,100.95,100.95,103.46,36735
2008-12-18,BAJAJFINSV,EQ,100.95,98.1,106.0,98.0,106.0,105.55,102.44,10333
2008-12-19,BAJAJFINSV,EQ,105.55,102.0,110.85,102.0,110.85,110.85,108.47,56061
2008-12-22,BAJAJFINSV,EQ,110.85,114.0,116.4,109.05,116.4,115.35,113.28,247718
2008-12-23,BAJAJFINSV,EQ,115.35,117.0,121.15,113.3,121.15,121.15,120.53,27545
2008-12-24,BAJAJFINSV,EQ,121.15,127.25,127.25,122.0,127.25,127.25,126.73,14759
2008-12-26,BAJAJFINSV,EQ,127.25,133.65,133.65,133.65,133.65,133.65,133.65,84275
2008-12-29,BAJAJFINSV,EQ,133.65,139.7,140.35,135.25,140.35,140.35,139.48,103583
2008-12-30,BAJAJFINSV,EQ,140.35,146.4,147.4,142.0,147.4,147.4,144.66,146091
2008-12-31,BAJAJFINSV,EQ,147.4,149.5,154.8,142.0,151.95,149.7,152.42,112759
2009-01-01,BAJAJFINSV,EQ,149.7,151.0,155.9,145.0,146.3,150.45,152.26,36565
2009-01-02,BAJAJFINSV,EQ,150.45,151.5,158.0,146.0,158.0,158.0,154.27,25156
2009-01-05,BAJAJFINSV,EQ,158.0,163.4,165.9,161.5,165.9,165.9,165.57,12927
2009-01-06,BAJAJFINSV,EQ,165.9,174.2,174.2,166.25,174.2,174.2,173.8,131218
2009-01-07,BAJAJFINSV,EQ,174.2,182.95,182.95,169.1,176.65,176.25,177.71,131949
2009-01-09,BAJAJFINSV,EQ,176.25,171.0,184.9,167.45,181.5,180.75,173.2,32709
2009-01-12,BAJAJFINSV,EQ,180.75,182.0,189.8,176.0,189.8,189.35,188.7,40341
