Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume
2002-02-18,BHARTI,EQ,0.0,51.9,51.9,43.5,44.7,44.35,46.0,10381190
2002-02-19,BHARTI,EQ,44.35,45.15,45.15,41.3,41.35,41.7,42.58,3552660
2002-02-20,BHARTI,EQ,41.7,40.6,42.8,40.25,41.2,41.25,41.56,2512964
2002-02-21,BHARTI,EQ,41.25,42.85,43.4,42.15,42.2,42.4,42.76,1338196
2002-02-22,BHARTI,EQ,42.4,42.65,43.6,41.1,43.35,43.3,42.75,811327
2002-02-25,BHARTI,EQ,43.3,45.5,45.5,42.65,42.95,42.8,43.05,454151
2002-02-26,BHARTI,EQ,42.8,43.15,44.2,42.9,43.7,43.6,43.48,894960
2002-02-27,BHARTI,EQ,43.6,43.95,46.3,43.75,44.45,44.65,45.02,3271361
2002-02-28,BHARTI,EQ,44.65,46.0,46.8,40.8,41.4,41.5,44.48,4429634
2002-03-01,BHARTI,EQ,41.5,42.0,43.4,41.8,42.45,42.5,42.52,942785
2002-03-04,BHARTI,EQ,42.5,43.1,44.25,42.85,43.25,43.3,43.37,615152
2002-03-05,BHARTI,EQ,43.3,44.2,45.5,43.7,45.35,45.3,44.92,1490137
2002-03-06,BHARTI,EQ,45.3,45.9,46.7,44.8,45.35,45.1,45.68,1989742
2002-03-07,BHARTI,EQ,45.1,45.9,45.9,44.75,44.95,44.95,44.99,675801
2002-03-08,BHARTI,EQ,44.95,45.2,45.25,43.7,43.8,43.9,44.29,273519
2002-03-11,BHARTI,EQ,43.9,44.5,45.4,43.1,43.45,43.3,43.59,217122
2002-03-12,BHARTI,EQ,43.3,43.4,43.45,41.9,41.9,42.1,42.64,321384
2002-03-13,BHARTI,EQ,42.1,42.1,42.65,41.5,42.0,41.9,42.15,228034
2002-03-14,BHARTI,EQ,41.9,42.0,42.4,41.05,41.35,41.45,41.66,302924
2002-03-15,BHARTI,EQ,41.45,42.0,42.5,41.35,42.0,41.95,41.88,402993
2002-03-18,BHARTI,EQ,41.95,43.0,43.0,41.55,41.55,41.75,42.17,387469
2002-03-19,BHARTI,EQ,41.75,42.1,42.9,40.4,40.6,40.7,41.33,505251
2002-03-20,BHARTI,EQ,40.7,40.9,41.35,40.25,40.45,40.5,40.89,413147
2002-03-21,BHARTI,EQ,40.5,40.6,41.0,40.4,40.55,40.6,40.67,171711
2002-03-22,BHARTI,EQ,40.6,40.8,41.45,39.5,39.8,39.85,40.12,225579
2002-03-26,BHARTI,EQ,39.85,40.75,40.75,38.9,39.0,39.0,39.26,190075
2002-03-27,BHARTI,EQ,39.0,40.9,40.9,39.0,39.0,39.1,39.19,175456
2002-03-28,BHARTI,EQ,39.1,39.2,39.35,38.0,38.8,38.55,38.74,247315
2002-04-01,BHARTI,EQ,38.55,39.4,40.1,38.65,38.8,38.9,39.35,169309
2002-04-02,BHARTI,EQ,38.9,38.95,39.0,37.05,37.25,37.3,37.82,401427
2002-04-03,BHARTI,EQ,37.3,37.25,38.0,35.7,36.2,36.1,36.94,434081
2002-04-04,BHARTI,EQ,36.1,36.9,39.45,36.5,39.0,38.6,37.98,461590
2002-04-05,BHARTI,EQ,38.6,39.0,39.65,38.05,38.2,38.2,38.81,278024
2002-04-08,BHARTI,EQ,38.2,38.8,39.0,37.0,37.25,37.15,37.76,264685
2002-04-09,BHARTI,EQ,37.15,37.9,38.95,37.5,37.9,37.75,38.01,330822
2002-04-10,BHARTI,EQ,37.75,38.0,38.0,36.4,37.3,37.15,37.01,393221
2002-04-11,BHARTI,EQ,37.15,37.9,39.6,37.9,38.95,38.55,38.75,462716
2002-04-12,BHARTI,EQ,38.55,38.35,38.4,37.4,37.75,37.75,37.66,365658
2002-04-15,BHARTI,EQ,37.75,37.5,38.8,37.1,37.8,37.85,37.98,309167
2002-04-16,BHARTI,EQ,37.85,38.0,38.4,37.75,37.8,37.85,38.03,207262
2002-04-17,BHARTI,EQ,37.85,38.35,38.45,37.25,37.5,37.4,37.75,221096
2002-04-18,BHARTI,EQ,37.4,37.9,37.95,37.3,37.65,37.5,37.58,125768
2002-04-19,BHARTI,EQ,37.5,37.9,37.9,36.75,36.9,36.95,37.18,159582
2002-04-22,BHARTI,EQ,36.95,37.8,37.8,36.55,36.9,36.7,36.95,209825
2002-04-23,BHARTI,EQ,36.7,37.4,37.5,35.9,36.2,36.0,36.33,304296
2002-04-24,BHARTI,EQ,36.0,36.2,36.9,36.2,36.9,36.75,36.63,153154
2002-04-25,BHARTI,EQ,36.75,36.9,37.0,36.2,36.3,36.3,36.49,260518
2002-04-26,BHARTI,EQ,36.3,36.15,36.7,35.7,35.7,35.9,36.07,324142
2002-04-29,BHARTI,EQ,35.9,35.75,37.3,35.25,35.8,35.7,36.28,388628
2002-04-30,BHARTI,EQ,35.7,35.6,36.0,34.9,35.0,35.0,35.26,267446
2002-05-02,BHARTI,EQ,35.0,35.25,35.6,34.35,34.55,34.85,34.94,521349
2002-05-03,BHARTI,EQ,34.85,35.0,35.0,33.9,34.05,34.1,34.2,418258
2002-05-06,BHARTI,EQ,34.1,34.5,34.6,33.8,33.95,34.0,34.14,849209
2002-05-07,BHARTI,EQ,34.0,33.8,34.2,33.8,34.05,34.05,34.02,614737
2002-05-08,BHARTI,EQ,34.05,34.25,34.45,34.0,34.35,34.25,34.18,985787
2002-05-09,BHARTI,EQ,34.25,35.45,37.25,34.5,36.75,35.8,35.4,889295
2002-05-10,BHARTI,EQ,35.8,37.05,38.3,36.1,36.25,36.4,37.19,1040862
2002-05-13,BHARTI,EQ,36.4,35.85,37.0,35.8,36.15,36.05,36.19,265570
2002-05-14,BHARTI,EQ,36.05,36.3,36.55,35.25,35.25,35.55,35.74,259521
2002-05-15,BHARTI,EQ,35.55,35.7,35.85,34.6,34.7,34.95,35.15,338589
2002-05-16,BHARTI,EQ,34.95,35.25,35.25,34.2,34.85,34.55,34.55,367218
2002-05-17,BHARTI,EQ,34.55,34.25,34.8,34.25,34.6,34.7,34.51,697619
2002-05-20,BHARTI,EQ,34.7,34.05,34.45,33.2,33.55,33.65,33.94,846600
2002-05-21,BHARTI,EQ,33.65,33.2,33.5,32.25,33.25,33.05,32.93,1188202
2002-05-22,BHARTI,EQ,33.05,33.1,35.3,33.0,33.5,33.7,34.21,330183
2002-05-23,BHARTI,EQ,33.7,33.95,33.95,32.8,33.0,33.0,33.03,268447
2002-05-24,BHARTI,EQ,33.0,33.5,34.0,33.1,33.5,33.45,33.5,270784
2002-05-27,BHARTI,EQ,33.45,34.2,34.2,33.05,33.25,33.2,33.36,154536
2002-05-28,BHARTI,EQ,33.2,33.5,33.5,32.65,32.85,32.85,32.98,877260
2002-05-29,BHARTI,EQ,32.85,32.6,33.5,32.25,32.45,32.4,32.66,358157
2002-05-30,BHARTI,EQ,32.4,32.1,32.6,31.9,32.05,32.0,32.15,268915
2002-05-31,BHARTI,EQ,32.0,32.5,32.55,31.6,32.5,32.2,32.15,126001
2002-06-03,BHARTI,EQ,32.2,33.1,33.5,32.1,32.2,32.2,32.55,84769
2002-06-04,BHARTI,EQ,32.2,33.0,33.5,32.0,33.1,32.9,32.41,860401
2002-06-05,BHARTI,EQ,32.9,33.5,33.75,32.5,32.7,32.65,33.14,243850
2002-06-06,BHARTI,EQ,32.65,33.4,36.15,33.0,36.1,35.65,34.49,740010
2002-06-07,BHARTI,EQ,35.65,34.5,36.65,33.6,33.75,33.95,34.97,572510
2002-06-10,BHARTI,EQ,33.95,34.75,34.85,33.55,34.0,33.75,34.36,362233
2002-06-11,BHARTI,EQ,33.75,34.6,35.25,34.25,34.5,34.45,34.68,239454
2002-06-12,BHARTI,EQ,34.45,34.5,34.75,33.5,33.5,33.6,33.92,290225
2002-06-13,BHARTI,EQ,33.6,34.3,34.3,32.65,32.9,32.8,33.21,312706
2002-06-14,BHARTI,EQ,32.8,33.05,33.8,33.05,33.55,33.45,33.43,207995
2002-06-17,BHARTI,EQ,33.45,36.0,38.5,35.0,35.95,35.7,36.37,1078596
2002-06-18,BHARTI,EQ,35.7,36.1,36.35,34.65,35.25,35.0,35.37,412009
2002-06-19,BHARTI,EQ,35.0,35.0,35.3,34.0,34.0,34.15,34.35,241134
2002-06-20,BHARTI,EQ,34.15,33.95,34.6,33.8,34.4,34.3,34.22,179642
2002-06-21,BHARTI,EQ,34.3,35.1,35.1,33.75,33.9,33.9,34.06,199036
2002-06-24,BHARTI,EQ,33.9,34.0,34.1,33.45,33.75,33.75,33.76,326210
2002-06-25,BHARTI,EQ,33.75,34.35,34.35,33.2,33.75,33.75,33.61,153266
2002-06-26,BHARTI,EQ,33.75,33.95,33.95,33.1,33.1,33.3,33.43,135128
2002-06-27,BHARTI,EQ,33.3,33.5,33.7,33.3,33.35,33.4,33.53,117921
2002-06-28,BHARTI,EQ,33.4,34.9,34.9,33.5,34.05,34.0,33.91,156815
2002-07-01,BHARTI,EQ,34.0,34.05,35.5,33.5,35.05,34.8,34.73,381852
2002-07-02,BHARTI,EQ,34.8,33.5,35.6,33.5,35.55,35.5,35.19,304839
2002-07-03,BHARTI,EQ,35.5,36.0,36.0,34.95,35.05,35.15,35.31,258959
2002-07-04,BHARTI,EQ,35.15,35.75,36.25,35.25,36.0,36.0,35.88,517457
2002-07-05,BHARTI,EQ,36.0,35.05,35.45,34.0,34.25,34.2,34.59,407041
2002-07-08,BHARTI,EQ,34.2,34.25,34.7,33.75,34.0,34.0,34.31,257784
2002-07-09,BHARTI,EQ,34.0,34.3,34.35,33.45,33.65,33.55,33.72,296310
2002-07-10,BHARTI,EQ,33.55,34.2,34.45,33.35,33.45,33.45,33.67,378638
2002-07-11,BHARTI,EQ,33.45,34.0,34.0,32.5,32.7,32.6,33.1,498249
2002-07-12,BHARTI,EQ,32.6,33.2,33.2,31.95,32.25,32.1,32.4,546586
2002-07-15,BHARTI,EQ,32.1,32.0,32.35,31.65,31.75,31.8,31.94,276326
2002-07-16,BHARTI,EQ,31.8,30.95,32.0,30.95,31.65,31.75,31.81,220883
2002-07-17,BHARTI,EQ,31.75,31.6,31.95,31.05,31.35,31.25,31.33,220988
2002-07-18,BHARTI,EQ,31.25,32.1,32.25,31.5,31.75,31.6,31.74,111224
2002-07-19,BHARTI,EQ,31.6,31.9,31.95,31.5,31.55,31.6,31.66,123345
2002-07-22,BHARTI,EQ,31.6,31.8,31.9,31.0,31.45,31.45,31.39,194096
2002-07-23,BHARTI,EQ,31.45,31.5,31.5,30.55,31.0,31.1,31.06,218885
2002-07-24,BHARTI,EQ,31.1,31.2,31.2,30.5,30.85,30.8,30.79,112715
2002-07-25,BHARTI,EQ,30.8,31.5,32.0,31.15,31.15,31.2,31.45,177297
2002-07-26,BHARTI,EQ,31.2,30.6,31.0,30.15,30.5,30.5,30.55,197183
2002-07-29,BHARTI,EQ,30.5,31.5,31.5,30.25,30.6,30.5,30.5,221387
2002-07-30,BHARTI,EQ,30.5,31.5,31.5,30.35,30.5,30.45,30.57,210715
2002-07-31,BHARTI,EQ,30.45,30.5,31.6,29.3,31.15,31.35,30.67,427374
2002-08-01,BHARTI,EQ,31.35,31.0,31.1,29.9,30.3,30.25,30.31,277918
2002-08-02,BHARTI,EQ,30.25,30.1,30.3,29.8,30.15,30.15,30.06,126344
2002-08-05,BHARTI,EQ,30.15,30.3,30.5,30.1,30.15,30.2,30.3,59909
2002-08-06,BHARTI,EQ,30.2,30.35,30.35,29.9,30.05,30.0,30.03,121860
2002-08-07,BHARTI,EQ,30.0,30.45,30.55,29.8,30.0,30.0,30.05,132852
2002-08-08,BHARTI,EQ,30.0,30.35,30.35,29.85,30.2,30.0,30.04,82212
2002-08-09,BHARTI,EQ,30.0,29.95,30.2,29.85,30.0,30.0,30.02,101452
2002-08-12,BHARTI,EQ,30.0,30.0,30.3,29.8,30.15,30.25,30.12,74424
2002-08-13,BHARTI,EQ,30.25,30.15,30.5,30.0,30.35,30.35,30.27,36201
2002-08-14,BHARTI,EQ,30.35,30.15,30.5,30.15,30.35,30.3,30.29,37079
2002-08-16,BHARTI,EQ,30.3,30.5,31.75,30.25,31.6,31.35,31.2,148689
2002-08-19,BHARTI,EQ,31.35,31.2,32.5,30.8,32.1,32.25,31.86,171638
2002-08-20,BHARTI,EQ,32.25,32.8,33.6,32.1,33.25,33.1,33.03,298633
2002-08-21,BHARTI,EQ,33.1,33.75,33.75,32.0,33.1,33.25,33.26,125197
2002-08-22,BHARTI,EQ,33.25,33.5,33.5,32.15,32.3,32.3,32.7,85556
2002-08-23,BHARTI,EQ,32.3,32.5,33.0,32.1,33.0,32.55,32.41,77472
2002-08-26,BHARTI,EQ,32.55,32.8,33.0,32.2,32.25,32.35,32.55,43662
2002-08-27,BHARTI,EQ,32.35,32.35,32.55,32.05,32.15,32.1,32.28,58757
2002-08-28,BHARTI,EQ,32.1,32.3,32.3,31.45,31.95,31.95,31.9,80606
2002-08-29,BHARTI,EQ,31.95,32.0,32.1,31.05,31.05,31.1,31.46,59884
2002-08-30,BHARTI,EQ,31.1,31.0,32.9,30.85,32.5,32.5,31.98,214136
2002-09-02,BHARTI,EQ,32.5,33.0,33.85,32.65,33.0,32.95,33.15,207295
2002-09-03,BHARTI,EQ,32.95,32.75,32.75,32.1,32.35,32.45,32.41,94889
2002-09-04,BHARTI,EQ,32.45,32.0,33.6,32.0,33.0,32.9,32.88,177676
2002-09-05,BHARTI,EQ,32.9,33.3,33.5,32.9,33.0,33.0,33.11,112637
2002-09-06,BHARTI,EQ,33.0,33.5,33.5,32.3,32.4,32.5,32.76,105028
2002-09-09,BHARTI,EQ,32.5,32.1,32.9,31.75,31.75,31.85,32.03,201523
2002-09-11,BHARTI,EQ,31.85,32.6,32.6,31.7,32.0,31.9,31.9,38624
2002-09-12,BHARTI,EQ,31.9,32.0,34.3,31.8,32.55,32.5,33.02,253743
2002-09-13,BHARTI,EQ,32.5,32.95,34.5,32.5,34.0,34.05,33.94,1269675
2002-09-16,BHARTI,EQ,34.05,34.2,35.35,32.45,34.35,34.25,34.88,493652
2002-09-17,BHARTI,EQ,34.25,34.75,35.05,34.0,34.85,34.85,34.74,1196452
2002-09-18,BHARTI,EQ,34.85,34.9,35.25,34.15,34.15,34.3,34.58,194907
2002-09-19,BHARTI,EQ,34.3,33.6,35.0,30.65,31.25,31.4,33.83,3223173
2002-09-20,BHARTI,EQ,31.4,31.5,34.15,31.0,33.7,33.7,32.75,572997
2002-09-23,BHARTI,EQ,33.7,33.85,33.9,32.5,32.55,32.65,32.93,77977
2002-09-24,BHARTI,EQ,32.65,32.5,32.5,31.0,31.1,31.15,31.25,472313
2002-09-25,BHARTI,EQ,31.15,31.0,32.6,30.9,31.5,31.65,31.79,338969
2002-09-26,BHARTI,EQ,31.65,31.5,32.1,31.2,31.35,31.35,31.59,151451
2002-09-27,BHARTI,EQ,31.35,31.9,32.35,31.25,32.15,32.0,31.81,134502
2002-09-30,BHARTI,EQ,32.0,32.0,32.0,31.2,31.4,31.3,31.46,92504
2002-10-01,BHARTI,EQ,31.3,31.5,32.15,31.35,32.05,32.05,31.75,182073
2002-10-03,BHARTI,EQ,32.05,32.2,32.2,31.25,31.9,32.0,31.95,123567
2002-10-04,BHARTI,EQ,32.0,32.2,32.2,31.75,32.05,32.05,32.02,108118
2002-10-07,BHARTI,EQ,32.05,31.95,32.1,31.5,31.55,31.85,31.9,135318
2002-10-08,BHARTI,EQ,31.85,32.05,36.95,31.3,31.8,32.0,32.01,282030
