Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume
2000-01-03,DRREDDY,EQ,1396.5,1505.0,1508.25,1505.0,1508.25,1508.25,1508.21,13280
2000-01-04,DRREDDY,EQ,1508.25,1590.0,1628.95,1510.0,1628.95,1628.95,1579.29,57142
2000-01-05,DRREDDY,EQ,1628.95,1549.0,1650.0,1499.0,1566.0,1568.05,1594.99,119697
2000-01-06,DRREDDY,EQ,1568.05,1599.0,1693.5,1571.0,1693.5,1661.55,1632.11,121966
2000-01-07,DRREDDY,EQ,1661.55,1685.0,1685.0,1528.65,1528.65,1529.1,1585.24,79641
2000-01-10,DRREDDY,EQ,1529.1,1560.0,1560.0,1407.5,1502.0,1503.9,1503.84,62612
2000-01-11,DRREDDY,EQ,1503.9,1512.0,1529.0,1384.0,1436.0,1446.6,1449.71,89184
2000-01-12,DRREDDY,EQ,1446.6,1460.0,1540.0,1460.0,1486.05,1490.9,1496.5,31611
2000-01-13,DRREDDY,EQ,1490.9,1485.0,1545.0,1461.0,1470.05,1477.45,1511.43,39753
2000-01-14,DRREDDY,EQ,1477.45,1470.05,1510.0,1412.0,1486.45,1473.5,1458.08,46272
2000-01-17,DRREDDY,EQ,1473.5,1515.0,1570.0,1495.0,1495.0,1508.75,1533.26,67750
2000-01-18,DRREDDY,EQ,1508.75,1475.0,1475.0,1431.05,1450.0,1450.35,1450.67,44008
2000-01-19,DRREDDY,EQ,1450.35,1490.0,1566.4,1465.0,1566.4,1566.4,1539.85,77430
2000-01-20,DRREDDY,EQ,1566.4,1600.0,1649.75,1515.05,1548.9,1537.05,1593.07,225319
2000-01-21,DRREDDY,EQ,1537.05,1580.0,1580.0,1530.0,1567.8,1551.5,1549.77,57911
2000-01-24,DRREDDY,EQ,1551.5,1580.0,1590.0,1510.1,1515.0,1521.0,1556.22,54652
2000-01-25,DRREDDY,EQ,1521.0,1480.0,1519.0,1445.0,1464.0,1453.85,1471.03,77439
2000-01-27,DRREDDY,EQ,1453.85,1485.0,1549.0,1460.0,1465.0,1470.35,1498.46,114477
2000-01-28,DRREDDY,EQ,1470.35,1484.0,1492.0,1410.0,1425.0,1428.9,1457.76,78901
2000-01-31,DRREDDY,EQ,1428.9,1440.0,1450.0,1350.0,1363.1,1366.8,1396.9,39291
2000-02-01,DRREDDY,EQ,1366.8,1350.0,1419.0,1333.0,1415.0,1400.25,1382.81,88075
2000-02-02,DRREDDY,EQ,1400.25,1459.0,1512.3,1450.0,1495.0,1496.0,1492.88,104003
2000-02-03,DRREDDY,EQ,1496.0,1510.0,1534.8,1480.0,1489.5,1490.35,1507.14,35746
2000-02-04,DRREDDY,EQ,1490.35,1510.0,1550.0,1466.05,1479.0,1481.1,1480.68,29143
2000-02-07,DRREDDY,EQ,1481.1,1445.0,1462.0,1362.65,1362.65,1364.1,1390.68,75093
2000-02-08,DRREDDY,EQ,1364.1,1320.0,1400.0,1320.0,1387.0,1387.95,1386.54,69268
2000-02-09,DRREDDY,EQ,1387.95,1481.0,1481.0,1400.0,1416.0,1413.25,1426.48,37295
2000-02-10,DRREDDY,EQ,1413.25,1400.0,1430.0,1399.0,1417.0,1418.2,1414.48,13794
2000-02-11,DRREDDY,EQ,1418.2,1431.5,1431.5,1381.0,1410.0,1412.5,1410.11,24390
2000-02-14,DRREDDY,EQ,1412.5,1386.0,1409.9,1350.0,1363.0,1362.15,1377.42,22131
2000-02-15,DRREDDY,EQ,1362.15,1350.0,1390.0,1325.0,1385.0,1350.85,1347.5,42801
2000-02-16,DRREDDY,EQ,1350.85,1355.0,1399.0,1355.0,1385.0,1379.2,1374.26,16216
2000-02-17,DRREDDY,EQ,1379.2,1402.0,1489.55,1402.0,1489.55,1489.55,1486.74,8828
2000-02-18,DRREDDY,EQ,1489.55,1608.75,1608.75,1608.75,1608.75,1608.75,1608.75,51904
2000-02-21,DRREDDY,EQ,1608.75,1700.0,1721.0,1541.05,1562.0,1573.25,1607.38,88857
2000-02-22,DRREDDY,EQ,1573.25,1540.0,1579.0,1461.0,1483.0,1473.0,1496.49,63311
2000-02-23,DRREDDY,EQ,1473.0,1575.0,1590.85,1555.0,1590.85,1590.85,1588.24,48977
2000-02-24,DRREDDY,EQ,1590.85,1649.0,1649.5,1500.1,1578.0,1568.95,1587.43,49819
2000-02-25,DRREDDY,EQ,1568.95,1580.0,1600.0,1534.0,1573.0,1555.25,1569.58,44068
2000-02-28,DRREDDY,EQ,1555.25,1570.0,1679.7,1553.0,1665.0,1669.5,1640.91,118657
2000-02-29,DRREDDY,EQ,1669.5,1700.0,1803.0,1535.95,1535.95,1550.05,1716.94,110112
2000-03-01,DRREDDY,EQ,1550.05,1580.0,1580.0,1426.05,1524.0,1527.0,1472.06,256491
2000-03-02,DRREDDY,EQ,1527.0,1549.0,1550.0,1404.85,1404.85,1405.8,1445.96,92002
2000-03-03,DRREDDY,EQ,1405.8,1350.0,1350.0,1293.35,1293.35,1293.35,1299.02,87171
2000-03-06,DRREDDY,EQ,1293.35,1300.0,1360.0,1276.5,1309.9,1313.6,1304.02,80414
2000-03-07,DRREDDY,EQ,1313.6,1300.05,1418.7,1282.0,1418.7,1417.05,1334.0,103067
2000-03-08,DRREDDY,EQ,1417.05,1448.85,1448.85,1304.0,1304.0,1315.0,1358.35,50355
2000-03-09,DRREDDY,EQ,1315.0,1310.0,1329.0,1209.8,1209.8,1209.8,1236.4,53164
2000-03-10,DRREDDY,EQ,1209.8,1250.0,1306.6,1202.1,1306.6,1306.4,1285.14,58059
2000-03-13,DRREDDY,EQ,1306.4,1350.0,1410.95,1350.0,1410.95,1410.95,1396.31,15205
2000-03-14,DRREDDY,EQ,1410.95,1480.0,1523.85,1445.0,1523.85,1523.85,1508.39,76430
2000-03-15,DRREDDY,EQ,1523.85,1618.0,1645.8,1535.0,1550.05,1570.35,1613.49,148160
2000-03-16,DRREDDY,EQ,1570.35,1545.0,1545.0,1444.75,1457.0,1445.75,1493.92,58404
2000-03-21,DRREDDY,EQ,1445.75,1480.0,1561.45,1469.0,1561.45,1561.0,1553.92,76286
2000-03-22,DRREDDY,EQ,1561.0,1600.0,1685.9,1600.0,1685.9,1685.9,1684.44,62767
2000-03-23,DRREDDY,EQ,1685.9,1797.9,1797.9,1551.05,1600.0,1608.15,1611.53,180393
2000-03-24,DRREDDY,EQ,1608.15,1561.2,1697.0,1549.0,1651.1,1651.55,1636.95,69655
2000-03-27,DRREDDY,EQ,1651.55,1680.0,1749.0,1605.0,1697.0,1721.95,1686.86,65475
2000-03-28,DRREDDY,EQ,1721.95,1700.0,1700.0,1584.2,1584.2,1584.2,1609.44,37040
2000-03-29,DRREDDY,EQ,1584.2,1580.0,1580.0,1457.5,1457.5,1457.5,1474.4,63832
2000-03-30,DRREDDY,EQ,1457.5,1405.0,1540.0,1365.0,1500.0,1513.05,1481.11,130023
2000-03-31,DRREDDY,EQ,1513.05,1415.0,1634.1,1415.0,1625.0,1632.35,1596.79,165627
2000-04-03,DRREDDY,EQ,1632.35,1635.0,1717.0,1520.0,1550.0,1549.35,1628.95,182077
2000-04-04,DRREDDY,EQ,1549.35,1515.0,1550.0,1425.4,1425.4,1425.4,1462.16,96542
2000-04-05,DRREDDY,EQ,1425.4,1426.0,1518.0,1410.0,1445.0,1444.05,1456.81,81409
2000-04-06,DRREDDY,EQ,1444.05,1479.0,1499.0,1330.1,1426.0,1422.5,1404.34,76153
2000-04-07,DRREDDY,EQ,1422.5,1468.0,1536.3,1445.0,1536.3,1535.25,1515.82,133646
2000-04-10,DRREDDY,EQ,1535.25,1565.0,1652.9,1565.0,1631.5,1628.35,1620.19,195456
2000-04-11,DRREDDY,EQ,1628.35,1585.0,1619.9,1550.0,1605.0,1606.15,1596.87,61289
2000-04-12,DRREDDY,EQ,1606.15,1605.0,1605.0,1551.0,1569.0,1566.35,1573.33,37954
