Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume
2005-03-23,JSWSTL,EQ,10.0,455.0,458.5,383.6,386.9,390.15,419.86,2087710
2005-03-24,JSWSTL,EQ,390.15,392.85,398.5,357.5,371.8,369.2,372.01,1226479
2005-03-28,JSWSTL,EQ,369.2,376.7,394.05,375.0,380.0,378.85,383.64,1235794
2005-03-29,JSWSTL,EQ,378.85,382.9,383.8,363.25,369.1,368.05,375.26,624072
2005-03-30,JSWSTL,EQ,368.05,367.0,371.9,360.05,362.7,362.15,365.13,466349
2005-03-31,JSWSTL,EQ,362.15,366.0,375.0,356.65,362.9,362.5,364.46,1203015
2005-04-01,JSWSTL,EQ,362.5,366.0,396.5,361.4,391.0,391.55,384.84,1056290
2005-04-04,JSWSTL,EQ,391.55,393.0,394.0,372.1,372.7,373.65,382.22,359643
2005-04-05,JSWSTL,EQ,373.65,375.9,377.9,364.0,367.0,365.75,370.04,279815
2005-04-06,JSWSTL,EQ,365.75,367.0,375.9,367.0,372.2,371.9,372.6,292625
2005-04-07,JSWSTL,EQ,371.9,377.4,379.0,366.2,367.7,367.8,371.88,189476
2005-04-08,JSWSTL,EQ,367.8,372.5,372.5,360.25,361.05,362.1,364.65,176133
2005-04-11,JSWSTL,EQ,362.1,361.5,365.0,357.0,362.8,361.7,361.02,243663
2005-04-12,JSWSTL,EQ,361.7,361.7,370.0,360.15,369.75,368.9,365.07,198808
2005-04-13,JSWSTL,EQ,368.9,373.0,374.5,362.1,368.1,366.35,367.88,230785
2005-04-15,JSWSTL,EQ,366.35,363.05,365.0,351.0,351.5,354.2,358.09,166222
2005-04-18,JSWSTL,EQ,354.2,345.0,361.7,345.0,356.5,358.35,355.89,729193
2005-04-19,JSWSTL,EQ,358.35,361.0,368.5,342.0,343.0,346.75,359.85,389801
2005-04-20,JSWSTL,EQ,346.75,350.0,356.8,346.0,356.5,355.7,352.7,315994
2005-04-21,JSWSTL,EQ,355.7,356.9,363.75,351.0,363.0,361.1,356.93,254042
2005-04-22,JSWSTL,EQ,361.1,365.0,366.0,355.5,357.5,358.2,358.8,144685
2005-04-25,JSWSTL,EQ,358.2,359.0,360.0,349.5,350.5,350.85,353.37,125042
2005-04-26,JSWSTL,EQ,350.85,352.9,353.4,342.5,343.0,344.85,348.24,176861
2005-04-27,JSWSTL,EQ,344.85,345.0,347.0,330.15,332.45,333.1,338.72,154354
2005-04-28,JSWSTL,EQ,333.1,335.0,336.75,324.4,326.15,327.65,328.65,252313
2005-04-29,JSWSTL,EQ,327.65,327.65,328.0,312.5,314.7,315.65,320.68,217807
2005-05-02,JSWSTL,EQ,315.65,317.95,319.95,303.4,309.5,310.85,311.82,339504
2005-05-03,JSWSTL,EQ,310.85,310.55,317.5,310.05,311.5,312.45,313.99,302079
2005-05-04,JSWSTL,EQ,312.45,314.5,319.0,313.0,317.0,316.6,315.82,214613
2005-05-05,JSWSTL,EQ,316.6,319.0,341.9,318.5,327.0,327.65,329.68,488220
2005-05-06,JSWSTL,EQ,327.65,328.5,329.45,318.6,329.45,326.95,324.33,304628
2005-05-09,JSWSTL,EQ,326.95,326.5,334.4,326.0,332.3,332.45,331.33,177979
2005-05-10,JSWSTL,EQ,332.45,334.35,341.0,329.1,339.0,337.6,335.89,283073
2005-05-11,JSWSTL,EQ,337.6,337.6,337.6,327.1,327.1,329.15,330.72,247600
2005-05-12,JSWSTL,EQ,329.15,302.9,336.75,302.9,336.75,333.85,333.54,122689
2005-05-13,JSWSTL,EQ,333.85,334.0,342.0,328.55,342.0,337.5,333.42,132683
2005-05-16,JSWSTL,EQ,337.5,341.4,349.0,336.0,341.0,339.15,341.23,129617
2005-05-17,JSWSTL,EQ,339.15,343.7,343.95,338.0,338.0,339.5,340.55,108362
2005-05-18,JSWSTL,EQ,339.5,340.0,340.0,334.0,340.0,337.85,336.87,124278
2005-05-19,JSWSTL,EQ,337.85,341.0,344.0,330.3,331.5,332.6,338.09,92609
