Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume
2003-07-09,MARUTI,EQ,125.0,164.9,170.4,155.0,164.0,164.3,165.95,35164283
2003-07-10,MARUTI,EQ,164.3,167.0,168.7,164.5,167.0,167.0,166.74,10464179
2003-07-11,MARUTI,EQ,167.0,167.75,174.85,166.25,173.6,173.35,172.45,11740117
2003-07-14,MARUTI,EQ,173.35,174.25,179.25,174.25,178.6,177.95,177.91,5982324
2003-07-15,MARUTI,EQ,177.95,200.0,200.0,173.0,176.3,176.2,176.88,6173689
2003-07-16,MARUTI,EQ,176.2,176.45,179.1,175.35,176.9,177.1,177.59,3759085
2003-07-17,MARUTI,EQ,177.1,177.5,178.0,170.65,170.7,172.2,175.48,3814181
2003-07-18,MARUTI,EQ,172.2,165.0,171.9,160.0,167.4,167.4,167.66,5375212
2003-07-21,MARUTI,EQ,167.4,169.0,169.4,163.05,164.0,164.9,166.67,3315845
2003-07-22,MARUTI,EQ,164.9,164.0,169.15,162.1,168.6,167.25,165.06,4627992
2003-07-23,MARUTI,EQ,167.25,170.5,178.0,169.8,175.55,174.7,174.54,13262249
2003-07-24,MARUTI,EQ,174.7,175.9,177.0,172.85,173.65,174.1,174.45,4305936
2003-07-25,MARUTI,EQ,174.1,174.4,175.0,172.1,174.0,173.65,173.66,2832967
2003-07-28,MARUTI,EQ,173.65,188.0,188.0,175.1,179.25,178.85,178.01,5415867
2003-07-29,MARUTI,EQ,178.85,179.95,182.9,179.1,180.2,180.3,180.93,5229181
2003-07-30,MARUTI,EQ,180.3,181.25,184.75,180.1,180.25,181.1,182.55,4632246
2003-07-31,MARUTI,EQ,181.1,181.7,183.65,179.65,181.0,180.85,181.87,3562717
2003-08-01,MARUTI,EQ,180.85,182.0,189.0,178.75,188.4,187.15,184.36,8027285
2003-08-04,MARUTI,EQ,187.15,187.85,198.5,185.0,197.5,197.6,194.65,9982429
2003-08-05,MARUTI,EQ,197.6,199.0,203.45,192.85,193.85,193.6,198.15,9651327
2003-08-06,MARUTI,EQ,193.6,191.5,197.5,189.85,191.75,191.6,193.45,7451054
2003-08-07,MARUTI,EQ,191.6,193.5,196.0,192.25,195.7,195.4,194.27,3223676
2003-08-08,MARUTI,EQ,195.4,197.0,198.9,196.0,197.5,197.15,197.37,2530289
2003-08-11,MARUTI,EQ,197.15,198.1,203.8,196.0,201.8,202.2,201.71,5651311
2003-08-12,MARUTI,EQ,202.2,203.8,212.0,203.5,210.8,210.45,207.77,8215213
2003-08-13,MARUTI,EQ,210.45,213.0,219.5,212.0,218.5,217.8,215.87,7839204
2003-08-14,MARUTI,EQ,217.8,223.0,224.4,215.0,217.75,216.55,220.36,6298655
2003-08-18,MARUTI,EQ,216.55,218.1,221.0,215.4,218.25,216.9,217.99,3382031
2003-08-19,MARUTI,EQ,216.9,219.85,219.9,215.0,215.3,215.65,216.41,3080091
2003-08-20,MARUTI,EQ,215.65,217.4,226.45,217.3,226.0,225.0,222.96,6049174
2003-08-21,MARUTI,EQ,225.0,227.0,228.9,223.3,228.1,227.95,226.97,4012069
2003-08-22,MARUTI,EQ,227.95,228.05,232.8,225.9,229.2,229.3,229.44,4436016
2003-08-25,MARUTI,EQ,229.3,230.0,231.45,216.1,220.5,221.05,222.47,4827198
