Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume
2004-11-05,NTPC,EQ,62.0,88.0,88.0,70.0,75.55,75.55,73.12,232535736
2004-11-08,NTPC,EQ,75.55,76.8,78.6,75.0,75.15,75.2,76.88,68865277
2004-11-09,NTPC,EQ,75.2,75.1,76.1,74.55,75.25,75.3,75.28,37460886
2004-11-10,NTPC,EQ,75.3,75.5,75.95,75.0,75.05,75.05,75.32,17413433
2004-11-11,NTPC,EQ,75.05,75.35,75.4,74.3,74.6,74.45,74.74,15961426
2004-11-12,NTPC,EQ,74.45,75.0,82.4,73.65,74.55,74.65,74.74,4253463
2004-11-16,NTPC,EQ,74.65,74.7,74.8,73.2,73.7,73.65,73.72,13254394
2004-11-17,NTPC,EQ,73.65,73.7,75.2,73.5,73.7,73.6,74.23,20036184
2004-11-18,NTPC,EQ,73.6,75.0,79.85,73.5,73.5,73.65,73.8,17954359
2004-11-19,NTPC,EQ,73.65,73.65,74.85,73.5,73.65,73.55,74.08,15895741
2004-11-22,NTPC,EQ,73.55,73.6,75.05,72.0,74.4,74.45,73.85,28118069
2004-11-23,NTPC,EQ,74.45,75.0,76.5,74.95,76.1,75.85,75.92,29755772
2004-11-24,NTPC,EQ,75.85,76.55,78.0,76.2,77.85,77.8,77.38,30821250
2004-11-25,NTPC,EQ,77.8,77.9,79.0,76.8,76.95,77.05,77.95,23538442
2004-11-29,NTPC,EQ,77.05,77.2,78.0,76.75,77.5,77.3,77.27,14201592
2004-11-30,NTPC,EQ,77.3,77.9,79.7,76.85,79.25,79.1,78.65,39953911
2004-12-01,NTPC,EQ,79.1,79.5,80.5,79.0,79.65,79.7,79.87,33721820
2004-12-02,NTPC,EQ,79.7,80.5,81.35,79.95,80.45,80.45,80.73,18200351
2004-12-03,NTPC,EQ,80.45,80.75,80.9,79.25,79.6,79.6,79.81,12751825
2004-12-06,NTPC,EQ,79.6,81.6,82.1,79.65,80.0,79.9,80.33,10983285
2004-12-07,NTPC,EQ,79.9,80.2,81.75,79.55,80.65,80.45,80.85,21482990
2004-12-08,NTPC,EQ,80.45,80.7,81.2,79.55,80.05,80.0,80.44,21705590
2004-12-09,NTPC,EQ,80.0,79.9,80.35,79.6,80.0,80.0,80.01,9418563
2004-12-10,NTPC,EQ,80.0,81.6,81.6,78.7,78.9,79.0,79.6,9916789
2004-12-13,NTPC,EQ,79.0,79.15,80.0,78.85,79.55,79.6,79.5,7050908
2004-12-14,NTPC,EQ,79.6,80.1,81.75,79.8,81.65,81.6,80.94,16024313
2004-12-15,NTPC,EQ,81.6,82.0,84.5,81.95,83.9,84.1,83.4,23958928
