Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume
2007-10-05,POWERGRID,EQ,52.0,89.8,109.5,83.15,100.2,100.6,102.49,481058927
2007-10-08,POWERGRID,EQ,100.6,104.0,104.0,94.85,95.3,95.45,98.12,71252858
2007-10-09,POWERGRID,EQ,95.45,95.5,102.85,90.35,102.1,101.95,98.57,65658228
2007-10-10,POWERGRID,EQ,101.95,104.6,105.0,102.0,102.65,102.9,103.66,38211410
2007-10-11,POWERGRID,EQ,102.9,120.0,120.0,102.0,114.85,114.4,110.78,59805552
2007-10-12,POWERGRID,EQ,114.4,112.0,117.9,111.0,114.25,113.65,115.56,55918584
2007-10-15,POWERGRID,EQ,113.65,116.0,116.7,114.15,115.4,115.15,115.71,23520928
2007-10-16,POWERGRID,EQ,115.15,115.3,128.9,114.5,128.3,126.9,121.83,77970674
2007-10-17,POWERGRID,EQ,126.9,114.0,140.0,106.1,135.35,136.8,127.86,115242925
2007-10-18,POWERGRID,EQ,136.8,139.0,149.45,126.35,128.2,132.0,142.53,82472533
2007-10-19,POWERGRID,EQ,132.0,129.0,136.9,125.0,131.85,131.55,132.11,62024917
2007-10-22,POWERGRID,EQ,131.55,128.9,133.85,125.5,129.65,129.8,130.85,40642551
2007-10-23,POWERGRID,EQ,129.8,133.0,140.3,133.0,139.8,139.05,137.61,41959654
2007-10-24,POWERGRID,EQ,139.05,142.0,143.5,135.35,136.5,136.9,139.72,35468542
2007-10-25,POWERGRID,EQ,136.9,132.25,139.8,120.65,137.3,136.6,137.47,19418905
2007-10-26,POWERGRID,EQ,136.6,139.0,142.95,135.25,140.85,140.7,140.16,35083148
2007-10-29,POWERGRID,EQ,140.7,143.0,147.0,142.3,143.1,143.55,144.33,24557461
2007-10-30,POWERGRID,EQ,143.55,145.5,150.7,141.2,147.05,146.75,146.33,44955974
2007-10-31,POWERGRID,EQ,146.75,147.5,153.1,147.0,149.55,149.8,151.11,25118651
2007-11-01,POWERGRID,EQ,149.8,153.5,154.65,145.25,145.7,146.45,150.41,28480784
2007-11-02,POWERGRID,EQ,146.45,141.15,150.0,140.0,149.85,149.1,147.19,18000957
2007-11-05,POWERGRID,EQ,149.1,149.0,155.5,148.1,152.15,152.15,153.13,21843644
2007-11-06,POWERGRID,EQ,152.15,154.8,163.9,152.05,155.25,154.15,158.27,46057670
2007-11-07,POWERGRID,EQ,154.15,157.0,159.2,148.5,152.0,151.9,153.22,18896147
2007-11-08,POWERGRID,EQ,151.9,148.0,153.35,146.0,149.7,149.3,150.23,15744672
2007-11-09,POWERGRID,EQ,149.3,155.0,155.0,146.7,147.3,148.7,149.91,4863716
2007-11-12,POWERGRID,EQ,148.7,144.8,155.6,140.85,155.3,152.9,147.32,19773981
2007-11-13,POWERGRID,EQ,152.9,155.5,159.7,150.55,157.0,156.55,157.23,24654680
2007-11-14,POWERGRID,EQ,156.55,159.3,161.5,153.7,154.4,154.5,156.06,20665456
2007-11-15,POWERGRID,EQ,154.5,157.4,159.85,154.15,156.95,157.1,157.14,16448771
2007-11-16,POWERGRID,EQ,157.1,156.4,159.55,154.2,156.55,156.0,156.99,10628606
2007-11-19,POWERGRID,EQ,156.0,159.55,167.5,158.35,161.8,161.65,163.03,22903160
2007-11-20,POWERGRID,EQ,161.65,161.0,165.5,157.2,159.8,159.15,162.68,14817475
2007-11-21,POWERGRID,EQ,159.15,160.1,161.05,143.2,148.85,146.75,152.65,15083160
2007-11-22,POWERGRID,EQ,146.75,145.2,151.1,135.55,144.55,141.7,141.39,19179109
2007-11-23,POWERGRID,EQ,141.7,151.0,152.0,142.6,151.95,151.1,147.3,15561055
2007-11-26,POWERGRID,EQ,151.1,156.7,156.7,151.1,152.25,152.3,153.73,11339510
2007-11-27,POWERGRID,EQ,152.3,154.9,154.9,147.0,148.5,148.55,149.41,11572427
2007-11-28,POWERGRID,EQ,148.55,151.8,152.5,145.35,146.5,146.35,149.66,9244865
2007-11-29,POWERGRID,EQ,146.35,150.0,150.8,140.55,142.0,142.4,144.25,14361173
2007-11-30,POWERGRID,EQ,142.4,145.0,148.8,143.0,148.0,147.9,146.09,10371221
2007-12-03,POWERGRID,EQ,147.9,149.7,151.85,148.55,149.75,150.0,150.29,9478818
2007-12-04,POWERGRID,EQ,150.0,151.0,152.25,146.95,148.55,148.05,149.99,7879911
2007-12-05,POWERGRID,EQ,148.05,148.3,154.5,148.0,154.3,153.95,151.69,15595480
2007-12-06,POWERGRID,EQ,153.95,157.3,159.65,149.15,151.6,151.1,154.27,13558903
2007-12-07,POWERGRID,EQ,151.1,152.05,154.2,147.75,150.1,150.45,150.57,6605094
2007-12-10,POWERGRID,EQ,150.45,151.9,152.45,148.65,150.55,150.6,150.52,4685632
2007-12-11,POWERGRID,EQ,150.6,151.95,152.8,149.15,150.0,149.9,151.05,6573349
2007-12-12,POWERGRID,EQ,149.9,148.0,151.15,147.0,149.9,149.8,149.58,9192451
2007-12-13,POWERGRID,EQ,149.8,150.85,152.0,146.7,147.05,147.3,149.75,8230435
2007-12-14,POWERGRID,EQ,147.3,146.8,148.15,145.1,145.5,145.85,146.33,6182918
2007-12-17,POWERGRID,EQ,145.85,146.7,147.5,135.0,138.5,137.05,140.58,10887572
2007-12-18,POWERGRID,EQ,137.05,135.5,141.0,132.2,137.25,136.45,136.36,12154381
2007-12-19,POWERGRID,EQ,136.45,140.85,142.05,132.8,135.0,133.95,137.34,10983891
2007-12-20,POWERGRID,EQ,133.95,135.7,136.8,132.0,133.2,132.6,134.35,9621680
2007-12-24,POWERGRID,EQ,132.6,134.6,138.8,133.5,136.65,136.65,136.15,9400232
2007-12-26,POWERGRID,EQ,136.65,137.4,142.5,137.4,141.8,140.8,140.78,11773181
2007-12-27,POWERGRID,EQ,140.8,143.7,145.7,140.6,142.5,141.8,143.12,25067975
2007-12-28,POWERGRID,EQ,141.8,141.5,143.5,140.0,142.9,142.9,142.46,10324419
2007-12-31,POWERGRID,EQ,142.9,144.0,144.8,142.2,143.75,143.95,143.54,6740050
2008-01-01,POWERGRID,EQ,143.95,144.7,147.95,143.35,146.5,146.6,145.87,9386860
2008-01-02,POWERGRID,EQ,146.6,146.6,147.7,143.65,145.5,145.8,145.56,7558472
2008-01-03,POWERGRID,EQ,145.8,144.9,152.4,143.15,151.7,151.8,149.57,17896065
2008-01-04,POWERGRID,EQ,151.8,154.0,156.0,150.0,151.0,151.0,153.81,15756366
2008-01-07,POWERGRID,EQ,151.0,150.05,153.2,148.15,150.0,149.75,150.54,8920163
2008-01-08,POWERGRID,EQ,149.75,149.9,152.0,142.9,144.85,144.65,146.21,7471502
2008-01-09,POWERGRID,EQ,144.65,144.8,145.45,142.0,142.1,142.35,143.3,7376361
2008-01-10,POWERGRID,EQ,142.35,143.0,147.0,138.0,138.75,138.95,143.25,10137942
2008-01-11,POWERGRID,EQ,138.95,140.85,142.4,135.5,141.4,141.05,138.62,6541562
2008-01-14,POWERGRID,EQ,141.05,141.3,144.7,139.05,144.45,143.2,141.32,5773637
2008-01-15,POWERGRID,EQ,143.2,145.5,146.1,137.7,137.95,138.85,142.01,6501565
2008-01-16,POWERGRID,EQ,138.85,137.85,139.0,132.55,136.2,136.0,135.28,8344164
2008-01-17,POWERGRID,EQ,136.0,136.5,142.75,133.6,139.0,139.65,138.98,9095287
2008-01-18,POWERGRID,EQ,139.65,138.5,138.65,132.0,133.2,133.15,135.58,7455465
2008-01-21,POWERGRID,EQ,133.15,132.0,132.0,96.25,110.5,110.5,115.66,18676349
2008-01-22,POWERGRID,EQ,110.5,99.6,105.0,78.95,100.0,99.4,93.29,33050094
2008-01-23,POWERGRID,EQ,99.4,101.0,114.75,101.0,112.0,110.5,108.89,15989624
2008-01-24,POWERGRID,EQ,110.5,116.45,118.6,105.5,111.0,110.75,112.07,16825465
2008-01-25,POWERGRID,EQ,110.75,116.0,117.0,111.75,116.25,116.45,113.81,7059783
2008-01-28,POWERGRID,EQ,116.45,114.85,118.6,105.5,116.75,117.7,114.09,7650626
2008-01-29,POWERGRID,EQ,117.7,118.0,119.7,114.0,115.5,115.75,116.79,4319932
2008-01-30,POWERGRID,EQ,115.75,116.0,116.5,107.9,108.9,109.35,111.88,5071559
2008-01-31,POWERGRID,EQ,109.35,110.5,110.8,101.0,102.4,102.2,104.21,23365448
2008-02-01,POWERGRID,EQ,102.2,103.95,106.5,103.0,106.25,105.75,104.92,5112677
2008-02-04,POWERGRID,EQ,105.75,107.75,112.5,107.75,111.8,111.2,110.51,6755281
2008-02-05,POWERGRID,EQ,111.2,111.4,116.15,109.0,115.0,114.65,113.84,8208735
2008-02-06,POWERGRID,EQ,114.65,111.5,115.0,107.3,113.3,113.65,112.37,6991437
2008-02-07,POWERGRID,EQ,113.65,112.1,115.95,107.6,108.0,108.3,112.15,6356296
2008-02-08,POWERGRID,EQ,108.3,109.0,109.9,103.55,105.25,105.5,105.91,7601738
2008-02-11,POWERGRID,EQ,105.5,107.0,107.0,97.0,97.85,98.05,100.11,8512501
2008-02-12,POWERGRID,EQ,98.05,101.0,101.65,95.5,96.25,96.3,97.69,5758667
2008-02-13,POWERGRID,EQ,96.3,98.0,99.25,92.95,95.3,94.9,95.51,5847613
2008-02-14,POWERGRID,EQ,94.9,97.0,104.25,97.0,104.0,103.2,100.5,7039129
2008-02-15,POWERGRID,EQ,103.2,102.8,107.0,100.05,105.85,106.15,103.92,6795559
2008-02-18,POWERGRID,EQ,106.15,108.55,108.55,104.65,105.35,105.55,106.11,3924650
2008-02-19,POWERGRID,EQ,105.55,107.45,107.7,103.6,104.1,104.4,106.12,4064931
2008-02-20,POWERGRID,EQ,104.4,103.4,103.45,100.65,102.4,101.8,101.9,3152813
2008-02-21,POWERGRID,EQ,101.8,103.45,104.25,101.25,102.7,102.5,102.69,2179331
2008-02-22,POWERGRID,EQ,102.5,99.1,101.85,98.05,101.25,101.2,101.27,1513812
2008-02-25,POWERGRID,EQ,101.2,102.4,103.3,99.6,102.0,102.05,101.17,3526981
2008-02-26,POWERGRID,EQ,102.05,103.0,103.9,101.95,102.0,102.45,102.89,4015927
2008-02-27,POWERGRID,EQ,102.45,103.95,113.8,103.95,108.8,108.45,110.53,24313018
2008-02-28,POWERGRID,EQ,108.45,109.5,112.35,108.0,112.3,111.5,110.56,20117169
2008-02-29,POWERGRID,EQ,111.5,110.8,113.0,108.1,109.2,109.9,110.98,9268575
2008-03-03,POWERGRID,EQ,109.9,105.1,108.8,104.1,104.35,105.3,106.1,5652650
2008-03-04,POWERGRID,EQ,105.3,106.0,106.4,100.0,103.2,102.6,102.61,6460426
2008-03-05,POWERGRID,EQ,102.6,103.1,105.0,100.1,104.8,104.5,103.21,4826844
2008-03-07,POWERGRID,EQ,104.5,103.0,103.0,95.0,98.45,99.15,98.28,8016710
