Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume
2000-01-03,SBIN,EQ,225.6,236.0,243.65,234.25,243.65,243.65,240.83,2373228
2000-01-04,SBIN,EQ,243.65,243.65,262.0,238.85,258.0,259.1,251.46,4495741
2000-01-05,SBIN,EQ,259.1,249.0,264.7,245.0,249.05,248.45,252.35,3434058
2000-01-06,SBIN,EQ,248.45,252.0,268.0,252.0,260.5,261.0,262.18,6658801
2000-01-07,SBIN,EQ,261.0,261.5,279.9,255.0,279.0,273.3,269.02,7873985
2000-01-10,SBIN,EQ,273.3,280.0,289.85,265.2,266.0,269.5,279.79,5519316
2000-01-11,SBIN,EQ,269.5,266.8,267.0,247.95,247.95,247.95,254.66,2427606
2000-01-12,SBIN,EQ,247.95,244.0,251.5,236.6,244.0,244.75,243.71,2805072
2000-01-13,SBIN,EQ,244.75,246.0,255.6,243.1,243.15,244.5,250.04,3226776
2000-01-14,SBIN,EQ,244.5,245.0,245.0,238.1,239.05,239.2,240.55,1506543
2000-01-17,SBIN,EQ,239.2,244.4,251.0,232.3,236.1,235.9,240.22,4385887
2000-01-18,SBIN,EQ,235.9,236.9,241.0,233.75,236.5,236.45,237.59,2706614
2000-01-19,SBIN,EQ,236.45,240.9,247.5,240.0,243.0,243.95,244.63,2511949
2000-01-20,SBIN,EQ,243.95,243.0,244.8,236.25,237.9,237.7,240.61,1158464
2000-01-21,SBIN,EQ,237.7,238.75,239.75,235.5,237.0,237.45,237.56,1178627
2000-01-24,SBIN,EQ,237.45,236.65,240.35,227.1,228.1,228.3,234.87,1855636
2000-01-25,SBIN,EQ,228.3,226.0,227.9,222.6,225.5,224.85,225.12,2226513
2000-01-27,SBIN,EQ,224.85,229.0,235.5,228.0,230.8,230.15,232.11,2000745
2000-01-28,SBIN,EQ,230.15,232.7,248.6,232.7,248.6,248.5,245.28,4978231
2000-01-31,SBIN,EQ,248.5,246.0,256.75,242.5,242.95,244.7,251.19,4829071
2000-02-01,SBIN,EQ,244.7,245.0,250.7,242.75,250.0,246.5,245.74,2196468
2000-02-02,SBIN,EQ,246.5,257.0,258.7,246.0,246.9,247.5,252.31,2328315
2000-02-03,SBIN,EQ,247.5,250.0,264.9,248.6,257.85,258.8,258.52,7332794
2000-02-04,SBIN,EQ,258.8,260.0,264.75,254.5,256.5,255.9,259.64,3206295
2000-02-07,SBIN,EQ,255.9,258.7,258.7,243.6,245.5,247.4,251.65,2058676
2000-02-08,SBIN,EQ,247.4,247.0,248.5,240.8,242.5,242.3,244.99,2398279
2000-02-09,SBIN,EQ,242.3,254.0,254.0,243.15,244.0,245.4,248.19,1411153
2000-02-10,SBIN,EQ,245.4,242.2,250.95,242.2,248.6,248.8,247.66,1843760
2000-02-11,SBIN,EQ,248.8,251.0,257.7,246.6,249.0,250.1,252.38,2983767
2000-02-14,SBIN,EQ,250.1,252.0,270.15,251.35,270.15,266.6,262.44,6388369
2000-02-15,SBIN,EQ,266.6,271.9,272.0,247.0,250.0,253.9,259.73,4747733
2000-02-16,SBIN,EQ,253.9,257.0,257.0,247.5,248.4,250.0,253.14,2045899
2000-02-17,SBIN,EQ,250.0,248.0,253.8,247.0,249.0,250.0,250.88,1740649
2000-02-18,SBIN,EQ,250.0,251.75,252.8,239.0,242.0,241.1,245.34,1509713
2000-02-21,SBIN,EQ,241.1,243.0,248.9,240.0,244.25,244.2,244.39,2012722
2000-02-22,SBIN,EQ,244.2,245.0,246.4,234.0,236.1,237.1,240.49,1651462
2000-02-23,SBIN,EQ,237.1,244.9,248.0,232.0,235.75,234.05,238.64,1276651
2000-02-24,SBIN,EQ,234.05,236.0,247.0,234.25,242.5,243.35,241.77,1575066
2000-02-25,SBIN,EQ,243.35,242.0,246.5,239.15,240.25,241.0,242.43,1045776
2000-02-28,SBIN,EQ,241.0,241.0,248.7,237.3,247.4,245.45,244.13,1473359
2000-02-29,SBIN,EQ,245.45,248.9,262.0,225.85,226.0,228.75,249.55,3891344
2000-03-01,SBIN,EQ,228.75,233.0,241.5,225.0,237.0,236.2,235.59,2048520
2000-03-02,SBIN,EQ,236.2,239.0,241.4,223.0,225.5,226.0,230.75,2301423
2000-03-03,SBIN,EQ,226.0,223.0,227.9,207.95,209.3,208.2,214.77,1742872
2000-03-06,SBIN,EQ,208.2,214.7,224.0,203.15,214.1,212.1,216.18,2374676
2000-03-07,SBIN,EQ,212.1,212.1,213.5,202.5,207.55,207.5,207.02,2046689
2000-03-08,SBIN,EQ,207.5,209.0,209.0,190.9,191.5,191.45,199.31,1713711
2000-03-09,SBIN,EQ,191.45,191.5,194.0,176.15,177.2,178.9,179.91,2347673
2000-03-10,SBIN,EQ,178.9,180.9,180.9,168.15,171.35,170.4,172.83,1314953
2000-03-13,SBIN,EQ,170.4,173.25,179.0,163.0,164.7,164.35,170.18,1824161
2000-03-14,SBIN,EQ,164.35,168.5,177.5,161.1,177.5,177.5,171.04,2123749
2000-03-15,SBIN,EQ,177.5,177.6,191.0,175.0,185.45,186.5,184.62,2364998
2000-03-16,SBIN,EQ,186.5,185.9,201.45,182.5,200.2,199.7,194.36,3630383
2000-03-21,SBIN,EQ,199.7,203.9,215.6,198.3,213.05,212.9,206.89,3182185
2000-03-22,SBIN,EQ,212.9,214.7,217.5,206.85,211.45,212.1,212.49,2320305
2000-03-23,SBIN,EQ,212.1,210.0,211.75,197.25,200.0,200.4,202.14,1836243
2000-03-24,SBIN,EQ,200.4,199.0,201.5,194.35,197.4,197.25,197.47,1149127
2000-03-27,SBIN,EQ,197.25,198.0,202.0,189.1,193.4,193.1,194.89,1527092
2000-03-28,SBIN,EQ,193.1,191.5,203.9,186.8,200.0,200.35,195.39,2568833
2000-03-29,SBIN,EQ,200.35,204.9,206.4,195.0,195.85,197.55,201.43,2758701
2000-03-30,SBIN,EQ,197.55,199.0,204.5,185.35,200.25,200.5,194.28,2561286
2000-03-31,SBIN,EQ,200.5,198.0,209.8,192.2,202.65,204.75,202.88,4726739
2000-04-03,SBIN,EQ,204.75,205.0,219.65,205.0,211.5,213.3,214.44,3924088
2000-04-04,SBIN,EQ,213.3,210.55,211.5,196.25,196.25,196.35,200.5,2934025
2000-04-05,SBIN,EQ,196.35,197.0,203.0,187.5,196.5,196.2,194.8,2155066
2000-04-06,SBIN,EQ,196.2,198.0,206.4,194.3,203.75,203.9,201.2,3351461
2000-04-07,SBIN,EQ,203.9,204.0,219.5,204.0,216.25,218.1,213.65,7451592
2000-04-10,SBIN,EQ,218.1,219.25,231.5,210.35,219.5,221.3,221.6,12461544
2000-04-11,SBIN,EQ,221.3,218.0,223.9,209.15,220.3,220.75,218.28,5054787
2000-04-12,SBIN,EQ,220.75,220.0,226.5,215.9,217.6,217.95,221.88,3898952
2000-04-13,SBIN,EQ,217.95,215.5,215.5,203.2,206.05,204.85,208.03,4250852
