Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume
2000-01-03,SHREECEM,EQ,63.5,68.0,68.0,63.05,63.6,64.75,65.13,30530
2000-01-04,SHREECEM,EQ,64.75,65.6,66.0,59.6,59.6,59.85,60.7,23525
2000-01-05,SHREECEM,EQ,59.85,59.1,61.0,59.0,60.0,60.0,60.03,23535
2000-01-06,SHREECEM,EQ,60.0,58.1,62.0,58.1,60.65,60.6,60.52,8931
2000-01-07,SHREECEM,EQ,60.6,60.0,61.95,57.05,60.6,60.45,60.21,5115
2000-01-10,SHREECEM,EQ,60.45,57.1,60.0,57.0,57.35,57.35,57.5,7001
2000-01-11,SHREECEM,EQ,57.35,58.0,58.0,53.0,53.35,54.1,54.66,8923
2000-01-12,SHREECEM,EQ,54.1,53.4,54.8,53.0,54.4,54.75,54.49,2050
2000-01-13,SHREECEM,EQ,54.75,53.75,53.95,52.7,53.0,52.95,53.55,4250
2000-01-14,SHREECEM,EQ,52.95,55.0,55.0,52.0,54.0,54.0,52.89,1480
2000-01-17,SHREECEM,EQ,54.0,56.0,56.0,54.0,55.5,55.5,55.13,7210
2000-01-18,SHREECEM,EQ,55.5,53.5,55.0,53.0,53.1,53.7,53.9,10663
2000-01-19,SHREECEM,EQ,53.7,54.0,56.4,53.3,55.3,55.4,55.12,8050
2000-01-20,SHREECEM,EQ,55.4,55.0,59.75,55.0,59.75,59.2,58.69,39121
2000-01-21,SHREECEM,EQ,59.2,59.0,59.4,56.95,57.7,57.45,58.35,11050
2000-01-24,SHREECEM,EQ,57.45,55.6,57.0,53.55,54.0,53.95,55.0,9355
2000-01-25,SHREECEM,EQ,53.95,52.05,53.0,50.05,51.1,51.1,51.31,17233
2000-01-27,SHREECEM,EQ,51.1,51.5,55.0,50.0,50.0,50.45,51.05,18850
2000-01-28,SHREECEM,EQ,50.45,54.0,54.0,47.55,48.0,48.0,48.48,11060
2000-01-31,SHREECEM,EQ,48.0,45.0,45.8,44.2,45.0,45.3,44.78,7390
2000-02-01,SHREECEM,EQ,45.3,44.0,48.75,44.0,46.25,47.1,47.78,8600
2000-02-02,SHREECEM,EQ,47.1,50.0,50.9,48.3,50.9,50.9,50.36,23950
2000-02-03,SHREECEM,EQ,50.9,52.5,53.0,49.25,53.0,51.9,51.61,18800
2000-02-04,SHREECEM,EQ,51.9,53.0,55.0,52.0,54.0,54.6,53.76,11400
2000-02-07,SHREECEM,EQ,54.6,53.0,59.0,53.0,58.0,58.0,58.01,43775
2000-02-08,SHREECEM,EQ,58.0,60.4,62.0,58.0,60.0,60.45,59.92,36006
2000-02-09,SHREECEM,EQ,60.45,65.0,65.0,58.1,60.5,60.1,60.68,26081
2000-02-10,SHREECEM,EQ,60.1,59.0,59.0,55.35,56.75,56.2,56.57,9655
2000-02-11,SHREECEM,EQ,56.2,56.0,56.0,53.0,56.0,55.7,55.23,9398
2000-02-14,SHREECEM,EQ,55.7,55.0,55.0,51.25,51.25,51.25,51.84,3100
2000-02-15,SHREECEM,EQ,51.25,48.0,50.0,47.15,47.95,47.45,47.73,11275
2000-02-16,SHREECEM,EQ,47.45,49.6,49.6,46.8,47.0,47.0,48.24,16530
2000-02-17,SHREECEM,EQ,47.0,46.0,48.5,46.0,48.0,48.05,48.35,11700
