Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume
2004-08-25,TCS,EQ,850.0,1198.7,1198.7,979.0,985.0,987.95,1008.32,17116372
2004-08-26,TCS,EQ,987.95,992.0,997.0,975.3,976.85,979.0,985.65,5055400
2004-08-27,TCS,EQ,979.0,982.4,982.4,958.55,961.2,962.65,969.94,3830750
2004-08-30,TCS,EQ,962.65,969.9,990.0,965.0,986.4,986.75,982.65,3058151
2004-08-31,TCS,EQ,986.75,986.5,990.0,976.0,987.8,988.1,982.18,2649332
2004-09-01,TCS,EQ,988.1,990.0,995.0,983.6,986.0,987.9,989.68,2491943
2004-09-02,TCS,EQ,987.9,989.9,1004.6,986.0,994.0,993.65,996.96,2669544
2004-09-03,TCS,EQ,993.65,1006.0,1100.0,990.35,998.7,997.85,996.91,1233732
2004-09-06,TCS,EQ,997.85,1039.9,1039.9,992.9,996.8,994.85,998.87,1129834
2004-09-07,TCS,EQ,994.85,1035.0,1035.0,995.0,995.0,995.6,997.34,721529
2004-09-08,TCS,EQ,995.6,996.0,1000.8,991.1,992.25,993.7,995.29,824248
2004-09-09,TCS,EQ,993.7,997.0,997.9,978.45,979.65,979.95,985.16,993398
2004-09-10,TCS,EQ,979.95,990.0,990.0,976.0,989.95,988.8,985.12,801884
2004-09-13,TCS,EQ,988.8,991.0,1015.5,991.0,1002.75,1003.5,1007.31,2613114
2004-09-14,TCS,EQ,1003.5,1005.0,1018.8,1002.95,1015.95,1015.65,1012.95,1916934
2004-09-15,TCS,EQ,1015.65,1018.0,1020.0,1001.2,1005.0,1006.1,1009.12,1498536
2004-09-16,TCS,EQ,1006.1,1007.0,1015.0,1002.5,1011.0,1008.45,1009.82,919778
2004-09-17,TCS,EQ,1008.45,1012.0,1029.9,1010.3,1029.9,1024.5,1021.09,1828487
2004-09-20,TCS,EQ,1024.5,1032.4,1036.9,1020.15,1022.5,1022.9,1028.83,1069028
2004-09-21,TCS,EQ,1022.9,1024.85,1048.5,1022.0,1047.4,1045.8,1039.54,1737135
2004-09-22,TCS,EQ,1045.8,1048.4,1056.0,1037.1,1049.9,1052.05,1047.57,1921448
2004-09-23,TCS,EQ,1052.05,1048.0,1049.0,1027.0,1028.0,1030.25,1037.8,1977460
2004-09-24,TCS,EQ,1030.25,1029.1,1040.0,1026.0,1027.6,1028.8,1033.94,1010401
2004-09-27,TCS,EQ,1028.8,1027.5,1032.5,1015.0,1019.0,1020.75,1022.44,1028689
2004-09-28,TCS,EQ,1020.75,1016.0,1027.4,1012.5,1016.2,1015.55,1020.82,792427
2004-09-29,TCS,EQ,1015.55,1019.25,1033.0,1016.15,1031.0,1031.0,1024.61,1467147
2004-09-30,TCS,EQ,1031.0,1035.6,1040.9,1020.65,1025.1,1027.1,1032.72,1565179
2004-10-01,TCS,EQ,1027.1,1029.0,1056.45,1026.35,1048.5,1047.7,1043.58,1371111
2004-10-04,TCS,EQ,1047.7,1057.0,1081.0,1054.45,1079.2,1076.5,1071.89,1891228
2004-10-05,TCS,EQ,1076.5,1080.3,1089.0,1075.5,1077.05,1080.7,1083.44,1792661
2004-10-06,TCS,EQ,1080.7,1081.0,1102.8,1075.05,1082.0,1081.6,1090.08,2208833
2004-10-07,TCS,EQ,1081.6,1083.0,1100.0,1083.0,1099.6,1097.1,1093.19,1260016
2004-10-08,TCS,EQ,1097.1,1098.0,1111.0,1095.0,1097.8,1098.05,1103.24,1069865
2004-10-09,TCS,EQ,1098.05,1099.9,1103.85,1094.25,1103.0,1100.65,1099.79,258539
