Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume
2004-01-23,UNIPHOS,EQ,10.0,100.0,560.0,100.0,555.1,553.8,483.69,73629
2004-01-27,UNIPHOS,EQ,553.8,570.0,570.0,525.0,530.1,540.35,540.77,26737
2004-01-28,UNIPHOS,EQ,540.35,530.0,565.0,511.0,542.0,538.85,542.24,32155
2004-01-29,UNIPHOS,EQ,538.85,530.0,543.5,504.0,517.0,515.1,529.23,19074
2004-01-30,UNIPHOS,EQ,515.1,519.0,519.0,471.4,485.0,482.95,485.85,23807
2004-02-03,UNIPHOS,EQ,482.95,472.0,475.0,450.0,465.0,461.45,466.1,25068
2004-02-04,UNIPHOS,EQ,461.45,442.0,479.0,442.0,475.0,475.15,470.81,21392
2004-02-05,UNIPHOS,EQ,475.15,475.0,489.0,470.5,475.05,480.15,477.59,19618
2004-02-06,UNIPHOS,EQ,480.15,461.1,486.0,461.0,485.9,480.75,477.32,11997
2004-02-09,UNIPHOS,EQ,480.75,475.0,483.0,462.05,474.8,471.95,471.87,19547
2004-02-10,UNIPHOS,EQ,471.95,480.0,480.0,459.0,475.15,477.8,473.86,20031
2004-02-11,UNIPHOS,EQ,477.8,479.0,483.95,475.8,481.5,479.75,479.86,8149
2004-02-12,UNIPHOS,EQ,479.75,480.0,489.0,475.55,489.0,486.35,482.42,10600
2004-02-13,UNIPHOS,EQ,486.35,493.0,495.95,480.0,495.0,492.8,490.14,14134
2004-02-16,UNIPHOS,EQ,492.8,465.0,498.0,465.0,495.0,494.35,491.4,9670
2004-02-17,UNIPHOS,EQ,494.35,491.0,500.0,490.0,495.3,497.65,495.64,38983
2004-02-18,UNIPHOS,EQ,497.65,495.0,504.0,492.0,501.5,501.75,499.92,8918
2004-02-19,UNIPHOS,EQ,501.75,500.0,500.0,475.0,486.0,481.55,486.65,24195
2004-02-20,UNIPHOS,EQ,481.55,484.9,484.9,471.65,475.0,475.0,475.15,44404
2004-02-23,UNIPHOS,EQ,475.0,505.0,505.0,465.0,472.0,469.2,470.74,13769
2004-02-24,UNIPHOS,EQ,469.2,469.55,485.1,469.5,482.0,482.6,478.72,11944
2004-02-25,UNIPHOS,EQ,482.6,484.0,484.0,469.5,477.9,470.85,470.59,8565
2004-02-26,UNIPHOS,EQ,470.85,476.0,485.0,460.0,470.0,470.65,476.5,6316
2004-02-27,UNIPHOS,EQ,470.65,466.1,481.0,466.1,478.0,477.7,473.09,80565
2004-03-01,UNIPHOS,EQ,477.7,475.6,482.0,471.5,478.0,479.65,477.5,8563
2004-03-03,UNIPHOS,EQ,479.65,490.0,531.7,490.0,518.95,516.6,509.97,46849
2004-03-04,UNIPHOS,EQ,516.6,529.5,529.5,493.3,500.7,498.95,508.34,13976
2004-03-05,UNIPHOS,EQ,498.95,508.0,509.9,496.25,500.0,499.5,500.27,13147
2004-03-08,UNIPHOS,EQ,499.5,500.0,514.0,500.0,513.0,513.2,509.88,18863
2004-03-09,UNIPHOS,EQ,513.2,514.0,518.9,501.15,511.95,512.3,509.65,13688
2004-03-10,UNIPHOS,EQ,512.3,505.0,512.0,505.0,510.0,509.9,510.64,13606
2004-03-11,UNIPHOS,EQ,509.9,505.0,518.0,505.0,515.0,515.2,514.6,14098
2004-03-12,UNIPHOS,EQ,515.2,515.0,515.0,487.05,496.25,497.3,495.7,4523
2004-03-15,UNIPHOS,EQ,497.3,485.25,508.0,450.0,485.05,498.4,495.31,15463
2004-03-16,UNIPHOS,EQ,498.4,481.3,493.0,477.0,479.0,481.4,482.39,2871
2004-03-17,UNIPHOS,EQ,481.4,485.0,485.0,476.0,476.05,477.15,479.72,2033
2004-03-18,UNIPHOS,EQ,477.15,483.1,488.9,475.0,475.0,481.6,481.54,5990
2004-03-19,UNIPHOS,EQ,481.6,482.05,488.9,480.0,483.65,484.4,481.93,4890
2004-03-22,UNIPHOS,EQ,484.4,475.2,475.2,460.0,460.0,461.4,463.44,13607
2004-03-23,UNIPHOS,EQ,461.4,455.25,457.0,428.0,445.0,444.4,443.51,11645
2004-03-24,UNIPHOS,EQ,444.4,436.1,443.0,430.0,430.0,432.25,438.35,1065
2004-03-25,UNIPHOS,EQ,432.25,431.0,449.95,430.0,437.0,436.25,440.24,6362
2004-03-26,UNIPHOS,EQ,436.25,441.0,463.8,441.0,455.0,455.65,454.84,4840
2004-03-29,UNIPHOS,EQ,455.65,464.75,464.75,450.0,451.0,451.75,455.82,5322
2004-03-30,UNIPHOS,EQ,451.75,460.0,462.0,457.0,457.0,457.65,459.95,1641
2004-03-31,UNIPHOS,EQ,457.65,460.0,462.9,451.55,458.0,459.4,459.9,7332
2004-04-01,UNIPHOS,EQ,459.4,460.0,500.0,460.0,475.0,484.25,486.92,8363
