Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume
2008-05-26,BAJAJ-AUTO,EQ,2101.05,898.0,898.0,551.35,600.25,604.75,624.61,3972485
2008-05-27,BAJAJ-AUTO,EQ,604.75,624.7,639.0,580.3,595.5,593.15,606.43,1751063
2008-05-28,BAJAJ-AUTO,EQ,593.15,561.65,621.9,561.65,605.1,608.15,608.75,1652355
2008-05-29,BAJAJ-AUTO,EQ,608.15,619.4,619.4,576.0,600.0,599.45,600.98,669269
2008-05-30,BAJAJ-AUTO,EQ,599.45,605.4,607.0,538.0,576.25,571.7,565.55,1262117
2008-06-02,BAJAJ-AUTO,EQ,571.7,605.5,615.0,570.7,573.0,580.8,598.3,206640
2008-06-03,BAJAJ-AUTO,EQ,580.8,596.0,602.0,555.15,577.0,579.7,575.83,157283
2008-06-04,BAJAJ-AUTO,EQ,579.7,597.85,597.85,547.5,550.0,552.1,563.64,326450
2008-06-05,BAJAJ-AUTO,EQ,552.1,553.0,588.8,532.4,548.0,562.4,560.7,238915
2008-06-06,BAJAJ-AUTO,EQ,562.4,567.0,574.7,544.4,572.0,568.8,564.38,73920
2008-06-09,BAJAJ-AUTO,EQ,568.8,575.0,575.0,524.0,552.0,548.8,545.82,321199
2008-06-10,BAJAJ-AUTO,EQ,548.8,575.5,575.5,547.0,550.0,550.4,551.58,58118
2008-06-11,BAJAJ-AUTO,EQ,550.4,560.0,560.0,528.0,528.2,530.5,536.09,87793
2008-06-12,BAJAJ-AUTO,EQ,530.5,511.0,527.0,510.7,520.0,519.45,518.85,50729
2008-06-13,BAJAJ-AUTO,EQ,519.45,514.25,525.0,501.2,508.0,505.9,508.57,123934
2008-06-16,BAJAJ-AUTO,EQ,505.9,510.0,518.0,489.45,491.8,494.65,503.45,61592
2008-06-17,BAJAJ-AUTO,EQ,494.65,490.45,510.0,482.6,505.0,506.7,500.42,71476
2008-06-18,BAJAJ-AUTO,EQ,506.7,510.1,531.0,500.0,514.95,516.45,514.41,105505
2008-06-19,BAJAJ-AUTO,EQ,516.45,500.2,527.0,500.2,507.65,512.55,516.94,140483
2008-06-20,BAJAJ-AUTO,EQ,512.55,507.0,519.0,493.6,515.0,512.1,506.49,76656
2008-06-23,BAJAJ-AUTO,EQ,512.1,500.0,514.9,499.0,499.0,502.3,503.85,89888
2008-06-24,BAJAJ-AUTO,EQ,502.3,495.0,506.0,471.15,485.0,479.0,496.3,174131
2008-06-25,BAJAJ-AUTO,EQ,479.0,450.0,502.0,450.0,493.15,497.3,489.76,72533
2008-06-26,BAJAJ-AUTO,EQ,497.3,519.9,519.9,469.05,491.3,488.95,480.09,185234
2008-06-27,BAJAJ-AUTO,EQ,488.95,465.9,476.85,435.0,440.1,453.95,452.97,260609
2008-06-30,BAJAJ-AUTO,EQ,453.95,454.0,459.95,445.35,451.0,450.35,452.65,115006
2008-07-01,BAJAJ-AUTO,EQ,450.35,450.0,457.0,433.0,449.0,447.1,446.16,170197
2008-07-02,BAJAJ-AUTO,EQ,447.1,430.15,457.95,430.15,448.0,453.5,449.32,245296
2008-07-03,BAJAJ-AUTO,EQ,453.5,445.0,448.0,390.15,410.0,408.6,428.09,308168
2008-07-04,BAJAJ-AUTO,EQ,408.6,403.5,433.0,401.0,420.0,421.0,420.56,62087
2008-07-07,BAJAJ-AUTO,EQ,421.0,425.0,441.0,425.0,437.0,435.5,434.46,130708
2008-07-08,BAJAJ-AUTO,EQ,435.5,418.1,439.9,414.0,439.8,434.5,424.58,262122
2008-07-09,BAJAJ-AUTO,EQ,434.5,446.0,456.9,440.0,452.0,451.75,451.6,104747
2008-07-10,BAJAJ-AUTO,EQ,451.75,450.0,532.0,441.05,530.0,498.45,468.17,247021
2008-07-11,BAJAJ-AUTO,EQ,498.45,508.0,508.1,482.0,500.0,499.95,499.51,135338
2008-07-14,BAJAJ-AUTO,EQ,499.95,515.0,515.0,481.0,502.0,501.65,495.97,110414
2008-07-15,BAJAJ-AUTO,EQ,501.65,480.35,497.8,477.0,484.95,479.85,485.46,44758
2008-07-16,BAJAJ-AUTO,EQ,479.85,500.0,500.0,444.15,452.3,455.0,450.71,412815
2008-07-17,BAJAJ-AUTO,EQ,455.0,475.0,484.95,461.0,465.0,467.6,465.34,124802
2008-07-18,BAJAJ-AUTO,EQ,467.6,461.0,473.0,455.0,464.0,464.1,465.0,71613
2008-07-21,BAJAJ-AUTO,EQ,464.1,474.0,505.0,470.0,505.0,498.9,491.02,323713
2008-07-22,BAJAJ-AUTO,EQ,498.9,490.15,504.0,485.05,495.0,495.05,495.38,25042
2008-07-23,BAJAJ-AUTO,EQ,495.05,514.15,529.0,498.0,528.95,519.0,511.97,116969
2008-07-24,BAJAJ-AUTO,EQ,519.0,506.2,534.0,506.2,521.5,520.65,521.24,26647
2008-07-25,BAJAJ-AUTO,EQ,520.65,503.25,525.0,503.25,511.25,509.95,516.79,54204
2008-07-28,BAJAJ-AUTO,EQ,509.95,500.25,524.7,500.25,520.0,515.55,514.8,30877
2008-07-29,BAJAJ-AUTO,EQ,515.55,506.0,515.0,501.35,510.0,509.4,508.48,9914
2008-07-30,BAJAJ-AUTO,EQ,509.4,483.95,524.95,483.95,520.0,519.75,515.57,8670
2008-07-31,BAJAJ-AUTO,EQ,519.75,501.15,539.0,494.6,539.0,533.7,527.66,44391
2008-08-01,BAJAJ-AUTO,EQ,533.7,516.0,532.9,507.0,507.0,517.65,519.79,238858
2008-08-04,BAJAJ-AUTO,EQ,517.65,510.05,524.0,510.0,520.0,519.0,516.44,14815
2008-08-05,BAJAJ-AUTO,EQ,519.0,505.7,530.0,501.0,521.55,526.6,517.14,585044
2008-08-06,BAJAJ-AUTO,EQ,526.6,525.1,571.4,525.1,557.1,562.25,553.94,107023
2008-08-07,BAJAJ-AUTO,EQ,562.25,566.0,574.4,545.0,558.25,560.05,557.51,55986
2008-08-08,BAJAJ-AUTO,EQ,560.05,551.2,569.0,548.0,548.0,551.9,556.98,15983
2008-08-11,BAJAJ-AUTO,EQ,551.9,554.0,577.0,552.0,562.0,569.35,570.43,24326
2008-08-12,BAJAJ-AUTO,EQ,569.35,569.85,574.9,548.5,555.0,553.35,562.66,16393
2008-08-13,BAJAJ-AUTO,EQ,553.35,543.0,575.0,542.25,568.1,570.9,562.65,27582
2008-08-14,BAJAJ-AUTO,EQ,570.9,562.05,571.0,555.15,566.0,565.85,562.71,132460
2008-08-18,BAJAJ-AUTO,EQ,565.85,554.85,560.0,532.95,545.0,551.4,542.36,104270
2008-08-19,BAJAJ-AUTO,EQ,551.4,554.8,554.85,532.25,548.0,547.45,547.52,20292
2008-08-20,BAJAJ-AUTO,EQ,547.45,537.15,573.0,537.15,540.5,544.25,549.67,25318
2008-08-21,BAJAJ-AUTO,EQ,544.25,535.0,555.0,512.0,515.0,520.15,538.11,18332
2008-08-22,BAJAJ-AUTO,EQ,520.15,506.1,543.0,506.1,534.95,531.85,532.31,167796
2008-08-25,BAJAJ-AUTO,EQ,531.85,570.0,570.0,527.15,540.0,541.9,545.28,38359
2008-08-26,BAJAJ-AUTO,EQ,541.9,541.0,550.0,530.1,550.0,549.05,537.62,410862
2008-08-27,BAJAJ-AUTO,EQ,549.05,554.9,585.0,548.8,575.0,578.8,568.55,473832
2008-08-28,BAJAJ-AUTO,EQ,578.8,576.0,590.0,564.0,585.0,583.7,582.66,371006
2008-08-29,BAJAJ-AUTO,EQ,583.7,578.0,590.25,568.7,588.0,588.2,588.22,133642
2008-09-01,BAJAJ-AUTO,EQ,588.2,584.3,590.0,572.65,589.0,585.8,584.33,166626
2008-09-02,BAJAJ-AUTO,EQ,585.8,594.3,608.0,587.0,607.0,603.05,598.85,331224
2008-09-04,BAJAJ-AUTO,EQ,603.05,593.6,618.0,590.0,614.25,610.3,602.33,238887
2008-09-05,BAJAJ-AUTO,EQ,610.3,609.55,614.95,591.15,612.0,606.95,605.51,126692
2008-09-08,BAJAJ-AUTO,EQ,606.95,612.0,618.9,596.05,597.1,598.9,607.64,24334
2008-09-09,BAJAJ-AUTO,EQ,598.9,587.15,605.0,585.2,595.0,592.15,595.4,39601
2008-09-10,BAJAJ-AUTO,EQ,592.15,590.0,624.9,587.3,620.0,619.6,615.78,217186
2008-09-11,BAJAJ-AUTO,EQ,619.6,616.0,622.0,610.0,615.5,617.2,615.25,285350
2008-09-12,BAJAJ-AUTO,EQ,617.2,619.95,641.9,607.6,630.0,632.4,634.67,237619
2008-09-15,BAJAJ-AUTO,EQ,632.4,606.7,624.45,606.7,615.0,615.25,615.15,79035
2008-09-16,BAJAJ-AUTO,EQ,615.25,605.25,622.5,602.0,620.05,620.5,615.52,71804
2008-09-17,BAJAJ-AUTO,EQ,620.5,609.1,625.0,587.1,591.7,608.55,617.82,96066
2008-09-18,BAJAJ-AUTO,EQ,608.55,572.0,629.5,559.0,619.95,617.15,600.0,151516
2008-09-19,BAJAJ-AUTO,EQ,617.15,625.0,625.0,602.3,608.9,607.8,612.32,269723
2008-09-22,BAJAJ-AUTO,EQ,607.8,606.0,618.95,603.0,604.0,607.5,608.06,60266
2008-09-23,BAJAJ-AUTO,EQ,607.5,611.8,611.8,587.25,600.0,605.8,596.97,164644
2008-09-24,BAJAJ-AUTO,EQ,605.8,593.5,611.0,561.1,564.95,581.4,602.82,228942
2008-09-25,BAJAJ-AUTO,EQ,581.4,569.95,609.9,561.5,600.0,598.75,585.66,91059
2008-09-26,BAJAJ-AUTO,EQ,598.75,586.5,599.8,586.5,587.05,591.6,593.07,114852
2008-09-29,BAJAJ-AUTO,EQ,591.6,590.0,597.85,559.0,572.0,571.0,575.81,101895
2008-09-30,BAJAJ-AUTO,EQ,571.0,548.0,609.9,535.25,609.9,594.9,591.75,260167
2008-10-01,BAJAJ-AUTO,EQ,594.9,601.0,617.0,571.3,599.95,600.05,600.72,54337
2008-10-03,BAJAJ-AUTO,EQ,600.05,581.35,598.7,570.25,571.0,576.95,593.21,54130
2008-10-06,BAJAJ-AUTO,EQ,576.95,556.0,600.0,556.0,575.0,574.3,585.99,153780
2008-10-07,BAJAJ-AUTO,EQ,574.3,579.05,601.0,560.2,584.0,582.65,579.43,46113
2008-10-08,BAJAJ-AUTO,EQ,582.65,555.0,571.95,496.0,535.55,544.15,537.81,86133
2008-10-10,BAJAJ-AUTO,EQ,544.15,501.1,524.9,425.0,425.0,462.65,500.2,208322
2008-10-13,BAJAJ-AUTO,EQ,462.65,457.0,527.9,450.0,511.0,514.5,500.36,153103
2008-10-14,BAJAJ-AUTO,EQ,514.5,527.0,590.65,525.0,534.0,540.6,557.36,183201
2008-10-15,BAJAJ-AUTO,EQ,540.6,523.05,545.0,459.5,544.0,529.2,498.19,156439
2008-10-16,BAJAJ-AUTO,EQ,529.2,499.3,550.0,499.3,534.0,535.45,535.83,179097
2008-10-17,BAJAJ-AUTO,EQ,535.45,515.15,549.85,507.0,530.0,523.65,531.52,25061
2008-10-20,BAJAJ-AUTO,EQ,523.65,544.0,560.0,511.4,560.0,541.5,531.89,176178
2008-10-21,BAJAJ-AUTO,EQ,541.5,536.0,565.0,533.8,565.0,560.9,548.85,15724
2008-10-22,BAJAJ-AUTO,EQ,560.9,543.5,563.9,524.95,543.75,538.75,542.79,31760
2008-10-23,BAJAJ-AUTO,EQ,538.75,526.0,544.8,502.0,542.8,529.95,528.42,22196
2008-10-24,BAJAJ-AUTO,EQ,529.95,516.05,526.0,456.05,479.9,464.9,476.43,232905
2008-10-27,BAJAJ-AUTO,EQ,464.9,455.05,480.0,435.0,465.0,468.2,461.98,200647
2008-10-28,BAJAJ-AUTO,EQ,468.2,551.9,551.9,485.0,508.3,505.35,502.82,4966
2008-10-29,BAJAJ-AUTO,EQ,505.35,507.0,555.0,481.0,530.0,531.05,523.97,106956
2008-10-31,BAJAJ-AUTO,EQ,531.05,555.0,563.0,535.2,540.0,544.9,548.83,691150
2008-11-03,BAJAJ-AUTO,EQ,544.9,550.0,550.0,495.0,500.0,498.45,531.13,1066998
