Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume
2010-11-04,COALINDIA,EQ,245.0,291.0,344.9,291.0,342.0,342.55,327.29,479716245
2010-11-05,COALINDIA,EQ,342.55,343.0,356.5,343.0,348.3,349.85,349.78,31927173
2010-11-08,COALINDIA,EQ,349.85,351.8,355.9,329.5,331.4,330.75,335.19,46932779
2010-11-09,COALINDIA,EQ,330.75,330.15,333.4,325.0,325.4,326.05,327.75,23741956
2010-11-10,COALINDIA,EQ,326.05,325.4,327.8,320.05,321.3,322.8,323.78,21057129
2010-11-11,COALINDIA,EQ,322.8,323.0,336.95,321.85,329.6,328.55,331.43,26548372
2010-11-12,COALINDIA,EQ,328.55,330.0,332.95,318.0,320.55,320.15,325.77,15004107
2010-11-15,COALINDIA,EQ,320.15,321.2,322.9,315.05,318.1,317.2,319.39,9917395
2010-11-16,COALINDIA,EQ,317.2,320.0,323.95,316.1,317.5,318.05,319.21,12100114
2010-11-18,COALINDIA,EQ,318.05,319.6,328.95,310.0,327.3,326.9,319.09,23983896
2010-11-19,COALINDIA,EQ,326.9,330.25,339.95,328.1,329.0,333.55,335.77,51723739
2010-11-22,COALINDIA,EQ,333.55,336.0,337.0,315.0,333.4,333.35,334.26,11494521
2010-11-23,COALINDIA,EQ,333.35,330.5,332.4,317.5,320.0,320.15,325.22,13147667
2010-11-24,COALINDIA,EQ,320.15,329.35,329.35,310.0,310.7,310.8,314.45,16243562
2010-11-25,COALINDIA,EQ,310.8,314.0,318.35,311.1,313.75,313.2,314.49,6489260
2010-11-26,COALINDIA,EQ,313.2,315.0,316.0,301.0,313.5,312.7,309.3,13657322
2010-11-29,COALINDIA,EQ,312.7,311.4,319.7,308.2,319.0,317.45,314.03,6493219
2010-11-30,COALINDIA,EQ,317.45,315.0,319.0,312.0,318.4,317.25,315.44,6050064
2010-12-01,COALINDIA,EQ,317.25,317.0,322.5,315.0,321.3,320.95,319.53,5053942
2010-12-02,COALINDIA,EQ,320.95,322.2,325.95,321.15,324.5,324.85,324.09,6143344
2010-12-03,COALINDIA,EQ,324.85,318.1,325.7,318.1,322.9,321.95,321.8,2453815
2010-12-06,COALINDIA,EQ,321.95,321.0,324.9,318.5,320.3,320.4,321.82,2895539
2010-12-07,COALINDIA,EQ,320.4,320.5,322.75,317.25,320.0,320.0,320.36,3484977
2010-12-08,COALINDIA,EQ,320.0,318.6,322.7,317.25,318.5,318.85,318.73,2877153
2010-12-09,COALINDIA,EQ,318.85,318.0,320.0,309.0,313.6,313.2,312.44,5313081
2010-12-10,COALINDIA,EQ,313.2,312.0,322.0,312.0,316.45,317.3,317.81,5799900
2010-12-13,COALINDIA,EQ,317.3,318.0,324.35,317.0,323.55,323.15,321.02,2809522
2010-12-14,COALINDIA,EQ,323.15,324.45,331.0,322.75,325.3,325.3,327.29,7075931
2010-12-15,COALINDIA,EQ,325.3,325.6,330.0,323.0,328.1,327.85,327.66,5380352
2010-12-16,COALINDIA,EQ,327.85,326.75,327.0,317.4,320.5,320.7,321.06,2893052
2010-12-20,COALINDIA,EQ,320.7,323.0,323.0,315.05,315.15,316.0,317.6,2905355
2010-12-21,COALINDIA,EQ,316.0,318.8,318.8,311.2,312.75,313.3,314.05,4427901
2010-12-22,COALINDIA,EQ,313.3,315.1,319.7,312.7,313.2,314.05,315.48,5425074
2010-12-23,COALINDIA,EQ,314.05,315.05,315.95,312.0,312.45,312.95,314.09,3326534
2010-12-24,COALINDIA,EQ,312.95,313.0,313.9,310.1,312.2,312.15,312.17,1859093
2010-12-27,COALINDIA,EQ,312.15,312.15,314.3,306.5,307.0,307.3,308.98,5273320
2010-12-28,COALINDIA,EQ,307.3,308.0,309.95,301.0,304.4,303.75,303.82,8055446
2010-12-29,COALINDIA,EQ,303.75,306.1,311.4,304.3,310.0,310.25,308.24,5772875
2010-12-30,COALINDIA,EQ,310.25,311.0,311.6,307.0,308.2,308.05,308.24,2643251
2010-12-31,COALINDIA,EQ,308.05,309.5,316.45,308.3,314.0,314.75,314.43,4960987
2011-01-03,COALINDIA,EQ,314.75,315.5,318.0,314.55,317.55,317.3,316.32,2929118
2011-01-04,COALINDIA,EQ,317.3,318.9,320.0,316.05,318.9,319.2,318.63,2716995
2011-01-05,COALINDIA,EQ,319.2,320.0,320.0,308.25,309.6,309.8,310.61,8555905
2011-01-06,COALINDIA,EQ,309.8,311.0,313.0,308.5,309.0,309.1,310.08,2763146
2011-01-07,COALINDIA,EQ,309.1,310.0,313.5,302.15,308.3,309.1,309.85,2298583
2011-01-10,COALINDIA,EQ,309.1,309.9,310.0,302.1,306.8,305.15,304.45,5413595
2011-01-11,COALINDIA,EQ,305.15,306.0,312.95,306.0,309.9,309.05,309.83,2781948
2011-01-12,COALINDIA,EQ,309.05,309.9,312.9,306.25,308.5,308.5,307.99,1181115
2011-01-13,COALINDIA,EQ,308.5,309.4,313.95,307.5,310.0,310.45,310.57,2070696
2011-01-14,COALINDIA,EQ,310.45,310.45,315.5,307.95,310.0,310.5,312.62,2244505
2011-01-17,COALINDIA,EQ,310.5,307.25,314.0,306.2,312.7,313.15,312.84,1707118
2011-01-18,COALINDIA,EQ,313.15,313.5,313.95,308.0,310.85,311.15,311.49,844507
2011-01-19,COALINDIA,EQ,311.15,311.0,312.7,307.95,308.8,309.4,311.03,1426048
2011-01-20,COALINDIA,EQ,309.4,308.8,319.2,308.1,316.2,315.7,315.56,6121175
2011-01-21,COALINDIA,EQ,315.7,316.45,316.45,312.0,314.5,314.15,314.12,2413133
2011-01-24,COALINDIA,EQ,314.15,314.9,314.9,309.0,309.7,310.45,312.36,1097986
2011-01-25,COALINDIA,EQ,310.45,311.0,315.7,308.55,309.1,310.0,313.31,2452476
2011-01-27,COALINDIA,EQ,310.0,311.0,312.9,307.2,308.0,308.3,309.52,2455783
2011-01-28,COALINDIA,EQ,308.3,307.05,309.7,303.05,303.9,305.05,306.12,4236476
2011-01-31,COALINDIA,EQ,305.05,302.0,307.5,300.55,304.7,304.35,304.25,3673855
2011-02-01,COALINDIA,EQ,304.35,305.5,309.85,303.5,308.55,308.3,306.86,4863055
2011-02-02,COALINDIA,EQ,308.3,310.1,314.9,308.55,313.0,312.5,310.45,3374631
2011-02-03,COALINDIA,EQ,312.5,311.0,320.0,310.9,316.2,317.35,317.07,4211492
2011-02-04,COALINDIA,EQ,317.35,317.35,318.1,307.0,308.95,308.15,310.74,1688679
2011-02-07,COALINDIA,EQ,308.15,309.4,310.45,304.15,304.75,304.65,306.13,1799233
2011-02-08,COALINDIA,EQ,304.65,306.9,307.45,296.2,301.9,301.4,301.99,3841730
2011-02-09,COALINDIA,EQ,301.4,302.0,307.85,297.0,299.0,298.7,301.26,4490558
2011-02-10,COALINDIA,EQ,298.7,300.1,304.0,293.25,298.05,297.65,298.44,2690945
2011-02-11,COALINDIA,EQ,297.65,298.1,305.0,298.0,304.5,304.6,302.62,3292240
2011-02-14,COALINDIA,EQ,304.6,306.0,307.0,300.1,302.25,302.8,304.03,1942474
2011-02-15,COALINDIA,EQ,302.8,304.5,307.85,302.0,302.3,302.45,304.53,3035367
2011-02-16,COALINDIA,EQ,302.45,304.25,304.45,300.45,301.05,301.1,301.79,1619527
2011-02-17,COALINDIA,EQ,301.1,302.95,306.4,302.0,305.5,305.05,303.78,2752128
2011-02-18,COALINDIA,EQ,305.05,303.9,305.2,300.1,301.8,302.35,302.99,1990388
2011-02-21,COALINDIA,EQ,302.35,301.5,303.9,300.0,303.2,301.85,301.5,953044
2011-02-22,COALINDIA,EQ,301.85,302.5,303.5,300.3,301.1,301.35,301.73,1436876
2011-02-23,COALINDIA,EQ,301.35,302.4,302.4,299.0,300.55,300.65,300.4,2131294
2011-02-24,COALINDIA,EQ,300.65,301.4,303.0,298.25,299.0,299.3,300.02,2899140
2011-02-25,COALINDIA,EQ,299.3,300.1,303.0,289.0,292.7,292.65,293.62,1964843
2011-02-28,COALINDIA,EQ,292.65,299.0,331.75,296.1,326.25,327.7,323.49,20923045
2011-03-01,COALINDIA,EQ,327.7,325.0,339.9,320.65,339.15,338.6,332.26,7867356
2011-03-03,COALINDIA,EQ,338.6,338.0,338.0,327.2,328.25,329.05,331.24,4387230
2011-03-04,COALINDIA,EQ,329.05,332.7,334.95,323.25,325.1,324.25,328.02,1402888
2011-03-07,COALINDIA,EQ,324.25,322.0,343.55,318.4,340.4,341.0,333.68,7183263
2011-03-08,COALINDIA,EQ,341.0,343.0,344.5,335.35,336.25,337.25,339.58,3110206
2011-03-09,COALINDIA,EQ,337.25,339.8,341.2,336.05,338.1,339.55,338.86,1603527
2011-03-10,COALINDIA,EQ,339.55,339.8,339.8,329.75,335.05,334.3,333.03,1612997
2011-03-11,COALINDIA,EQ,334.3,334.95,335.0,328.1,329.1,329.95,331.22,856545
2011-03-14,COALINDIA,EQ,329.95,330.9,335.75,327.05,333.6,333.8,333.39,1128910
2011-03-15,COALINDIA,EQ,333.8,329.0,342.9,320.15,336.8,338.45,336.4,4638465
2011-03-16,COALINDIA,EQ,338.45,339.1,347.9,333.5,342.75,343.9,344.62,3717632
2011-03-17,COALINDIA,EQ,343.9,342.0,347.5,338.5,342.6,342.95,344.01,1815524
2011-03-18,COALINDIA,EQ,342.95,343.5,347.0,337.6,345.0,344.4,342.17,2926170
2011-03-21,COALINDIA,EQ,344.4,343.35,349.9,343.3,347.0,347.15,347.0,3943734
2011-03-22,COALINDIA,EQ,347.15,347.5,371.4,347.4,359.5,360.0,361.24,9681241
2011-03-23,COALINDIA,EQ,360.0,361.0,363.8,352.05,353.25,353.9,356.27,2695567
2011-03-24,COALINDIA,EQ,353.9,353.9,361.35,353.9,358.3,358.3,358.43,2324343
2011-03-25,COALINDIA,EQ,358.3,360.0,362.0,356.55,357.4,358.1,359.8,2203586
2011-03-28,COALINDIA,EQ,358.1,359.85,360.0,349.35,350.25,350.95,353.77,1128268
2011-03-29,COALINDIA,EQ,350.95,352.0,352.0,340.65,345.65,346.25,343.83,6481785
2011-03-30,COALINDIA,EQ,346.25,347.0,350.5,340.1,340.35,341.4,344.66,2449230
2011-03-31,COALINDIA,EQ,341.4,342.4,348.9,341.4,345.5,346.5,344.65,3248352
2011-04-01,COALINDIA,EQ,346.5,347.0,348.5,342.6,346.0,346.9,345.31,2169798
2011-04-04,COALINDIA,EQ,346.9,347.35,360.95,345.35,355.2,355.95,356.66,2719239
2011-04-05,COALINDIA,EQ,355.95,351.1,361.0,351.1,359.3,358.75,357.63,1328250
