Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume
2000-01-03,HINDLEVER,EQ,2136.6,2300.0,2307.55,2300.0,2307.55,2307.55,2307.08,24903
2000-01-04,HINDLEVER,EQ,2307.55,2381.0,2381.0,2250.0,2270.0,2281.05,2298.15,58514
2000-01-05,HINDLEVER,EQ,2281.05,2200.0,2250.0,2105.0,2183.5,2199.9,2211.17,80296
2000-01-06,HINDLEVER,EQ,2199.9,2224.9,2360.0,2210.0,2300.0,2288.2,2301.8,190032
2000-01-07,HINDLEVER,EQ,2288.2,2300.0,2452.0,2282.25,2395.0,2412.95,2380.24,192582
2000-01-10,HINDLEVER,EQ,2412.95,2445.0,2499.0,2410.0,2440.0,2431.25,2464.07,86591
2000-01-11,HINDLEVER,EQ,2431.25,2450.0,2529.0,2390.0,2450.0,2485.8,2460.27,134411
2000-01-12,HINDLEVER,EQ,2485.8,2500.0,2684.7,2490.0,2684.7,2647.8,2579.17,177057
2000-01-13,HINDLEVER,EQ,2647.8,2699.0,2859.65,2650.0,2783.0,2786.65,2804.4,254508
2000-01-14,HINDLEVER,EQ,2786.65,2750.0,2777.0,2650.0,2697.05,2702.1,2706.88,120240
2000-01-17,HINDLEVER,EQ,2702.1,2748.9,2750.0,2545.1,2600.0,2598.25,2609.45,96539
2000-01-18,HINDLEVER,EQ,2598.25,2597.0,2608.0,2546.0,2570.0,2561.45,2569.03,89439
2000-01-19,HINDLEVER,EQ,2561.45,2575.0,2600.0,2501.0,2522.0,2528.95,2544.73,118666
2000-01-20,HINDLEVER,EQ,2528.95,2525.0,2535.0,2515.0,2525.0,2524.4,2527.08,121559
2000-01-21,HINDLEVER,EQ,2524.4,2540.0,2595.0,2536.6,2550.0,2548.1,2551.42,75012
2000-01-24,HINDLEVER,EQ,2548.1,2550.0,2649.0,2541.0,2575.0,2578.5,2587.48,71199
2000-01-25,HINDLEVER,EQ,2578.5,2597.7,2597.7,2546.0,2550.0,2552.05,2558.39,54093
2000-01-27,HINDLEVER,EQ,2552.05,2620.0,2680.0,2539.0,2560.0,2559.65,2571.43,92647
2000-01-28,HINDLEVER,EQ,2559.65,2525.0,2564.8,2490.0,2496.0,2523.75,2546.01,46421
2000-01-31,HINDLEVER,EQ,2523.75,2445.0,2494.0,2401.0,2433.5,2440.0,2445.59,69079
2000-02-01,HINDLEVER,EQ,2440.0,2415.0,2415.0,2285.0,2315.0,2326.7,2328.27,117442
2000-02-02,HINDLEVER,EQ,2326.7,2400.0,2499.0,2375.0,2427.0,2406.95,2422.46,98325
2000-02-03,HINDLEVER,EQ,2406.95,2428.0,2451.0,2359.0,2430.0,2437.9,2431.79,58365
2000-02-04,HINDLEVER,EQ,2437.9,2439.8,2439.8,2325.0,2340.0,2346.75,2371.86,33380
2000-02-07,HINDLEVER,EQ,2346.75,2345.0,2355.0,2275.0,2309.0,2308.95,2325.87,36764
2000-02-08,HINDLEVER,EQ,2308.95,2300.0,2334.5,2300.0,2303.0,2306.95,2317.1,41790
2000-02-09,HINDLEVER,EQ,2306.95,2440.0,2480.0,2365.0,2419.0,2418.1,2405.02,67504
2000-02-10,HINDLEVER,EQ,2418.1,2381.25,2445.0,2320.0,2320.0,2331.1,2359.98,87892
2000-02-11,HINDLEVER,EQ,2331.1,2395.0,2449.9,2307.0,2370.0,2376.5,2359.1,156867
2000-02-14,HINDLEVER,EQ,2376.5,2370.0,2415.0,2297.0,2301.0,2300.3,2318.04,57803
2000-02-15,HINDLEVER,EQ,2300.3,2310.0,2359.85,2280.0,2300.0,2302.0,2321.31,71513
2000-02-16,HINDLEVER,EQ,2302.0,2400.0,2410.0,2300.0,2314.95,2311.05,2339.27,90729
2000-02-17,HINDLEVER,EQ,2311.05,2347.0,2347.0,2310.0,2325.0,2327.05,2327.82,62080
2000-02-18,HINDLEVER,EQ,2327.05,2327.9,2513.25,2315.0,2513.25,2513.0,2428.76,238060
2000-02-21,HINDLEVER,EQ,2513.0,2664.0,2714.05,2601.0,2714.05,2714.05,2706.6,343736
2000-02-22,HINDLEVER,EQ,2714.05,2920.0,2931.2,2920.0,2931.2,2931.2,2931.18,115349
2000-02-23,HINDLEVER,EQ,2931.2,3165.7,3165.7,2765.0,2900.0,2875.9,3028.73,554204
2000-02-24,HINDLEVER,EQ,2875.9,2998.0,3106.0,2925.0,3106.0,3086.75,3027.54,285232
2000-02-25,HINDLEVER,EQ,3086.75,3110.1,3234.0,3050.0,3130.0,3141.25,3166.54,224740
2000-02-28,HINDLEVER,EQ,3141.25,3130.0,3145.0,3000.0,3050.0,3055.55,3064.51,152502
2000-02-29,HINDLEVER,EQ,3055.55,3100.0,3100.0,2814.05,2870.0,2864.2,2969.05,293524
2000-03-01,HINDLEVER,EQ,2864.2,2849.0,3064.0,2675.05,2984.25,2990.7,2910.11,261952
2000-03-02,HINDLEVER,EQ,2990.7,3040.0,3053.0,2780.0,2788.0,2817.8,2892.11,163144
2000-03-03,HINDLEVER,EQ,2817.8,2735.4,2735.4,2592.4,2600.0,2593.6,2629.34,192746
2000-03-06,HINDLEVER,EQ,2593.6,2504.0,2670.0,2412.0,2472.0,2473.2,2517.08,151123
2000-03-07,HINDLEVER,EQ,2473.2,2470.0,2599.85,2380.0,2465.0,2482.5,2481.71,196850
2000-03-08,HINDLEVER,EQ,2482.5,2626.0,2650.0,2442.0,2490.0,2492.3,2546.19,173402
2000-03-09,HINDLEVER,EQ,2492.3,2505.0,2540.0,2301.0,2375.0,2402.1,2389.22,139584
2000-03-10,HINDLEVER,EQ,2402.1,2400.0,2500.0,2326.0,2386.0,2362.7,2401.79,136320
2000-03-13,HINDLEVER,EQ,2362.7,2410.1,2549.25,2401.0,2529.9,2519.2,2488.94,140890
2000-03-14,HINDLEVER,EQ,2519.2,2540.0,2720.0,2510.0,2719.9,2668.15,2630.06,247893
2000-03-15,HINDLEVER,EQ,2668.15,2700.0,2881.6,2650.0,2881.6,2881.6,2830.77,112981
2000-03-16,HINDLEVER,EQ,2881.6,2900.1,3040.0,2850.0,2928.0,2916.25,2933.29,216647
2000-03-21,HINDLEVER,EQ,2916.25,2950.0,2980.0,2790.0,2819.9,2828.6,2846.52,157588
2000-03-22,HINDLEVER,EQ,2828.6,2817.0,2844.0,2602.35,2680.0,2714.0,2688.64,155771
2000-03-23,HINDLEVER,EQ,2714.0,2700.0,2700.0,2602.0,2648.0,2640.75,2635.46,74447
2000-03-24,HINDLEVER,EQ,2640.75,2650.0,2680.0,2581.0,2619.0,2613.35,2610.41,84951
2000-03-27,HINDLEVER,EQ,2613.35,2649.0,2709.0,2480.0,2492.0,2505.2,2604.67,169319
2000-03-28,HINDLEVER,EQ,2505.2,2498.45,2550.0,2461.0,2519.0,2508.25,2504.11,101103
2000-03-29,HINDLEVER,EQ,2508.25,2587.9,2587.9,2465.0,2465.0,2480.15,2512.25,63303
2000-03-30,HINDLEVER,EQ,2480.15,2480.0,2548.0,2450.0,2510.1,2517.4,2492.17,88897
2000-03-31,HINDLEVER,EQ,2517.4,2500.0,2549.0,2400.0,2425.0,2412.4,2463.81,123249
2000-04-03,HINDLEVER,EQ,2412.4,2450.0,2605.4,2430.0,2605.4,2605.4,2545.89,186997
2000-04-04,HINDLEVER,EQ,2605.4,2609.0,2620.0,2397.0,2397.05,2397.8,2443.69,323019
2000-04-05,HINDLEVER,EQ,2397.8,2350.0,2560.0,2350.0,2527.0,2540.45,2493.94,157981
2000-04-06,HINDLEVER,EQ,2540.45,2560.0,2580.0,2485.0,2542.05,2548.5,2533.0,147927
2000-04-07,HINDLEVER,EQ,2548.5,2550.0,2752.4,2550.0,2745.0,2736.35,2698.96,258812
2000-04-10,HINDLEVER,EQ,2736.35,2750.0,2874.8,2711.0,2728.0,2744.6,2795.05,225922
2000-04-11,HINDLEVER,EQ,2744.6,2701.0,2740.0,2621.0,2725.0,2703.5,2680.32,120573
2000-04-12,HINDLEVER,EQ,2703.5,2640.0,2700.0,2620.0,2628.0,2631.55,2652.65,44684
2000-04-13,HINDLEVER,EQ,2631.55,2560.0,2629.0,2510.0,2575.0,2577.8,2584.0,80558
2000-04-17,HINDLEVER,EQ,2577.8,2510.0,2520.0,2375.0,2478.0,2480.9,2459.07,197236
2000-04-18,HINDLEVER,EQ,2480.9,2509.75,2580.0,2450.0,2472.1,2466.2,2491.65,112777
2000-04-19,HINDLEVER,EQ,2466.2,2515.0,2580.0,2438.0,2500.0,2503.65,2508.63,89773
2000-04-20,HINDLEVER,EQ,2503.65,2524.0,2550.0,2458.0,2524.0,2529.1,2504.06,95716
2000-04-24,HINDLEVER,EQ,2529.1,2550.0,2629.0,2501.0,2530.0,2545.0,2566.6,77702
2000-04-25,HINDLEVER,EQ,2545.0,2509.0,2534.0,2410.0,2432.0,2428.7,2444.89,146420
2000-04-26,HINDLEVER,EQ,2428.7,2550.0,2550.0,2466.0,2496.0,2498.15,2498.0,145449
2000-04-27,HINDLEVER,EQ,2498.15,2515.0,2539.4,2450.0,2475.0,2475.15,2471.19,97942
2000-04-28,HINDLEVER,EQ,2475.15,2489.85,2498.0,2380.0,2390.0,2398.0,2424.86,79075
2000-05-02,HINDLEVER,EQ,2398.0,2381.0,2400.05,2120.0,2182.0,2186.8,2213.32,159659
2000-05-03,HINDLEVER,EQ,2186.8,2150.0,2329.0,2031.0,2191.0,2185.95,2178.54,217796
2000-05-04,HINDLEVER,EQ,2185.95,2218.0,2437.0,2192.0,2420.0,2409.95,2325.99,183204
2000-05-05,HINDLEVER,EQ,2409.95,2430.0,2550.0,2420.0,2530.0,2536.5,2505.93,208601
2000-05-08,HINDLEVER,EQ,2536.5,2511.0,2590.0,2373.1,2398.0,2392.95,2447.08,121137
2000-05-09,HINDLEVER,EQ,2392.95,2372.2,2480.0,2343.0,2479.9,2456.05,2426.24,98629
