Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume
2000-01-03,INDUSINDBK,EQ,26.8,28.9,28.95,28.0,28.95,28.95,28.69,107224
2000-01-04,INDUSINDBK,EQ,28.95,30.85,31.25,27.9,30.6,30.25,29.12,182693
2000-01-05,INDUSINDBK,EQ,30.25,29.9,30.0,27.85,28.45,28.15,28.72,162820
2000-01-06,INDUSINDBK,EQ,28.15,29.25,29.35,27.95,27.95,28.0,28.55,87901
2000-01-07,INDUSINDBK,EQ,28.0,27.2,28.0,26.5,27.2,27.05,27.09,65684
2000-01-10,INDUSINDBK,EQ,27.05,28.0,28.05,27.15,27.45,27.5,27.68,87142
2000-01-11,INDUSINDBK,EQ,27.5,28.0,28.0,26.0,27.0,26.35,26.52,186472
2000-01-12,INDUSINDBK,EQ,26.35,27.4,27.4,26.65,27.3,27.1,26.93,72140
2000-01-13,INDUSINDBK,EQ,27.1,27.0,27.5,26.55,26.8,26.7,27.07,89730
2000-01-14,INDUSINDBK,EQ,26.7,26.5,26.7,25.65,26.0,25.95,26.04,66070
2000-01-17,INDUSINDBK,EQ,25.95,27.95,28.05,27.95,28.05,28.05,28.05,122350
2000-01-18,INDUSINDBK,EQ,28.05,30.25,30.3,27.3,28.0,27.8,28.75,389710
2000-01-19,INDUSINDBK,EQ,27.8,28.5,30.0,27.65,30.0,29.7,28.72,268997
2000-01-20,INDUSINDBK,EQ,29.7,29.9,31.4,29.15,30.9,30.6,30.01,281868
2000-01-21,INDUSINDBK,EQ,30.6,30.9,30.9,29.25,30.5,30.3,29.86,225437
2000-01-24,INDUSINDBK,EQ,30.3,28.6,32.0,28.6,29.05,29.1,29.65,141305
2000-01-25,INDUSINDBK,EQ,29.1,29.0,29.6,28.1,29.5,29.1,28.75,191270
2000-01-27,INDUSINDBK,EQ,29.1,30.5,31.45,30.0,31.45,31.45,31.39,77448
2000-01-28,INDUSINDBK,EQ,31.45,34.0,34.0,34.0,34.0,34.0,34.0,51944
2000-01-31,INDUSINDBK,EQ,34.0,36.5,36.75,36.5,36.75,36.75,36.75,159195
2000-02-01,INDUSINDBK,EQ,36.75,39.65,39.7,35.5,39.7,39.7,39.03,729559
2000-02-02,INDUSINDBK,EQ,39.7,42.9,42.9,42.9,42.9,42.9,42.9,105148
2000-02-03,INDUSINDBK,EQ,42.9,45.7,46.35,40.45,41.0,41.25,43.77,1141249
2000-02-04,INDUSINDBK,EQ,41.25,42.0,42.0,37.95,38.5,38.7,39.07,507695
2000-02-07,INDUSINDBK,EQ,38.7,38.9,41.25,36.35,39.6,40.45,39.17,543292
2000-02-08,INDUSINDBK,EQ,40.45,39.0,40.0,37.25,37.25,37.25,37.87,312719
2000-02-09,INDUSINDBK,EQ,37.25,35.0,37.0,34.3,34.3,34.3,34.83,312438
2000-02-10,INDUSINDBK,EQ,34.3,32.0,36.35,32.0,36.25,35.7,34.28,277726
2000-02-11,INDUSINDBK,EQ,35.7,36.9,38.6,33.8,38.6,36.75,35.81,303244
2000-02-14,INDUSINDBK,EQ,36.75,37.0,39.7,36.0,39.7,39.45,39.08,487791
2000-02-15,INDUSINDBK,EQ,39.45,39.0,39.5,36.5,36.75,36.95,37.65,267457
