Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume
2004-06-23,LT,EQ,2.0,500.0,745.0,150.0,638.0,635.95,627.71,2699293
2004-06-24,LT,EQ,635.95,630.0,630.0,608.4,612.0,616.0,618.21,913575
2004-06-25,LT,EQ,616.0,619.0,679.0,616.1,665.0,668.3,658.45,1637383
2004-06-28,LT,EQ,668.3,660.0,671.9,640.2,653.0,656.4,657.39,913349
2004-06-29,LT,EQ,656.4,656.0,683.4,653.0,666.85,671.7,675.11,743063
2004-06-30,LT,EQ,671.7,672.0,700.0,670.0,697.85,695.15,690.66,722230
2004-07-01,LT,EQ,695.15,702.0,765.0,690.1,764.0,745.2,726.59,1582574
2004-07-02,LT,EQ,745.2,745.0,780.0,724.65,727.0,730.5,753.03,2988945
2004-07-05,LT,EQ,730.5,728.2,743.5,711.1,714.0,719.05,726.0,1272188
2004-07-06,LT,EQ,719.05,721.8,738.0,715.3,727.9,729.6,726.59,1081518
2004-07-07,LT,EQ,729.6,733.0,739.0,725.2,726.3,727.7,733.01,603840
2004-07-08,LT,EQ,727.7,730.0,742.0,695.7,710.0,711.95,728.55,582272
2004-07-09,LT,EQ,711.95,695.0,748.0,625.0,744.0,744.75,730.56,564885
2004-07-12,LT,EQ,744.75,744.0,752.0,717.5,720.0,724.25,732.69,344052
2004-07-13,LT,EQ,724.25,727.7,739.9,720.0,737.9,731.15,728.34,236313
2004-07-14,LT,EQ,731.15,738.0,740.0,712.15,716.75,716.8,725.46,268530
2004-07-15,LT,EQ,716.8,725.0,732.0,715.0,726.0,724.4,724.59,203453
2004-07-16,LT,EQ,724.4,727.8,763.9,727.0,754.9,755.95,752.54,820709
2004-07-19,LT,EQ,755.95,758.8,777.0,748.0,764.0,765.15,765.87,776088
2004-07-20,LT,EQ,765.15,762.0,799.0,756.0,791.15,792.8,783.49,1624418
2004-07-21,LT,EQ,792.8,795.0,806.2,776.15,785.0,796.3,798.03,1116756
2004-07-22,LT,EQ,796.3,794.8,806.7,775.25,781.0,784.2,795.51,674330
2004-07-23,LT,EQ,784.2,784.0,789.0,765.2,778.0,775.65,773.5,566045
2004-07-26,LT,EQ,775.65,760.0,783.7,755.0,776.3,774.9,772.17,678799
2004-07-27,LT,EQ,774.9,779.95,797.0,755.2,791.3,790.45,787.18,402026
2004-07-28,LT,EQ,790.45,805.0,835.0,770.0,771.0,771.7,780.84,341758
2004-07-29,LT,EQ,771.7,775.0,783.1,772.2,777.5,776.75,777.19,289202
2004-07-30,LT,EQ,776.75,783.0,789.7,768.85,775.0,774.7,780.97,348355
2004-08-02,LT,EQ,774.7,781.5,784.9,750.5,760.1,760.05,765.67,433862
2004-08-03,LT,EQ,760.05,764.0,776.0,762.5,772.25,768.6,769.84,342187
2004-08-04,LT,EQ,768.6,768.0,804.0,766.0,800.1,798.1,789.66,704854
2004-08-05,LT,EQ,798.1,783.0,814.5,783.0,808.0,810.65,803.07,629650
2004-08-06,LT,EQ,810.65,822.4,822.4,797.25,804.0,808.2,806.94,609738
2004-08-09,LT,EQ,808.2,800.0,822.0,800.0,807.0,811.0,813.9,446352
2004-08-10,LT,EQ,811.0,812.0,816.9,801.2,802.0,805.6,810.41,195698
2004-08-11,LT,EQ,805.6,805.95,812.0,765.0,775.0,774.35,790.56,280902
2004-08-12,LT,EQ,774.35,780.0,795.0,768.05,774.55,773.15,782.82,392416
2004-08-13,LT,EQ,773.15,782.0,782.9,761.65,765.0,766.35,772.64,318820
2004-08-16,LT,EQ,766.35,772.5,782.05,760.1,781.8,779.7,773.11,366137
2004-08-17,LT,EQ,779.7,777.0,792.4,777.0,788.05,786.55,786.45,188220
2004-08-18,LT,EQ,786.55,787.0,787.0,770.0,772.0,772.45,777.25,83479
2004-08-19,LT,EQ,772.45,774.9,811.0,774.9,810.1,809.4,801.84,650739
2004-08-20,LT,EQ,809.4,815.0,815.0,792.3,796.8,797.9,800.92,292966
2004-08-23,LT,EQ,797.9,804.9,809.9,787.0,802.5,801.0,798.57,418188
2004-08-24,LT,EQ,801.0,804.7,828.9,802.0,825.2,825.05,821.06,774656
2004-08-25,LT,EQ,825.05,829.0,839.7,820.0,831.7,834.6,829.58,404841
2004-08-26,LT,EQ,834.6,845.0,845.0,807.25,812.0,812.95,819.75,379057
2004-08-27,LT,EQ,812.95,816.0,824.85,812.0,818.8,817.15,819.1,204800
2004-08-30,LT,EQ,817.15,830.0,830.0,815.1,820.15,820.55,822.01,151567
2004-08-31,LT,EQ,820.55,824.4,835.0,817.0,834.1,833.15,826.94,222351
2004-09-01,LT,EQ,833.15,821.05,879.5,800.0,876.0,874.0,861.94,1104602
2004-09-02,LT,EQ,874.0,865.0,898.3,855.1,856.5,860.15,878.38,1182700
2004-09-03,LT,EQ,860.15,858.0,875.85,850.0,860.0,860.6,863.12,802113
2004-09-06,LT,EQ,860.6,867.0,876.0,853.3,855.0,855.15,863.09,494799
2004-09-07,LT,EQ,855.15,864.0,868.0,852.2,857.15,856.35,858.8,348205
2004-09-08,LT,EQ,856.35,865.7,865.7,848.9,854.5,853.85,856.28,296994
2004-09-09,LT,EQ,853.85,860.0,864.0,845.0,850.95,848.3,854.14,412212
2004-09-10,LT,EQ,848.3,853.7,853.7,844.0,849.9,849.6,848.51,278116
2004-09-13,LT,EQ,849.6,850.0,850.0,837.1,840.2,840.75,841.82,597616
2004-09-14,LT,EQ,840.75,835.0,852.7,826.1,846.6,844.4,835.6,663387
2004-09-15,LT,EQ,844.4,850.0,855.0,831.35,835.15,839.2,845.12,439092
2004-09-16,LT,EQ,839.2,839.0,849.5,836.0,845.0,846.5,842.68,240005
2004-09-17,LT,EQ,846.5,848.8,867.9,842.0,852.5,854.05,858.22,390731
2004-09-20,LT,EQ,854.05,856.5,865.0,855.0,862.0,861.1,860.44,192360
2004-09-21,LT,EQ,861.1,867.0,867.0,850.0,858.0,855.25,857.05,187594
2004-09-22,LT,EQ,855.25,863.9,882.0,857.15,875.0,871.65,871.95,455208
2004-09-23,LT,EQ,871.65,865.0,880.0,850.15,857.0,857.9,869.07,204766
2004-09-24,LT,EQ,857.9,870.0,877.85,862.0,877.0,874.55,870.15,291144
2004-09-27,LT,EQ,874.55,884.9,890.0,870.15,872.0,874.4,880.69,428880
2004-09-28,LT,EQ,874.4,880.0,880.0,849.15,849.15,857.6,866.25,234660
2004-09-29,LT,EQ,857.6,855.0,865.0,848.6,852.0,850.75,855.79,221933
2004-09-30,LT,EQ,850.75,858.0,863.0,852.0,855.0,855.85,856.81,156371
2004-10-01,LT,EQ,855.85,857.0,879.0,857.0,873.05,875.25,870.01,247901
2004-10-04,LT,EQ,875.25,880.0,894.85,871.25,874.0,877.15,881.42,231803
2004-10-05,LT,EQ,877.15,875.0,881.0,860.1,865.0,862.45,867.74,164121
2004-10-06,LT,EQ,862.45,869.0,874.0,845.0,848.0,847.6,855.34,240900
2004-10-07,LT,EQ,847.6,855.0,859.0,841.5,849.0,848.75,849.43,281421
2004-10-08,LT,EQ,848.75,849.8,853.0,840.0,841.0,842.15,845.61,280669
2004-10-09,LT,EQ,842.15,850.0,855.5,841.0,844.5,844.4,847.8,84456
2004-10-11,LT,EQ,844.4,854.9,854.9,845.0,850.0,847.1,849.23,144305
2004-10-12,LT,EQ,847.1,850.0,850.0,835.0,840.5,836.2,839.11,117197
2004-10-14,LT,EQ,836.2,843.9,860.0,839.0,850.0,853.25,848.6,226247
2004-10-15,LT,EQ,853.25,857.8,873.5,838.0,841.8,841.0,858.02,443349
2004-10-18,LT,EQ,841.0,847.0,850.0,835.25,840.0,838.0,840.74,179499
2004-10-19,LT,EQ,838.0,844.8,846.5,836.1,846.0,842.75,841.34,241331
2004-10-20,LT,EQ,842.75,846.5,846.5,836.0,842.1,838.45,840.73,96848
2004-10-21,LT,EQ,838.45,838.0,838.0,816.35,821.0,820.75,822.52,388309
2004-10-25,LT,EQ,820.75,824.7,836.8,812.5,829.5,830.35,824.47,417347
2004-10-26,LT,EQ,830.35,835.0,835.0,795.0,804.0,804.3,805.68,736027
2004-10-27,LT,EQ,804.3,809.8,818.45,790.35,791.0,795.55,803.77,245495
2004-10-28,LT,EQ,795.55,799.75,821.5,798.0,810.0,810.35,810.46,281507
2004-10-29,LT,EQ,810.35,817.45,835.5,805.0,830.5,830.25,820.15,213235
2004-11-01,LT,EQ,830.25,827.0,836.35,816.0,834.0,833.95,828.2,161253
2004-11-02,LT,EQ,833.95,839.85,839.85,816.3,818.0,820.65,822.78,243763
2004-11-03,LT,EQ,820.65,822.0,832.0,821.0,832.0,831.2,829.51,159689
2004-11-04,LT,EQ,831.2,831.0,834.8,822.0,827.0,825.05,826.47,89865
2004-11-05,LT,EQ,825.05,827.0,847.0,825.0,839.0,842.2,837.76,160724
2004-11-08,LT,EQ,842.2,843.0,860.0,840.0,852.0,851.85,853.38,242025
2004-11-09,LT,EQ,851.85,846.0,858.0,840.25,858.0,854.15,851.8,237027
2004-11-10,LT,EQ,854.15,860.0,860.0,844.55,851.1,852.25,851.66,160185
2004-11-11,LT,EQ,852.25,856.0,860.0,840.0,858.0,855.45,852.39,213185
2004-11-12,LT,EQ,855.45,859.9,869.0,856.0,857.0,858.35,858.7,53701
2004-11-16,LT,EQ,858.35,859.0,872.45,854.2,861.0,858.8,864.58,303791
2004-11-17,LT,EQ,858.8,841.05,867.0,841.05,852.0,848.5,854.27,162618
2004-11-18,LT,EQ,848.5,856.0,865.0,849.0,861.0,861.05,855.95,106381
2004-11-19,LT,EQ,861.05,866.85,866.85,844.0,846.5,848.6,850.59,131811
2004-11-22,LT,EQ,848.6,859.7,859.7,831.35,847.7,846.35,843.98,52015
2004-11-23,LT,EQ,846.35,850.0,854.95,838.1,853.05,850.7,847.26,129543
2004-11-24,LT,EQ,850.7,854.35,864.3,845.05,863.0,860.85,853.82,154683
2004-11-25,LT,EQ,860.85,861.0,878.0,857.0,875.0,875.4,870.89,267647
2004-11-29,LT,EQ,875.4,870.0,887.0,854.0,882.0,880.75,875.95,261303
2004-11-30,LT,EQ,880.75,886.0,913.7,871.0,902.0,903.9,897.78,517005
2004-12-01,LT,EQ,903.9,900.2,936.9,890.15,918.05,922.5,916.63,725464
2004-12-02,LT,EQ,922.5,920.0,984.0,920.0,945.0,954.05,965.1,1002971
2004-12-03,LT,EQ,954.05,955.25,1004.9,955.25,998.0,997.35,990.07,1580856
2004-12-06,LT,EQ,997.35,1000.0,1009.9,950.05,951.0,958.2,971.98,624145
2004-12-07,LT,EQ,958.2,979.9,979.9,906.65,915.3,915.35,934.29,569509
2004-12-08,LT,EQ,915.35,920.0,946.0,910.3,914.7,913.75,930.21,477727
2004-12-09,LT,EQ,913.75,921.8,934.0,900.0,905.0,904.95,916.65,492987
2004-12-10,LT,EQ,904.95,915.8,925.1,901.0,904.9,906.15,909.51,427305
2004-12-13,LT,EQ,906.15,910.0,920.0,906.15,909.0,908.15,910.73,288209
2004-12-14,LT,EQ,908.15,910.0,918.0,907.15,911.8,910.0,912.44,245445
2004-12-15,LT,EQ,910.0,918.9,964.0,910.0,944.5,944.85,941.76,715287
2004-12-16,LT,EQ,944.85,948.0,995.95,948.0,989.05,990.3,980.47,1215995
2004-12-17,LT,EQ,990.3,990.0,995.0,931.2,940.0,940.85,960.44,684152
2004-12-20,LT,EQ,940.85,955.0,990.0,940.0,982.0,979.8,974.52,722230
2004-12-21,LT,EQ,979.8,994.0,994.0,959.0,982.95,978.9,974.44,664247
2004-12-22,LT,EQ,978.9,985.0,986.0,960.0,965.0,973.65,971.0,395827
2004-12-23,LT,EQ,973.65,983.8,984.95,973.0,980.0,980.3,978.64,184348
2004-12-24,LT,EQ,980.3,984.9,999.0,973.05,976.0,977.8,987.47,354757
2004-12-27,LT,EQ,977.8,975.0,996.0,972.0,993.0,991.55,989.75,307422
2004-12-28,LT,EQ,991.55,982.0,1010.0,982.0,997.5,1004.2,1001.52,413819
2004-12-29,LT,EQ,1004.2,1004.0,1021.0,985.0,986.0,989.0,999.95,251025
2004-12-30,LT,EQ,989.0,993.95,1000.0,967.0,999.0,990.55,982.31,347903
2004-12-31,LT,EQ,990.55,991.0,999.75,980.0,980.1,984.55,990.95,134789
2005-01-03,LT,EQ,984.55,999.0,999.0,965.65,974.5,976.8,979.86,370996
