Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume
2000-01-03,ONGC,EQ,207.7,205.0,214.4,205.0,214.0,213.45,209.91,9600
2000-01-04,ONGC,EQ,213.45,201.5,209.7,201.0,209.0,206.55,206.26,17900
2000-01-05,ONGC,EQ,206.55,201.0,223.1,200.5,223.1,223.1,215.46,27000
2000-01-06,ONGC,EQ,223.1,234.0,234.9,217.6,217.6,219.3,223.42,35600
2000-01-07,ONGC,EQ,219.3,223.0,223.0,213.0,215.7,215.75,215.19,11400
2000-01-10,ONGC,EQ,215.75,205.0,218.0,205.0,210.0,209.5,208.14,40000
2000-01-11,ONGC,EQ,209.5,210.0,210.0,194.0,200.0,195.1,203.75,29200
2000-01-12,ONGC,EQ,195.1,204.95,209.8,200.0,202.7,202.2,205.03,16700
2000-01-13,ONGC,EQ,202.2,202.0,202.95,198.0,200.0,198.85,200.19,45000
2000-01-14,ONGC,EQ,198.85,194.1,197.0,193.1,195.0,194.4,195.29,32600
2000-01-17,ONGC,EQ,194.4,195.0,195.5,193.25,195.0,195.0,194.4,25500
2000-01-18,ONGC,EQ,195.0,193.95,193.95,185.2,187.5,186.4,189.08,37300
2000-01-19,ONGC,EQ,186.4,191.0,194.0,191.0,192.0,192.15,192.69,49600
2000-01-20,ONGC,EQ,192.15,192.0,194.45,192.0,192.6,192.4,192.72,18100
2000-01-21,ONGC,EQ,192.4,185.0,194.0,185.0,190.0,190.75,191.62,15800
2000-01-24,ONGC,EQ,190.75,190.0,192.5,187.0,191.7,191.85,190.5,18400
2000-01-25,ONGC,EQ,191.85,188.25,192.0,187.0,189.5,189.3,189.26,17600
2000-01-27,ONGC,EQ,189.3,192.9,204.45,191.0,204.45,204.45,198.2,21500
2000-01-28,ONGC,EQ,204.45,207.0,209.9,197.0,205.0,205.4,203.98,22500
2000-01-31,ONGC,EQ,205.4,215.0,215.0,205.5,209.9,209.7,208.16,57900
2000-02-01,ONGC,EQ,209.7,206.0,216.9,201.3,216.8,215.1,209.96,46200
2000-02-02,ONGC,EQ,215.1,220.0,224.7,214.0,214.0,214.65,216.0,39700
2000-02-03,ONGC,EQ,214.65,211.5,215.0,209.45,211.0,209.7,211.23,13000
2000-02-04,ONGC,EQ,209.7,215.0,215.0,203.25,212.0,212.1,209.12,17400
2000-02-07,ONGC,EQ,212.1,215.95,222.0,208.0,217.35,216.5,215.54,29700
2000-02-08,ONGC,EQ,216.5,212.1,220.0,207.0,208.05,209.8,213.15,36200
