Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume
2000-01-03,RELIANCE,EQ,233.05,237.5,251.7,237.5,251.7,251.7,249.37,4456424
2000-01-04,RELIANCE,EQ,251.7,258.4,271.85,251.3,271.85,271.85,263.52,9487878
2000-01-05,RELIANCE,EQ,271.85,256.65,287.9,256.65,286.75,282.5,274.79,26833684
2000-01-06,RELIANCE,EQ,282.5,289.0,300.7,289.0,293.5,294.35,295.45,15682286
2000-01-07,RELIANCE,EQ,294.35,295.0,317.9,293.0,314.5,314.55,308.91,19870977
2000-01-10,RELIANCE,EQ,314.55,317.4,318.7,305.3,306.65,308.5,312.35,13417057
2000-01-11,RELIANCE,EQ,308.5,307.95,310.95,283.85,288.5,288.5,296.4,12544322
2000-01-12,RELIANCE,EQ,288.5,289.0,305.0,282.15,304.7,301.7,294.57,12109507
2000-01-13,RELIANCE,EQ,301.7,306.0,316.4,304.1,309.75,311.85,311.79,17076042
2000-01-14,RELIANCE,EQ,311.85,309.5,321.65,309.5,317.0,316.3,316.17,13460592
2000-01-17,RELIANCE,EQ,316.3,318.25,322.9,307.05,307.5,308.75,315.77,10729180
2000-01-18,RELIANCE,EQ,308.75,309.0,318.95,305.55,318.25,314.2,312.14,10083321
2000-01-19,RELIANCE,EQ,314.2,322.85,324.9,316.2,318.8,319.6,321.17,11481392
2000-01-20,RELIANCE,EQ,319.6,320.0,324.9,310.55,311.5,312.85,318.95,15428711
2000-01-21,RELIANCE,EQ,312.85,312.7,328.4,312.0,327.5,326.35,322.05,17137072
2000-01-24,RELIANCE,EQ,326.35,325.5,331.85,322.0,326.5,326.15,327.87,13163301
2000-01-25,RELIANCE,EQ,326.15,325.05,325.3,318.25,321.05,319.95,321.77,9752949
2000-01-27,RELIANCE,EQ,319.95,329.0,336.8,322.7,334.5,334.95,331.67,15014556
2000-01-28,RELIANCE,EQ,334.95,335.9,341.9,331.6,337.25,338.35,337.97,11734252
2000-01-31,RELIANCE,EQ,338.35,334.45,336.0,326.55,327.05,328.15,331.46,10191331
2000-02-01,RELIANCE,EQ,328.15,330.8,337.45,328.0,336.05,334.05,334.35,10707804
2000-02-02,RELIANCE,EQ,334.05,342.9,346.9,338.55,339.1,340.15,343.07,9950848
2000-02-03,RELIANCE,EQ,340.15,342.0,343.5,336.4,342.5,341.65,340.17,6771527
2000-02-04,RELIANCE,EQ,341.65,344.0,347.35,341.7,342.75,344.15,344.87,7106910
2000-02-07,RELIANCE,EQ,344.15,341.1,349.45,338.05,343.0,343.6,345.9,8193641
2000-02-08,RELIANCE,EQ,343.6,345.5,346.9,341.05,342.1,342.4,344.0,6430661
2000-02-09,RELIANCE,EQ,342.4,349.0,354.65,344.8,346.7,350.4,350.02,11436821
2000-02-10,RELIANCE,EQ,350.4,348.8,363.8,344.9,363.0,355.75,352.92,10792579
2000-02-11,RELIANCE,EQ,355.75,364.0,374.0,360.05,361.4,363.3,366.5,8155627
2000-02-14,RELIANCE,EQ,363.3,359.0,360.9,350.0,350.8,352.1,355.41,5127399
2000-02-15,RELIANCE,EQ,352.1,352.0,354.4,342.05,343.5,344.35,348.97,8124337
2000-02-16,RELIANCE,EQ,344.35,350.0,353.8,343.1,346.75,348.15,348.91,7876392
2000-02-17,RELIANCE,EQ,348.15,347.7,356.8,347.5,355.4,354.55,353.61,7670820
2000-02-18,RELIANCE,EQ,354.55,356.9,357.95,348.0,350.3,349.45,353.11,5030667
2000-02-21,RELIANCE,EQ,349.45,348.4,352.0,341.65,344.0,345.65,347.65,2944404
2000-02-22,RELIANCE,EQ,345.65,346.0,347.0,332.5,335.25,334.35,338.6,7192242
2000-02-23,RELIANCE,EQ,334.35,344.7,344.7,327.3,330.0,329.8,336.8,4831725
2000-02-24,RELIANCE,EQ,329.8,332.9,340.7,329.3,339.0,336.75,336.11,5663873
2000-02-25,RELIANCE,EQ,336.75,341.4,342.9,326.1,326.9,328.6,334.39,3912097
2000-02-28,RELIANCE,EQ,328.6,324.85,337.25,310.0,337.25,333.1,326.95,5026004
2000-02-29,RELIANCE,EQ,333.1,337.9,342.85,306.45,309.5,310.85,330.53,9970107
2000-03-01,RELIANCE,EQ,310.85,315.0,329.85,299.0,317.25,316.8,313.87,10765888
2000-03-02,RELIANCE,EQ,316.8,318.85,322.0,291.5,291.5,291.75,304.69,12536245
2000-03-03,RELIANCE,EQ,291.75,286.1,286.1,268.45,268.45,268.45,272.37,4636776
2000-03-06,RELIANCE,EQ,268.45,268.45,283.85,247.0,254.7,253.95,266.91,10430713
2000-03-07,RELIANCE,EQ,253.95,257.0,259.0,240.0,244.5,242.3,247.15,9560450
2000-03-08,RELIANCE,EQ,242.3,246.9,250.5,230.0,234.3,232.95,240.78,7256376
2000-03-09,RELIANCE,EQ,232.95,235.9,242.4,224.15,230.9,231.3,232.51,5545792
2000-03-10,RELIANCE,EQ,231.3,234.0,234.8,214.6,218.4,216.85,223.16,6597169
2000-03-13,RELIANCE,EQ,216.85,219.9,229.5,200.3,203.3,203.2,217.37,10765401
2000-03-14,RELIANCE,EQ,203.2,205.5,219.5,197.15,219.0,219.2,212.29,10106318
2000-03-15,RELIANCE,EQ,219.2,224.0,236.75,216.0,236.75,236.75,232.23,5711222
2000-03-16,RELIANCE,EQ,236.75,239.5,247.8,230.1,235.5,234.85,238.54,10564295
2000-03-21,RELIANCE,EQ,234.85,238.8,242.8,227.6,242.5,237.9,234.11,6838036
2000-03-22,RELIANCE,EQ,237.9,245.0,248.5,241.2,243.0,243.4,244.58,4931613
2000-03-23,RELIANCE,EQ,243.4,245.25,245.8,238.55,239.95,240.95,241.32,4286132
2000-03-24,RELIANCE,EQ,240.95,239.2,242.95,237.65,242.9,240.6,240.45,2637850
2000-03-27,RELIANCE,EQ,240.6,243.0,259.85,243.0,259.85,259.85,255.4,4141666
2000-03-28,RELIANCE,EQ,259.85,263.1,280.65,263.1,280.65,280.65,272.15,7026761
2000-03-29,RELIANCE,EQ,280.65,284.8,289.9,269.0,271.25,271.3,278.5,10277833
2000-03-30,RELIANCE,EQ,271.3,269.0,293.0,258.3,293.0,293.0,278.4,17168324
2000-03-31,RELIANCE,EQ,293.0,297.0,316.45,280.1,316.45,316.45,303.93,19704184
2000-04-03,RELIANCE,EQ,316.45,327.65,333.7,318.1,328.0,328.6,325.8,21353020
2000-04-04,RELIANCE,EQ,328.6,326.0,326.0,302.35,302.35,302.35,310.24,13530488
2000-04-05,RELIANCE,EQ,302.35,303.4,312.0,278.25,301.0,302.25,296.71,25186375
2000-04-06,RELIANCE,EQ,302.25,303.0,326.45,302.55,326.45,326.15,312.99,16239068
2000-04-07,RELIANCE,EQ,326.15,329.8,352.25,329.8,352.25,352.25,347.35,11686144
2000-04-10,RELIANCE,EQ,352.25,369.9,380.0,359.5,363.45,364.55,369.31,22110719
2000-04-11,RELIANCE,EQ,364.55,358.0,359.0,346.5,358.0,353.75,353.38,9759550
2000-04-12,RELIANCE,EQ,353.75,357.0,360.0,334.4,335.4,337.95,346.8,17263869
2000-04-13,RELIANCE,EQ,337.95,331.1,331.1,310.95,310.95,310.95,311.28,225213
2000-04-17,RELIANCE,EQ,310.95,286.1,300.8,286.1,297.0,298.4,293.04,15931668
2000-04-18,RELIANCE,EQ,298.4,297.1,308.9,294.0,299.0,300.05,302.75,8775778
2000-04-19,RELIANCE,EQ,300.05,307.7,324.05,303.1,316.0,314.85,314.54,16293725
2000-04-20,RELIANCE,EQ,314.85,313.0,340.05,309.25,340.05,337.75,323.07,19387991
2000-04-24,RELIANCE,EQ,337.75,346.0,360.6,323.0,323.6,336.95,348.95,17618258
2000-04-25,RELIANCE,EQ,336.95,322.3,339.5,311.65,333.0,332.05,320.47,15809540
2000-04-26,RELIANCE,EQ,332.05,340.0,358.65,340.0,358.65,357.95,352.57,16998445
2000-04-27,RELIANCE,EQ,357.95,360.8,366.0,338.3,343.5,345.65,352.56,29547592
2000-04-28,RELIANCE,EQ,345.65,347.5,351.9,340.3,344.4,345.05,346.2,13426369
2000-05-02,RELIANCE,EQ,345.05,348.0,354.65,325.25,329.3,329.15,337.06,16424665
2000-05-03,RELIANCE,EQ,329.15,327.0,333.85,309.2,331.0,328.0,324.41,13760253
2000-05-04,RELIANCE,EQ,328.0,331.0,342.95,331.0,336.25,337.2,338.54,11327281
2000-05-05,RELIANCE,EQ,337.2,338.5,341.55,328.1,335.0,335.35,335.31,11144621
