Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume
2000-01-03,TISCO,EQ,142.35,148.0,153.2,146.1,152.5,152.45,150.92,2003185
2000-01-04,TISCO,EQ,152.45,150.1,153.0,143.05,151.95,150.8,151.03,1555136
2000-01-05,TISCO,EQ,150.8,144.6,162.9,144.6,158.0,156.55,156.85,3840284
2000-01-06,TISCO,EQ,156.55,158.95,169.1,158.95,169.0,168.25,167.61,2560449
2000-01-07,TISCO,EQ,168.25,173.4,179.0,166.3,170.55,171.95,173.89,3641691
2000-01-10,TISCO,EQ,171.95,173.95,184.9,173.95,179.0,182.25,180.32,4642054
2000-01-11,TISCO,EQ,182.25,179.0,180.0,167.7,167.7,167.7,170.99,1705968
2000-01-12,TISCO,EQ,167.7,165.0,172.0,159.15,166.5,165.3,165.39,2337738
2000-01-13,TISCO,EQ,165.3,167.9,170.0,156.05,158.7,159.2,163.0,1584803
2000-01-14,TISCO,EQ,159.2,161.0,161.9,156.0,159.25,158.7,158.87,1541731
2000-01-17,TISCO,EQ,158.7,164.95,171.4,163.1,165.5,166.8,168.19,3326270
2000-01-18,TISCO,EQ,166.8,166.9,176.0,163.25,175.0,172.8,169.43,3516827
2000-01-19,TISCO,EQ,172.8,177.0,178.0,171.0,171.25,172.85,174.04,2617065
2000-01-20,TISCO,EQ,172.85,171.0,179.0,160.7,161.0,163.1,171.22,8257650
2000-01-21,TISCO,EQ,163.1,162.7,164.75,159.1,162.0,162.4,162.49,2794941
2000-01-24,TISCO,EQ,162.4,163.9,163.9,150.0,150.9,151.15,157.14,2446509
2000-01-25,TISCO,EQ,151.15,150.0,154.0,147.0,149.0,148.45,150.45,3030257
2000-01-27,TISCO,EQ,148.45,151.4,153.5,147.5,148.2,148.3,150.04,1466342
2000-01-28,TISCO,EQ,148.3,148.0,151.0,143.25,144.5,144.5,146.85,1996632
2000-01-31,TISCO,EQ,144.5,143.1,144.0,138.6,139.6,139.35,141.67,1269284
2000-02-01,TISCO,EQ,139.35,139.1,142.7,138.6,140.6,140.5,141.11,1748130
2000-02-02,TISCO,EQ,140.5,143.7,145.25,140.0,141.0,141.05,142.96,1376545
2000-02-03,TISCO,EQ,141.05,141.9,146.2,139.55,140.2,140.0,142.58,3275087
2000-02-04,TISCO,EQ,140.0,141.9,142.0,139.0,140.4,140.1,140.02,1654411
2000-02-07,TISCO,EQ,140.1,140.0,140.85,138.25,138.6,139.0,139.66,929743
2000-02-08,TISCO,EQ,139.0,138.5,143.5,138.1,141.25,141.1,141.2,2677365
2000-02-09,TISCO,EQ,141.1,145.4,150.25,143.1,143.9,144.4,147.07,2847687
2000-02-10,TISCO,EQ,144.4,145.5,145.5,141.1,142.0,141.85,142.59,1093875
2000-02-11,TISCO,EQ,141.85,143.8,143.95,139.75,140.5,140.2,141.06,1149793
2000-02-14,TISCO,EQ,140.2,139.0,140.5,132.05,133.3,134.65,137.32,1013330
2000-02-15,TISCO,EQ,134.65,133.5,137.0,130.25,131.5,131.75,133.83,1818713
2000-02-16,TISCO,EQ,131.75,135.8,138.0,134.5,135.0,135.35,136.01,804018
2000-02-17,TISCO,EQ,135.35,136.0,137.65,134.1,135.5,135.85,135.84,765613
2000-02-18,TISCO,EQ,135.85,135.95,136.5,132.5,133.0,133.2,134.18,648089
2000-02-21,TISCO,EQ,133.2,134.0,138.75,132.0,133.05,133.15,135.45,1165796
2000-02-22,TISCO,EQ,133.15,134.35,135.25,130.4,131.0,131.25,132.95,1013742
2000-02-23,TISCO,EQ,131.25,135.5,136.0,128.0,129.0,128.75,131.9,728400
2000-02-24,TISCO,EQ,128.75,131.3,133.2,125.25,128.7,128.9,129.83,785072
2000-02-25,TISCO,EQ,128.9,129.1,133.0,127.5,128.6,128.5,130.34,681916
2000-02-28,TISCO,EQ,128.5,129.2,131.75,127.1,131.0,130.75,130.35,546385
2000-02-29,TISCO,EQ,130.75,133.0,135.85,120.3,120.3,120.55,130.33,1567019
2000-03-01,TISCO,EQ,120.55,123.0,126.85,110.95,120.9,115.75,117.52,3469035
2000-03-02,TISCO,EQ,115.75,122.0,125.05,113.1,114.2,115.3,120.64,4536084
2000-03-03,TISCO,EQ,115.3,112.5,112.5,106.1,107.0,106.45,108.76,1267692
2000-03-06,TISCO,EQ,106.45,108.9,112.5,101.25,102.75,102.85,107.75,1462483
2000-03-07,TISCO,EQ,102.85,103.4,104.0,96.5,97.0,97.15,99.23,1992209
2000-03-08,TISCO,EQ,97.15,99.4,99.4,90.5,91.5,91.15,94.79,1359620
2000-03-09,TISCO,EQ,91.15,91.75,97.5,91.0,95.0,96.05,94.2,1396024
2000-03-10,TISCO,EQ,96.05,96.0,97.0,90.6,92.4,91.9,92.64,834661
2000-03-13,TISCO,EQ,91.9,93.3,94.9,89.1,90.5,90.35,92.69,1024407
2000-03-14,TISCO,EQ,90.35,91.9,97.6,89.25,97.6,97.6,94.37,1340192
2000-03-15,TISCO,EQ,97.6,104.95,105.45,101.0,105.45,105.45,104.5,1457390
2000-03-16,TISCO,EQ,105.45,108.0,111.9,100.55,109.0,109.05,107.17,3260289
2000-03-21,TISCO,EQ,109.05,109.75,111.7,103.1,107.3,108.5,108.13,2397599
2000-03-22,TISCO,EQ,108.5,108.9,113.4,106.0,109.0,109.55,109.64,1447656
2000-03-23,TISCO,EQ,109.55,108.35,110.8,103.3,104.0,104.25,106.17,870011
2000-03-24,TISCO,EQ,104.25,105.0,106.6,104.1,106.0,105.85,105.6,686553
2000-03-27,TISCO,EQ,105.85,106.9,106.9,103.0,104.65,104.0,104.95,468429
2000-03-28,TISCO,EQ,104.0,104.5,107.0,102.0,106.25,106.35,104.84,1220783
2000-03-29,TISCO,EQ,106.35,107.1,109.45,103.85,105.0,104.85,106.94,1141017
2000-03-30,TISCO,EQ,104.85,104.2,111.5,101.1,108.3,108.55,106.56,2543879
2000-03-31,TISCO,EQ,108.55,107.3,116.0,105.25,115.0,115.15,113.04,3660943
2000-04-03,TISCO,EQ,115.15,116.75,124.4,116.75,121.75,122.65,122.11,3438532
2000-04-04,TISCO,EQ,122.65,121.5,121.5,112.85,115.4,114.15,115.68,3324851
2000-04-05,TISCO,EQ,114.15,114.0,119.0,109.2,117.35,118.25,115.09,3400972
2000-04-06,TISCO,EQ,118.25,118.9,122.9,112.0,115.25,115.2,115.4,1752811
2000-04-07,TISCO,EQ,115.2,115.8,123.9,115.3,122.65,123.25,121.1,4457298
