Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume
2004-08-24,ULTRACEMCO,EQ,10.0,305.0,340.0,253.25,259.0,260.2,268.8,6633956
2004-08-25,ULTRACEMCO,EQ,260.2,262.0,264.7,249.2,255.0,255.55,255.54,2794161
2004-08-26,ULTRACEMCO,EQ,255.55,257.75,272.5,256.0,270.1,270.7,267.0,2340926
2004-08-27,ULTRACEMCO,EQ,270.7,272.0,272.55,260.65,261.35,262.25,264.4,915106
2004-08-30,ULTRACEMCO,EQ,262.25,263.7,269.0,262.05,267.0,266.1,265.38,387417
2004-08-31,ULTRACEMCO,EQ,266.1,266.8,267.8,264.3,266.45,266.2,266.0,261123
2004-09-01,ULTRACEMCO,EQ,266.2,267.0,273.45,265.0,267.0,267.2,269.43,311985
2004-09-02,ULTRACEMCO,EQ,267.2,267.85,269.5,260.0,264.0,262.2,264.61,205537
2004-09-03,ULTRACEMCO,EQ,262.2,262.2,264.9,257.5,262.65,262.65,261.0,303156
2004-09-06,ULTRACEMCO,EQ,262.65,263.5,267.85,263.0,264.75,265.3,265.9,74691
2004-09-07,ULTRACEMCO,EQ,265.3,264.0,265.8,263.55,265.0,264.85,264.72,128275
2004-09-08,ULTRACEMCO,EQ,264.85,266.0,266.0,262.6,263.5,263.45,263.95,95094
2004-09-09,ULTRACEMCO,EQ,263.45,264.5,265.0,254.8,256.5,256.0,258.58,229786
2004-09-10,ULTRACEMCO,EQ,256.0,256.9,264.4,254.35,258.1,258.6,258.61,313469
2004-09-13,ULTRACEMCO,EQ,258.6,256.0,262.15,256.0,260.8,260.65,260.79,100186
2004-09-14,ULTRACEMCO,EQ,260.65,261.0,263.5,259.0,261.0,261.1,260.97,87282
2004-09-15,ULTRACEMCO,EQ,261.1,262.7,266.95,261.5,263.0,263.9,264.35,179209
2004-09-16,ULTRACEMCO,EQ,263.9,264.0,266.7,261.0,266.7,265.6,264.52,113885
2004-09-17,ULTRACEMCO,EQ,265.6,267.0,274.45,266.1,271.0,271.0,270.63,193931
2004-09-20,ULTRACEMCO,EQ,271.0,272.0,283.0,272.0,276.95,277.35,279.59,447036
2004-09-21,ULTRACEMCO,EQ,277.35,280.0,281.8,275.0,275.8,276.3,277.8,317565
2004-09-22,ULTRACEMCO,EQ,276.3,281.5,281.95,275.05,280.8,279.25,278.89,142156
2004-09-23,ULTRACEMCO,EQ,279.25,273.0,279.0,268.8,268.95,269.9,274.07,71981
2004-09-24,ULTRACEMCO,EQ,269.9,269.5,273.0,267.1,271.3,270.8,269.83,64135
2004-09-27,ULTRACEMCO,EQ,270.8,271.5,273.9,269.3,273.9,272.8,271.61,43976
2004-09-28,ULTRACEMCO,EQ,272.8,272.8,272.8,263.6,264.5,265.7,266.92,116744
2004-09-29,ULTRACEMCO,EQ,265.7,266.9,267.5,262.65,264.5,264.45,264.69,84483
2004-09-30,ULTRACEMCO,EQ,264.45,266.4,268.75,264.95,265.0,266.05,267.09,45563
2004-10-01,ULTRACEMCO,EQ,266.05,266.0,268.0,264.0,264.0,265.25,266.06,59466
2004-10-04,ULTRACEMCO,EQ,265.25,268.8,270.9,263.0,270.0,269.05,267.52,173799
2004-10-05,ULTRACEMCO,EQ,269.05,269.0,271.0,264.0,264.75,265.25,267.03,74731
2004-10-06,ULTRACEMCO,EQ,265.25,266.5,298.9,266.5,293.0,295.0,289.81,1072401
2004-10-07,ULTRACEMCO,EQ,295.0,295.0,354.0,294.0,316.05,316.45,323.06,2122276
2004-10-08,ULTRACEMCO,EQ,316.45,318.1,331.35,316.45,322.0,320.4,322.82,599337
2004-10-09,ULTRACEMCO,EQ,320.4,321.4,322.0,314.0,316.0,315.65,317.5,90585
2004-10-11,ULTRACEMCO,EQ,315.65,315.0,318.6,301.25,303.3,304.7,310.88,121262
2004-10-12,ULTRACEMCO,EQ,304.7,307.0,311.0,298.1,298.6,300.15,303.61,146878
2004-10-14,ULTRACEMCO,EQ,300.15,303.7,303.7,286.55,290.2,289.1,291.66,89146
2004-10-15,ULTRACEMCO,EQ,289.1,294.8,299.8,288.0,289.1,290.7,293.49,115264
2004-10-18,ULTRACEMCO,EQ,290.7,293.9,295.0,285.0,287.2,286.8,289.35,59350
2004-10-19,ULTRACEMCO,EQ,286.8,291.4,291.4,282.6,285.05,285.6,287.27,72458
2004-10-20,ULTRACEMCO,EQ,285.6,288.4,292.3,285.5,286.1,286.55,289.1,95374
2004-10-21,ULTRACEMCO,EQ,286.55,288.4,296.5,285.0,293.0,292.25,290.02,81976
2004-10-25,ULTRACEMCO,EQ,292.25,295.5,305.3,284.6,285.15,286.35,294.16,215408
2004-10-26,ULTRACEMCO,EQ,286.35,289.9,294.8,281.55,292.5,289.5,287.67,105215
2004-10-27,ULTRACEMCO,EQ,289.5,285.0,313.9,285.0,297.75,299.15,299.45,656655
2004-10-28,ULTRACEMCO,EQ,299.15,301.0,311.0,297.0,306.35,306.6,304.78,326585
2004-10-29,ULTRACEMCO,EQ,306.6,302.2,306.75,301.0,302.5,303.25,303.38,76737
2004-11-01,ULTRACEMCO,EQ,303.25,305.0,305.0,289.0,301.0,301.3,298.41,190801
2004-11-02,ULTRACEMCO,EQ,301.3,306.0,310.0,302.0,307.0,306.9,306.86,109175
2004-11-03,ULTRACEMCO,EQ,306.9,307.5,310.0,303.0,305.0,305.15,305.53,93238
2004-11-04,ULTRACEMCO,EQ,305.15,308.8,308.8,299.0,299.65,300.0,302.59,32815
2004-11-05,ULTRACEMCO,EQ,300.0,303.0,303.0,290.0,294.0,292.35,294.53,61849
2004-11-08,ULTRACEMCO,EQ,292.35,297.4,302.0,290.25,294.0,292.5,296.59,80765
2004-11-09,ULTRACEMCO,EQ,292.5,296.4,300.0,293.3,294.5,295.55,296.69,48772
2004-11-10,ULTRACEMCO,EQ,295.55,298.0,298.8,291.5,292.8,292.5,296.15,107489
2004-11-11,ULTRACEMCO,EQ,292.5,293.6,296.4,286.55,287.75,287.95,290.75,131265
2004-11-12,ULTRACEMCO,EQ,287.95,292.9,293.4,289.15,291.5,291.5,291.62,29798
2004-11-16,ULTRACEMCO,EQ,291.5,293.65,294.95,289.0,294.95,294.05,292.75,48466
2004-11-17,ULTRACEMCO,EQ,294.05,296.0,296.0,283.0,283.55,283.85,287.49,222899
2004-11-18,ULTRACEMCO,EQ,283.85,285.0,288.75,283.1,285.0,284.3,286.19,95728
2004-11-19,ULTRACEMCO,EQ,284.3,286.7,287.0,280.5,282.0,282.15,284.48,116142
2004-11-22,ULTRACEMCO,EQ,282.15,283.0,284.0,278.3,278.5,278.9,280.4,112962
2004-11-23,ULTRACEMCO,EQ,278.9,285.0,285.0,276.0,276.95,277.7,279.84,193928
2004-11-24,ULTRACEMCO,EQ,277.7,281.8,287.0,280.4,286.2,285.45,283.6,345777
2004-11-25,ULTRACEMCO,EQ,285.45,294.6,299.85,289.5,294.5,294.8,296.05,397748
2004-11-29,ULTRACEMCO,EQ,294.8,295.0,299.8,295.0,297.55,297.6,296.84,146544
2004-11-30,ULTRACEMCO,EQ,297.6,298.95,298.95,294.0,295.0,295.2,295.27,172784
2004-12-01,ULTRACEMCO,EQ,295.2,296.0,297.85,295.0,296.0,295.55,295.77,85290
2004-12-02,ULTRACEMCO,EQ,295.55,297.0,305.0,296.0,301.95,302.35,300.98,317401
2004-12-03,ULTRACEMCO,EQ,302.35,305.55,306.6,295.0,295.0,295.75,298.66,339368
2004-12-06,ULTRACEMCO,EQ,295.75,297.05,298.0,293.25,294.0,294.3,295.44,200821
2004-12-07,ULTRACEMCO,EQ,294.3,295.0,304.65,295.0,302.0,302.25,300.36,288631
2004-12-08,ULTRACEMCO,EQ,302.25,302.0,304.9,297.0,300.6,300.15,300.82,201937
2004-12-09,ULTRACEMCO,EQ,300.15,302.6,302.6,297.0,297.15,298.7,299.72,143942
2004-12-10,ULTRACEMCO,EQ,298.7,300.0,304.45,295.0,303.0,300.65,299.06,318295
2004-12-13,ULTRACEMCO,EQ,300.65,303.0,305.0,300.65,303.0,301.95,302.47,43952
