Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume
2000-01-03,WIPRO,EQ,2522.4,2724.0,2724.2,2724.0,2724.2,2724.2,2724.17,1599
2000-01-04,WIPRO,EQ,2724.2,2942.15,2942.15,2942.15,2942.15,2942.15,2942.15,4392
2000-01-05,WIPRO,EQ,2942.15,2942.15,3177.55,2715.0,3000.0,2990.1,3063.86,132297
2000-01-06,WIPRO,EQ,2990.1,3144.7,3183.0,2790.0,2915.0,2932.25,2962.41,72840
2000-01-07,WIPRO,EQ,2932.25,2751.0,2751.0,2697.7,2697.7,2697.7,2697.95,10110
2000-01-10,WIPRO,EQ,2697.7,2697.7,2913.5,2612.0,2665.0,2701.35,2740.88,40382
2000-01-11,WIPRO,EQ,2701.35,2734.0,2789.0,2485.25,2485.25,2485.45,2543.38,46178
2000-01-12,WIPRO,EQ,2485.45,2590.0,2608.0,2485.0,2570.0,2562.9,2543.75,20037
2000-01-13,WIPRO,EQ,2562.9,2574.0,2620.0,2460.0,2484.9,2480.25,2539.63,19080
2000-01-14,WIPRO,EQ,2480.25,2590.0,2590.0,2405.0,2475.15,2497.85,2470.43,20412
2000-01-17,WIPRO,EQ,2497.85,2580.0,2697.7,2550.0,2697.7,2697.7,2671.72,27984
2000-01-18,WIPRO,EQ,2697.7,2740.0,2850.0,2600.0,2690.0,2677.15,2688.05,32443
2000-01-19,WIPRO,EQ,2677.15,2725.0,2848.0,2725.0,2780.0,2784.5,2801.9,33586
2000-01-20,WIPRO,EQ,2784.5,2808.0,2834.95,2775.0,2785.0,2796.4,2801.6,21511
2000-01-21,WIPRO,EQ,2796.4,2825.0,3020.15,2750.0,3020.15,2989.7,2931.46,145195
2000-01-24,WIPRO,EQ,2989.7,3151.0,3228.9,3151.0,3228.9,3228.9,3228.71,20562
2000-01-25,WIPRO,EQ,3228.9,3487.25,3487.25,3487.2,3487.25,3487.25,3487.24,34893
2000-01-27,WIPRO,EQ,3487.25,3766.25,3766.25,3766.25,3766.25,3766.25,3766.25,1618
2000-01-28,WIPRO,EQ,3766.25,4067.55,4067.55,4067.55,4067.55,4067.55,4067.55,3007
2000-01-31,WIPRO,EQ,4067.55,4067.55,4240.0,3742.15,3900.0,3805.0,3884.97,73387
2000-02-01,WIPRO,EQ,3805.0,3995.0,4109.4,3960.0,4109.4,4109.4,4095.33,49750
2000-02-02,WIPRO,EQ,4109.4,4438.15,4438.15,4438.15,4438.15,4438.15,4438.15,2235
2000-02-03,WIPRO,EQ,4438.15,4793.2,4793.2,4750.0,4793.2,4793.2,4792.18,8597
2000-02-04,WIPRO,EQ,4793.2,5169.0,5176.7,5005.0,5176.7,5176.7,5124.37,57609
2000-02-07,WIPRO,EQ,5176.7,5339.0,5494.0,5074.0,5150.0,5259.15,5317.52,42768
2000-02-08,WIPRO,EQ,5259.15,5289.0,5400.0,4839.0,4850.0,4868.05,4950.21,37484
2000-02-09,WIPRO,EQ,4868.05,5099.0,5257.5,5050.0,5200.0,5209.5,5185.1,38282
2000-02-10,WIPRO,EQ,5209.5,5200.0,5626.3,5105.0,5626.3,5626.3,5440.17,76550
2000-02-11,WIPRO,EQ,5626.3,6067.0,6076.4,5700.0,6076.4,6076.4,6019.01,62249
2000-02-14,WIPRO,EQ,6076.4,6250.0,6562.55,6000.0,6562.55,6562.55,6476.74,67076
2000-02-15,WIPRO,EQ,6562.55,6899.0,7087.55,6100.0,7087.55,7087.55,6978.68,56752
2000-02-16,WIPRO,EQ,7087.55,7269.0,7654.55,7260.0,7654.55,7654.55,7634.56,24633
2000-02-17,WIPRO,EQ,7654.55,8262.85,8266.95,8262.85,8266.95,8266.95,8266.95,14273
2000-02-18,WIPRO,EQ,8266.95,8928.35,8928.35,8928.35,8928.35,8928.35,8928.35,9348
2000-02-21,WIPRO,EQ,8928.35,9625.0,9642.65,8928.35,9640.0,9587.45,9607.14,181968
2000-02-22,WIPRO,EQ,9587.45,10350.0,10350.0,8820.45,8820.45,8820.45,8931.54,49915
2000-02-23,WIPRO,EQ,8820.45,8500.0,8500.0,8114.85,8114.85,8114.85,8128.15,9230
2000-02-24,WIPRO,EQ,8114.85,7471.0,7471.0,7465.7,7465.7,7465.7,7466.09,3173
2000-02-25,WIPRO,EQ,7465.7,6868.5,7100.0,6868.45,6868.45,6868.45,6945.22,85069
2000-02-28,WIPRO,EQ,6868.45,6868.45,7190.0,6319.0,6930.0,6994.45,6865.64,154212
2000-02-29,WIPRO,EQ,6994.45,7090.0,7400.0,6434.9,6800.0,6616.75,6954.86,137566
2000-03-01,WIPRO,EQ,6616.75,7128.0,7146.1,6700.0,7146.1,7144.4,7081.26,125683
2000-03-02,WIPRO,EQ,7144.4,7499.0,7700.0,7200.0,7339.0,7495.85,7490.24,180524
2000-03-03,WIPRO,EQ,7495.85,7090.0,7100.0,6896.2,6896.2,6896.2,6926.4,42970
2000-03-06,WIPRO,EQ,6896.2,6996.0,7369.45,6365.0,6970.0,6938.8,6897.2,76163
2000-03-07,WIPRO,EQ,6938.8,6850.0,6900.0,6425.0,6500.0,6473.15,6567.05,65712
2000-03-08,WIPRO,EQ,6473.15,6888.5,6991.0,6600.0,6773.0,6761.95,6895.14,38816
2000-03-09,WIPRO,EQ,6761.95,6840.0,6999.0,6252.1,6369.0,6433.85,6512.81,21193
2000-03-10,WIPRO,EQ,6433.85,6500.0,6945.0,6260.0,6345.0,6342.25,6556.29,44445
2000-03-13,WIPRO,EQ,6342.25,6500.0,6725.0,5834.9,5834.9,5834.9,6168.18,32037
2000-03-14,WIPRO,EQ,5834.9,5902.0,6000.0,5368.15,5368.15,5368.15,5410.42,31939
2000-03-15,WIPRO,EQ,5368.15,4938.7,5100.0,4938.7,4938.7,4938.7,4944.05,86167
2000-03-16,WIPRO,EQ,4938.7,4610.0,5100.0,4543.6,4610.0,4596.2,4742.4,159103
2000-03-21,WIPRO,EQ,4596.2,4650.0,4849.0,4228.5,4228.5,4245.0,4522.02,123917
2000-03-22,WIPRO,EQ,4245.0,4400.0,4584.6,4400.0,4584.6,4584.6,4538.06,16531
2000-03-23,WIPRO,EQ,4584.6,4949.0,4951.4,4679.15,4951.4,4951.4,4898.82,130051
2000-03-24,WIPRO,EQ,4951.4,5230.0,5347.55,4975.0,5347.55,5347.55,5226.69,144387
2000-03-27,WIPRO,EQ,5347.55,5525.0,5775.35,5280.0,5775.35,5775.35,5666.58,72756
2000-03-28,WIPRO,EQ,5775.35,5710.0,6237.4,5630.1,6190.0,6117.7,5912.84,127133
2000-03-29,WIPRO,EQ,6117.7,6290.0,6607.15,6290.0,6607.15,6607.15,6558.12,138283
2000-03-30,WIPRO,EQ,6607.15,6607.15,6607.15,6078.6,6078.6,6078.6,6120.79,66219
2000-03-31,WIPRO,EQ,6078.6,5620.0,5940.0,5592.35,5592.35,5592.35,5652.4,91758
2000-04-03,WIPRO,EQ,5592.35,5600.0,5650.0,5145.0,5145.0,5145.0,5234.44,51954
2000-04-04,WIPRO,EQ,5145.0,4733.4,4733.4,4733.4,4733.4,4733.4,4733.4,20729
2000-04-05,WIPRO,EQ,4733.4,4361.0,5100.0,4361.0,4848.0,4780.85,4712.07,93881
2000-04-06,WIPRO,EQ,4780.85,4870.0,5160.0,4398.4,4950.0,4883.85,4688.13,119248
2000-04-07,WIPRO,EQ,4883.85,5000.0,5274.6,5000.0,5274.6,5274.6,5273.0,36168
2000-04-10,WIPRO,EQ,5274.6,5696.6,5696.6,5696.6,5696.6,5696.6,5696.6,6383
2000-04-11,WIPRO,EQ,5696.6,5696.6,5924.0,5240.9,5560.25,5627.95,5446.52,103114
2000-04-12,WIPRO,EQ,5627.95,5540.0,5590.0,5301.0,5410.0,5413.8,5452.43,55520
2000-04-13,WIPRO,EQ,5413.8,5325.05,5325.05,4980.7,4980.7,4980.7,4988.65,46634
2000-04-17,WIPRO,EQ,4980.7,4582.25,4582.25,4582.25,4582.25,4582.25,4582.25,1003
2000-04-18,WIPRO,EQ,4582.25,4582.25,4590.0,4215.7,4215.7,4215.7,4320.03,50976
2000-04-19,WIPRO,EQ,4215.7,4540.0,4540.0,3878.45,4005.0,3995.6,4127.29,92012
2000-04-20,WIPRO,EQ,3995.6,3700.0,4225.0,3675.95,4153.9,4095.95,3856.4,95193
2000-04-24,WIPRO,EQ,4095.95,4150.0,4420.0,3911.0,3911.0,4087.95,4250.49,120700
2000-04-25,WIPRO,EQ,4087.95,3900.0,3900.0,3760.95,3760.95,3760.95,3761.45,24016
2000-04-26,WIPRO,EQ,3760.95,3980.0,4061.85,3851.0,3940.0,3995.35,3995.87,195340
2000-04-27,WIPRO,EQ,3995.35,4038.0,4038.0,3675.75,3675.75,3675.75,3707.15,108336
2000-04-28,WIPRO,EQ,3675.75,3461.0,3529.0,3381.7,3381.7,3381.7,3401.16,42230
2000-05-02,WIPRO,EQ,3381.7,3249.0,3249.0,2975.9,2975.9,2975.9,3027.22,23382
2000-05-03,WIPRO,EQ,2975.9,2737.85,2825.0,2618.8,2623.0,2639.85,2682.86,159004
2000-05-04,WIPRO,EQ,2639.85,2694.0,2956.65,2621.0,2956.65,2943.3,2857.14,111159
2000-05-05,WIPRO,EQ,2943.3,3050.0,3290.0,3025.1,3275.0,3268.35,3181.36,171283
2000-05-08,WIPRO,EQ,3268.35,3399.0,3529.0,2876.15,2876.15,2878.1,3181.68,143795
2000-05-09,WIPRO,EQ,2878.1,2702.2,2980.0,2647.85,2950.1,2945.3,2843.41,145498
2000-05-10,WIPRO,EQ,2945.3,3040.0,3040.0,2795.0,2854.0,2854.9,2921.85,206886
2000-05-11,WIPRO,EQ,2854.9,2750.0,2750.0,2512.35,2580.0,2540.4,2622.49,221589
2000-05-12,WIPRO,EQ,2540.4,2599.0,2719.0,2377.0,2401.0,2427.1,2537.67,206222
2000-05-15,WIPRO,EQ,2427.1,2350.05,2621.25,2135.85,2460.0,2460.15,2393.04,266380
2000-05-16,WIPRO,EQ,2460.15,2488.0,2530.0,2400.0,2454.9,2440.8,2452.49,102299
2000-05-17,WIPRO,EQ,2440.8,2494.0,2620.0,2300.0,2360.0,2350.1,2489.04,178143
2000-05-18,WIPRO,EQ,2350.1,2301.0,2310.0,2068.1,2068.1,2068.1,2145.22,347722
2000-05-19,WIPRO,EQ,2068.1,1902.65,2079.0,1819.95,1995.0,1999.65,1899.56,841651
2000-05-22,WIPRO,EQ,1999.65,1921.0,1970.0,1761.1,1766.0,1787.1,1847.36,311929
2000-05-23,WIPRO,EQ,1787.1,1760.0,1860.0,1680.25,1852.0,1830.05,1796.42,390814
2000-05-24,WIPRO,EQ,1830.05,1789.9,1848.0,1711.0,1802.0,1817.05,1803.54,250215
2000-05-25,WIPRO,EQ,1817.05,1850.0,1924.95,1782.0,1806.0,1812.6,1850.28,209540
2000-05-26,WIPRO,EQ,1812.6,1799.9,1799.9,1595.1,1609.0,1610.7,1674.11,282196
2000-05-29,WIPRO,EQ,1610.7,1580.0,1725.0,1481.85,1651.0,1671.4,1612.65,303977
2000-05-30,WIPRO,EQ,1671.4,1699.0,1760.0,1653.0,1715.0,1722.15,1720.01,206371
2000-05-31,WIPRO,EQ,1722.15,1850.0,1928.8,1810.0,1835.0,1867.85,1874.78,379626
