,Headlines,Links
0,"We are not changing our position on Asian Paints, see no reason to worry: Marcellus’ Rakshit Ranjan",https://www.moneycontrol.com/news/business/we-are-not-changing-our-position-on-asian-paints-see-no-reason-to-worry-marcellus-rakshit-ranjan-8588431.html
1,Buy Asian Paints; target of Rs 3743: KR Choksey,https://www.moneycontrol.com/news/business/stocks/buy-asian-paints-target-of-rs-3743-kr-choksey-8500131.html
2,Buy Asian Paints; target of Rs 3708: YES Securities,https://www.moneycontrol.com/news/business/stocks/buy-asian-paints-target-of-rs-3708-yes-securities-8487151.html
3,Neutral Asian Paints; target of Rs 3120: Motilal Oswal,https://www.moneycontrol.com/news/business/stocks/neutral-asian-paints-target-of-rs-3120-motilal-oswal-8488771.html
4,Buy Asian Paints; target of Rs 3511: Prabhudas Lilladher,https://www.moneycontrol.com/news/business/stocks/buy-asian-paints-target-of-rs-3511-prabhudas-lilladher-2-8488161.html
5,Buy Asian Paints : target of Rs 3689: Sharekhan,https://www.moneycontrol.com/news/business/stocks/buy-asian-paints-target-of-rs-3689-sharekhan-3-8487191.html
6,"Asian Paints: Sustained volume growth, better margins drive Q4",https://www.moneycontrol.com/news/business/moneycontrol-research/asian-paints-sustained-volume-growth-better-margins-drive-q4-8492721.html
7,Jefferies maintains underperform rating for 'expensive' Asian Paints as inflation remains a concern,https://www.moneycontrol.com/news/business/jefferies-maintains-underperform-rating-for-expensive-asian-paints-as-inflation-remains-a-concern-8487011.html
8,"As Asian Paints trades lower after missing estimates, here's what brokerages have to say",https://www.moneycontrol.com/news/business/stocks/as-asian-paints-trades-lower-after-missing-estimates-heres-what-brokerages-have-to-say-8486921.html
9,"Asian Paints Consolidated March 2022 Net Sales at Rs 7,892.67 crore, up 18.66% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/asian-paints-consolidated-march-2022-net-sales-at-rs-7892-67-crore-up-18-66-y-o-y-8483771.html
10,"Asian Paints Standalone March 2022 Net Sales at Rs 6,754.64 crore, up 19.11% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/asian-paints-standalone-march-2022-net-sales-at-rs-6754-64-crore-up-19-11-y-o-y-8483661.html
11,"Asian Paints Q4: No growth in profit due to higher input cost, an exceptional loss",https://www.moneycontrol.com/news/business/earnings/asian-paints-q4-no-growth-in-profit-due-to-higher-input-cost-an-exceptional-loss-8482621.html
12,Asian Paints rises 3% ahead of results,https://www.moneycontrol.com/news/business/stocks/asian-paints-rises-3-ahead-of-results-8480611.html
13,Grievance relating to delisting of Asian Paints’ founders’ company reaches PMO,https://www.moneycontrol.com/news/business/grievance-relating-to-delisting-of-asian-paints-founders-company-reaches-pmo-8404221.html
14,"Saurabh Mukherjea dismisses concerns around HDFC merger; extremely bullish on Nestle, Asian Paints",https://www.moneycontrol.com/news/business/earnings/saurabh-mukherjea-dismisses-concerns-around-hdfc-merger-extremely-bullish-on-nestle-asian-paints-8392871.html
15,Asian Paints Q4 PAT may dip 0.2% YoY to Rs. 868.4 cr: ICICI Direct,https://www.moneycontrol.com/news/business/earnings/asian-paints-q4-pat-may-dip-0-2-yoy-to-rs-868-4-cr-icici-direct-8359881.html
16,Asian Paints Q4 PAT seen up 7.4% YoY to Rs 934.6 cr: Motilal Oswal,https://www.moneycontrol.com/news/business/asian-paints-q4-pat-seen-up-7-4-yoy-to-rs-934-6-cr-motilal-oswal-8330821.html
17,Buy Asian Paints: target of Rs 3689: Sharekhan,https://www.moneycontrol.com/news/business/stocks/buy-asian-paints-target-of-rs-3689-sharekhan-2-8318611.html
18,Indian Business Leader Awards: Ashwin Dani felicitated with Lifetime Achievement Award,https://www.moneycontrol.com/news/business/companies/indian-business-leader-awards-ashwin-dani-felicitated-with-lifetime-achievement-award-8305741.html
19,Buy Asian Paints: target of Rs 3689: Sharekhan,https://www.moneycontrol.com/news/business/stocks/buy-asian-paints-target-of-rs-3689-sharekhan-8256321.html
20,JK Cement set to make a foray into paint business,https://www.moneycontrol.com/news/business/companies/jk-cement-set-to-make-a-foray-into-paint-business-8197751.html
21,Crude oil shock for paint industry,https://www.moneycontrol.com/news/business/markets/crude-oil-shock-for-paint-industry-8190151.html
22,"Hot Stocks | Here is why you should buy Aditya Birla Fashion, Max Financial, & sell Asian Paints in short term",https://www.moneycontrol.com/news/business/markets/hot-stocks-here-is-why-you-should-buy-aditya-birla-fashion-max-financial-sell-asian-paints-in-short-term-8184971.html
23,"Berger Paints: With recovery gaining ground, should you buy it?",https://www.moneycontrol.com/news/business/moneycontrol-research/berger-paints-with-recovery-gaining-ground-should-you-buy-it-8108811.html
24,Buy Asian Paints; target of Rs 3906: KR Choksey,https://www.moneycontrol.com/news/business/stocks/buy-asian-paints-target-of-rs-3906-kr-choksey-8026581.html
25,Buy Asian Paints; target of Rs 3870: ICICI Direct,https://www.moneycontrol.com/news/business/stocks/buy-asian-paints-target-of-rs-3870-icici-direct-7999961.html
26,Buy Asian Paints; target of Rs 3762: Prabhudas Lilladher,https://www.moneycontrol.com/news/business/stocks/buy-asian-paints-target-of-rs-3762-prabhudas-lilladher-7981931.html
27,"Asian Paints Consolidated December 2021 Net Sales at Rs 8,527.24 crore, up 25.61% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/asian-paints-consolidated-december-2021-net-sales-at-rs-8527-24-crore-up-25-61-y-o-y-7973511.html
28,Asian Paints Q3: Margin recovery on track,https://www.moneycontrol.com/news/business/moneycontrol-research/asian-paints-q3-margin-recovery-on-track-7965291.html
29,"Asian Paints Results | Should you buy, sell or hold the stock after Q3 earnings?",https://www.moneycontrol.com/news/business/stocks/asian-paints-results-should-you-buy-sell-or-hold-the-stock-after-q3-earnings-7965581.html
30,Asian Paints Q3 PAT may dip 27.2% YoY to Rs. 921 cr: ICICI Direct,https://www.moneycontrol.com/news/business/earnings/asian-paints-q3-pat-may-dip-27-2-yoy-to-rs-921-cr-icici-direct-7946261.html
31,Asian Paints Q3 PAT may dip 6.2% YoY to Rs 596 cr: KRChoksey,https://www.moneycontrol.com/news/business/asian-paints-q3-pat-may-dip-6-2-yoy-to-rs-596-cr-krchoksey-7920471.html
32,"Hot Stocks | Here's why you should bet on Asian Paints, Pidilite Industries, HDFC Bank in short term",https://www.moneycontrol.com/news/business/markets/hot-stocks-heres-why-you-should-bet-on-asian-paints-pidilite-industries-hdfc-bank-in-short-term-7908471.html
33,"Hot Stocks | Here's why HCL Technologies, Wipro, Asian Paints may yield 12% return in short term",https://www.moneycontrol.com/news/business/markets/hot-stocks-heres-why-hcl-technologies-wipro-asian-paints-may-yield-12-return-in-short-term-7851301.html
34,"Trade Spotlight | What should you do with Indian Energy Exchange, Siemens, Asian Paints, and Thermax socks?",https://www.moneycontrol.com/news/business/markets/trade-spotlight-what-should-you-do-with-indian-energy-exchange-siemens-asian-paints-and-thermax-socks-7816711.html
35,Indian Paints Industry: Hoping for gloss to return by end of current fiscal,https://www.moneycontrol.com/news/business/markets/indian-paints-industry-hoping-for-gloss-to-return-by-the-end-of-current-fiscal-7807261.html
36,"Nifty can correct 1,000 points till Budget, says Sandeep Bhatia of Macquarie Group",https://www.moneycontrol.com/news/business/markets/nifty-can-correct-1000-points-till-budget-says-sandeep-bhatia-of-macquarie-group-7795331.html
37,Asian Paints to invest Rs 960 crore to expand Gujarat unit,https://www.moneycontrol.com/news/business/asian-paints-to-invest-rs-960-crore-to-expand-gujarat-unit-7772161.html
38,"Storyboard18 | Amazon, Asian Paints and Tata Tea emerge as India's most purposeful brands: report ",https://www.moneycontrol.com/news/trends/features/storyboard18-amazon-asian-paints-and-tata-tea-emerge-as-indias-most-purposeful-brands-report-2-7762141.html
39,"Asian Paints shares slip as proxy advisory firm flags related party issues, calls for resignation of promoters",https://www.moneycontrol.com/news/business/markets/asian-paints-shares-slip-as-proxy-advisory-firm-flags-related-party-issues-calls-for-resignation-of-promoters-7759981.html
40,"Asian Paints share gains 2% on price hike, Nomura maintains ‘buy’",https://www.moneycontrol.com/news/business/stocks/asian-paints-share-gains-2-on-price-hike-nomura-maintains-buy-7729771.html
41,"Asian Paints hikes prices again, this time by 4-5%, as input costs keep soaring",https://www.moneycontrol.com/news/business/companies/asian-paints-hikes-prices-again-this-time-by-4-5-7726321.html
42,"Trade Spotlight | What should you do with Asian Paints, Godrej Consumer Products, Axis Bank stocks?",https://www.moneycontrol.com/news/business/markets/trade-spotlight-what-should-you-do-with-asian-paints-godrej-consumer-products-axis-bank-stocks-7639801.html
43,Asian Paints share rises 6% on price increase; Nomura says another hike needed,https://www.moneycontrol.com/news/business/stocks/asian-paints-share-rises-6-on-price-increase-nomura-says-another-hike-needed-7634231.html
44,"Asian Paints, Berger Paints hike prices in highest-ever increase",https://www.moneycontrol.com/news/business/companies/asian-paints-berger-paints-hike-prices-in-the-highest-ever-increase-7634041.html
45,Buy Asian Paints; target of Rs 3675: Prabhudas Lilladher,https://www.moneycontrol.com/news/business/buy-asian-paints-target-of-rs-3675-prabhudas-lilladher-7627571.html
46,"Asian Paints Standalone September 2021 Net Sales at Rs 6,151.85 crore, up 35.9% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/asian-paints-standalone-september-2021-net-sales-at-rs-6151-85-crore-up-35-9-y-o-y-3-7627231.html
47,"Asian Paints Consolidated September 2021 Net Sales at Rs 7,096.01 crore, up 32.63% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/asian-paints-consolidated-september-2021-net-sales-at-rs-7096-01-crore-up-32-63-y-o-y-3-7627321.html
48,Hold Asian Paints; target of Rs 2800: Emkay Global Financial,https://www.moneycontrol.com/news/business/stocks/hold-asian-paints-target-of-rs-2800-emkay-global-financial-7624011.html
49,Neutral Asian Paints; target of Rs 2930: Motilal Oswal,https://www.moneycontrol.com/news/business/stocks/neutral-asian-paints-target-of-rs-2930-motilal-oswal-7623281.html
