,Headlines,Links
0,"SBI home loan, Axis Bank charges, car, bike insurance: Key rules that change from today",https://www.moneycontrol.com/news/business/sbi-home-loan-axis-bank-charges-car-bike-insurance-key-rules-that-change-from-today-8616641.html
1,"Hot Stocks | Here's why you should bet on Petronet LNG, Axis Bank for short term",https://www.moneycontrol.com/news/business/markets/hot-stocks-heres-why-you-should-bet-on-petronet-lng-axis-bank-for-short-term-8551521.html
2,Axis MF terminates Viresh Joshi: Should unit holders be worried?,https://www.moneycontrol.com/news/business/mutual-funds/axis-mf-terminates-viresh-joshi-should-unit-holders-be-worried-8541001.html
3,Buy Axis Bank; target of Rs 828: Geojit,https://www.moneycontrol.com/news/business/stocks/buy-axis-bank-target-of-rs-828-geojit-8489111.html
4,"SpiceJet, Axis Bank launch co-branded credit card",https://www.moneycontrol.com/news/business/spicejet-axis-bank-launch-co-branded-credit-card-8496951.html
5,Alleged frontrunning case at Axis Mutual Fund | What we Know so Far,https://www.moneycontrol.com/news/business/mutual-funds/alleged-frontrunning-case-at-axis-mutual-fund-what-we-know-so-far-8488871.html
6,"Axis Bank plans to scale up credit card business, says slippages under control",https://www.moneycontrol.com/news/business/axis-bank-plans-to-scale-up-credit-card-business-says-slippages-under-control-8483481.html
7,Axis MF frontrunning case: Axis Bank awaits probe report; will not take action against mutual fund officials for now,https://www.moneycontrol.com/news/business/personal-finance/axis-mf-frontrunning-case-axis-bank-awaits-probe-report-will-not-take-action-against-mutual-fund-officials-for-now-8482791.html
8,Buy Axis Bank; target of Rs 936: KR Choksey,https://www.moneycontrol.com/news/business/stocks/buy-axis-bank-target-of-rs-936-kr-choksey-3-8443391.html
9,Buy Axis Bank; target of Rs 930: Motilal Oswal,https://www.moneycontrol.com/news/business/stocks/buy-axis-bank-target-of-rs-930-motilal-oswal-2-8432071.html
10,Buy Axis Bank; target of Rs 970: ICICI Direct,https://www.moneycontrol.com/news/business/stocks/buy-axis-bank-target-of-rs-970-icici-direct-3-8432311.html
11,Buy Axis Bank: target of Rs 940: Sharekhan,https://www.moneycontrol.com/news/business/stocks/buy-axis-bank-target-of-rs-940-sharekhan-4-8431951.html
12,Accumulate Axis Bank; target of Rs 927: Arihant Capital,https://www.moneycontrol.com/news/business/stocks/accumulate-axis-bank-target-of-rs-927-arihant-capital-8431201.html
13,Union Bank becomes first public sector bank to go live on Account Aggregator framework,https://www.moneycontrol.com/news/business/announcements/union-bank-becomes-first-public-sector-bank-to-go-live-on-account-aggregator-framework-8434251.html
14,Buy Axis Bank; target of Rs 940: Prabhudas Lilladher,https://www.moneycontrol.com/news/business/stocks/buy-axis-bank-target-of-rs-940-prabhudas-lilladher-8431331.html
15,Buy Axis Bank; target of Rs 960: LKP Research,https://www.moneycontrol.com/news/business/stocks/buy-axis-bank-target-of-rs-960-lkp-research-8431661.html
16,Buy Axis Bank; target of Rs 1020: Emkay Global Financial,https://www.moneycontrol.com/news/business/stocks/buy-axis-bank-target-of-rs-1020-emkay-global-financial-3-8432561.html
17,"Axis Bank slumps post Q4 earnings: Should investors buy, sell or hold?",https://www.moneycontrol.com/news/business/stocks/as-axis-bank-has-reported-earnings-should-investors-buy-sell-or-hold-stock-8428011.html
18,"Markets with Santo and CJ | Know why Axis Bank, Quess Corp, Chennai Petro, IndiaMart and IIFL Finance are buzzing",https://www.moneycontrol.com/news/business/technicals/watch-markets-live-with-santo-and-cj-know-why-axis-bank-quess-corp-chennai-petro-indiamart-and-iifl-finance-are-buzzing-8427971.html
19,"RBI's new norms could hurt banks’ outstanding credit cards, margins: Axis Bank Official",https://www.moneycontrol.com/news/business/rbis-new-norms-could-hurt-banks-outstanding-credit-cards-margins-axis-bank-official-8426151.html
20,Moneycontrol Selects: Top stories this evening,https://www.moneycontrol.com/news/business/moneycontrol-selects-top-stories-this-evening-8-8426431.html
