,Headlines,Links
0,Bajaj Auto board defers share buyback plan,https://www.moneycontrol.com/news/business/bajaj-auto-board-defers-share-buyback-plan-8684531.html
1,Bajaj Auto board to consider share buyback on June 14,https://www.moneycontrol.com/news/business/companies/bajaj-auto-board-to-consider-share-buyback-on-june-14-8666151.html
2,"Tata Motors sees 185% surge in sales volume, Maruti Suzuki reports highest-ever exports in May",https://www.moneycontrol.com/news/business/tata-motors-sees-185-surge-in-sales-volume-bajaj-auto-reports-marginal-rise-in-may-2022-8619211.html
3,"Bajaj Auto reports marginal rise in total vehicle sales at 2,75,868 units in May",https://www.moneycontrol.com/news/business/bajaj-auto-reports-marginal-rise-in-total-vehicle-sales-at-275868-units-in-may-8617711.html
4,Buy Bajaj Auto; target of Rs 4350: Emkay Global Financial,https://www.moneycontrol.com/news/business/stocks/buy-bajaj-auto-target-of-rs-4350-emkay-global-financial-2-8487531.html
5,Supply-side issues slammed brakes on auto sales in April 2022,https://www.moneycontrol.com/news/business/moneycontrol-research/supply-side-issues-slammed-brakes-on-auto-sales-in-april-2022-8449171.html
6,"Bajaj Auto sales slip 20% to 3,10,774 units in April",https://www.moneycontrol.com/news/technology/auto/bajaj-auto-sales-slip-20-to-310774-units-in-april-8441451.html
7,Buy Bajaj Auto: target of Rs 4800: Sharekhan,https://www.moneycontrol.com/news/business/stocks/buy-bajaj-auto-target-of-rs-4800-sharekhan-4-8431981.html
8,Accumulate Bajaj Auto; target of Rs 4120: Prabhudas Lilladher,https://www.moneycontrol.com/news/business/stocks/accumulate-bajaj-auto-target-of-rs-4120-prabhudas-lilladher-8431421.html
9,Buy Bajaj Auto; target of Rs 4350: Emkay Global Financial,https://www.moneycontrol.com/news/business/stocks/buy-bajaj-auto-target-of-rs-4350-emkay-global-financial-8432551.html
10,Hold Bajaj Auto; target of Rs 3950: ICICI Direct,https://www.moneycontrol.com/news/business/stocks/hold-bajaj-auto-target-of-rs-3950-icici-direct-8426251.html
11,Buy Bajaj Auto; target of Rs 4395 LKP Research,https://www.moneycontrol.com/news/business/stocks/buy-bajaj-auto-target-of-rs-4395-lkp-research-8425771.html
12,Bajaj Auto: Doing well despite odds; available at reasonable valuation,https://www.moneycontrol.com/news/business/moneycontrol-research/bajaj-auto-doing-well-despite-odds-available-at-reasonable-valuation-8428431.html
13,Bajaj Auto forecasts 15-20% slide in motorcycle volumes for June quarter due to chip shortage,https://www.moneycontrol.com/news/business/earnings/bajaj-auto-forecasts-15-20-slide-in-motorcycle-volumes-for-june-quarter-due-to-chip-shortage-8423441.html
14,Bajaj Auto declares Q4 earnings; what should investors do now?,https://www.moneycontrol.com/news/business/stocks/bajaj-auto-declares-q4-earnings-what-should-investors-do-now-8421921.html
15,"Bajaj Auto Consolidated March 2022 Net Sales at Rs 7,974.84 crore, down 7.23% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/bajaj-auto-consolidated-march-2022-net-sales-at-rs-7974-84-crore-down-7-23-y-o-y-8422241.html
16,"Bajaj Auto Standalone March 2022 Net Sales at Rs 7,974.84 crore, down 7.23% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/bajaj-auto-standalone-march-2022-net-sales-at-rs-7974-84-crore-down-7-23-y-o-y-8422071.html
17,Moneycontrol Selects: Top stories this evening,https://www.moneycontrol.com/news/business/moneycontrol-selects-top-stories-this-evening-7-8420721.html
