,Headlines,Links
0,"There's a chance of healthy growth if inflation is kept under control, says Sanjiv Bajaj",https://www.moneycontrol.com/news/business/economy/theres-a-chance-of-healthy-growth-if-inflation-is-kept-under-control-says-sanjiv-bajaj-8658431.html
1,Important things to know about pre-approved personal loans,https://www.moneycontrol.com/news/business/announcements/important-things-to-know-about-pre-approved-personal-loans-8593571.html
2,Plan your finances with a Bajaj Finserv Personal Loan EMI Calculator,https://www.moneycontrol.com/news/business/announcements/plan-your-finances-with-a-bajaj-finserv-personal-loan-emi-calculator-8580681.html
3,4 ways to get a personal loan with a low CIBIL score,https://www.moneycontrol.com/news/business/announcements/4-ways-to-get-a-personal-loan-with-a-low-cibil-score-8518191.html
4,Bajaj Finserv Chairman and MD Sanjiv Bajaj elected as new CII president,https://www.moneycontrol.com/news/business/economy/bajaj-finserv-chairman-and-md-sanjiv-bajaj-elected-as-new-cii-president-8496791.html
5,Buy Bajaj Finserv; target of Rs 18536: KR Choksey,https://www.moneycontrol.com/news/business/stocks/buy-bajaj-finserv-target-of-rs-18536-kr-choksey-8458851.html
6,Buy Bajaj Finserv: target of Rs 20264: Sharekhan,https://www.moneycontrol.com/news/business/stocks/buy-bajaj-finserv-target-of-rs-20264-sharekhan-2-8446741.html
7,Buy Bajaj Finserv; target of Rs 18900: ICICI Direct,https://www.moneycontrol.com/news/business/stocks/buy-bajaj-finserv-target-of-rs-18900-icici-direct-8442881.html
8,"Bajaj Finserv Standalone March 2022 Net Sales at Rs 29.83 crore, down 88.1% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/bajaj-finserv-standalone-march-2022-net-sales-at-rs-29-83-crore-down-88-1-y-o-y-8425901.html
9,"Bajaj Finserv Consolidated March 2022 Net Sales at Rs 18,861.67 crore, up 22.58% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/bajaj-finserv-consolidated-march-2022-net-sales-at-rs-18861-67-crore-up-22-58-y-o-y-8426011.html
10,"LIVE: Morning Trade | As insurance stocks jump into focus ahead of LIC IPO, should you be buying them?",https://www.moneycontrol.com/news/business/technicals/live-morning-trade-as-insurance-stocks-jump-into-focus-ahead-of-lic-ipo-should-you-be-buying-them-8421741.html
11,What are the 5 best features of the Bajaj Finserv Insta EMI Card?,https://www.moneycontrol.com/news/business/announcements/what-are-the-5-best-features-of-the-bajaj-finserv-insta-emi-card-8416561.html
12,Smart insights to getting the best personal loan interest rate,https://www.moneycontrol.com/news/business/announcements/smart-insights-to-getting-the-best-personal-loan-interest-rate-8412411.html
