,Headlines,Links
0,"RBI monetary policy: Repo rate hiked by 50 bps, 9 rate-sensitive stocks can give 6-20% return",https://www.moneycontrol.com/news/business/markets/rbi-monetary-policy-repo-rate-hiked-by-50-bps-9-rate-sensitive-stocks-can-give-6-20-return-8658171.html
1,Best investment options to choose from in a volatile market,https://www.moneycontrol.com/news/business/announcements/best-investment-options-to-choose-from-in-a-volatile-market-8617961.html
2,Buy Bajaj Finance; target of Rs 8183: KR Choksey,https://www.moneycontrol.com/news/business/stocks/buy-bajaj-finance-target-of-rs-8183-kr-choksey-8442921.html
3,Buy Bajaj Finance: target of Rs 9097: Sharekhan,https://www.moneycontrol.com/news/business/stocks/buy-bajaj-finance-target-of-rs-9097-sharekhan-4-8418291.html
4,Buy Bajaj Finance; target of Rs 9500: ICICI Direct,https://www.moneycontrol.com/news/business/stocks/buy-bajaj-finance-target-of-rs-9500-icici-direct-2-8417561.html
5,Buy Bajaj Finance; target of Rs 8350: Motilal Oswal,https://www.moneycontrol.com/news/business/stocks/buy-bajaj-finance-target-of-rs-8350-motilal-oswal-8417761.html
6,Buy Bajaj Finance; target of Rs 9000: YES Securities,https://www.moneycontrol.com/news/business/stocks/buy-bajaj-finance-target-of-rs-9000-yes-securities-8417661.html
7,Bajaj Finance sulks despite good Q4 show: What should investors do now?,https://www.moneycontrol.com/news/business/stocks/bajaj-finance-announces-q4-earnings-what-should-investors-do-now-8415921.html
8,"Buzzing Stocks | Bajaj Finance, HUL, Bajaj Auto, Wipro and others in news today",https://www.moneycontrol.com/news/photos/business/stocks/buzzing-stocks-bajaj-finance-hul-bajaj-auto-wipro-and-others-in-news-today-8415541.html
9,"Bajaj Finance Consolidated March 2022 Net Sales at Rs 8,626.57 crore, up 25.92% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/bajaj-finance-consolidated-march-2022-net-sales-at-rs-8626-57-crore-up-25-92-y-o-y-8414491.html
10,"Bajaj Finance Standalone March 2022 Net Sales at Rs 7,617.08 crore, up 26.82% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/bajaj-finance-standalone-march-2022-net-sales-at-rs-7617-08-crore-up-26-82-y-o-y-8414371.html
11,Bajaj Finance net profit jumps 80% YoY in March quarter,https://www.moneycontrol.com/news/business/earnings/bajaj-finance-net-profit-jumps-80-yoy-in-march-quarter-8414151.html
12,Bajaj Finance Fixed Deposit interest rate increase. Latest FD rates up to 7.35% p.a. effective today.,https://www.moneycontrol.com/news/business/announcements/bajaj-finance-fixed-deposit-interest-rate-increase-latest-fd-rates-up-to-7-35-p-a-effective-today-8405551.html
13,RBI's new credit card issuance rules: Three key points explained,https://www.moneycontrol.com/news/business/startup/rbis-new-credit-card-issuance-rules-three-key-points-explained-8397081.html
14,How Bajaj Finance can help grow your savings efficiently with FD rates up to 7.05% p.a.,https://www.moneycontrol.com/news/business/announcements/how-bajaj-finance-can-help-grow-your-savings-efficiently-with-fd-rates-up-to-7-05-p-a-8323891.html
15,Jefferies says Bajaj Finance to sustain premium valuations over peers,https://www.moneycontrol.com/news/business/markets/jefferies-says-bajaj-finance-to-sustain-premium-valuations-over-peers-8200871.html
16,Top 10 trading ideas by experts for next 3-4 weeks as market hits 7-month low amid Ukraine-Russia war,https://www.moneycontrol.com/news/business/markets/top-10-trading-ideas-by-experts-for-next-3-4-weeks-as-market-hits-7-month-low-amid-ukraine-russia-war-8199211.html
17,"Hot Stocks | Here is why you should buy Tech Mahindra, sell Bajaj Finance in short term",https://www.moneycontrol.com/news/business/markets/hot-stocks-here-is-why-you-should-buy-tech-mahindra-sell-bajaj-finance-in-short-term-8195871.html
18,Is Paytm worth a bet after Q3 earnings and a steep price correction?,https://www.moneycontrol.com/news/business/moneycontrol-research/is-paytm-worth-a-bet-after-q3-earnings-and-a-steep-price-correction-8056351.html
19,Get generous FD interest rates from Bajaj Finance and secure your golden years,https://www.moneycontrol.com/news/business/announcements/get-generous-fd-interest-rates-from-bajaj-finance-and-secure-your-golden-years-8049811.html
20,"With high FD rates from Bajaj Finance, get the benefit of growth and secured returns",https://www.moneycontrol.com/news/business/announcements/with-high-fd-rates-from-bajaj-finance-get-the-benefit-of-growth-and-secured-returns-7981211.html
21,Buy Bajaj Finance; target of Rs 9080: Motilal Oswal,https://www.moneycontrol.com/news/business/stocks/buy-bajaj-finance-target-of-rs-9080-motilal-oswal-7967801.html
22,Buy Bajaj Finance: target of Rs 9097: Sharekhan,https://www.moneycontrol.com/news/business/stocks/buy-bajaj-finance-target-of-rs-9097-sharekhan-3-7967751.html
23,Buy Bajaj Finance; target of Rs 8953: Prabhudas Lilladher,https://www.moneycontrol.com/news/business/stocks/buy-bajaj-finance-target-of-rs-8953-prabhudas-lilladher-7967261.html
24,Bajaj Finance: What to watch out for as the NBFC kicks off Phase II of its digital transformation,https://www.moneycontrol.com/news/business/companies/bajaj-finance-what-to-watch-out-for-as-the-nbfc-kicks-off-phase-ii-of-its-digital-transformation-7974701.html
