,Headlines,Links
0,Airtel unveils India's first multiplex in metaverse,https://www.moneycontrol.com/news/technology/airtel-unveils-indias-first-multiplex-in-metaverse-8686501.html
1,Airtel Xstream reaches 2 million paid subscriber mark; to double down on regional content strategy,https://www.moneycontrol.com/news/business/airtel-xstream-reaches-2-million-paid-subscriber-mark-to-double-down-on-regional-content-strategy-8678581.html
2,"Airtel Africa, Others Receive Notice to Pay About $180 Million to Congo",https://www.moneycontrol.com/news/business/airtel-africa-others-receive-notice-to-pay-about-180-million-to-congo-8656321.html
3,Private telcos to hike tariffs in H2; FY23 revenues to jump by a fourth: Report,https://www.moneycontrol.com/news/india/private-telcos-to-hike-tariffs-in-h2-fy23-revenues-to-jump-by-a-fourth-report-8614751.html
4,Moneycontrol Selects: Top stories this evening,https://www.moneycontrol.com/news/business/moneycontrol-selects-top-stories-this-evening-29-8585281.html
5,Bharti Airtel: Will Tariff Hikes Continue To Aid Future Performance?,https://www.moneycontrol.com/news/business/technicals/bharti-airtel-will-tariff-hikes-continue-to-aid-future-performance-8532321.html
6,"Airtel to set up digital technology hub in Pune, to hire 500 people by end of this fiscal",https://www.moneycontrol.com/news/business/airtel-to-set-up-digital-technology-hub-in-pune-to-hire-500-people-by-end-of-this-fiscal-8509361.html
7,"Airtel broadband suffers major outage across India, millions of users affected",https://www.moneycontrol.com/news/business/airtel-broadband-suffers-major-outage-across-india-millions-of-users-affected-8467401.html
8,DoT releases bank guarantees of Airtel and Vodafone Idea: Report,https://www.moneycontrol.com/news/business/dot-releases-bank-guarantees-of-airtel-and-vodafone-idea-report-8337831.html
9,"Airtel prepays Rs 8,815 cr towards deferred liabilities for 2015 spectrum",https://www.moneycontrol.com/news/business/airtel-prepays-rs-8815-cr-towards-deferred-liabilities-for-2015-spectrum-8273711.html
10,Bharti Airtel acquires strategic stake in Singapore-based blockchain technology start-up Aqilliz,https://www.moneycontrol.com/news/business/companies/bharti-airtel-acquires-strategic-stake-in-singapore-based-blockchain-technology-start-up-aqilliz-8157351.html
11,The Tech Weekender: Top news from the world of technology this week,https://www.moneycontrol.com/news/photos/technology/the-tech-weekender-top-news-from-the-world-of-technology-this-week-15-8083911.html
12,Airtel internet outage: Users across India complain as WFH disrupted,https://www.moneycontrol.com/news/trends/airtel-internet-outage-users-across-india-complain-as-wfh-disrupted-8078831.html
13,"Tariff hike dents Bharti Airtel's user base, more subscribers disconnect",https://www.moneycontrol.com/news/telecom/tariff-hike-dents-airtels-user-base-more-subscribers-disconnect-8071871.html
14,Ideas For Profit |  Bharti Airtel: Factors that could drive up to 14% upside on current stock price,https://www.moneycontrol.com/news/business/earnings/ideas-for-profit-bharti-airtel-factors-that-could-drive-up-to-14-upside-on-current-stock-price-8067151.html
15,Airtel to invest Rs 1.17 lakh crore Capex in four years through subsidiaries,https://www.moneycontrol.com/news/business/markets/airtel-to-invest-rs-1-17-lakh-crore-capex-in-four-years-through-subsidiaries-8047651.html
16,Decoding the Google-Airtel Deal | What is in it for the companies? ,https://www.moneycontrol.com/news/business/decoding-the-google-airtel-deal-what-is-in-it-for-the-companies-7999511.html
17,5G services to be rolled out in 13 cities next year: DoT,https://www.moneycontrol.com/news/telecom/5g-services-to-be-rolled-out-in-13-cities-next-year-dot-7873381.html
18,Reliance Chairman Mukesh Ambani outlines importance of digital revolution at India Mobile Congress 2021: Read full text of his speech,https://www.moneycontrol.com/news/telecom/reliance-chairman-mukesh-ambani-outlines-importance-of-digital-revolution-at-india-mobile-congress-2021-read-full-text-of-his-speech-7802991.html
19,M-cap of nine out of the top 10 most valued firms eroded by Rs 2.62 lakh crore,https://www.moneycontrol.com/news/photos/business/in-pics-m-cap-of-nine-out-of-the-top-10-most-valued-firms-eroded-by-rs-2-62-lakh-crore-7770091.html
20,Ideas For Profit | Bharti Airtel: Tariff hike & improving performance to drive stock upside,https://www.moneycontrol.com/news/business/markets/ideas-for-profit-bharti-airtel-tariff-hike-improving-performance-to-drive-stock-upside-7753271.html
21,"With tariff hike, Airtel moves to make business sustainable for the long term",https://www.moneycontrol.com/news/business/moneycontrol-research/with-tariff-hike-airtel-moves-to-make-business-sustainable-for-the-long-term-7750331.html
22,"Bharti Airtel raises mobile tariffs, prepaid rates up 20-25% from November 26",https://www.moneycontrol.com/news/business/bharti-airtel-raises-mobile-tariffs-prepaid-rates-up-20-25-from-november-26-7745861.html
23,"Veterans Unpacked | Sanjay Kapoor: Your next competitor can come from anywhere, and the winner can't take all",https://www.moneycontrol.com/news/trends/features/sanjay-kapoor-the-next-competitor-or-collaborator-can-come-from-anywhere-and-the-winner-cant-take-all-7742261.html
24,"Stellar quarter from Airtel, accumulate for long term",https://www.moneycontrol.com/news/business/moneycontrol-research/stellar-quarter-from-airtel-accumulate-for-long-term-7672051.html
25,Bharti Airtel commits 50% cut in greenhouse gas emissions across ops by FY31,https://www.moneycontrol.com/news/business/bharti-airtel-commits-50-cut-in-greenhouse-gas-emissions-across-ops-by-fy31-7486251.html
26,Airtel hikes prices of plans offering Disney+Hotstar subscription,https://www.moneycontrol.com/news/business/airtel-hikes-prices-of-plans-offering-disneyhotstar-subscription-7475831.html
27,Telecom relief package: What does it mean for Vodafone-Idea?,https://www.moneycontrol.com/news/business/moneycontrol-research/telecom-relief-package-what-does-it-mean-for-vodafone-idea-7471851.html
