,Headlines,Links
0,"Hot Stocks | Here is why you should bet on BPCL, Thyrocare Technologies in short term",https://www.moneycontrol.com/news/business/markets/hot-stocks-here-is-why-you-should-bet-on-bpcl-thyrocare-technologies-in-short-term-8675211.html
1,OMCs up ethanol procurement price as part of 6-months relief package,https://www.moneycontrol.com/news/business/economy/omcs-up-ethanol-procurement-price-as-part-of-6-months-relief-package-8668411.html
2,What is a windfall tax and why is it back in discussion?,https://www.moneycontrol.com/news/business/what-is-a-windfall-tax-and-why-is-it-back-in-discussion-8608711.html
3,Buy BPCL; target of Rs 415: Emkay Global Financial,https://www.moneycontrol.com/news/business/stocks/buy-bpcl-target-of-rs-415-emkay-global-financial-8598871.html
4,"Morning Trade | Results focus on M&M, JSW Steel, Nykaa",https://www.moneycontrol.com/shows/morning-trade/morning-trade-results-focus-on-mm-jsw-steel-nykaa-8601851.html
5,Moneycontrol Selects: Top stories this evening,https://www.moneycontrol.com/news/business/moneycontrol-selects-top-stories-this-evening-30-8593661.html
6,"BPCL Consolidated March 2022 Net Sales at Rs 104,079.84 crore, up 35.73% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/bpcl-consolidated-march-2022-net-sales-at-rs-104079-84-crore-up-35-73-y-o-y-8581211.html
7,"BPCL Standalone March 2022 Net Sales at Rs 108,773.57 crore, up 41.48% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/bpcl-standalone-march-2022-net-sales-at-rs-108773-57-crore-up-41-48-y-o-y-8580871.html
8,"Government may sell only part of BPCL, instead of entire stake: Report",https://www.moneycontrol.com/news/economy/policy/govt-weighs-selling-part-of-bpcl-instead-of-full-stake-report-8525911.html
9,MG Motor India partners with BPCL to bolster EV charging infrastructure,https://www.moneycontrol.com/news/business/mg-motor-india-partners-with-bpcl-to-bolster-ev-charging-infrastructure-8406431.html
10,"Government has withdrawn BPCL divestment offer, will come back with a revised plan: Anil Agarwal",https://www.moneycontrol.com/news/business/economy/government-has-withdrawn-bpcl-divestment-offer-will-come-back-with-a-revised-plan-anil-agarwal-8395891.html
11,How refineries survived the oil shock ,https://www.moneycontrol.com/news/opinion/how-refineries-survived-the-oil-shock-8393911.html
12,Government may take fresh look at BPCL privatisation,https://www.moneycontrol.com/news/business/govt-may-take-fresh-look-at-bpcl-privatisation-8389861.html
13,"Refinery margins, inventory gains to offset losses on petrol, diesel: Fitch",https://www.moneycontrol.com/news/business/refinery-margins-inventory-gains-to-offset-losses-on-petrol-diesel-fitch-8379201.html
14,"BPCL teams up with Microsoft to leverage cloud, AI technologies",https://www.moneycontrol.com/news/business/bpcl-teams-up-with-microsoft-to-leverage-cloud-ai-technologies-8361391.html
15,"BPCL to invest Rs 200 crore to set up 100 fast EV charging corridors with 2,000 stations",https://www.moneycontrol.com/news/technology/auto/bpcl-to-invest-rs-200-crore-to-set-up-100-fast-ev-charging-corridors-with-2000-stations-8356351.html
16,BPCL to explore green energy possibilities in Odisha,https://www.moneycontrol.com/news/business/bpcl-to-explore-green-energy-possibilities-in-odisha-8349141.html
17,Bharat Petroleum buys 2 million barrels of Russian Urals for May loading: Report,https://www.moneycontrol.com/news/business/bharat-petroleum-buys-2-million-barrels-of-russian-urals-for-may-loading-report-8325301.html
18,"ONGC sells Russia's Sokol oil to BPCL, HPCL: Report",https://www.moneycontrol.com/news/business/ongc-sells-russias-sokol-oil-to-bpcl-hpcl-report-8287391.html
19,"BPCL launches voice-based LPG booking, payment facility",https://www.moneycontrol.com/news/business/bpcl-launches-voice-based-lpg-booking-payment-facility-8245741.html
20,BPCL delays 25-day crude unit shutdown to May: Report,https://www.moneycontrol.com/news/business/india-bpcl-delays-25-day-crude-unit-shutdown-to-may-report-8240021.html
21,BPCL's amalgamation of subsidiaries to improve synergies: Fitch Ratings,https://www.moneycontrol.com/news/business/bpcls-amalgamation-of-subsidiaries-to-improve-synergies-fitch-ratings-8230001.html
22,"BPCL seeks extra Gulf oil, fearing Russian supply hit: Report",https://www.moneycontrol.com/news/business/bpcl-seeks-extra-gulf-oil-fearing-russian-supply-hit-report-8180581.html
23,Hero MotoCorp joins hands with BPCL to set up charging infra for two-wheeled EVs,https://www.moneycontrol.com/news/business/hero-motocorp-joins-hands-with-bpcl-to-set-up-charging-infra-for-two-wheeled-evs-8149531.html
24,BPCL divestment will be successful like Air India privatisation: Minister Hardeep Singh Puri,https://www.moneycontrol.com/news/business/economy/bpcl-divestment-will-be-successful-like-air-india-privatisation-minister-hardeep-singh-puri-8114251.html
25,"Network 18 Exclusive: Funding for BPCL deal will never happen from Vedanta, says Anil Agarwal",https://www.moneycontrol.com/news/business/funding-for-bpcl-deal-will-never-happen-from-vedanta-says-anil-agarwal-8065921.html
26,Finance ministry goes into wait-and-watch mode on BPCL privatisation as buyers row back on initial bids,https://www.moneycontrol.com/news/business/finance-ministry-goes-into-wait-and-watch-mode-on-bpcl-privatisation-as-buyers-row-back-on-initial-bids-8064401.html
27,Vedanta says BPCL buyout to be through fund set up with strategic investor,https://www.moneycontrol.com/news/business/economy/vedanta-says-potential-bpcl-buy-would-be-via-fund-set-up-with-strategic-investor-8060721.html
28,Buy BPCL; target of Rs 468: Motilal Oswal,https://www.moneycontrol.com/news/business/stocks/buy-bpcl-target-of-rs-468-motilal-oswal-8034021.html
29,"BPCL says no bidder visits in Q3, privatisation may be pushed to next fiscal",https://www.moneycontrol.com/news/business/bpcl-says-no-bidder-visits-in-q3-privatisation-may-be-pushed-to-next-fiscal-8027991.html
30,"BPCL Consolidated December 2021 Net Sales at Rs 95,326.00 crore, up 44.27% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/bpcl-consolidated-december-2021-net-sales-at-rs-95326-00-crore-up-44-27-y-o-y-2-8015391.html
31,"BPCL Consolidated December 2021 Net Sales at Rs 95,326.00 crore, up 44.27% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/bpcl-consolidated-december-2021-net-sales-at-rs-95326-00-crore-up-44-27-y-o-y-8012001.html
32,"BPCL Standalone December 2021 Net Sales at Rs 101,045.25 crore, up 51.42% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/bpcl-standalone-december-2021-net-sales-at-rs-101045-25-crore-up-51-42-y-o-y-8011541.html
33,"BPCL to invest Rs 10,000 crore in 6 new city gas licences",https://www.moneycontrol.com/news/business/bpcl-to-invest-rs-10000-crore-in-6-new-city-gas-licences-7983421.html
34,BPCL gains 2% after winning bid for city gas distribution networks,https://www.moneycontrol.com/news/business/stocks/bpcl-gains-2-after-winning-bid-for-city-gas-distribution-networks-7981151.html
35,Goa wants to restart mining. What does Goa’s youth want?,https://www.moneycontrol.com/news/environment/goa-wants-to-restart-mining-what-does-goas-youth-want-7814431.html
36,Hot Stocks | Here's why you should sell BPCL and Ashok Leyland for short term,https://www.moneycontrol.com/news/business/markets/hot-stocks-heres-why-you-should-sell-bpcl-and-ashok-leyland-for-short-term-7745091.html
37,Buy BPCL; target of Rs 605: Motilal Oswal,https://www.moneycontrol.com/news/business/stocks/buy-bpcl-target-of-rs-605-motilal-oswal-7674871.html
38,"BPCL Q2 net profit up 24% to Rs 3,200.9 crore on lower base; revenue jump to Rs 1.02 lakh crore",https://www.moneycontrol.com/news/business/earnings/bpcl-q2-net-profit-up-24-to-rs-3200-9-crore-on-lower-base-revenue-jump-to-rs-1-02-lakh-crore-7653631.html
39,"Govt gets Rs 6,665 crore dividend from BPCL for FY21",https://www.moneycontrol.com/news/business/govt-gets-rs-6665-crore-dividend-from-bpcl-for-fy21-7636741.html
40,"Joint oil procurement to cut import bill, says Hardeep Singh Puri",https://www.moneycontrol.com/news/india/joint-oil-procurement-to-cut-import-bill-says-hardeep-singh-puri-7615481.html
41,"BPCL, SCI, BEML, CEL sales likely to conclude in FY22; CONCOR delayed: DIPAM Secy",https://www.moneycontrol.com/news/business/bpcl-sci-beml-cel-sales-likely-to-conclude-in-fy22-concor-delayed-dipam-secy-7575291.html
42,BPCL privatisation not to impact upcoming petrochemical park: Kerala govt,https://www.moneycontrol.com/news/business/bpcl-privatisation-not-to-impact-upcoming-petrochemical-park-kerala-govt-7573301.html
43,"BPCL Privatisation: SEBI unlikely to exempt open offers for Petronet, IGL",https://www.moneycontrol.com/news/business/bpcl-privatisation-sebi-unlikely-to-exempt-open-offers-for-petronet-igl-7555091.html
44,"BPCL plans to build 1,000 EV charging stations",https://www.moneycontrol.com/news/business/bpcl-plans-to-build-1000-ev-charging-stations-7521301.html
45,BPCL to invest Rs 1 lakh crore to become future-ready,https://www.moneycontrol.com/news/business/bpcl-to-invest-rs-1-lakh-crore-to-become-future-ready-7513961.html
46,"BPCL, SBI Card launch co-branded RuPay contactless credit card",https://www.moneycontrol.com/news/business/bpcl-sbi-card-launch-co-branded-rupay-contactless-credit-card-7500111.html
47,BPCL creates separate platform for LPG subsidy: Report,https://www.moneycontrol.com/news/business/bpcl-creates-separate-platform-for-lpg-subsidy-report-7438631.html
48,Fitch Ratings says BPCL privatisation may get delayed,https://www.moneycontrol.com/news/business/fitch-ratings-says-bpcl-privatisation-may-get-delayed-7436761.html
49,Global oil majors may be joining race for BPCL,https://www.moneycontrol.com/news/india/global-oil-majors-may-be-joining-race-for-bpcl-7392831.html
50,"No decision on stake sale in Petronet, IGL yet: BPCL",https://www.moneycontrol.com/news/business/no-decision-on-stake-sale-in-petronet-igl-yet-bpcl-7332031.html
51,"BPCL Standalone June 2021 Net Sales at Rs 70,921.28 crore, up 82.86% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/bpcl-standalone-june-2021-net-sales-at-rs-70921-28-crore-up-82-86-y-o-y-7328861.html
52,"BPCL Consolidated June 2021 Net Sales at Rs 70,946.37 crore, up 86.7% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/bpcl-consolidated-june-2021-net-sales-at-rs-70946-37-crore-up-86-7-y-o-y-7327211.html
