,Headlines,Links
0,"Markets with Santo & CJ | Movers & Shakers today: Adani Green, Adani Total, Britannia, ITC, Varroc",https://www.moneycontrol.com/news/business/markets/markets-live-with-santo-and-cj-as-duo-check-out-movers-and-shakers-adani-green-adani-total-britannia-itc-varroc-8455221.html
1,"Britannia Standalone March 2022 Net Sales at Rs 3,336.45 crore, up 13% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/britannia-standalone-march-2022-net-sales-at-rs-3336-45-crore-up-13-y-o-y-8449721.html
2,"Britannia Consolidated March 2022 Net Sales at Rs 3,550.45 crore, up 13.41% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/britannia-consolidated-march-2022-net-sales-at-rs-3550-45-crore-up-13-41-y-o-y-8449461.html
3,Britannia Q4 PAT seen up 6.2% YoY to Rs 381.9 cr: Motilal Oswal,https://www.moneycontrol.com/news/business/britannia-q4-pat-seen-up-6-2-yoy-to-rs-381-9-cr-motilal-oswal-8330871.html
4,Britannia aims 50% women in workforce by 2024,https://www.moneycontrol.com/news/business/britannia-aims-50-women-in-workforce-by-2024-8243751.html
5,Britannia to increase women workforce in Assam plant to 65%,https://www.moneycontrol.com/news/business/britannia-to-increase-women-workforce-in-assam-plant-to-65-8206351.html
6,FMCG companies indicate more product price increases ahead,https://www.moneycontrol.com/news/business/companies/fmcg-companies-indicate-more-product-price-increases-ahead-8066721.html
7,"Britannia Consolidated December 2021 Net Sales at Rs 3,574.98 crore, up 12.93% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/britannia-consolidated-december-2021-net-sales-at-rs-3574-98-crore-up-12-93-y-o-y-8015691.html
8,"Britannia Standalone December 2021 Net Sales at Rs 3,373.70 crore, up 13.26% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/britannia-standalone-december-2021-net-sales-at-rs-3373-70-crore-up-13-26-y-o-y-8013941.html
9,Britannia: In-line performance; gain in market share continues,https://www.moneycontrol.com/news/business/moneycontrol-research/britannia-in-line-performance-gain-in-market-share-continues-8012781.html
10,Lenovo’s Amit Doshi joins Britannia as chief marketing officer,https://www.moneycontrol.com/news/business/lenovos-amit-doshi-joins-britannia-as-chief-marketing-officer-7938481.html
11,Mrs Bectors Food Specialities: Can it beat the industry?,https://www.moneycontrol.com/news/business/stocks/mrs-bectors-food-specialities-well-poised-to-outperform-industry-7843461.html
12,"Britannia: Tepid volume, inflationary input costs mar the show",https://www.moneycontrol.com/news/business/earnings/britannia-tepid-volume-inflationary-input-costs-mar-the-show-7699771.html
13,"Britannia Standalone September 2021 Net Sales at Rs 3,425.30 crore, up 6.13% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/britannia-standalone-september-2021-net-sales-at-rs-3425-30-crore-up-6-13-y-o-y-7691901.html
14,"Britannia Consolidated September 2021 Net Sales at Rs 3,607.37 crore, up 5.51% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/britannia-consolidated-september-2021-net-sales-at-rs-3607-37-crore-up-5-51-y-o-y-7692011.html
15,Britannia Q2 PAT may dip 13.9% YoY to Rs 426.7 cr: Motilal Oswal,https://www.moneycontrol.com/news/business/britannia-q2-pat-may-dip-13-9-yoy-to-rs-426-7-cr-motilal-oswal-7569851.html
16,Britannia collaborates with Accenture to accelerate its digital transformation,https://www.moneycontrol.com/news/business/britannia-collaborates-with-accenture-to-accelerate-its-digital-transformation-7522601.html
17,"Amul, Britannia only Indian firms on top 100 most valuable food brands list",https://www.moneycontrol.com/news/trends/amul-britannia-only-two-indian-companies-among-top-100-most-valuable-global-food-brands-7376381.html
18,"Britannia Consolidated June 2021 Net Sales at Rs 3,403.46 crore, down 0.5% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/britannia-consolidated-june-2021-net-sales-at-rs-3403-46-crore-down-0-5-y-o-y-7268091.html
19,"Britannia Industries: Higher cost focus, judicious price increase to support earnings",https://www.moneycontrol.com/news/business/earnings/britannia-industries-higher-cost-focus-judicious-price-increase-to-support-earnings-7266051.html
