,Headlines,Links
0,"Cipla, DNDi launch 4-in-1 antiretroviral treatment for children with HIV",https://www.moneycontrol.com/news/business/cipla-dndi-launch-4-in-1-antiretroviral-treatment-for-children-with-hiv-8685641.html
1,Accumulate Cipla; target of Rs 1020: KR Choksey,https://www.moneycontrol.com/news/business/stocks/accumulate-cipla-target-of-rs-1020-kr-choksey-8500101.html
2,Buy Cipla; target of Rs 1095: ICICI Direct,https://www.moneycontrol.com/news/business/stocks/buy-cipla-target-of-rs-1095-icici-direct-8490611.html
3,Neutral Cipla; target of Rs 880: Motilal Oswal,https://www.moneycontrol.com/news/business/stocks/neutral-cipla-target-of-rs-880-motilal-oswal-8488731.html
4,Buy Cipla; target of Rs 1085: Prabhudas Lilladher,https://www.moneycontrol.com/news/business/stocks/buy-cipla-target-of-rs-1085-prabhudas-lilladher-8488211.html
5,Buy Cipla: target of Rs 1150: Sharekhan,https://www.moneycontrol.com/news/business/stocks/buy-cipla-target-of-rs-1150-sharekhan-3-8487211.html
6,Cipla: Targets for US complex generics on track,https://www.moneycontrol.com/news/business/moneycontrol-research/cipla-targets-for-us-complex-generics-on-track-8493741.html
7,As Cipla falls after earnings; should you buy or sell stock?,https://www.moneycontrol.com/news/business/stocks/as-cipla-falls-after-earnings-should-you-buy-or-sell-stock-8485681.html
8,"Cipla Standalone March 2022 Net Sales at Rs 2,946.61 crore, down 8.86% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/cipla-standalone-march-2022-net-sales-at-rs-2946-61-crore-down-8-86-y-o-y-8486191.html
9,"Cipla Consolidated March 2022 Net Sales at Rs 5,260.33 crore, up 14.19% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/cipla-consolidated-march-2022-net-sales-at-rs-5260-33-crore-up-14-19-y-o-y-8486351.html
10,Cipla inks pact with Genes2Me to launch COVID-19 RT PCR test kit,https://www.moneycontrol.com/news/business/cipla-inks-pact-with-genes2me-to-launch-covid-19-rt-pcr-test-kit-8480791.html
11,Cipla Q4 PAT seen up 27.6% YoY to Rs 527.6 cr: Prabhudas Lilladher,https://www.moneycontrol.com/news/business/cipla-q4-pat-seen-up-27-6-yoy-to-rs-527-6-cr-prabhudas-lilladher-8362171.html
12,Buy Cipla: target of Rs 1150: Sharekhan,https://www.moneycontrol.com/news/business/stocks/buy-cipla-target-of-rs-1150-sharekhan-2-8305111.html
13,"Analysts initiate coverage on 5 stocks with buy rating, expect 14-39 percent returns",https://www.moneycontrol.com/news/business/markets/analysts-initiate-coverage-on-5-stocks-with-buy-rating-expect-14-39-percent-returns-8260901.html
14,"Pharma companies turn to acquisitions to build scale, gain an edge",https://www.moneycontrol.com/news/opinion/pharma-companies-turn-to-acquisitions-to-build-scale-gain-an-edge-8228221.html
15,"Trade Spotlight | What should investors do with GNFC, BGR Energy, Laurus Labs, Cipla and Gujarat Ambuja Exports today?",https://www.moneycontrol.com/news/business/markets/trade-spotlight-what-should-investors-do-with-gnfc-bgr-energy-laurus-labs-cipla-and-gujarat-ambuja-exports-today-8224711.html
16,Cipla shares tank as promoters trim stake in block deal,https://www.moneycontrol.com/news/business/markets/ciplas-stock-falls-ahead-of-promoters-block-deal-to-offload-minority-stake-8097481.html
17,"Cipla promoters to sell up to 2.5% of drugmaker today for Rs 1,844 crore",https://www.moneycontrol.com/news/business/markets/cipla-promoters-to-sell-up-to-2-5-of-drugmaker-today-for-rs-1844-crore-8097091.html
18,Cipla to pick up 32.49% stake in solar power firm,https://www.moneycontrol.com/news/business/cipla-to-buy-32-49-stake-in-solar-power-firm-8042671.html
19,Accumulate Cipla; target of Rs 998: KR Choksey,https://www.moneycontrol.com/news/business/stocks/accumulate-cipla-target-of-rs-998-kr-choksey-8026801.html
20,Buy Cipla; target of Rs 1100: ICICI Direct,https://www.moneycontrol.com/news/business/stocks/buy-cipla-target-of-rs-1100-icici-direct-8000511.html
21,"Cipla Consolidated December 2021 Net Sales at Rs 5,478.86 crore, up 6% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/cipla-consolidated-december-2021-net-sales-at-rs-5478-86-crore-up-6-y-o-y-2-7996911.html
22,Cipla's US business scale-up places it firmly on growth path,https://www.moneycontrol.com/news/opinion/ciplas-us-business-scale-up-places-it-firmly-on-growth-path-7994571.html
23,"What should investors do with Cipla post Q3 earnings; buy, sell or hold?",https://www.moneycontrol.com/news/business/stocks/what-should-investors-do-with-cipla-post-q3-earnings-buy-sell-or-hold-7988921.html
24,"Cipla Consolidated December 2021 Net Sales at Rs 5,478.86 crore, up 6% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/cipla-consolidated-december-2021-net-sales-at-rs-5478-86-crore-up-6-y-o-y-7985221.html
25,"Cipla Standalone December 2021 Net Sales at Rs 3,954.79 crore, up 5.98% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/cipla-standalone-december-2021-net-sales-at-rs-3954-79-crore-up-5-98-y-o-y-7984851.html
26,"Trade Spotlight | What should you do with Sharda Cropchem, Bandhan Bank, Lupin, Cipla, Global Education?",https://www.moneycontrol.com/news/business/markets/trade-spotlight-what-should-you-do-with-sharda-cropchem-bandhan-bank-lupin-cipla-global-education-7978661.html
27,Cipla Q3 PAT may dip 6.4% YoY to Rs 700.3 cr: Prabhudas Lilladher,https://www.moneycontrol.com/news/business/cipla-q3-pat-may-dip-6-4-yoy-to-rs-700-3-cr-prabhudas-lilladher-7933201.html
28,Cipla gets EUA from DCGI to market Molnupiravir for COVID-19 treatment,https://www.moneycontrol.com/news/business/cipla-gets-eua-from-dcgi-to-market-molnupiravir-for-covid-19-treatment-7874641.html
29,"Hot Stocks | Here's why you should bet on Cipla, Coforge in near term",https://www.moneycontrol.com/news/business/markets/hot-stocks-heres-why-you-should-bet-on-cipla-coforge-in-near-term-7868041.html
30,"Trade Spotlight | What should you do with Future Retail, Cipla, Bajaj Finance, and SBI now?",https://www.moneycontrol.com/news/business/markets/trade-spotlight-what-should-you-do-with-future-retail-cipla-bajaj-finance-and-sbi-now-7847101.html
31,Cipla shares gain 2% on final FDA approval for Lanreotide injection,https://www.moneycontrol.com/news/business/stocks/cipla-shares-gain-2-on-final-fda-approval-for-lanreotide-injection-7843551.html
32,"Trade Spotlight | What should investors do with Indiabulls Housing Finance, Cipla, Meghmani Organics & BEML now?",https://www.moneycontrol.com/news/business/markets/trade-spotlight-what-should-investors-do-with-indiabulls-housing-finance-cipla-meghmani-organics-beml-now-7769261.html
33,Nykaa outgrows some India Inc giants in M-cap on D-street debut,https://www.moneycontrol.com/news/business/markets/nykaa-outgrows-some-india-inc-giants-in-m-cap-on-d-street-debut-7700941.html
34,Cipla unit gets notice from US firm for termination of acquisition deal,https://www.moneycontrol.com/news/business/cipla-unit-gets-notice-from-us-firm-for-termination-of-acquisition-deal-7675301.html
35,"Cipla Standalone September 2021 Net Sales at Rs 3,935.03 crore, up 3.34% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/cipla-standalone-september-2021-net-sales-at-rs-3935-03-crore-up-3-34-y-o-y-3-7650871.html
36,Lupin: Competitive pressure remains in the US market,https://www.moneycontrol.com/news/business/earnings/lupin-competitive-pressure-remains-in-the-us-market-7648241.html
