,Headlines,Links
0,Dr Reddy’s: Acceleration in EM opportunity to help re-rate company,https://www.moneycontrol.com/news/business/moneycontrol-research/dr-reddys-acceleration-in-em-opportunity-to-help-re-rate-company-8543521.html
1,Dr Reddy’s: Improving exposure to EMs adds to investment case,https://www.moneycontrol.com/news/business/moneycontrol-research/dr-reddys-improving-exposure-to-ems-adds-to-investment-case-8313561.html
2,COVID-19 vaccine | India's Dr. Reddy's in talks with government to bring Russia's Sputnik Light,https://www.moneycontrol.com/news/coronavirus/covid-19-vaccine-indias-dr-reddys-in-talks-with-government-to-bring-russias-sputnik-light-6965521.html
3,Deregulation of vaccine rollout: What it means for pharma players,https://www.moneycontrol.com/news/business/moneycontrol-research/deregulation-of-vaccine-rollout-what-it-means-for-pharma-players-6790821.html
4,Ideas For Profit | What the second covid-19 ‘wave’ means for domestic pharma companies?,https://www.moneycontrol.com/news/business/companies/ideas-for-profit-what-the-second-covid-19-wave-means-for-domestic-pharma-companies-6761011.html
5,COVID Vaccine: The opportunities for investors - Part I,https://www.moneycontrol.com/news/business/moneycontrol-research/covid-vaccine-the-opportunities-for-investors-part-i-6214991.html
6,Cadila: a formidable play in Covid times and beyond,https://www.moneycontrol.com/news/business/moneycontrol-research/cadila-a-formidable-play-in-covid-times-and-beyond-5882731.html
7,Ideas For Profit | Dr Reddy’s: An opportunity for risk takers,https://www.moneycontrol.com/news/business/markets/ideas-for-profit-dr-reddys-an-opportunity-for-risk-takers-5296321.html
8,"Dr Reddy's to recall 1,752 bottles of heartburn drug in the US",https://www.moneycontrol.com/news/india/dr-reddys-to-recall-1752-bottles-of-heartburn-drug-in-the-us-5247111.html
9,Dr Reddy's launches generic lipid-regulating tablets in US,https://www.moneycontrol.com/news/business/dr-reddys-launches-generic-lipid-regulating-tablets-in-us-5192991.html
10,Rising stars? 14 stocks reported over 100% surge in PAT,https://www.moneycontrol.com/news/business/markets/rising-stars-14-stocks-reported-over-100-surge-in-pat-4722871.html
11,Dr Reddy’s plummets 23% as Jefferies red flags ‘repeat’ observations,https://www.moneycontrol.com/news/business/markets/dr-reddys-plummets-23-as-jefferies-red-flags-repeat-observations-3541751.html
12,Dr Reddy’s Labs falls 4% as US FDA issues 11 observations to Bachupally plant,https://www.moneycontrol.com/news/business/markets/dr-reddys-labs-falls-4-as-us-fda-issues-11-observations-to-bachupally-plant-3509351.html
13,"Upbeat CLSA view, procedural observations from US FDA send DRL stock up 3%",https://www.moneycontrol.com/news/business/stocks/clsa-sees-risk-reward-turning-favourable-for-dr-reddys-labs-stock-up-3-2392571.html
14,Dr Reddy’s tanks 6% on dismal Q1; brokerages turn cautious on stock,https://www.moneycontrol.com/news/business/stocks/dr-reddys-tanks-on-dismal-q1-brokerages-turn-cautious-on-stock-2338515.html
15,Dr Reddy’s US FDA developments get a thumbs up from brokerages,https://www.moneycontrol.com/news/business/stocks/dr-reddys-us-fda-developments-get-a-thumbs-up-from-brokerages-2304875.html
16,"Dr Reddy's Labs Q4: Analysts see hope in US biz recovery, reduced regulatory concerns",https://www.moneycontrol.com/news/business/earnings/dr-reddys-labs-q4-analysts-see-hope-in-us-biz-recovery-reduced-regulatory-concerns-2279223.html
17,What changed for the market while you were sleeping? 10 things to know,https://www.moneycontrol.com/news/business/markets/what-changed-for-the-market-while-you-were-sleeping-10-things-to-know-3-2252737.html
18,Buzz of Unichem Labs looking for a buyer sends stock up 4%,https://www.moneycontrol.com/news/business/stocks/buzzunichem-labs-looking-forbuyer-sends-stock4-1657495.html
19,"Nifty below 8550, Sensex in red; Jaitley to present Budget soon",https://www.moneycontrol.com/news/business/markets/nifty-below-8550-sensexred-jaitley-to-present-budget-soon-950139.html
20,"Nifty below 8150, Sensex falls over 100 pts; SBI, HDFC down 1-2%",https://www.moneycontrol.com/news/business/markets/nifty-below-8150-sensex-falls-over-100-pts-sbi-hdfc-down-1-2-939418.html
21,"Nifty still below 8100, Sensex firm; Axis Bank, Coal India up 2%",https://www.moneycontrol.com/news/business/markets/nifty-still-below-8100-sensex-firm-axis-bank-coal-india2-937669.html
22,"Sensex, Nifty firm; Asian Paints, TCS, Bajaj Auto top gainers",https://www.moneycontrol.com/news/business/markets/sensex-nifty-firm-asian-paints-tcs-bajaj-auto-top-gainers-929970.html
23,"Sensex falls over 150, Nifty opens below 8650; Axis tanks 7%",https://www.moneycontrol.com/news/business/markets/sensex-falls-over-150-nifty-opens-below-8650-axis-tanks-7-954396.html
24,"Sensex, Nifty still under pressure; Dr Reddy's Labs up 1%",https://www.moneycontrol.com/news/business/markets/sensex-nifty-still-under-pressure-dr-reddys-labs1-954674.html
25,"Sensex, Nifty flat; ONGC, Axis Bank, M&M drag 1%",https://www.moneycontrol.com/news/business/markets/sensex-nifty-flat-ongc-axis-bank-mm-drag-1-959222.html
26,"Sensex, Nifty steady; GAIL & ONGC gain 4%, L&T down 1%",https://www.moneycontrol.com/news/business/markets/sensex-nifty-steady-gailongc-gain-4-lt-down-1-959626.html
