,Headlines,Links
0,Supply-side issues slammed brakes on auto sales in April 2022,https://www.moneycontrol.com/news/business/moneycontrol-research/supply-side-issues-slammed-brakes-on-auto-sales-in-april-2022-8449171.html
1,"Automakers move in a low gear, yet again",https://www.moneycontrol.com/news/business/moneycontrol-research/automakers-still-stuck-in-slow-lane-8186511.html
2,Automakers start the year on a soft note,https://www.moneycontrol.com/news/business/moneycontrol-research/auto-makers-start-the-year-on-a-soft-note-8029541.html
3,September auto sales: Semiconductor chip shortage a big dampener,https://www.moneycontrol.com/news/business/moneycontrol-research/september-auto-sales-scarcity-of-semiconductor-chips-plays-spoilsport-7539341.html
4,Eicher Motors reports consolidated net profit of Rs 237 crore in Q1,https://www.moneycontrol.com/news/business/earnings/eicher-motors-reports-consolidated-net-profit-of-rs-237-crore-in-q1-7328021.html
5,June auto sales show waning impact of COVID,https://www.moneycontrol.com/news/business/companies/june-auto-sales-show-waning-impact-of-covid-7116161.html
6,COVID continues to challenge auto industry; medium term outlook encouraging,https://www.moneycontrol.com/news/business/moneycontrol-research/covid-continues-to-challenge-auto-industry-medium-term-outlook-encouraging-6976471.html
7,Auto industry is driving along on a promising road,https://www.moneycontrol.com/news/business/moneycontrol-research/auto-industry-continues-to-ride-on-a-promising-road-6592021.html
8,Auto industry: ending the year on a high note!,https://www.moneycontrol.com/news/business/moneycontrol-research/auto-industry-ending-the-year-on-a-high-note-6300061.html
9,"Bit of an auto slowdown post festivities, but still cruising comfortably",https://www.moneycontrol.com/news/business/moneycontrol-research/bit-of-an-auto-slowdown-post-festivities-but-still-cruising-comfortably-6178431.html
10,"Conviction rises on recovery in commercial vehicle segment, but will it sustain?",https://www.moneycontrol.com/news/opinion/conviction-rises-on-recovery-in-commercial-vehicle-segment-but-will-it-sustain-6063091.html
11,Festivity brings cheer to auto makers,https://www.moneycontrol.com/news/business/moneycontrol-research/festivity-brings-cheer-to-auto-makers-6056861.html
12,September brings cheer to auto makers,https://www.moneycontrol.com/news/business/moneycontrol-research/september-brings-cheers-to-auto-makers-5921931.html
13,"Cars, two-wheelers gain speed in August",https://www.moneycontrol.com/news/business/moneycontrol-research/cars-two-wheelers-gain-speed-in-august-5792401.html
14,"Eicher Motors Q1: Weak performance, fairly valued",https://www.moneycontrol.com/news/business/moneycontrol-research/eicher-motors-q1-weak-performance-fairly-valued-5699431.html
15,"Passenger vehicles, two-wheeler sales show promise in July",https://www.moneycontrol.com/news/business/moneycontrol-research/passenger-vehicles-two-wheeler-sales-show-promise-in-july-5641701.html
16,"June auto sales: Two-wheelers and tractors on the fast track, CVs falter",https://www.moneycontrol.com/news/business/moneycontrol-research/june-auto-sales-two-wheelers-and-tractors-on-the-fast-track-cvs-falter-5498991.html
17,"As expected, the auto numbers for March 2020 are terrible",https://www.moneycontrol.com/news/business/moneycontrol-research/as-expected-the-auto-numbers-for-march-2020-are-terrible-5099631.html
18,"VE Commercial Vehicles unveils BS-VI range, deliveries begin March",https://www.moneycontrol.com/news/technology/auto/ve-commercial-vehicles-unveils-bs-vi-range-deliveries-begin-march-4995411.html
19,February sales: Tough time continues for automobile companies,https://www.moneycontrol.com/news/business/moneycontrol-research/february-sales-tough-time-continues-for-automobile-companies-3604531.html
20,Eicher Motors Q4 FY18 review: Strong and steady but does the stock offer value?,https://www.moneycontrol.com/news/business/moneycontrol-research/eicher-motors-q4-fy18-review-strong-and-steady-but-does-the-stock-offer-value-2566009.html
21,"Bajaj Auto becomes most valuable bike-maker, pips Eicher Motors",https://www.moneycontrol.com/news/business/companies/bajaj-auto-becomes-most-valuable-bike-maker-pips-eicher-motors-2405507.html
22,Upset for Royal Enfield? Union says Ducati not up for sale,https://www.moneycontrol.com/news/business/companies/upset-for-royal-enfield-union-says-ducati-not-up-for-sale-2404399.html
