,Headlines,Links
0,Buy Grasim; target of Rs 1875: Motilal Oswal,https://www.moneycontrol.com/news/business/stocks/buy-grasim-target-of-rs-1875-motilal-oswal-8574661.html
1,Paint stocks in the red after Grasim doubles capex plan,https://www.moneycontrol.com/news/business/paint-stocks-in-the-red-after-grasim-doubles-capex-plan-8572011.html
2,"Grasim Standalone March 2022 Net Sales at Rs 6,376.39 crore, up 45.11% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/grasim-standalone-march-2022-net-sales-at-rs-6376-39-crore-up-45-11-y-o-y-8571441.html
3,"Grasim Consolidated March 2022 Net Sales at Rs 28,811.39 crore, up 18.08% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/grasim-consolidated-march-2022-net-sales-at-rs-28811-39-crore-up-18-08-y-o-y-8571111.html
4,"Grasim Industries Q4 Result | Consolidated net profit surges 62% YoY to Rs 2,777 crore",https://www.moneycontrol.com/news/business/earnings/grasim-industries-q4-result-consolidated-net-profit-surges-62-yoy-to-rs-2777-crore-8567341.html
5,"Grasim Consolidated December 2021 Net Sales at Rs 24,402.24 crore, up 16.2% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/grasim-consolidated-december-2021-net-sales-at-rs-24402-24-crore-up-16-2-y-o-y-8129461.html
6,"Grasim Standalone December 2021 Net Sales at Rs 5,784.74 crore, up 57.55% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/grasim-standalone-december-2021-net-sales-at-rs-5784-74-crore-up-57-55-y-o-y-8095861.html
7,"ReNew Power sees pickup in C&I orders driven by ESG, government push, low cost",https://www.moneycontrol.com/news/business/economy/renew-power-sees-pick-up-in-ci-orders-driven-by-esg-government-push-low-cost-8060581.html
8,Buy Grasim; target of Rs 2050: Motilal Oswal,https://www.moneycontrol.com/news/business/stocks/buy-grasim-target-of-rs-2050-motilal-oswal-7910511.html
9,"Grasim Consolidated September 2021 Net Sales at Rs 22,564.22 crore, up 22.63% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/grasim-consolidated-september-2021-net-sales-at-rs-22564-22-crore-up-22-63-y-o-y-7725821.html
10,"Bajar Gupshup | Nifty ends above 16,250; financials lead gains",https://www.moneycontrol.com/news/business/markets/bajar-gupshup-nifty-ends-above-16250-financials-lead-the-gains-sensex-bse-7277011.html
