,Headlines,Links
0,India’s highest-paid bankers: How SBI boss Khara’s salary compares with HDFC’s Mistry and others,https://www.moneycontrol.com/news/business/banks/indias-highest-paid-bankers-how-sbi-boss-kharas-salary-compares-with-hdfcs-mistry-and-others-8679401.html
1,Top-10 most valued firms lose over Rs 2.29 lakh crore in m-cap,https://www.moneycontrol.com/news/business/markets/top-10-most-valued-firms-lose-over-rs-2-29-lakh-crore-in-m-cap-8675481.html
2,"Home loan demand likely to moderate as borrowers brace for higher EMIs, say experts",https://www.moneycontrol.com/news/business/home-loan-demand-set-to-moderate-as-borrowers-brace-for-higher-emis-say-experts-8670151.html
3,"Exclusive | ADIA investment key to penetrating deeper into affordable housing, says IIFL Group’s Nirmal Jain",https://www.moneycontrol.com/news/business/exclusive-adia-investment-key-to-penetrating-deeper-into-affordable-housing-segment-says-iifl-groups-nirmal-jain-8668711.html
4,"Despite recent hikes, home loan rates below pre-COVID level: Renu Sud Karnad, MD, HDFC",https://www.moneycontrol.com/news/opinion/despite-recent-hikes-home-loan-rates-are-below-pre-covid-level-renu-sud-karnad-md-hdfc-8667361.html
5,HDFC increases retail prime lending rate on housing loans by 50 bps,https://www.moneycontrol.com/news/business/banks/hdfc-increases-retail-prime-lending-rate-on-housing-loans-by-50-bps-8666161.html
6,Exclusive | HDFC Bank asks parent to cut exposure to certain loans before merger,https://www.moneycontrol.com/news/business/exclusive-hdfc-bank-asks-parent-to-cut-exposure-to-certain-loans-before-merger-8661791.html
7,Need shareholders support more than ever before: Deepak Parekh on HDFC twins merger,https://www.moneycontrol.com/news/business/need-shareholders-trust-and-support-more-than-ever-before-says-hdfc-chairman-deepak-parekh-on-merger-with-hdfc-bank-8650071.html
8,HDFC Ltd collaborates with Accenture to accelerate digital transformation,https://www.moneycontrol.com/news/business/hdfc-ltd-collaborates-with-accenture-to-accelerate-digital-transformation-8632391.html
9,"As yields soar, NABARD scraps Rs 5,000-crore bond issue, HDFC gets tepid response",https://www.moneycontrol.com/news/business/as-yields-soar-nabard-scraps-rs-5000-crore-bond-issue-hdfc-gets-tepid-response-8584661.html
10,RBI Governor Interview | Central bank to conclude on HDFC twins merger in the near future,https://www.moneycontrol.com/news/business/rbi-governor-interview-central-bank-to-conclude-on-hdfc-twins-merger-in-the-near-future-8559691.html
11,"HDFC, HDFC Bank FII shareholding shows lot of room",https://www.moneycontrol.com/news/business/earnings/hdfc-hdfc-bank-inform-exchanges-about-foreign-holding-after-investor-queries-8546101.html
12,"High interest rates may not dent housing loan demand in India, say experts",https://www.moneycontrol.com/news/business/high-interest-rates-may-not-dent-housing-loan-demand-in-india-say-experts-8489921.html
13,HDFC revises Retail Prime Lending Rate on housing loans by 30 bps from May 9,https://www.moneycontrol.com/news/business/hdfc-revises-retail-prime-lending-rate-on-housing-loans-by-30-bps-from-may-9-8468651.html
14,Buy HDFC; target of Rs 2840: ICICI Direct,https://www.moneycontrol.com/news/business/stocks/buy-hdfc-target-of-rs-2840-icici-direct-8453211.html
