,Headlines,Links
0,Top-10 most valued firms lose over Rs 2.29 lakh crore in m-cap,https://www.moneycontrol.com/news/business/markets/top-10-most-valued-firms-lose-over-rs-2-29-lakh-crore-in-m-cap-8675481.html
1,"Exclusive | ADIA investment key to penetrating deeper into affordable housing, says IIFL Group’s Nirmal Jain",https://www.moneycontrol.com/news/business/exclusive-adia-investment-key-to-penetrating-deeper-into-affordable-housing-segment-says-iifl-groups-nirmal-jain-8668711.html
2,Exclusive | HDFC Bank asks parent to cut exposure to certain loans before merger,https://www.moneycontrol.com/news/business/exclusive-hdfc-bank-asks-parent-to-cut-exposure-to-certain-loans-before-merger-8661791.html
3,HDFC Bank hikes lending rates by 0.35%; 2nd hike in two months,https://www.moneycontrol.com/news/business/hdfc-bank-hikes-lending-rates-by-0-35-2nd-hike-in-two-months-8653891.html
4,Weekly Tactical Pick- HDFC Bank,https://www.moneycontrol.com/news/business/moneycontrol-research/weekly-tactical-pick-hdfc-bank-3-8588481.html
5,Buy HDFC Bank; target of Rs 1800: Emkay Global Financial,https://www.moneycontrol.com/news/business/buy-hdfc-bank-target-of-rs-1800-emkay-global-financial-8567021.html
6,RBI Governor Interview | Central bank to conclude on HDFC twins merger in the near future,https://www.moneycontrol.com/news/business/rbi-governor-interview-central-bank-to-conclude-on-hdfc-twins-merger-in-the-near-future-8559691.html
7,Moneycontrol Selects: Top stories this evening,https://www.moneycontrol.com/news/business/moneycontrol-selects-top-stories-this-evening-23-8547691.html
8,"HDFC, HDFC Bank FII shareholding shows lot of room",https://www.moneycontrol.com/news/business/earnings/hdfc-hdfc-bank-inform-exchanges-about-foreign-holding-after-investor-queries-8546101.html
9,"HDFC Bank to tap into semi-urban, rural regions; announces opening of 1,060 branches",https://www.moneycontrol.com/news/business/banks/hdfc-bank-to-tap-into-semi-urban-rural-regions-announces-opening-of-1060-branches-8539171.html
10,Central bank approves HDFC Bank's request to set up step-down subsidiary,https://www.moneycontrol.com/news/business/central-bank-approves-hdfc-banks-request-to-set-up-step-down-subsidiary-8512771.html
11,Mcap of eight of top-10 firms tumbles over Rs 2.48 lakh crore,https://www.moneycontrol.com/news/business/markets/mcap-of-eight-of-top-10-firms-tumbles-over-rs-2-48-lakh-crore-8508541.html
12,Buy HDFC Bank; target of Rs 1650: ICICI Direct,https://www.moneycontrol.com/news/business/stocks/buy-hdfc-bank-target-of-rs-1650-icici-direct-8489521.html
13,"Axis Bank plans to scale up credit card business, says slippages under control",https://www.moneycontrol.com/news/business/axis-bank-plans-to-scale-up-credit-card-business-says-slippages-under-control-8483481.html
14,Exclusive | HDFC Bank top brass batted for merger with HDFC as early as November,https://www.moneycontrol.com/news/business/exclusive-hdfc-bank-top-brass-batted-for-merger-with-hdfc-as-early-as-november-8475361.html
15,"Exclusive| HDFC Bank may get RBI glide path to pare holding in HDFC Credila, HDB Financial after merger",https://www.moneycontrol.com/news/business/exclusive-hdfc-bank-may-get-rbi-glide-path-to-pare-holding-in-hdfc-credila-hdb-financial-after-merger-8473921.html
16,Mcap of top-10 most valued firms falls over Rs 2.85 lakh crore; Reliance biggest drag,https://www.moneycontrol.com/news/business/markets/mcap-of-top-10-most-valued-firms-falls-over-rs-2-85-lakh-crore-reliance-biggest-drag-8470991.html
17,HDFC Q4 earnings marked by strong loan growth and better asset quality,https://www.moneycontrol.com/news/business/moneycontrol-research/hdfc-q4-earnings-marked-by-strong-loan-growth-and-better-asset-quality-8452011.html
18,HDFC increases Retail Prime Lending Rate on housing loans by 5 bps,https://www.moneycontrol.com/news/companies-2/hdfc-increased-retail-prime-lending-rate-on-housing-loans-by-5-bps-8437781.html
19,Union Bank becomes first public sector bank to go live on Account Aggregator framework,https://www.moneycontrol.com/news/business/announcements/union-bank-becomes-first-public-sector-bank-to-go-live-on-account-aggregator-framework-8434251.html
20,"LIC IPO is quite cheap at current valuation, we may apply: Samir Arora of Helios Capital",https://www.moneycontrol.com/news/business/markets/lic-ipo-is-quite-cheap-at-current-valuation-we-may-apply-samir-arora-of-helios-capital-8411711.html
21,"Mcap of 8 of top-10 most valued firms lose Rs 2.21 lakh crore; Infosys, HDFC Bank biggest drags",https://www.moneycontrol.com/news/business/markets/mcap-of-8-of-top-10-most-valued-firms-lose-rs-2-21-lakh-crore-infosys-hdfc-bank-biggest-drags-8401691.html
22,HDFC Bank declares 1550% dividend for shareholders,https://www.moneycontrol.com/news/business/banks/hdfc-bank-declares-1550-dividend-for-shareholders-8400761.html
23,Account aggregator system in banking ensures enhanced customer experience with better data security: Experts,https://www.moneycontrol.com/news/business/account-aggregator-system-in-banking-ensures-enhanced-customer-experience-with-better-data-security-experts-8397501.html
24,HDFC-HDFC Bank merger to be EPS-accretive from day 1: Keki Mistry,https://www.moneycontrol.com/news/business/banks/hdfc-hdfc-bank-merger-to-be-eps-accretive-from-day-1-keki-mistry-8396011.html
25,"Saurabh Mukherjea dismisses concerns around HDFC merger; extremely bullish on Nestle, Asian Paints",https://www.moneycontrol.com/news/business/earnings/saurabh-mukherjea-dismisses-concerns-around-hdfc-merger-extremely-bullish-on-nestle-asian-paints-8392871.html
26,Moneycontrol Selects: Top stories this evening,https://www.moneycontrol.com/news/business/moneycontrol-selects-top-stories-this-evening-3-8391401.html
27,"HDFC Bank to open 150 branches in UP this year; to create 1,000 jobs",https://www.moneycontrol.com/news/business/companies/hdfc-bank-to-open-150-branches-in-up-this-year-to-create-1000-jobs-8390711.html
28,"Regulatory, tech challenges will test HDFC Bank’s top brass during merger, say experts",https://www.moneycontrol.com/news/business/regulatory-tech-challenges-will-test-hdfc-banks-top-brass-during-merger-say-experts-8389821.html
29,ICICI Bank tops rival HDFC Bank in valuation multiple for first time,https://www.moneycontrol.com/news/business/earnings/icici-bank-tops-rival-hdfc-bank-in-valuation-multiple-for-first-time-8388041.html
30,Investors should think of capital protection in 2022: Kotak AMC's Pankaj Tibrewal,https://www.moneycontrol.com/news/business/markets/investors-should-think-of-capital-protection-in-2022-kotak-amcs-pankaj-tibrewal-8383601.html
31,Why markets have fallen in eight out of nine sessions,https://www.moneycontrol.com/news/business/earnings/why-markets-have-fallen-in-eight-out-of-nine-sessions-8380331.html
32,Buy HDFC Bank; target of Rs 1997: KR Choksey,https://www.moneycontrol.com/news/business/stocks/buy-hdfc-bank-target-of-rs-1997-kr-choksey-2-8380561.html
33,Selloff binge knocks HDFC out of MCap list of top 10 companies in India,https://www.moneycontrol.com/news/business/economy/selloff-binge-knocks-hdfc-out-of-indias-top-10-most-valued-companies-in-terms-of-mcap-8378341.html
