,Headlines,Links
0,"Hindalco Standalone March 2022 Net Sales at Rs 18,969.00 crore, up 31.62% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/hindalco-standalone-march-2022-net-sales-at-rs-18969-00-crore-up-31-62-y-o-y-8590361.html
1,"Hindalco Consolidated March 2022 Net Sales at Rs 55,764.00 crore, up 37.67% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/hindalco-consolidated-march-2022-net-sales-at-rs-55764-00-crore-up-37-67-y-o-y-8589421.html
2,Hindalco Industries: Focus on growth,https://www.moneycontrol.com/news/business/moneycontrol-research/hindalco-industries-focus-on-growth-8587631.html
3,Moneycontrol Selects: Top stories this evening,https://www.moneycontrol.com/news/business/moneycontrol-selects-top-stories-this-evening-29-8585281.html
4,Buy Hindalco; target of Rs 680: Motilal Oswal,https://www.moneycontrol.com/news/business/stocks/buy-hindalco-target-of-rs-680-motilal-oswal-8499771.html
5,"Hindalco Q4 PAT seen up 218% YoY to Rs. 2,075 cr: ICICI Direct",https://www.moneycontrol.com/news/business/earnings/hindalco-q4-pat-seen-up-218-yoy-to-rs-2075-cr-icici-direct-8377771.html
6,Hindalco’s capex plans shift the investment narrative,https://www.moneycontrol.com/news/opinion/hindalcos-capex-plans-shift-the-investment-narrative-8319351.html
7,Buy Hindalco; target of Rs 750 : Motilal Oswal,https://www.moneycontrol.com/news/business/stocks/buy-hindalco-target-of-rs-750-motilal-oswal-8300901.html
8,Russia-Ukraine crisis fires up commodity prices. These are the stocks in the spotlight,https://www.moneycontrol.com/news/business/markets/russia-ukraine-crisis-fires-up-commodity-prices-these-are-the-stocks-in-the-spotlight-8174481.html
9,"Hindalco Consolidated December 2021 Net Sales at Rs 50,272.00 crore, up 43.81% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/hindalco-consolidated-december-2021-net-sales-at-rs-50272-00-crore-up-43-81-y-o-y-8079071.html
10,"Hindalco Standalone December 2021 Net Sales at Rs 18,096.00 crore, up 59.42% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/hindalco-standalone-december-2021-net-sales-at-rs-18096-00-crore-up-59-42-y-o-y-8077401.html
11,Buy Hindalco; target of Rs 605: Motilal Oswal,https://www.moneycontrol.com/news/business/buy-hindalco-target-of-rs-605-motilal-oswal-8073321.html
12,"Hindalco Q3 PAT seen up 209% YoY to Rs. 1,529 cr: ICICI Direct",https://www.moneycontrol.com/news/business/stocks/hindalco-q3-pat-seen-up-209-yoy-to-rs-1529-cr-icici-direct-7957311.html
13,"Hindalco Consolidated September 2021 Net Sales at Rs 47,665.00 crore, up 52.59% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/hindalco-consolidated-september-2021-net-sales-at-rs-47665-00-crore-up-52-59-y-o-y-7732861.html
14,Hindalco Industries: Strong all-round performance,https://www.moneycontrol.com/news/business/earnings/hindalco-industries-strong-all-round-performance-7718931.html
15,Buy Hindalco; target of Rs 650: ICICI Direct,https://www.moneycontrol.com/news/business/buy-hindalco-target-of-rs-650-icici-direct-7597831.html
16,Buy Hindalco; target of Rs 525: ICICI Direct,https://www.moneycontrol.com/news/business/buy-hindalco-target-of-rs-525-icici-direct-7594651.html
17,"Hindalco Q2 PAT seen up 317% YoY to Rs 1,365 cr: ICICI Direct",https://www.moneycontrol.com/news/business/earnings/hindalco-q2-pat-seen-up-317-yoy-to-rs-1365-cr-icici-direct-7593491.html
18,EV sales are running up in India. Seven stocks to ride,https://www.moneycontrol.com/news/business/moneycontrol-research/seven-stocks-to-play-the-ev-opportunity-in-india-7557871.html
19,Indian metal firms to gain further as firm prices expected despite dip from record levels,https://www.moneycontrol.com/news/business/markets/indian-metal-firms-to-gain-further-as-firm-prices-expected-despite-dip-from-record-levels-7491931.html
20,"Hindalco Standalone June 2021 Net Sales at Rs 13,298.00 crore, up 79.22% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/hindalco-standalone-june-2021-net-sales-at-rs-13298-00-crore-up-79-22-y-o-y-7300001.html
21,"Hindalco Consolidated June 2021 Net Sales at Rs 41,358.00 crore, up 63.58% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/hindalco-consolidated-june-2021-net-sales-at-rs-41358-00-crore-up-63-58-y-o-y-7300441.html
22,"Hindalco: Novelis, higher aluminium prices support a strong show",https://www.moneycontrol.com/news/business/earnings/hindalco-novelis-higher-aluminium-prices-support-a-strong-show-7295591.html
23,Buy Hindalco; target of Rs 520: Motilal Oswal,https://www.moneycontrol.com/news/business/earnings/buy-hindalco-target-of-rs-520-motilal-oswal-7286961.html
24,Nifty Earnings | What to expect from Hindalco and M&M’s Q1 performance,https://www.moneycontrol.com/news/business/earnings/nifty-earnings-what-to-expect-from-hindalco-and-mms-q1-performance-sensex-bse-7281731.html
25,"Bajar Gupshup | Nifty ends above 16,250; financials lead gains",https://www.moneycontrol.com/news/business/markets/bajar-gupshup-nifty-ends-above-16250-financials-lead-the-gains-sensex-bse-7277011.html
26,"Bajar Gupshup | Benchmarks start expiry week on a muted note; Realty, PSB & Auto stocks drag",https://www.moneycontrol.com/news/business/markets/bajar-gupshup-benchmarks-start-expiry-week-on-a-muted-note-realty-psb-auto-stocks-drag-7226221.html
27,Hindalco Q1 PAT seen up 737% YoY to Rs. 703 cr: ICICI Direct,https://www.moneycontrol.com/news/business/stocks/hindalco-q1-pat-seen-up-737-yoy-to-rs-703-cr-icici-direct-7161781.html
28,Bajar Gupshup | Markets end at record close; metals outperform,https://www.moneycontrol.com/news/business/markets/bajar-gupshup-markets-end-at-record-close-metals-outperform-7142371.html
29,"Metal pack takes a hit as Credit Suisse downgrades rating on the pack, removes Tata Steel from model portfolio",https://www.moneycontrol.com/news/business/markets/metal-pack-takes-a-hit-as-credit-suisse-downgrades-rating-on-the-pack-removes-tata-steel-from-model-portfolio-6941261.html
30,"Fed hints at ‘tapering’, Copper reacts on downside: How low can Copper go?",https://www.moneycontrol.com/news/business/markets/fed-hints-at-tapering-copper-reacts-on-downside-how-low-can-copper-go-6931091.html
31,Hindalco Industries: Best stock with least earnings volatility in the metal space,https://www.moneycontrol.com/news/business/moneycontrol-research/hindalco-industries-best-stock-with-least-earnings-volatility-in-the-metals-space-6929551.html
32,"Hindalco’s strategy to capture price rise, the China factor & demand trends",https://www.moneycontrol.com/news/business/companies/hindalcos-strategy-to-capture-price-rise-the-china-factor-demand-trends-6928801.html
33,Explained | Copper shines bright: What’s driving the rally?,https://www.moneycontrol.com/news/business/stocks/explained-copper-shines-bright-whats-driving-the-rally-6909321.html
34,"Ideas For Profit | With metals outperforming Nifty, here're some stocks that could add lustre to your portfolio",https://www.moneycontrol.com/news/business/stocks/ideas-for-profit-with-metals-outperforming-nifty-herere-some-stocks-that-could-add-lusture-to-your-portfolio-6798351.html
35,Metal lustre for your portfolio? These stocks you need to focus on,https://www.moneycontrol.com/news/business/moneycontrol-research/metal-lustre-for-your-portfolio-these-stocks-you-need-to-focus-on-6796211.html
36,Buy Hindalco; target of Rs 390: Motilal Oswal,https://www.moneycontrol.com/news/business/stocks/buy-hindalco-target-of-rs-390-motilal-oswal-6566981.html
37,Hindalco’s road map: Organic growth and deleveraging on the back of strong cash flows,https://www.moneycontrol.com/news/business/moneycontrol-research/hindalcos-road-map-organic-growth-and-deleveraging-on-the-back-of-strong-cash-flows-6564541.html
38,Hindalco has got a capital plan,https://www.moneycontrol.com/news/opinion/hindalco-has-got-a-capital-plan-6561631.html
39,Hold Hindalco: target of Rs 309: ICICI Direct,https://www.moneycontrol.com/news/business/hold-hindalco-target-of-rs-309-icici-direct-6537931.html
40,Hindalco: Novelis and higher aluminium prices support earnings,https://www.moneycontrol.com/news/business/moneycontrol-research/hindalco-novelis-and-higher-aluminium-prices-support-earnings-6490341.html
41,"Hindalco Consolidated December 2020 Net Sales at Rs 34,958.00 crore, up 19.73% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/hindalco-consolidated-december-2020-net-sales-at-rs-34958-00-crore-up-19-73-y-o-y-6487671.html
42,"Hindalco Standalone December 2020 Net Sales at Rs 11,351.00 crore, up 10.96% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/hindalco-standalone-december-2020-net-sales-at-rs-11351-00-crore-up-10-96-y-o-y-6487331.html
43,"With demand back to pre-COVID-19 levels, Hindalco eyes expansion, debt reduction",https://www.moneycontrol.com/news/business/with-demand-back-to-pre-covid-19-levels-hindalco-eyes-expansion-debt-reduction-6485541.html
44,Hindalco Q3 PAT seen up 36.6% YoY to Rs. 358 cr: ICICI Direct,https://www.moneycontrol.com/news/business/earnings/hindalco-q3-pat-seen-up-36-6-yoy-to-rs-358-cr-icici-direct-6359151.html
45,Buy Hindalco; target of Rs 267: Motilal Oswal,https://www.moneycontrol.com/news/business/stocks/buy-hindalco-target-of-rs-267-motilal-oswal-6112901.html
46,"Hindalco Standalone September 2020 Net Sales at Rs 9,518.00 crore, down 4.49% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/hindalco-standalone-september-2020-net-sales-at-rs-9518-00-crore-down-4-49-y-o-y-6107781.html
47,"Hindalco Consolidated September 2020 Net Sales at Rs 31,237.00 crore, up 5.33% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/hindalco-consolidated-september-2020-net-sales-at-rs-31237-00-crore-up-5-33-y-o-y-6102951.html
48,"Hindalco Industries: Novelis record performance, aluminium segment supported by higher prices",https://www.moneycontrol.com/news/business/earnings/hindalco-industries-novelis-record-performance-aluminium-segment-supported-by-higher-prices-6101021.html
49,Hindustan Copper decides to concentrate on what it does better,https://www.moneycontrol.com/news/opinion/hindustan-copper-decides-to-concentrate-on-what-it-does-better-5864531.html
50,Vedanta’s copper restart prospects hit a bump,https://www.moneycontrol.com/news/opinion/vedantas-copper-restart-prospects-hit-a-bump-5722471.html
51,"Hindalco: Safest metal play, buy on correction",https://www.moneycontrol.com/news/business/moneycontrol-research/hindalco-safest-metal-play-buy-on-correction-5713961.html
52,Hindalco MD says cautiously optimistic about demand rebound,https://www.moneycontrol.com/news/business/hindalco-md-says-cautiously-optimistic-about-demand-rebound-5703731.html
53,"Hindalco Consolidated June 2020 Net Sales at Rs 25,283.00 crore, down 15.64% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/hindalco-consolidated-june-2020-net-sales-at-rs-25283-00-crore-down-15-64-y-o-y-5704491.html
54,"Hindalco Standalone June 2020 Net Sales at Rs 7,420.00 crore, down 26.2% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/hindalco-standalone-june-2020-net-sales-at-rs-7420-00-crore-down-26-2-y-o-y-5704031.html
55,Buy Hindalco; target of Rs 233: Motilal Oswal,https://www.moneycontrol.com/news/business/stocks/buy-hindalco-target-of-rs-233-motilal-oswal-5697801.html
56,Buy Hindalco; target of Rs 198: Motilal Oswal,https://www.moneycontrol.com/news/business/stocks/buy-hindalco-target-of-rs-198-motilal-oswal-5633581.html
57,Buy Hindalco; target of Rs 160: ICICI Direct,https://www.moneycontrol.com/news/business/stocks/buy-hindalco-target-of-rs-160-icici-direct-5408851.html
58,Buy Hindalco; target of Rs 190: Motilal Oswal,https://www.moneycontrol.com/news/business/stocks/buy-hindalco-target-of-rs-190-motilal-oswal-5408621.html
59,Hindalco - Lower cost and stronger balance sheet coming to the fore,https://www.moneycontrol.com/news/business/moneycontrol-research/hindalco-lower-cost-and-stronger-balance-sheet-coming-to-the-fore-5405011.html
60,"Hindalco Standalone March 2020 Net Sales at Rs 9,992.00 crore, down 19.24% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/hindalco-standalone-march-2020-net-sales-at-rs-9992-00-crore-down-19-24-y-o-y-5404361.html
61,"Hindalco Consolidated March 2020 Net Sales at Rs 29,318.00 crore, down 13.12% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/hindalco-consolidated-march-2020-net-sales-at-rs-29318-00-crore-down-13-12-y-o-y-5404751.html
62,US proposes India's Hindalco-owned Novelis to divest investment in aluminium major Aleris' automotive body sheet business,https://www.moneycontrol.com/news/business/us-proposes-indias-hindalco-owned-novelis-to-divest-investment-in-aluminium-major-aleris-5258511.html
63,Buy Hindalco; target of Rs 179: Motilal Oswal,https://www.moneycontrol.com/news/business/stocks/buy-hindalco-target-of-rs-179-motilal-oswal-5250091.html
64,Indian non-ferrous metals: Can they survive the COVID-19 led price collapse?,https://www.moneycontrol.com/news/business/moneycontrol-research/indian-non-ferrous-metals-can-they-survive-the-covid-19-led-price-collapse-5138071.html
65,3-Point Analysis | Outlook on Hindalco Industries,https://www.moneycontrol.com/news/business/3-point-analysis-outlook-on-hindalco-industries-4946891.html
66,"Hindalco Consolidated December 2019 Net Sales at Rs 29,197.00 crore, down 12.09% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/hindalco-consolidated-december-2019-net-sales-at-rs-29197-00-crore-down-12-09-y-o-y-4944231.html
67,Technical Check: 10 breakout stocks that could give double-digit returns in 2020,https://www.moneycontrol.com/news/business/markets/technical-check-10-breakout-stocks-that-could-give-double-digit-returns-in-2020-4780341.html
68,"Breakout buys: SBI, Hindalco among 10 stocks to consider for January series",https://www.moneycontrol.com/news/business/markets/breakout-buys-sbi-hindalco-among-10-stocks-to-consider-for-january-series-4768691.html
69,"Auto stocks in focus this week; Bajaj Auto, Maruti & Motherson Sumi preferred buys",https://www.moneycontrol.com/news/business/markets/auto-stocks-in-focus-this-week-bajaj-auto-maruti-motherson-sumi-preferred-buys-4767501.html
70,"Nifty to head towards 12,500 in January; rollover data suggests closure of short positions",https://www.moneycontrol.com/news/business/markets/nifty-to-head-towards-12500-in-january-rollover-data-suggest-closure-of-short-positions-4767381.html
