,Headlines,Links
0,Top-10 most valued firms lose over Rs 2.29 lakh crore in m-cap,https://www.moneycontrol.com/news/business/markets/top-10-most-valued-firms-lose-over-rs-2-29-lakh-crore-in-m-cap-8675481.html
1,"RBI monetary policy: Repo rate hiked by 50 bps, 9 rate-sensitive stocks can give 6-20% return",https://www.moneycontrol.com/news/business/markets/rbi-monetary-policy-repo-rate-hiked-by-50-bps-9-rate-sensitive-stocks-can-give-6-20-return-8658171.html
2,"Hot Stocks | HDFC, TVS Motor, ICICI Bank can give double-digit returns in short term. Here's why",https://www.moneycontrol.com/news/business/markets/hot-stocks-hdfc-tvs-motor-icici-bank-can-give-double-digit-returns-in-short-term-heres-why-8585751.html
3,ICICI Bank ties up with Santander for India-UK business ease,https://www.moneycontrol.com/news/business/icici-bank-ties-up-with-santander-for-india-uk-business-ease-8482821.html
4,At least five banks raise FD rates a day after surprise RBI rate hike,https://www.moneycontrol.com/news/business/banks/at-least-five-banks-raise-fd-rates-a-day-after-surprise-rbi-rate-hike-8460101.html
5,"RBI cues: Bank of Baroda, ICICI Bank raise lending rates",https://www.moneycontrol.com/news/business/banks/rbi-cues-bank-of-baroda-icici-bank-raise-lending-rates-8456611.html
6,Union Bank becomes first public sector bank to go live on Account Aggregator framework,https://www.moneycontrol.com/news/business/announcements/union-bank-becomes-first-public-sector-bank-to-go-live-on-account-aggregator-framework-8434251.html
7,ICICI Bank upgrades digital services for MSMEs; to maintain “risk-calibrated growth” approach in lending,https://www.moneycontrol.com/news/business/banks/icici-bank-upgrades-digital-services-for-msmes-to-maintain-risk-calibrated-growth-approach-in-lending-8425421.html
8,"LIC IPO is quite cheap at current valuation, we may apply: Samir Arora of Helios Capital",https://www.moneycontrol.com/news/business/markets/lic-ipo-is-quite-cheap-at-current-valuation-we-may-apply-samir-arora-of-helios-capital-8411711.html
9,Buy ICICI Bank: target of Rs 970: Sharekhan,https://www.moneycontrol.com/news/business/stocks/buy-icici-bank-target-of-rs-970-sharekhan-2-8409231.html
10,Buy ICICI Bank; target of Rs 1050: Motilal Oswal,https://www.moneycontrol.com/news/business/stocks/buy-icici-bank-target-of-rs-1050-motilal-oswal-8409081.html
11,Buy ICICI Bank; target of Rs 1025: Emkay Global Financial,https://www.moneycontrol.com/news/business/stocks/buy-icici-bank-target-of-rs-1025-emkay-global-financial-8408961.html
12,Buy ICICI Bank; target of Rs 1043: YES Securities,https://www.moneycontrol.com/news/business/stocks/buy-icici-bank-target-of-rs-1043-yes-securities-8408701.html
13,ICICI Bank’s Q4 results: Three key takeaways,https://www.moneycontrol.com/news/business/icici-banks-q4-results-three-key-takeaways-8408781.html
14,Buy ICICI Bank; target of Rs 971: Arihant Capital,https://www.moneycontrol.com/news/business/stocks/buy-icici-bank-target-of-rs-971-arihant-capital-8408451.html
15,Buy ICICI Bank; target of Rs 1037 LKP Research,https://www.moneycontrol.com/news/business/stocks/buy-icici-bank-target-of-rs-1037-lkp-research-8408421.html
16,Buy ICICI Bank; target of Rs 950: Prabhudas Lilladher,https://www.moneycontrol.com/news/business/stocks/buy-icici-bank-target-of-rs-950-prabhudas-lilladher-8408291.html
17,Ideas For Profit | Why ICICI Bank’s stock re-rating will continue and valuation gap with HDFC bank narrow further,https://www.moneycontrol.com/news/business/markets/ideas-for-profit-why-icici-banks-stock-re-rating-will-continue-and-valuation-gap-with-hdfc-bank-narrow-further-8407811.html
18,Will ICICI Bank’s valuation discount with HDFC Bank narrow after stellar Q4?,https://www.moneycontrol.com/news/business/moneycontrol-research/will-icici-banks-valuation-discount-with-hdfc-bank-narrow-after-stellar-q4-8404811.html
19,ICICI Bank After Q4 Earnings | Check out how foreign brokerages see the stock,https://www.moneycontrol.com/news/photos/business/stocks/icici-bank-after-q4-earnings-check-out-how-foreign-brokerages-see-the-stock-8404501.html
20,"ICICI Bank Q4 PAT surges 59.4% YoY to Rs 7,018.7 crore, beats estimate",https://www.moneycontrol.com/news/business/earnings/icici-bank-q4-pat-surges-59-4-to-rs-7018-7-crore-beats-estimate-8399381.html
21,Accumulate Tata Elxsi; target of Rs 8884: KR Choksey,https://www.moneycontrol.com/news/business/stocks/accumulate-tata-elxsi-target-of-rs-8884-kr-choksey-8395341.html
22,Account aggregator system in banking ensures enhanced customer experience with better data security: Experts,https://www.moneycontrol.com/news/business/account-aggregator-system-in-banking-ensures-enhanced-customer-experience-with-better-data-security-experts-8397501.html
23,"ICICI Lombard: FY22 earnings muted, but structural growth story intact",https://www.moneycontrol.com/news/business/moneycontrol-research/icici-lombard-fy22-earnings-muted-but-structural-growth-story-intact-8393471.html
24,ICICI Bank tops rival HDFC Bank in valuation multiple for first time,https://www.moneycontrol.com/news/business/earnings/icici-bank-tops-rival-hdfc-bank-in-valuation-multiple-for-first-time-8388041.html
25,"With interest rates set to go up, Indian banks look to time debt raising",https://www.moneycontrol.com/news/business/banks/with-interest-rates-set-to-go-up-indian-banks-look-to-time-debt-raising-8373961.html
26,"ICICI Bank, GIFT SEZ join hands to promote GIFT SEZ to Indian, global businesses",https://www.moneycontrol.com/news/business/icici-bank-gift-sez-join-hands-to-promote-gift-sez-to-indian-global-businesses-8355911.html
27,"ICICI Bank Q4 Net Profit seen up 46.5% YoY to Rs. 6,451.3 cr: Motilal Oswal",https://www.moneycontrol.com/news/business/icici-bank-q4-net-profit-seen-up-46-5-yoy-to-rs-6451-3-cr-motilal-oswal-8344131.html
28,KredX partners with ICICI Bank to offer cashback commercial card for B2B payments,https://www.moneycontrol.com/news/business/kredx-partners-with-icici-bank-to-offer-cashback-commercial-card-for-b2b-payments-8335261.html
29,These 10 rate-sensitive stocks look bright as RBI keeps monetary policy on expected lines,https://www.moneycontrol.com/news/business/markets/these-10-rate-sensitive-stocks-look-bright-as-rbi-keeps-monetary-policy-on-expected-lines-8333951.html
30,JC Parets recommends ICICI Bank stock for the long term,https://www.moneycontrol.com/news/business/jc-parets-recommends-icici-bank-stock-for-the-long-term-8319201.html
31,HDFC Bank merger to create entity twice the size of ICICI Bank: S&P Global Ratings,https://www.moneycontrol.com/news/business/hdfc-bank-merger-to-create-entity-twice-the-size-of-icici-bank-sp-global-ratings-8315851.html
32,Top 10 trading picks for next 3-4 weeks as market loses momentum,https://www.moneycontrol.com/news/business/markets/top-10-trading-picks-for-next-3-4-weeks-as-market-loses-momentum-8281921.html
33,Twitter flooded with grievance posts as ICICI net banking customers face glitch,https://www.moneycontrol.com/news/business/twitter-flooded-with-grievance-posts-as-customers-face-glitches-on-icici-net-banking-8275131.html
34,"ICICI Bank customers face glitches on ICICI net banking, mobile app",https://www.moneycontrol.com/news/business/icici-bank-customers-face-glitches-on-icici-net-banking-mobile-app-8275091.html
35,Buy ICICI Bank: target of Rs 970: Sharekhan,https://www.moneycontrol.com/news/business/stocks/buy-icici-bank-target-of-rs-970-sharekhan-8256311.html
