,Headlines,Links
0,Petitioner moves Delhi HC second time against Hindujas’ plan to up stake in IndusInd Bank,https://www.moneycontrol.com/news/trends/legal-trends/petitioner-moves-delhi-hc-second-time-against-hindujas-plan-to-up-stake-in-indusind-bank-8565191.html
1,Buy IndusInd Bank; target of Rs 1387: KR Choksey,https://www.moneycontrol.com/news/business/stocks/buy-indusind-bank-target-of-rs-1387-kr-choksey-8446641.html
2,Buy IndusInd Bank; target of Rs 1300: Motilal Oswal,https://www.moneycontrol.com/news/business/stocks/buy-indusind-bank-target-of-rs-1300-motilal-oswal-8443701.html
3,Buy IndusInd Bank; target of Rs 1350: Emkay Global Financial,https://www.moneycontrol.com/news/business/stocks/buy-indusind-bank-target-of-rs-1350-emkay-global-financial-8443471.html
4,Accumulate IndusInd Bank; target of Rs 1236: Arihant Capital,https://www.moneycontrol.com/news/business/stocks/accumulate-indusind-bank-target-of-rs-1236-arihant-capital-8443181.html
5,Buy IndusInd Bank; target of Rs 1200: Anand Rathi,https://www.moneycontrol.com/news/business/stocks/buy-indusind-bank-target-of-rs-1200-anand-rathi-8443131.html
6,Buy Indusind Bank; target of Rs 1186: YES Securities,https://www.moneycontrol.com/news/business/stocks/buy-indusind-bank-target-of-rs-1186-yes-securities-8443121.html
7,Buy Indusind Bank; target of Rs 1195 LKP Research,https://www.moneycontrol.com/news/business/stocks/buy-indusind-bank-target-of-rs-1195-lkp-research-8443041.html
8,Buy IndusInd Bank; target of Rs 1150: ICICI Direct,https://www.moneycontrol.com/news/business/stocks/buy-indusind-bank-target-of-rs-1150-icici-direct-3-8442691.html
9,Ideas For Profit | IndusInd Bank: Will the stock continue to outperform peers and Nifty50?,https://www.moneycontrol.com/news/business/markets/ideas-for-profit-indusind-bank-will-the-stock-continue-to-outperform-peers-and-nifty50-8443961.html
