,Headlines,Links
0,Top-10 most valued firms lose over Rs 2.29 lakh crore in m-cap,https://www.moneycontrol.com/news/business/markets/top-10-most-valued-firms-lose-over-rs-2-29-lakh-crore-in-m-cap-8675481.html
1,Infosys announces strategic collaboration with TK Elevator; here're the details,https://www.moneycontrol.com/news/companies-2/infosys-announces-strategic-collaboration-with-tk-elevator-herere-the-details-8664451.html
2,'Lab Built on Wheels': Infosys to launch 4 mobile medical laboratories in rural Karnataka,https://www.moneycontrol.com/news/business/lab-built-on-wheels-infosys-to-launch-4-mobile-medical-laboratories-in-rural-karnataka-8646351.html
3,Salil Parekh’s salary is merely a reflection of Infosys’ performance,https://www.moneycontrol.com/news/opinion/salil-parekhs-salary-is-merely-a-reflection-of-infosys-performance-8603771.html
4,IT CEO pay shot up 835% in a decade while fresher’s salary grew 45%,https://www.moneycontrol.com/news/business/it-ceo-pay-shot-up-835-in-a-decade-while-freshers-salary-grew-45-8602591.html
5,"Infosys CEO Salil Parekh to earn $10.2 million a year; how does his salary compare to chief executives at Accenture, Cognizant and IBM?",https://www.moneycontrol.com/news/trends/it/infosys-ceo-salil-parekh-to-earn-10-2-million-a-year-how-does-his-salary-compare-to-chief-executives-at-accenture-cognizant-and-ibm-8593091.html
6,"Infosys CEO Salil Parekh gets 88% pay hike, salary jumps from Rs 42 crore to Rs 79 crore per annum",https://www.moneycontrol.com/news/business/infosys-ceo-gets-88-pay-hike-salary-jumps-from-rs-42-crore-to-rs-79-crore-per-annum-8579611.html
7,"Metaverse, blockchain will usher digital change for Infosys, says CEO & MD Salil Parekh",https://www.moneycontrol.com/news/business/metaverse-blockchain-will-usher-digital-change-for-infosys-says-ceo-md-salil-parekh-8563471.html
8,"Cloud is growing phenomenally, says Infosys CEO",https://www.moneycontrol.com/news/business/cloud-is-growing-phenomenally-says-infosys-ceo-8560381.html
9,Moneycontrol Selects: Top stories this evening,https://www.moneycontrol.com/news/business/moneycontrol-selects-top-stories-this-evening-25-8554281.html
10,What Infosys’s pay hike bonanza tells us about India’s IT services export model,https://www.moneycontrol.com/news/opinion/what-infosyss-pay-hike-bonanza-tells-us-about-indias-it-services-export-model-8543401.html
11,JP Morgan downgrades Indian IT services sector to underweight,https://www.moneycontrol.com/news/business/earnings/jp-morgan-downgrades-indian-it-services-sector-to-underweight-8536201.html
12,Government extends April GST payment deadline till May 24,https://www.moneycontrol.com/news/business/govt-extends-april-gst-payment-deadline-till-may-24-8526631.html
13,"Infosys skips meeting with Labour Ministry, IT union again",https://www.moneycontrol.com/news/trends/it/infosys-skips-second-meeting-with-labour-ministry-it-union-8524001.html
