,Headlines,Links
0,Storyboard18 | IPG Mediabrands wins ITC’s media and digital accounts,https://www.moneycontrol.com/news/trends/features/storyboard18-ipg-mediabrands-wins-itcs-media-and-digital-accounts-8622881.html
1,ITC acquires 10% stake in Blupin Technologies,https://www.moneycontrol.com/news/business/companies/itc-acquires-10-stake-in-blupin-technologies-8598741.html
2,Buy ITC; target of Rs 325: KR Choksey,https://www.moneycontrol.com/news/business/stocks/buy-itc-target-of-rs-325-kr-choksey-8549431.html
3,Buy ITC; target of Rs 305: Prabhudas Lilladher,https://www.moneycontrol.com/news/business/stocks/buy-itc-target-of-rs-305-prabhudas-lilladher-8540891.html
4,Buy ITC; target of Rs 310: ICICI Direct,https://www.moneycontrol.com/news/business/stocks/buy-itc-target-of-rs-310-icici-direct-8541331.html
5,Buy ITC: target of Rs 320: Sharekhan,https://www.moneycontrol.com/news/business/stocks/buy-itc-target-of-rs-320-sharekhan-8541431.html
6,Neutral ITC; target of Rs 265: Motilal Oswal,https://www.moneycontrol.com/news/business/stocks/neutral-itc-target-of-rs-265-motilal-oswal-8541541.html
7,Buy ITC; target of Rs 308: YES Securities,https://www.moneycontrol.com/news/business/stocks/buy-itc-target-of-rs-308-yes-securities-8541161.html
8,Weekly Tactical Pick| This FMCG biggie checked all the right boxes,https://www.moneycontrol.com/news/business/earnings/weekly-tactical-pick-itc-5-8543031.html
9,"Hot Stocks | Hindustan Aeronautics, ITC, MRPL can give up to 30% return in short term. Here's why",https://www.moneycontrol.com/news/business/markets/hot-stocks-hindustan-aeronautics-itc-mrpl-can-give-up-to-30-return-in-short-term-heres-why-8541221.html
10,ITC’s strengths come to the fore during slowdown,https://www.moneycontrol.com/news/opinion/itcs-strengths-come-to-the-fore-during-slowdown-8537391.html
11,"As ITC gains after earnings, what should you do with stock?",https://www.moneycontrol.com/news/business/stocks/as-itc-gains-after-earnings-what-should-you-do-with-stock-8534751.html
12,ITC puts up an all-round performance,https://www.moneycontrol.com/news/business/earnings/itc-puts-up-an-all-round-performance-2-8535021.html
13,"ITC Consolidated March 2022 Net Sales at Rs 17,754.02 crore, up 23.79% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/itc-consolidated-march-2022-net-sales-at-rs-17754-02-crore-up-23-79-y-o-y-8535311.html
14,"ITC Standalone March 2022 Net Sales at Rs 16,426.00 crore, up 23.55% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/itc-standalone-march-2022-net-sales-at-rs-16426-00-crore-up-23-55-y-o-y-8535151.html
15,"Trade Spotlight | What should you do with Abbott India, ITC, Power Grid Corporation on Monday?",https://www.moneycontrol.com/news/business/markets/trade-spotlight-what-should-you-do-with-abbott-india-itc-power-grid-corporation-on-monday-8472371.html
16,ITC ties up with IIT Delhi to support R&D in identified STEM areas,https://www.moneycontrol.com/news/business/itc-ties-up-with-iit-delhi-to-support-rd-in-identified-stem-areas-8446021.html
17,ITC to acquire 10% stake in Blupin Technologies,https://www.moneycontrol.com/news/business/itc-to-acquire-10-stake-in-blupin-technologies-8389231.html
18,Stirring things up: FMCG firms plan to add a dash of spice,https://www.moneycontrol.com/news/business/companies/stirring-things-up-fmcg-firms-plan-to-add-a-dash-of-spice-8381411.html
19,FMCG Q4 Preview: Staples set to report another disappointing quarter,https://www.moneycontrol.com/news/business/companies/fmcg-q4-preview-staples-set-to-report-another-disappointing-quarter-8360731.html
20,"ITC Q4 PAT seen up 10.7% YoY to Rs. 4,148.6 cr: ICICI Direct",https://www.moneycontrol.com/news/business/earnings/itc-q4-pat-seen-up-10-7-yoy-to-rs-4148-6-cr-icici-direct-8350791.html
21,Top 10 trading ideas for next 3-4 weeks as market ekes out gains despite volatility,https://www.moneycontrol.com/news/business/markets/top-10-trading-ideas-for-next-3-4-weeks-as-market-ekes-out-gains-despite-volatility-8341061.html
22,"Summer of ’22: April, May advance bookings at hotels rise up to 60%; chains raise room rates by 25%",https://www.moneycontrol.com/news/business/summer-of-22-april-may-advance-bookings-at-hotels-rise-up-to-60-chains-raise-room-rates-by-25-8336541.html
23,"ITC Q4 PAT seen up 8.7% YoY to Rs 4,076.4 cr: Motilal Oswal",https://www.moneycontrol.com/news/business/itc-q4-pat-seen-up-8-7-yoy-to-rs-4076-4-cr-motilal-oswal-8333531.html
24,"Hindustan Unilever underperforms ITC on fears of slowdown, rising input prices will hurt earnings",https://www.moneycontrol.com/news/business/earnings/hindustan-unilever-underperforms-itc-on-fears-of-slowdown-rising-input-prices-will-hurt-earnings-8328521.html
25,"Daily Voice | Strategy in ITC, Reliance Industries scrips, as explained by Mohit Nigam of Hem Securities",https://www.moneycontrol.com/news/business/markets/daily-voice-strategy-in-itc-reliance-industries-scrips-as-explained-by-mohit-nigam-of-hem-securities-8307781.html
