,Headlines,Links
0,Top 10 trading ideas from experts for next 3-4 weeks as bulls hold fort,https://www.moneycontrol.com/news/business/markets/top-10-trading-ideas-from-experts-for-next-3-4-weeks-as-bulls-hold-fort-8644171.html
1,Rail orders critical for JSW Steel's Italian biz survival: Official,https://www.moneycontrol.com/news/business/rail-orders-critical-for-jsw-steels-italian-biz-survival-official-8644011.html
2,JSW Steel: Is it a good time to buy this steel major?,https://www.moneycontrol.com/news/business/earnings/jsw-steel-is-it-a-good-time-to-buy-this-steel-major-8608981.html
3,JSW Steel to maintain shipments to Europe without passing on cost of India's new export tax,https://www.moneycontrol.com/news/business/jsw-steel-to-maintain-shipments-to-europe-without-passing-on-cost-of-indias-new-export-tax-8606701.html
4,"JSW Steel earmarks Rs 20,000cr capex in FY'23, hopes export duty to be short-lived",https://www.moneycontrol.com/news/business/jsw-steel-earmarks-rs-20000cr-capex-in-fy23-hopes-export-duty-to-be-short-lived-8600901.html
5,"JSW Steel Standalone March 2022 Net Sales at Rs 36,011.00 crore, up 47.6% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/jsw-steel-standalone-march-2022-net-sales-at-rs-36011-00-crore-up-47-6-y-o-y-8595331.html
6,"JISPL, CSSL merger with JSW Steel gets board of directors' nod",https://www.moneycontrol.com/news/business/mergers-acquisitions/merger-of-jsw-ispat-special-products-and-creixent-special-steels-with-and-into-jsw-steel-approved-by-respective-boards-8593361.html
7,JSW Steel’s crude steel production up 22% YoY at 16.67 lakh tonnes in April,https://www.moneycontrol.com/news/business/jsw-steels-crude-steel-production-up-22-yoy-at-16-67-lakh-tonnes-in-april-8480661.html
8,JSW Steel denies reports of submitting bid to acquire Pawan Hans,https://www.moneycontrol.com/news/business/jsw-steel-denies-reports-of-submitting-bid-to-acquire-pawan-hans-8406741.html
9,Top 10 trading ideas by experts in a range bound market for next 3-4 weeks,https://www.moneycontrol.com/news/business/markets/top-10-trading-ideas-by-experts-in-a-range-bound-market-for-next-3-4-weeks-8402241.html
10,"JSW Steel Q4 PAT seen up 1% YoY to Rs. 4,242 cr: ICICI Direct",https://www.moneycontrol.com/news/business/earnings/jsw-steel-q4-pat-seen-up-1-yoy-to-rs-4242-cr-icici-direct-8377781.html
11,JSW Steel combined crude steel output grows 37%; FY22 production soars 38%,https://www.moneycontrol.com/news/business/jsw-steel-combined-crude-steel-output-grows-37-fy22-production-soars-38-8333931.html
