,Headlines,Links
0,Kotak Mahindra Bank Q2 – A rocking combination of quality and growth,https://www.moneycontrol.com/news/business/moneycontrol-research/kotak-mahindra-bank-q2-a-rocking-combination-of-quality-and-growth-7634301.html
1,Know your AT1 Bonds,https://www.moneycontrol.com/news/mcminis/know-your-at1-bonds-7419571.html
2,"Kotak Bank Q1 Net Profit seen up 40.2% YoY to Rs. 1,744.4 cr: ICICI Direct",https://www.moneycontrol.com/news/business/kotak-bank-q1-net-profit-seen-up-40-2-yoy-to-rs-1744-4-cr-icici-direct-7167981.html
3,Ideas For Profit | Why Kotak Bank is a stock to buy on every decline,https://www.moneycontrol.com/news/business/earnings/ideas-for-profit-why-kotak-bank-is-a-stock-to-buy-on-every-decline-6401531.html
4,"Kotak Bank Q3 Net Profit seen up 16.4% YoY to Rs. 1,856.5 cr: ICICI Direct",https://www.moneycontrol.com/news/business/kotak-bank-q3-net-profit-seen-up-16-4-yoy-to-rs-1856-5-cr-icici-direct-6373341.html
5,"Kotak Bank: So far, it was quality, now growth to be added sweetener",https://www.moneycontrol.com/news/business/moneycontrol-research/kotak-bank-so-far-it-was-quality-now-growth-to-be-added-sweetener-6019181.html
6,Kotak Bank registers FIR against Cox & Kings alleging Rs 170 crore fraud,https://www.moneycontrol.com/news/business/kotak-bank-registers-fir-against-cox-kings-alleging-rs-170-crore-fraud-5916951.html
7,Uday Kotak takes over from Vikram Kirloskar as the new CII President,https://www.moneycontrol.com/news/business/uday-kotak-takes-over-from-vikram-kirloskar-as-the-new-cii-president-5353861.html
8,Banks left with no choice but to park money with RBI: SBI Chairman Rajnish Kumar,https://www.moneycontrol.com/news/business/banks-left-with-no-choice-but-to-park-money-with-rbi-sbi-chairman-rajnish-kumar-5349371.html
9,Kotak Bank lowers interest rates on savings deposits 2nd time in April,https://www.moneycontrol.com/news/india/kotak-bank-lowers-interest-rates-on-savings-deposits-2nd-time-in-april-5167171.html
10,Kotak Mahindra Bank – Challenging environment; tread with caution,https://www.moneycontrol.com/news/business/moneycontrol-research/kotak-mahindra-bank-challenging-environment-tread-with-caution-4837361.html
11,"Kotak Mahindra Bank Q2 Net Profit seen up 32.3% YoY to Rs. 1,511 cr: KR Choksey",https://www.moneycontrol.com/news/business/earnings/kotak-mahindra-bank-q2-net-profit-seen-up-32-3-yoy-to-rs-1511-cr-kr-choksey-4525641.html
12,"D-Street Buzz: ICICI Bank, Kotak Bank shed 2% each; Jet Airways zooms 15%",https://www.moneycontrol.com/news/business/markets/d-street-buzz-icici-bank-kotak-bank-shed-2-each-jet-airways-zooms-15-3696041.html
13,"D-Street Buzz: Banks take a beating, metals drag; Arvind Fashions jumps 8%",https://www.moneycontrol.com/news/business/markets/d-street-buzz-banks-take-a-beating-metals-drag-arvind-fashions-jumps-8-3693981.html
14,Comment | Is it too late to participate in the market rally?,https://www.moneycontrol.com/news/opinion/comment-is-it-too-late-to-participate-in-the-market-rally-3644131.html
15,"Buy Or Sell | Nifty likely to head towards 11300; buy Kotak Bank, Cadila Health",https://www.moneycontrol.com/news/eye-on-india/videos/buy-or-sell-nifty-likely-to-head-towards-11300-buy-kotak-bank-cadila-health-3636301.html
16,"D-Street Buzz: Metal stocks melt with JSPL down 5%; Zee Entertainment falls, Sun Pharma gains",https://www.moneycontrol.com/news/business/markets/d-street-buzz-metal-stocks-melt-with-jspl-down-5-zee-entertainment-falls-sun-pharma-gains-3419081.html
17,"Kotak Mahindra Bank Q4 net profit up 15% YoY at Rs 1,124 crore, misses estimates",https://www.moneycontrol.com/news/business/earnings/kotak-mahindra-bank-q4-net-profit-up-15-yoy-at-rs-1124-crore-in-line-with-estimates-2560127.html
18,Kotak Bank expected to post 20% rise in Q4 net profit,https://www.moneycontrol.com/news/business/earnings/kotak-bank-expected-to-post-20-rise-in-q4-net-profit-2560003.html
19,Kotak Mahindra Bank opposes 100% FDI in banking; says Indian savers must benefit,https://www.moneycontrol.com/news/business/companies/kotak-mahindra-bank-opposes-100-fdi-in-banking-says-indian-savers-must-benefit-2487365.html
20,ATM breach: How to take precautions pre and post debit or credit card use,https://www.moneycontrol.com/news/business/economy/atm-breach-how-to-take-precautions-pre-and-post-debit-or-credit-card-use-2465845.html
21,"Banking sector during the week: ATM charges, cheaper home loans to fund raising & RBI action",https://www.moneycontrol.com/news/business/companies/banking-sector-during-the-week-atm-charges-cheaper-home-loans-to-fund-raising-rbi-action-2278413.html
22,Bank branches shrink as digital banking grows,https://www.moneycontrol.com/news/business/economy/bank-branches-shrink-as-digital-banking-grows-2267885.html
23,"More regulations from RBI to recognise stressed assets, but where is the resolution?",https://www.moneycontrol.com/news/business/economy/more-regulations-from-rbi-to-recognise-stressed-assets-but-where-is-the-resolution-2261271.html
24,"Weekly wrap: Bulls back in charge, indices flirt with record highs",https://www.moneycontrol.com/news/business/markets/weekly-wrap-bulls-backcharge-indices-flirtrecord-highs-1034872.html
25,Kotak-Axis merger in the works? Both banks say no,https://www.moneycontrol.com/news/business/companies/kotak-axis-mergerthe-works-both-banks-say-no-1002528.html
26,View: Liquidity speak more crucial than rates,https://www.moneycontrol.com/news/business/economy/view-liquidity-speak-more-crucial-than-rates-992158.html
27,Govt selects 5 bankers to manage IOC stake sale,https://www.moneycontrol.com/news/business/companies/govt-selects-5-bankers-to-manage-ioc-stake-sale-1525643.html
28,FIPB again defers Kotak Bank proposal for raising FII limit,https://www.moneycontrol.com/news/business/companies/fipb-again-defers-kotak-bank-proposal-for-raising-fii-limit-1538755.html
29,Govt clears 21 FDI proposals worth Rs 281 crore,https://www.moneycontrol.com/news/business/economy/govt-clears-21-fdi-proposals-worth-rs-281-crore-1444099.html
30,"ING deal: Swap ratio fair for all stakeholders, says Kotak",https://www.moneycontrol.com/news/business/companies/ing-deal-swap-ratio-fair-for-all-stakeholders-says-kotak-1552505.html
31,New banking license norms would be a game changer: Angel,https://www.moneycontrol.com/news/business/stocks/-1299559.html
32,"Financial, aviation sectors to get astro support",https://www.moneycontrol.com/news/business/markets/-1745719.html
33,"Tata Motors, IFCI to get astro support: Satish Gupta",https://www.moneycontrol.com/news/business/markets/-1679043.html
34,Expect another 25 bps CRR cut in Q4: Indranil Pan,https://www.moneycontrol.com/news/business/economy/-1862575.html
35,"Textile, financials to get astro support: Satish Gupta",https://www.moneycontrol.com/news/business/markets/-1883757.html
36,"Prefer ICICI Bank, Axis Bank, says Ajay Bodke",https://www.moneycontrol.com/news/business/stocks/-1254763.html
37,Ambit Cap's top bets as market awaits RBI policy,https://www.moneycontrol.com/news/business/markets/-1742843.html
38,"Auto, pharma to take lead if market goes up: Vishal Malkan",https://www.moneycontrol.com/news/business/markets/-1988747.html
39,Banking sector may see some selling pressure: Way2Wealth,https://www.moneycontrol.com/news/business/stocks/-2011739.html
40,Short Hero Motocorp: Jitendra Panda,https://www.moneycontrol.com/news/business/stocks/-1904901.html
41,"See Nifty break 5,350 next week: Vishal Malkan",https://www.moneycontrol.com/news/business/markets/-1831547.html
42,"Bull's Eye: Buy Geometric, ICICI Bank; short Educomp",https://www.moneycontrol.com/news/business/stocks/-1201151.html
43,Possibility for 5500 is getting better: IIFL's Anu Jain,https://www.moneycontrol.com/news/business/technicals/-1961009.html
44,Prefer private banks over public banks: Thukral,https://www.moneycontrol.com/news/business/stocks/-2101777.html
45,SBI may test Rs 2620: Salil Sharma,https://www.moneycontrol.com/news/business/stocks/-2100601.html
46,ICICI Bank can touch Rs 1100: Bothra,https://www.moneycontrol.com/news/business/stocks/-1082861.html
47,"See 4700 on Nifty, could go down more: Cashthechaos.com",https://www.moneycontrol.com/news/business/technicals/-1194515.html
48,Buy banking stocks for long term: Gupta,https://www.moneycontrol.com/news/business/stocks/-1310967.html
