,Headlines,Links
0,Waiting period for some cars touches 2 years as companies scramble for semiconductors,https://www.moneycontrol.com/news/business/companies/waiting-period-for-some-cars-touches-2-years-as-companies-scramble-for-semiconductors-8647601.html
1,Mahindra Scorpio-N exteriors unveiled: Launch scheduled for June 27,https://www.moneycontrol.com/news/photos/automobile/mahindra-scorpio-n-exteriors-unveiled-launch-scheduled-for-june-27-8573031.html
2,"ReNew Power sees pickup in C&I orders driven by ESG, government push, low cost",https://www.moneycontrol.com/news/business/economy/renew-power-sees-pick-up-in-ci-orders-driven-by-esg-government-push-low-cost-8060581.html
3,Anand Mahindra on 1971 Indo-Pakistan war: 'The battle is etched in my mind',https://www.moneycontrol.com/news/trends/entertainment/anand-mahindra-on-1971-indo-pakistan-war-the-battle-is-etched-in-my-mind-7842091.html
4,Special stamp marks Mahindra Group at 75. Anand Mahindra says founders 'smiling with pride',https://www.moneycontrol.com/news/trends/current-affairs-trends/special-stamp-marks-mahindra-group-at-75-anand-mahindra-says-founders-smiling-with-pride-7783781.html
5,Anand Mahindra says 'new roar' as Paris municipal cops get bikes with India link,https://www.moneycontrol.com/news/technology/auto/anand-mahindra-says-new-roar-as-paris-municipal-cops-get-bikes-with-india-link-7780061.html
6,Watch: Brazilian teen drives tractor to birthday party. Anand Mahindra is thrilled,https://www.moneycontrol.com/news/trends/anand-mahindra-watch-brazilian-teen-drives-mahindra-tractor-to-birthday-party-anand-mahindra-is-thrilled-7760381.html
7,"Tata Motors, Mahindra & Mahindra dodge chip shortage with innovation",https://www.moneycontrol.com/news/technology/auto/tata-motors-mahindra-mahindra-dodge-chip-shortage-with-innovation-7699271.html
8,Mahindra & Mahindra ‘open’ to funding for electric vehicle business once again,https://www.moneycontrol.com/news/technology/auto/mahindra-mahindra-open-to-funding-for-electric-vehicle-business-once-again-7696521.html
9,"Korea's Edison Motors vows Rs 6,300 crore investment if it wins SsangYong",https://www.moneycontrol.com/news/technology/auto/koreas-edison-motors-vows-rs-6300-crore-investment-if-it-wins-ssangyong-7622271.html
10,'Shooter Dadi' says Thar came to life when she stood next to It. Anand Mahindra agrees,https://www.moneycontrol.com/news/trends/shooter-dadi-says-thar-came-to-life-when-she-stood-next-to-it-anand-mahindra-agrees-7613221.html
11,Idli on stick: Anand Mahindra lauds Bengaluru for innovation,https://www.moneycontrol.com/news/trends/idli-on-stick-anand-mahindra-lauds-bengaluru-for-innovation-7529861.html
12,Mahindra launches all-new Furio 7 light commercial truck range,https://www.moneycontrol.com/news/technology/auto/mahindra-launches-all-new-furio-7-light-commercial-truck-range-7470251.html
13,Mahindra warns of profit impact due to production loss in September,https://www.moneycontrol.com/news/technology/auto/mahindra-warns-of-profit-impact-over-production-loss-in-september-7420871.html
14,Maruti Suzuki to hike prices in September,https://www.moneycontrol.com/news/technology/auto/maruti-suzuki-to-hike-prices-in-september-7405841.html
15,"Don’t call our SUVs entry-level, please: Mahindra after XUV700 launch",https://www.moneycontrol.com/news/technology/auto/mahindra-xuv700-launch-dont-call-our-suvs-entry-level-please-mm-7339711.html
16,Storyboard BTS: The making of Mahindra’s new ‘Twin Peaks’ logo,https://www.moneycontrol.com/news/trends/current-affairs-trends/storyboard-bts-the-making-of-mahindras-new-twin-peaks-logo-7338441.html
17,Mahindra & Mahindra accelerates electric two-wheeler run in Europe,https://www.moneycontrol.com/news/business/mahindra-mahindra-accelerates-electric-two-wheeler-run-in-europe-7332631.html
18,M&M’s departure from ‘no frills’ strategy in personal EV dents its market share in upcoming e-mobility space,https://www.moneycontrol.com/news/technology/auto/mms-departure-from-no-frills-strategy-in-personal-ev-dents-its-market-share-in-upcoming-e-mobility-space-7312101.html
19,Want to make M&M No. 1 in core SUV segment: Anand Mahindra,https://www.moneycontrol.com/news/technology/auto/want-to-make-mm-no-1-in-core-suv-segment-anand-mahindra-7295461.html
