,Headlines,Links
0,Waiting period for some cars touches 2 years as companies scramble for semiconductors,https://www.moneycontrol.com/news/business/companies/waiting-period-for-some-cars-touches-2-years-as-companies-scramble-for-semiconductors-8647601.html
1,Auto sales: Early signs of easing of supply hurdles in May,https://www.moneycontrol.com/news/business/moneycontrol-research/auto-sales-early-signs-of-easing-of-supply-constraints-in-may-8635271.html
2,"Maruti’s performance stable in Q4, operating leverage in the lead",https://www.moneycontrol.com/news/business/moneycontrol-research/marutis-performance-stable-in-q4-operating-leverage-in-the-lead-8440211.html
3,Is market leader Maruti losing speed?,https://www.moneycontrol.com/news/business/earnings/is-market-leader-maruti-losing-speed-8353761.html
4,Automakers see some light at the end of the tunnel,https://www.moneycontrol.com/news/business/moneycontrol-research/automakers-see-some-light-at-the-end-of-the-tunnel-8317861.html
5,Maruti Suzuki share price plunges 6% as Indian market is hammered again,https://www.moneycontrol.com/news/business/markets/maruti-suzuki-share-price-plunges-6-as-indian-market-is-hammered-again-8200691.html
6,Russia-Ukraine conflict:  External risks could prolong Maruti’s struggle to claw back earnings,https://www.moneycontrol.com/news/opinion/russia-ukraine-conflict-external-risks-could-prolong-marutis-struggle-to-claw-back-earnings-8200311.html
7,"Automakers move in a low gear, yet again",https://www.moneycontrol.com/news/business/moneycontrol-research/automakers-still-stuck-in-slow-lane-8186511.html
8,Automakers start the year on a soft note,https://www.moneycontrol.com/news/business/moneycontrol-research/auto-makers-start-the-year-on-a-soft-note-8029541.html
9,Maruti Q3: Operating leverage in the driver's seat,https://www.moneycontrol.com/news/business/earnings/maruti-q3-gets-the-spark-from-operating-leverage-7989171.html
10,"Storyboard18 | Maruti to increase media spends by 10-15% in 2022, starts year with commercial vehicle campaign",https://www.moneycontrol.com/news/automobile/storyboard18-maruti-to-increase-media-spends-by-10-15-in-2022-starts-year-with-commercial-vehicle-campaign-7988251.html
11,Automakers end year on a mixed note,https://www.moneycontrol.com/news/business/moneycontrol-research/automakers-end-year-on-a-mixed-note-7896481.html
12,"Tata Motors outpaces Hyundai in December, becomes second largest carmaker",https://www.moneycontrol.com/news/photos/automobile/tata-motors-outpaces-hyundai-in-december-becomes-second-largest-carmaker-7893261.html
13,"Tata Motors, Honda mulling price hike from next month",https://www.moneycontrol.com/news/business/economy/tata-motors-honda-mulling-price-hike-from-next-month-7793191.html
14,Automakers face challenges galore,https://www.moneycontrol.com/news/business/moneycontrol-research/auto-makers-face-challenges-galore-7783211.html
15,October auto sales: Sequential improvement brings cheer,https://www.moneycontrol.com/news/business/moneycontrol-research/october-auto-sales-sequential-improvement-brings-cheers-7666401.html
16,Maruti's reluctance in electric vehicles: Does it hint at fear of losing market share?,https://www.moneycontrol.com/news/opinion/by-refusing-to-take-the-ev-plunge-is-maruti-erring-on-the-side-of-caution-7648571.html
17,"Chip shortage, commodity prices dent Maruti Q2",https://www.moneycontrol.com/news/business/moneycontrol-research/chip-shortage-commodity-prices-dent-maruti-q2-7640621.html
18,September auto sales: Semiconductor chip shortage a big dampener,https://www.moneycontrol.com/news/business/moneycontrol-research/september-auto-sales-scarcity-of-semiconductor-chips-plays-spoilsport-7539341.html
19,"August auto sales -- Chips are down, the spark goes missing",https://www.moneycontrol.com/news/business/moneycontrol-research/august-auto-sales-scarcity-of-semiconductor-chips-a-speed-breaker-7418981.html
20,Why is Maruti raising prices?,https://www.moneycontrol.com/news/mcminis/why-is-maruti-raising-prices-7416301.html
21,"Bajar Gupshup | Sensex, Nifty post record closing highs; broad-based buying seen",https://www.moneycontrol.com/news/business/markets/bajar-gupshup-sensex-nifty-post-record-closing-highs-broad-based-buying-seen-stock-market-bse-7407511.html
22,"Maruti: Drop in demand, pricey inputs dent numbers; outlook positive",https://www.moneycontrol.com/news/business/moneycontrol-research/maruti-drop-in-demand-pricey-inputs-dent-numbers-outlook-positive-7243281.html
23,Q1 Nifty Earnings | Maruti Suzuki & Nestle results preview,https://www.moneycontrol.com/news/business/earnings/q1-nifty-earnings-maruti-suzuki-nestle-results-preview-7234121.html
24,Maruti’s Ajay Seth on what it takes to become a successful CFO,https://www.moneycontrol.com/news/business/companies/marutis-ajay-seth-on-what-it-takes-to-become-a-successful-cfo-7148051.html
25,June auto sales show waning impact of COVID,https://www.moneycontrol.com/news/business/companies/june-auto-sales-show-waning-impact-of-covid-7116161.html
26,COVID continues to challenge auto industry; medium term outlook encouraging,https://www.moneycontrol.com/news/business/moneycontrol-research/covid-continues-to-challenge-auto-industry-medium-term-outlook-encouraging-6976471.html
27,Is hydrogen really the way forward for trucks?,https://www.moneycontrol.com/news/automobile/is-hydrogen-really-the-way-forward-for-trucks-6960731.html
28,The key messages from the auto sales data for April,https://www.moneycontrol.com/news/opinion/the-key-messages-from-the-auto-sales-data-for-april-6855971.html
29,Auto industry runs into COVID surge speed bump,https://www.moneycontrol.com/news/business/moneycontrol-research/auto-industry-runs-into-covid-surge-speed-bump-6853501.html
30,"Maruti: Raw material and COVID pose challenges, valuation reasonable",https://www.moneycontrol.com/news/business/moneycontrol-research/maruti-raw-material-and-covid-pose-challenges-valuation-reasonable-6824311.html
31,25% of Nifty heavyweights report quarterly earnings this week,https://www.moneycontrol.com/news/business/companies/25-of-nifty-heavyweights-report-quarterly-earnings-this-week-6822741.html
32,What does the future hold for automakers amid the second wave of COVID?,https://www.moneycontrol.com/news/business/moneycontrol-research/what-does-the-future-hold-for-auto-makers-amid-the-second-wave-of-covid-6776101.html
33,Auto industry is driving along on a promising road,https://www.moneycontrol.com/news/business/moneycontrol-research/auto-industry-continues-to-ride-on-a-promising-road-6592021.html
34,Auto industry continues to cruise fast,https://www.moneycontrol.com/news/business/moneycontrol-research/auto-industry-continues-to-cruise-fast-6433911.html
35,"Maruti: Raw material poses challenge, valuation premium warrants patience",https://www.moneycontrol.com/news/business/moneycontrol-research/maruti-raw-material-poses-challenge-valuation-premium-warrants-patience-6414391.html
36,Market cap of BSE-listed firms at record high of over Rs 196.56 lakh crore,https://www.moneycontrol.com/news/business/markets/market-cap-of-bse-listed-firms-at-record-high-of-over-rs-196-56-lakh-crore-6331971.html
37,Auto industry: ending the year on a high note!,https://www.moneycontrol.com/news/business/moneycontrol-research/auto-industry-ending-the-year-on-a-high-note-6300061.html
38,"Bit of an auto slowdown post festivities, but still cruising comfortably",https://www.moneycontrol.com/news/business/moneycontrol-research/bit-of-an-auto-slowdown-post-festivities-but-still-cruising-comfortably-6178431.html
39,Festivity brings cheer to auto makers,https://www.moneycontrol.com/news/business/moneycontrol-research/festivity-brings-cheer-to-auto-makers-6056861.html
40,September brings cheer to auto makers,https://www.moneycontrol.com/news/business/moneycontrol-research/september-brings-cheers-to-auto-makers-5921931.html
41,"Cars, two-wheelers gain speed in August",https://www.moneycontrol.com/news/business/moneycontrol-research/cars-two-wheelers-gain-speed-in-august-5792401.html
42,"Passenger vehicles, two-wheeler sales show promise in July",https://www.moneycontrol.com/news/business/moneycontrol-research/passenger-vehicles-two-wheeler-sales-show-promise-in-july-5641701.html
43,Maruti: Valuation remains high amid weak numbers,https://www.moneycontrol.com/news/business/moneycontrol-research/maruti-valuation-remains-high-amid-weak-numbers-5617161.html
44,"Auto monthly numbers May 2020: Slow pick-up, better numbers in rural India",https://www.moneycontrol.com/news/business/auto-monthly-numbers-may-2020-slow-pick-up-better-numbers-in-rural-india-5346541.html
45,"Hyundai India, Maruti workers get coronavirus, showing restart risks",https://www.moneycontrol.com/news/business/hyundai-india-maruti-workers-get-coronavirus-showing-restart-risks-5310451.html
46,Why investors should accumulate Maruti for the long term,https://www.moneycontrol.com/news/business/moneycontrol-research/why-investors-should-accumulate-maruti-for-the-long-term-5264201.html
47,Auto numbers April 2020:  No sales due to lockdown,https://www.moneycontrol.com/news/business/moneycontrol-research/auto-numbers-april-2020-no-sales-due-to-lockdown-5223291.html
48,Outlook for Indian automobile manufacturers – Lessons learnt from SARS,https://www.moneycontrol.com/news/business/moneycontrol-research/outlook-for-indian-automobile-manufacturers-lessons-learnt-from-sars-5165191.html
49,Virtual Leaders I Lockdown has shown us a new way to conduct business: Maruti's RC Bhargava,https://www.moneycontrol.com/news/business/virtual-leaders-i-lockdown-has-shown-us-a-new-way-to-conduct-business-marutis-rc-bhargava-5133481.html
50,"As expected, the auto numbers for March 2020 are terrible",https://www.moneycontrol.com/news/business/moneycontrol-research/as-expected-the-auto-numbers-for-march-2020-are-terrible-5099631.html
51,"Coronavirus pandemic | Maruti Suzuki to help produce ventilators, masks & protective clothing",https://www.moneycontrol.com/news/technology/auto/coronavirus-pandemic-maruti-suzuki-to-help-produce-ventilators-masks-protective-clothing-5082821.html
52,3-Point Analysis | Auto sales move in the slow lane in Jan 2020,https://www.moneycontrol.com/news/eye-on-india/videos/3-point-analysis-auto-sales-move-in-the-slow-lane-in-jan-2020-4904611.html
53,"Maruti Suzuki-Kotak Mahindra Bank to provide higher financing, slash down payments from 20% to 10%",https://www.moneycontrol.com/news/technology/auto/maruti-suzuki-kotak-mahindra-bank-to-provide-higher-financing-slash-down-payments-from-20-to-10-4803511.html
54,CBI books former Maruti chief Jagdish Khattar for defrauding PNB,https://www.moneycontrol.com/news/business/cbi-books-former-maruti-chief-jagdish-khattar-for-defrauding-pnb-4758721.html
55,"In The News podcast | Hyderabad rape accused gunned down; Maruti recalls 63,000 cars; Saudi Aramco IPO and more",https://www.moneycontrol.com/news/podcast/in-the-news-podcast-hyderabad-rape-accused-gunned-down-maruti-recalls-63000-cars-saudi-aramco-ipo-and-more-4707291.html
56,"Corporate Buzz podcast | Yes Bank, Zee founders exit; DHFL headed for insolvency; and Maruti leads BSVI race",https://www.moneycontrol.com/news/business/corporate-buzz-podcast-yes-bank-zee-founders-exit-dhfl-headed-for-insolvency-and-maruti-leads-bsvi-race-4665861.html
57,Maruti hires KPMG and PWC to help auto suppliers tackle slowdown: Report,https://www.moneycontrol.com/news/technology/auto/maruti-hires-kpmg-and-pwc-to-help-auto-suppliers-tackle-slowdown-report-4432451.html
