,Headlines,Links
0,Storyboard18 | Leaders of the future have to be outstanding human beings: Nestle MD,https://www.moneycontrol.com/news/business/storyboard18-leaders-of-the-future-have-to-be-outstanding-human-beings-nestle-md-8665401.html
1,500 kg cocaine found at Nespresso factory in Switzerland,https://www.moneycontrol.com/news/world/500kg-cocaine-found-at-nespresso-factory-in-switzerland-8464041.html
2,Storyboard18 x The English Nut: How to pronounce these 10 brand names,https://www.moneycontrol.com/news/trends/features/storyboard18-x-the-english-nut-how-to-pronounce-these-10-brand-names-8446851.html
3,"From spreads to shampoo, palm oil is part of everyday life",https://www.moneycontrol.com/news/business/from-spreads-to-shampoo-palm-oil-is-part-of-everyday-life-8399021.html
4,"Nestle Standalone March 2022 Net Sales at Rs 3,980.70 crore, up 10.24% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/nestle-standalone-march-2022-net-sales-at-rs-3980-70-crore-up-10-24-y-o-y-8393251.html
5,"Saurabh Mukherjea dismisses concerns around HDFC merger; extremely bullish on Nestle, Asian Paints",https://www.moneycontrol.com/news/business/earnings/saurabh-mukherjea-dismisses-concerns-around-hdfc-merger-extremely-bullish-on-nestle-asian-paints-8392871.html
6,Nestlé India blames 10 year high input inflation for disappointing report card,https://www.moneycontrol.com/news/business/earnings/nestle-india-blames-10-year-high-input-inflation-for-disappointing-report-card-8388751.html
7,"Mondelez, Nestle, Pepsi face pressure from European employees over Russia",https://www.moneycontrol.com/news/business/mondelez-nestle-pepsi-face-pressure-from-european-employees-over-russia-8364991.html
8,Nestle Q4 PAT may dip 1.2% YoY to Rs 595.1 cr: Motilal Oswal,https://www.moneycontrol.com/news/business/nestle-q4-pat-may-dip-1-2-yoy-to-rs-595-1-cr-motilal-oswal-8333681.html
9,Inputs prices expected to extend surge: Nestle India’s annual report,https://www.moneycontrol.com/news/business/companies/inputs-prices-expected-to-extend-surge-nestle-indias-annual-report-8243681.html
