,Headlines,Links
0,"Trade Spotlight | What should you do with Balkrishna Industries, HDFC Life, Container Corporation, NTPC on Thursday?",https://www.moneycontrol.com/news/business/markets/trade-spotlight-what-should-you-do-with-balkrishna-industries-hdfc-life-container-corporation-ntpc-on-thursday-8577411.html
1,"NTPC enjoys smooth growth runway, better earnings health is vital",https://www.moneycontrol.com/news/opinion/ntpc-enjoys-smooth-growth-runway-better-earnings-health-is-vital-8563301.html
2,"NTPC: Favourable earnings outlook, valuation to support stock",https://www.moneycontrol.com/news/business/moneycontrol-research/ntpc-favourable-earnings-outlook-and-valuation-to-support-stock-8556321.html
3,Buy NTPC; target of Rs 190: ICICI Direct,https://www.moneycontrol.com/news/business/stocks/buy-ntpc-target-of-rs-190-icici-direct-2-8558291.html
4,"NTPC Consolidated March 2022 Net Sales at Rs 37,085.07 crore, up 23.2% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/ntpc-consolidated-march-2022-net-sales-at-rs-37085-07-crore-up-23-2-y-o-y-8557621.html
5,"NTPC Standalone March 2022 Net Sales at Rs 32,905.02 crore, up 23.86% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/ntpc-standalone-march-2022-net-sales-at-rs-32905-02-crore-up-23-86-y-o-y-8556061.html
6,Buy NTPC: target of Rs 170: Sharekhan,https://www.moneycontrol.com/news/business/stocks/buy-ntpc-target-of-rs-170-sharekhan-2-8549981.html
7,"NTPC to add 5 GW capacity in FY23, 6 GW in FY24",https://www.moneycontrol.com/news/business/ntpc-to-add-5-gw-capacity-in-fy23-6-gw-in-fy24-8547171.html
8,"NTPC to raise Rs 5,000 crore via term-loan to fund capex",https://www.moneycontrol.com/news/business/ntpc-to-raise-rs-5000-crore-via-term-loan-to-fund-capex-8495771.html
9,NTPC ties up with Energy Vault,https://www.moneycontrol.com/news/business/ntpc-ties-up-with-energy-vault-8417091.html
10,Buy NTPC; target of Rs 190: ICICI Direct,https://www.moneycontrol.com/news/business/stocks/buy-ntpc-target-of-rs-190-icici-direct-8412751.html
11,BHEL to supply 6 electric locomotives to NTPC for material handling operations,https://www.moneycontrol.com/news/technology/auto/bhel-to-supply-6-electric-locomotives-to-ntpc-for-material-handling-operations-8407071.html
12,NTPC ties up with Delhi Jal Board to convert waste into energy,https://www.moneycontrol.com/news/business/ntpc-ties-up-with-delhi-jal-board-to-convert-waste-into-energy-8389941.html
13,"PSU Index gains 10% in last 9 sessions, outperforms Sensex, Nifty",https://www.moneycontrol.com/news/business/earnings/psu-index-gains-10-in-last-9-sessions-outperforms-sensex-nifty-8382931.html
14,"Trade Spotlight | What should investors do with JK Paper, NTPC, Capri Global Capital, Gujarat Ambuja Exports on Tuesday?",https://www.moneycontrol.com/news/business/markets/trade-spotlight-what-should-investors-do-with-jk-paper-ntpc-capri-global-capital-gujarat-ambuja-exports-on-tuesday-8375161.html
15,"Thermal power regains primacy, but policy bottlenecks remain",https://www.moneycontrol.com/news/opinion/thermal-power-regains-primacy-but-policy-bottlenecks-remain-8371821.html
16,Buy NTPC: target of Rs 196: ICICI Securities,https://www.moneycontrol.com/news/business/stocks/buy-ntpc-target-of-rs-196-icici-securities-8352241.html
17,NTPC inks pact with Gujarat Gas for blending green hydrogen with piped natural gas,https://www.moneycontrol.com/news/business/ntpc-inks-pact-with-gujarat-gas-for-blending-green-hydrogen-with-piped-natural-gas-8320741.html
18,NTPC begins commercial operation of 22 MW floating solar capacity in Kerala,https://www.moneycontrol.com/news/business/ntpc-begins-commercial-operation-of-22-mw-floating-solar-capacity-in-kerala-8305761.html
19,NTPC Group's power output up 14.6% to 360 billion units in 2021-22,https://www.moneycontrol.com/news/business/ntpc-groups-power-output-up-14-6-to-360-billion-units-in-2021-22-8302001.html
20,"DVC, NTPC form JV for renewable power projects",https://www.moneycontrol.com/news/business/dvc-ntpc-form-jv-for-renewable-power-projects-8298521.html
21,Commodity crunch reinforces NTPC’s unique position in India's power sector,https://www.moneycontrol.com/news/opinion/commodity-crunch-reinforces-ntpcs-unique-position-in-indias-power-sector-8242271.html
22,India signs agreement to build solar power plant in Sri Lanka,https://www.moneycontrol.com/news/business/economy/india-signs-agreement-to-build-solar-power-plant-in-sri-lanka-8224781.html
23,How India’s public sector units can impact the clean energy transition,https://www.moneycontrol.com/news/business/wire-news/how-indias-public-sector-units-can-impact-the-clean-energy-transition-8223991.html
24,NTPC to begin commercial operation of 74 MW capacity at Fatehgarh solar project from midnight,https://www.moneycontrol.com/news/business/ntpc-to-begin-commercial-operation-of-74-mw-capacity-at-fatehgarh-solar-project-from-midnight-8194881.html
25,Weekly Tactical Pick | NTPC,https://www.moneycontrol.com/news/business/moneycontrol-research/weekly-tactical-pick-ntpc-4-8162631.html
26,"NTPC pays interim dividend of Rs 3,879 crore for 2021-22",https://www.moneycontrol.com/news/business/ntpc-pays-interim-dividend-of-rs-3879-crore-for-2021-22-8143461.html
27,NTPC surpasses 2020-21 power generation of 314 BU,https://www.moneycontrol.com/news/india/ntpc-surpasses-2020-21-power-generation-of-314-bu-8137431.html
28,Hold NTPC: target of Rs 137: ICICI Direct,https://www.moneycontrol.com/news/business/hold-ntpc-target-of-rs-137-icici-direct-8026571.html
29,"Budget 2022 | Government projects PSU dividend receipts at Rs 40,000 crore for FY23",https://www.moneycontrol.com/news/business/markets/budget-2022-government-projects-psu-dividend-receipt-at-rs-40000-crore-for-fy23-8009081.html
30,"Budget 2022 | Adani Power, Tata Power rally 3-4% on allocation for hydro and solar projects in FY23",https://www.moneycontrol.com/news/business/markets/budget-2022-adani-power-tata-power-rally-3-4-on-allocation-for-hydro-and-solar-projects-in-fy23-8017091.html
31,"NTPC Consolidated December 2021 Net Sales at Rs 33,292.61 crore, up 20.95% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/ntpc-consolidated-december-2021-net-sales-at-rs-33292-61-crore-up-20-95-y-o-y-2-8014961.html
32,NTPC: Value unlocking could drive stock higher,https://www.moneycontrol.com/news/business/earnings/ntpc-value-unlocking-could-drive-stock-higher-8006741.html
33,"NTPC Consolidated December 2021 Net Sales at Rs 33,292.61 crore, up 20.95% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/ntpc-consolidated-december-2021-net-sales-at-rs-33292-61-crore-up-20-95-y-o-y-8007251.html
34,"NTPC Standalone December 2021 Net Sales at Rs 28,864.79 crore, up 17.77% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/ntpc-standalone-december-2021-net-sales-at-rs-28864-79-crore-up-17-77-y-o-y-8007171.html
35,"Caught in the crossfire, power corporation NTPC urges railways to rename rail tests",https://www.moneycontrol.com/news/india/caught-in-the-crossfire-power-corporation-ntpc-urges-railways-to-rename-rail-tests-8004741.html
36,NTPC to form new green energy arm for monetisation by October,https://www.moneycontrol.com/news/companies-2/ntpc-to-form-new-green-energy-arm-for-monetisation-by-october-8003001.html
37,"NTPC Q3 profit jumps 19.3% to Rs 4,626 crore, operating income grows 26%",https://www.moneycontrol.com/news/business/earnings/ntpc-q3-profit-jumps-19-3-to-rs-4626-crore-operating-income-grows-26-8001011.html
38,NTPC invites bids to set up 3GW energy storage facility in India,https://www.moneycontrol.com/news/business/ntpc-invites-bids-to-set-up-3gw-energy-storage-facility-in-india-7991401.html
39,"NTPC top biomass user in India, consumes 58,000 MT, tenders 10.7 MMT: Power Ministry",https://www.moneycontrol.com/news/business/ntpc-top-biomass-user-in-india-consumes-58000-mt-tenders-10-7-mmt-power-ministry-7956791.html
40,NTPC plans to raise up to $750 million via ECB,https://www.moneycontrol.com/news/business/ntpc-plans-to-raise-up-to-750-million-via-ecb-7947351.html
41,Adani Group says won tender to supply imported coal to NTPC,https://www.moneycontrol.com/news/business/adani-group-says-won-tender-to-supply-imported-coal-to-ntpc-7908341.html
42,"Trade Spotlight | What should you do with Affle India, NTPC, Pidilite Industries, and GNFC?",https://www.moneycontrol.com/news/business/markets/trade-spotlight-what-should-you-do-with-affle-india-ntpc-pidilite-industries-and-gnfc-7900091.html
43,"Ideas For Profit | NTPC: Betting on valuation, earnings visibility & listing of renewable energy biz",https://www.moneycontrol.com/news/business/stocks/ideas-for-profit-ntpc-betting-on-valuation-earnings-visibility-listing-of-renewable-energy-biz-7895361.html
44,NTPC valuation stands out on risk-reward maths,https://www.moneycontrol.com/news/business/moneycontrol-research/ntpc-current-valuation-offers-good-risk-reward-ratio-7892581.html
45,NTPC plans to acquire 5 % equity in Power Exchange of India,https://www.moneycontrol.com/news/business/wire-news/ntpc-plans-to-acquire-5-percent-equity-in-power-exchange-of-india-7890991.html
