,Headlines,Links
0,OVL says oil movement from Sakhalin-1 project disrupted due to sanctions,https://www.moneycontrol.com/news/business/ovl-says-oil-movement-from-sakhalin-1-project-disrupted-due-to-sanctions-8678531.html
1,ONGC to finalise collaboration with global exploration and production players before FY23-end,https://www.moneycontrol.com/news/business/companies/ongc-should-not-be-run-casually-enough-talent-in-company-for-top-job-cmd-8646731.html
2,ONGC's nominee director appointment on HPCL board stuck in paperwork,https://www.moneycontrol.com/news/business/ongcs-nominee-director-appointment-on-hpcl-board-stuck-in-paperwork-8642251.html
3,Solid cash flow to support ONGC's higher investments: S&P,https://www.moneycontrol.com/news/business/solid-cash-flow-to-support-ongcs-higher-investments-sp-8638061.html
4,"ONGC sees oil production rising 11%, gas jumping 25% by FY25",https://www.moneycontrol.com/news/business/ongc-sees-oil-production-rising-11-gas-jumping-25-by-fy25-8614161.html
5,"ONGC Consolidated March 2022 Net Sales at Rs 155,920.48 crore, up 36.57% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/ongc-consolidated-march-2022-net-sales-at-rs-155920-48-crore-up-36-57-y-o-y-8610001.html
6,"ONGC to step up capex on exploration, does not expect windfall tax: CMD Mittal",https://www.moneycontrol.com/news/business/companies/ongc-to-step-up-capex-on-exploration-does-not-expect-windfall-tax-cmd-mittal-8604881.html
7,Do not see govt slapping windfall tax: ONGC,https://www.moneycontrol.com/news/business/do-not-see-govt-slapping-windfall-tax-ongc-8604201.html
8,ONGC edges higher after reporting record profit; Citi retains sell call,https://www.moneycontrol.com/news/business/stocks/ongc-edges-higher-after-reporting-record-profit-citi-retains-sell-call-8602291.html
9,"ONGC to invest Rs 31,000 cr in finding oil, gas",https://www.moneycontrol.com/news/business/ongc-to-invest-rs-31000-cr-in-finding-oil-gas-8585921.html
10,ONGC offers stake in KG block to foreign firms,https://www.moneycontrol.com/news/business/ongc-offers-stake-in-kg-block-to-foreign-firms-8585521.html
11,ONGC becomes 1st gas producer to trade on IGX,https://www.moneycontrol.com/news/business/ongc-becomes-1st-gas-producer-to-trade-on-igx-8561801.html
