,Headlines,Links
0,"Power Grid Corporation of India: Earnings growth stable, valuation attractive",https://www.moneycontrol.com/news/business/moneycontrol-research/power-grid-corporation-of-india-earnings-growth-stable-valuation-attractive-7321261.html
1,"Cabinet approves revised cost for strengthening power transmission system in Sikkim, Arunchal Pradesh",https://www.moneycontrol.com/news/business/cabinet-approves-revised-cost-for-strengthening-power-transmission-system-in-sikkim-arunchal-pradesh-6654201.html
2,Power Grid Corporation acquires Ramgarh New Transmission Ltd,https://www.moneycontrol.com/news/business/power-grid-corporation-acquires-ramgarh-new-transmission-ltd-6626821.html
3,"Power Grid Q3 preview | Tepid growth in sales, profit expected; focus on capitalisation, InvIT of assets",https://www.moneycontrol.com/news/business/markets/power-grid-q3-preview-tepid-growth-in-sales-profit-expected-focus-on-capitalisation-invit-of-assets-6490221.html
4,Buy Power Grid Corporation; target of Rs 230: Dolat Capital Market,https://www.moneycontrol.com/news/business/stocks/buy-power-grid-corporation-target-of-rs-230-dolat-capital-market-6119791.html
5,Buy Power Grid Corporation; target of Rs 220: Emkay Global Financial,https://www.moneycontrol.com/news/business/stocks/buy-power-grid-corporation-target-of-rs-220-emkay-global-financial-6119211.html
6,Buy Power Grid Corporation; target of Rs 220: Dolat Capital,https://www.moneycontrol.com/news/business/stocks/buy-power-grid-corporation-target-of-rs-220-dolat-capital-5688071.html
7,Power Grid shares rise 3% on CLSA upgrade to buy,https://www.moneycontrol.com/news/business/stocks/power-grid-shares-rise-3-on-clsa-upgrade-to-buy-5443071.html
8,Power Ministry asks PGCIL to set up central transmission utility,https://www.moneycontrol.com/news/business/power-ministry-asks-pgcil-to-set-up-central-transmission-utility-5423751.html
9,Power Grid share price cracks 5% after Q3 earnings,https://www.moneycontrol.com/news/business/markets/power-grid-share-price-cracks-5-after-q3-earnings-4890201.html
10,"Power Grid Q3 net up 14% at Rs 2,672cr",https://www.moneycontrol.com/news/business/power-grid-q3-net-up-14-at-rs-2672cr-4888311.html
11,Power Grid moves SC against DoT demand of Rs 22K Crore,https://www.moneycontrol.com/news/business/power-grid-moves-sc-against-dot-demand-of-rs-22k-crore-4857081.html
