,Headlines,Links
0,"RBI much ahead in containing inflation, but two more rate hikes likely, says SBI report",https://www.moneycontrol.com/news/business/economy/rbi-much-ahead-in-containing-inflation-sbi-report-8681211.html
1,India’s highest-paid bankers: How SBI boss Khara’s salary compares with HDFC’s Mistry and others,https://www.moneycontrol.com/news/business/banks/indias-highest-paid-bankers-how-sbi-boss-kharas-salary-compares-with-hdfcs-mistry-and-others-8679401.html
2,Top-10 most valued firms lose over Rs 2.29 lakh crore in m-cap,https://www.moneycontrol.com/news/business/markets/top-10-most-valued-firms-lose-over-rs-2-29-lakh-crore-in-m-cap-8675481.html
3,SBI chairman bullish on economic recovery as loan demand rebounds,https://www.moneycontrol.com/news/business/economy/banker-to-467-million-indians-says-loan-demand-is-bouncing-back-8673961.html
4,"YES Bank calls AGM on July 15 to seek approval for new board formation, Prashant Kumar’s re-appointment as MD for 3 years",https://www.moneycontrol.com/news/business/banks/yes-bank-calls-agm-on-july-15-to-seek-approval-for-new-board-formation-prashant-kumars-re-appointment-as-md-for-3-years-8657881.html
5,Alok Kumar Choudhary takes over as SBI MD,https://www.moneycontrol.com/news/business/banks/alok-kumar-choudhary-takes-over-as-sbi-md-8655591.html
6,Sebi rejigs mutual fund advisory committee,https://www.moneycontrol.com/news/business/sebi-rejigs-mutual-fund-advisory-committee-8648541.html
7,"SBI Chairman Dinesh Khara draws Rs 34.42 lakh annual salary in FY22, up 13% than predecessor Rajnish Kumar",https://www.moneycontrol.com/news/business/banks/sbi-chairman-dinesh-khara-draws-rs-34-42-lakh-annual-salary-in-fy22-up-13-than-predecessor-rajnish-kumar-8647391.html
8,Ideas For Profit | Distressed valuation despite strong earnings: Factors that can trigger SBI stock uptick,https://www.moneycontrol.com/news/business/markets/ideas-for-profit-distressed-valuation-despite-strong-earnings-factors-that-can-trigger-sbi-stock-uptick-8518621.html
9,"RBI may hike rates by 75 bps by August, say SBI economists",https://www.moneycontrol.com/news/economy/policy/rbi-may-hike-rates-by-75-bps-by-august-say-sbi-economists-8518081.html
10,"SBI hikes lending rate by 0.1%, EMIs to go up",https://www.moneycontrol.com/news/business/sbi-hikes-lending-rate-by-0-1-emis-to-go-up-2-8515801.html
11,Rising interest rates to positively impact net interest margin: SBI chairman,https://www.moneycontrol.com/news/interview/state-bank-of-india-chairman-on-why-he-sees-inflation-as-positive-to-some-extent-for-economy-and-more-8511701.html
