,Headlines,Links
0,"Hold Shree Cement; target of Rs 24,300: ICICI Direct",https://www.moneycontrol.com/news/business/stocks/hold-shree-cement-target-of-rs-24300-icici-direct-8585881.html
1,"Hold Shree Cement; target of Rs 23,150: Prabhudas Lilladher",https://www.moneycontrol.com/news/business/stocks/hold-shree-cement-target-of-rs-23150-prabhudas-lilladher-8561831.html
2,"Accumulate Shree Cement; target of Rs 25,085: KR Choksey",https://www.moneycontrol.com/news/business/stocks/accumulate-shree-cement-target-of-rs-25085-kr-choksey-8562061.html
3,"Buy Shree Cement; target of Rs 30,110: YES Securities",https://www.moneycontrol.com/news/business/stocks/buy-shree-cement-target-of-rs-30110-yes-securities-8558141.html
4,"Neutral Shree Cement; target of Rs 23,740: Motilal Oswal",https://www.moneycontrol.com/news/business/neutral-shree-cement-target-of-rs-23740-motilal-oswal-8557191.html
5,"Buy Shree Cement: target of Rs 26,000: Sharekhan",https://www.moneycontrol.com/news/business/stocks/buy-shree-cement-target-of-rs-26000-sharekhan-2-8556951.html
6,Shree Cement Q4 PAT may dip 25.3% YoY to Rs. 573.1 cr: ICICI Direct,https://www.moneycontrol.com/news/business/shree-cement-q4-pat-may-dip-25-3-yoy-to-rs-573-1-cr-icici-direct-8351061.html
7,"In these volatile times, look at companies’ strength: Raamdeo Agrawal",https://www.moneycontrol.com/news/business/in-these-volatile-times-look-at-companies-strength-raamdeo-agrawal-8211801.html
8,"Hold Shree Cement; target of Rs 26,830: Prabhudas Lilladher",https://www.moneycontrol.com/news/business/stocks/hold-shree-cement-target-of-rs-26830-prabhudas-lilladher-8091321.html
9,"Buy Shree Cement; target of Rs 30,800: Sharekhan",https://www.moneycontrol.com/news/business/earnings/buy-shree-cement-target-of-rs-30800-sharekhan-8057241.html
10,Shree Cement Q3 PAT may dip 26.9% YoY to Rs. 457.5 cr: ICICI Direct,https://www.moneycontrol.com/news/business/earnings/shree-cement-q3-pat-may-dip-26-9-yoy-to-rs-457-5-cr-icici-direct-7927651.html
11,"Neutral Shree Cement; target of Rs 28,220: Motilal Oswal",https://www.moneycontrol.com/news/business/stocks/neutral-shree-cement-target-of-rs-28220-motilal-oswal-7677091.html
12,Buy Shree Cement; target of Rs 34500: ICICI Direct,https://www.moneycontrol.com/news/business/buy-shree-cement-target-of-rs-34500-icici-direct-7674501.html
13,Shree Cement Q2 PAT may dip 17.4% YoY to Rs 451.9 cr: ICICI Direct,https://www.moneycontrol.com/news/business/earnings/shree-cement-q2-pat-may-dip-17-4-yoy-to-rs-451-9-cr-icici-direct-7560261.html
14,"Shree Cement to invest Rs 4,750 crore in Rajasthan",https://www.moneycontrol.com/news/business/shree-cement-to-invest-rs-4750-crore-in-rajasthan-7467771.html
15,Buy Shree Cement; target of Rs 31200: ICICI Direct,https://www.moneycontrol.com/news/business/buy-shree-cement-target-of-rs-31200-icici-direct-7354121.html
16,"Nifty Earnings | Are Divi’s Labs, Shree Cement on track for strong Q1 results?",https://www.moneycontrol.com/news/business/earnings/nifty-earnings-are-divis-labs-shree-cement-on-track-for-strong-q1-results-7287611.html
17,"Bajar Gupshup | Markets close at record high; Banks, FMCG & Autos gain most",https://www.moneycontrol.com/news/business/markets/bajar-gupshup-markets-close-at-record-high-banks-fmcg-autos-gain-most-nifty-sensex-bse-7271071.html
18,East Bengal owners and management at war as football club stares at uncertain future,https://www.moneycontrol.com/news/india/east-bengal-owners-and-management-at-war-as-football-club-stares-at-uncertain-future-7203231.html
19,Shree Cement Q1 PAT seen up 51.2% YoY to Rs. 560.8 cr: ICICI Direct,https://www.moneycontrol.com/news/business/earnings/shree-cement-q1-pat-seen-up-51-2-yoy-to-rs-560-8-cr-icici-direct-7158891.html
20,"Shree Cement Q4 profit jumps 30.5% to Rs 767.6 crore, beats estimates",https://www.moneycontrol.com/news/business/earnings/shree-cement-q4-profit-jumps-30-5-to-rs-767-6-crore-beats-estimates-6925761.html
