,Headlines,Links
0,Sun Pharma to expand field force in India by 10% this fiscal,https://www.moneycontrol.com/news/business/sun-pharma-to-expand-field-force-in-india-by-10-this-fiscal-8642561.html
1,"Planning 10 percent expansion of field force in FY23: C.S. Muralidharan, Sun Pharma",https://www.moneycontrol.com/news/trends/current-affairs-trends/planning-10-percent-expansion-of-field-force-in-fy23-c-s-muralidharan-sun-pharma-8614681.html
2,Sun Pharma: Time for investors to exit?,https://www.moneycontrol.com/news/business/moneycontrol-research/sun-pharma-time-for-investors-to-exit-8610811.html
3,Sun Pharma share price under pressure after surprise Q4 loss but CLSA expects 22% upside. Here's why,https://www.moneycontrol.com/news/business/stocks/sun-pharma-share-price-under-pressure-after-surprise-q4-loss-but-clsa-expects-22-upside-heres-why-8609261.html
4,Sun Pharma eyes high single-digit top-line growth in FY23,https://www.moneycontrol.com/news/business/companies/sun-pharma-eyes-high-single-digit-top-line-growth-in-fy23-8607351.html
5,Moneycontrol Selects: Top stories this evening,https://www.moneycontrol.com/news/business/moneycontrol-selects-top-stories-this-evening-33-8605691.html
6,"Sun Pharma Q4 Result | Firm posts surprise loss of Rs 2,227 crore",https://www.moneycontrol.com/news/business/earnings/sun-pharma-reports-q4-net-loss-of-rs-2277-crore-8603781.html
7,Sun Pharma acquires Uractiv portfolio from Fiterman Pharma in Romania,https://www.moneycontrol.com/news/trends/health-trends/sun-pharma-acquires-uractiv-portfolio-from-fiterman-pharma-in-romania-8589121.html
8,Moneycontrol Selects: Top stories this evening,https://www.moneycontrol.com/news/business/moneycontrol-selects-top-stories-this-evening-25-8554281.html
9,US FDA flags quality lapses at Sun Pharma's Gujarat plant: Report,https://www.moneycontrol.com/news/trends/current-affairs-trends/us-fda-flags-quality-lapses-at-sun-pharmas-gujarat-plant-report-8518281.html
10,Sun Pharma gets 10 observations from USFDA for Halol plant,https://www.moneycontrol.com/news/business/sun-pharma-gets-10-observations-from-usfda-for-halol-plant-8481941.html
11,"Aurobindo, Sun Pharma recall products in US market",https://www.moneycontrol.com/news/business/aurobindo-sun-pharma-recall-products-in-us-market-2-8401721.html
12,Sun Pharma to launch Vortioxetine under exclusive patent licence from Lundbeck,https://www.moneycontrol.com/news/business/sun-pharma-to-launch-vortioxetine-under-exclusive-patent-licence-from-lundbeck-8295301.html
13,"Pharma companies turn to acquisitions to build scale, gain an edge",https://www.moneycontrol.com/news/opinion/pharma-companies-turn-to-acquisitions-to-build-scale-gain-an-edge-8228221.html
14,"Sun Pharma jumps as American unit acquires Galderma companies in US, Japan, Canada",https://www.moneycontrol.com/news/business/stocks/sun-pharma-jumps-as-american-unit-acquires-galderma-companies-in-us-japan-canada-8210531.html
15,"Aurobindo, Sun Pharma recall products in US market",https://www.moneycontrol.com/news/trends/health-trends/aurobindo-sun-pharma-recall-products-in-us-market-8171841.html
16,Buy Sun Pharma; target of Rs 1000: Motilal Oswal,https://www.moneycontrol.com/news/business/stocks/buy-sun-pharma-target-of-rs-1000-motilal-oswal-8022261.html
17,"Sun Pharma Consolidated December 2021 Net Sales at Rs 9,863.06 crore, up 11.61% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/sun-pharma-consolidated-december-2021-net-sales-at-rs-9863-06-crore-up-11-61-y-o-y-2-8015561.html
18,Sun Pharma: Traction in specialty impressive,https://www.moneycontrol.com/news/business/sun-pharma-traction-in-specialty-impressive-8013701.html
19,"Sun Pharma Consolidated December 2021 Net Sales at Rs 9,863.06 crore, up 11.61% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/sun-pharma-consolidated-december-2021-net-sales-at-rs-9863-06-crore-up-11-61-y-o-y-8012071.html
20,"Sun Pharma Standalone December 2021 Net Sales at Rs 3,770.66 crore, up 11.29% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/sun-pharma-standalone-december-2021-net-sales-at-rs-3770-66-crore-up-11-29-y-o-y-8011511.html
21,"Sun Pharma Q3 profit rises 11% on year to Rs 2,058.80 crore",https://www.moneycontrol.com/news/business/earnings/sun-pharma-q3-profit-rises-11-on-year-to-rs-2058-80-crore-8008511.html
22,Hold Sun Pharma; target of Rs 775: Emkay Global Financial,https://www.moneycontrol.com/news/business/stocks/hold-sun-pharma-target-of-rs-775-emkay-global-financial-2-7924311.html
23,"Sun Pharma, Lupin recall products in US market",https://www.moneycontrol.com/news/trends/health-trends/sun-pharma-lupin-recall-products-in-us-market-7686491.html
24,Hold Sun Pharma; target of Rs 775: Emkay Global Financial,https://www.moneycontrol.com/news/business/stocks/hold-sun-pharma-target-of-rs-775-emkay-global-financial-7676921.html
25,Buy Sun Pharma; target of Rs 970: Motilal Oswal,https://www.moneycontrol.com/news/business/stocks/buy-sun-pharma-target-of-rs-970-motilal-oswal-7674911.html
26,"Sun Pharma: Fully valued, though performance impressive",https://www.moneycontrol.com/news/business/moneycontrol-research/sun-pharma-fully-valued-though-performance-impressive-7672911.html
27,"Sun Pharma Standalone September 2021 Net Sales at Rs 4,143.15 crore, up 25.84% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/sun-pharma-standalone-september-2021-net-sales-at-rs-4143-15-crore-up-25-84-y-o-y-7674261.html
28,"Sun Pharma Consolidated September 2021 Net Sales at Rs 9,625.93 crore, up 12.54% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/sun-pharma-consolidated-september-2021-net-sales-at-rs-9625-93-crore-up-12-54-y-o-y-7672861.html
29,Sun Pharma launches drug to treat Plaque psoriasis in Canada,https://www.moneycontrol.com/news/business/sun-pharma-launches-drug-to-treat-plaque-psoriasis-in-canada-7643771.html
30,"Sun Pharma gets exclusive right to commercialise Winlevi acne cream in US, Canada",https://www.moneycontrol.com/news/business/sun-pharma-gets-exclusive-right-to-commercialise-winlevi-acne-cream-in-us-canada-7411331.html
31,"Sun Pharma Consolidated June 2021 Net Sales at Rs 9,718.74 crore, up 28.13% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/sun-pharma-consolidated-june-2021-net-sales-at-rs-9718-74-crore-up-28-13-y-o-y-7267491.html
32,"Sun Pharma Standalone June 2021 Net Sales at Rs 3,325.95 crore, up 12.25% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/sun-pharma-standalone-june-2021-net-sales-at-rs-3325-95-crore-up-12-25-y-o-y-7265751.html
33,Sun Pharma: Ilumya illuminates,https://www.moneycontrol.com/news/business/moneycontrol-research/sun-pharma-ilumya-illuminates-7259731.html
34,"un Pharma Q1 PAT seen up 23.7% YoY to Rs 1,417.3 cr: ICICI Direct",https://www.moneycontrol.com/news/business/un-pharma-q1-pat-seen-up-23-7-yoy-to-rs-1417-3-cr-icici-direct-7162021.html
35,How Erez Israeli revived Dr Reddy’s by focusing on costs and non-US markets,https://www.moneycontrol.com/news/opinion/how-erez-israeli-revived-dr-reddys-by-focusing-on-costs-and-non-us-markets-7144121.html
36,No plans to get into vaccine production as it requires separate manufacturing infra: Sun Pharma,https://www.moneycontrol.com/news/business/no-plans-to-get-into-vaccine-production-as-it-requires-separate-manufacturing-infra-sun-pharma-7028161.html
37,Hold Sun Pharma; target of Rs 720: Emkay Global Financial,https://www.moneycontrol.com/news/business/stocks/hold-sun-pharma-target-of-rs-720-emkay-global-financial-6965571.html
38,Buy Sun Pharma; target of Rs 830: Motilal Oswal,https://www.moneycontrol.com/news/business/stocks/buy-sun-pharma-target-of-rs-830-motilal-oswal-6963391.html
39,Sun Pharma: Traction in speciality likely to sustain,https://www.moneycontrol.com/news/business/moneycontrol-research/sun-pharma-traction-in-speciality-likely-to-sustain-6962851.html
40,"Sun Pharma Consolidated March 2021 Net Sales at Rs 8,522.98 crore, up 4.13% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/sun-pharma-consolidated-march-2021-net-sales-at-rs-8522-98-crore-up-4-13-y-o-y-6956281.html
41,"Sun Pharma Standalone March 2021 Net Sales at Rs 3,159.64 crore, up 11.41% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/sun-pharma-standalone-march-2021-net-sales-at-rs-3159-64-crore-up-11-41-y-o-y-6955111.html
42,Dilip Shanghvi resigns as MD of SPARC,https://www.moneycontrol.com/news/business/dilip-shanghvi-resigns-as-md-of-sparc-6939181.html
