,Headlines,Links
0,Sebi lets off Tata Motors with warning in over 18-year old case,https://www.moneycontrol.com/news/business/markets/sebi-lets-off-tata-motors-with-warning-in-over-18-year-old-case-8666111.html
1,From Maruti Suzuki Brezza to Tata Nexon: These are the best-selling cars of May 2022,https://www.moneycontrol.com/news/photos/technology/auto/from-maruti-suzuki-brezza-to-tata-nexon-these-are-the-best-selling-cars-of-may-2022-8658581.html
2,Waiting period for some cars touches 2 years as companies scramble for semiconductors,https://www.moneycontrol.com/news/business/companies/waiting-period-for-some-cars-touches-2-years-as-companies-scramble-for-semiconductors-8647601.html
3,"Tata Motors wins order to deliver fleet of 10,000 EVs to BluSmart Electric",https://www.moneycontrol.com/news/technology/auto/tata-motors-wins-order-to-deliver-fleet-of-10000-evs-to-blusmart-electric-8647211.html
4,Tata Motors looks to strengthen R&D capabilities with aggressive hiring this year,https://www.moneycontrol.com/news/business/tata-motors-looks-to-strengthen-rd-capabilities-with-aggressive-hiring-this-year-8642421.html
5,Auto sales: Early signs of easing of supply hurdles in May,https://www.moneycontrol.com/news/business/moneycontrol-research/auto-sales-early-signs-of-easing-of-supply-constraints-in-may-8635271.html
6,"The story of Ratan Tata’s ‘revenge’ on Ford, as told by Vedant Birla",https://www.moneycontrol.com/news/trends/the-story-of-ratan-tatas-revenge-on-ford-as-told-by-vedant-birla-8630701.html
7,Automakers report robust domestic dispatches in May as demand remains strong,https://www.moneycontrol.com/news/technology/auto/automakers-report-robust-domestic-dispatches-in-may-as-demand-remains-strong-8623481.html
8,"Tata Motors sales surge nearly three folds to 76,210 units in May",https://www.moneycontrol.com/news/business/tata-motors-sales-surge-nearly-three-folds-to-76210-units-in-may-8620211.html
9,Tata Motors’ buyout of Ford India Sanand facility likely to drive its global EV ambition,https://www.moneycontrol.com/news/business/cars/tata-motors-buyout-of-ford-india-sanand-facility-likely-to-drive-its-global-ev-ambition-8619051.html
10,"Tata Motors sees 185% surge in sales volume, Maruti Suzuki reports highest-ever exports in May",https://www.moneycontrol.com/news/business/tata-motors-sees-185-surge-in-sales-volume-bajaj-auto-reports-marginal-rise-in-may-2022-8619211.html
11,"Interview | EV localisation will take off as supply chains warm up to India: PB Balaji, CFO, Tata Motors",https://www.moneycontrol.com/news/interview/interview-ev-localisation-will-take-off-as-supply-chains-warm-up-to-india-pb-balaji-cfo-tata-motors-8608561.html
12,Tata Motors signs MoU with Gujarat for acquisition of Ford India’s Sanand plant,https://www.moneycontrol.com/news/business/companies/tata-motors-signs-mou-for-acquisition-of-ford-indias-sanand-plant-8602581.html
13,Moneycontrol Selects: Top stories this evening,https://www.moneycontrol.com/news/business/moneycontrol-selects-top-stories-this-evening-32-8600741.html
14,Tata Motors acquisition of Ford plant gets Gujarat greenlight,https://www.moneycontrol.com/news/automobile/tata-motors-acquisition-of-ford-plant-gets-gujarat-greenlight-8600051.html
15,Tata Motors files record 125 patents in FY22,https://www.moneycontrol.com/news/technology/auto/tata-motors-files-record-125-patents-in-fy22-8592591.html
16,Tata Motors forms subsidiary for urban mass mobility business with 'focus on EV segment',https://www.moneycontrol.com/news/automobile/tata-motors-forms-subsidiary-for-urban-mass-mobility-business-with-focus-on-ev-segment-8585311.html
17,"Tata Power, Tata Motors to develop 7MWp solar rooftop",https://www.moneycontrol.com/news/business/economy/tata-power-tata-motors-to-develop-7mwp-solar-rooftop-8559911.html
