,Headlines,Links
0,Tata Steel unveils green investment plan for UK steel tube mill,https://www.moneycontrol.com/news/business/tata-steel-unveils-green-investment-plan-for-uk-steel-tube-mill-8678961.html
1,TRF shares freeze at 5% upper circuit after Tata Steel invests Rs 165 crore,https://www.moneycontrol.com/news/business/markets/trf-shares-freeze-at-5-upper-circuit-after-tata-steel-invests-rs-165-crore-8664641.html
2,Welspun Corp ropes in Tata Steel to develop 'framework' and manufacture for pipes for hydrogen transportation,https://www.moneycontrol.com/news/business/welspun-corp-ropes-in-tata-steel-to-develop-framework-and-manufacture-for-pipes-for-hydrogen-transportation-8663391.html
3,Embracing diversity: Tata Steel hires transgender employees in core mining operations,https://www.moneycontrol.com/news/trends/embracing-diversity-tata-steel-hires-transgender-employees-in-core-mining-operations-8619911.html
4,Top 10 trading ideas by experts for next 3-4 weeks as bears hold the grip,https://www.moneycontrol.com/news/business/markets/top-10-trading-ideas-by-experts-for-next-3-4-weeks-as-bears-hold-the-grip-8511091.html
5,"Tata steel to grow organically, new acquisitions unlikely this decade: MD T V Narendran",https://www.moneycontrol.com/news/business/companies/tata-steel-to-grow-organically-new-acquisitions-unlikely-this-decade-md-t-v-narendran-8471541.html
6,Neutral Tata Steel; target of Rs 1440: Motilal Oswal,https://www.moneycontrol.com/news/business/stocks/neutral-tata-steel-target-of-rs-1440-motilal-oswal-8466361.html
7,Buy Tata Steel; target of Rs 1600: ICICI Direct,https://www.moneycontrol.com/news/business/stocks/buy-tata-steel-target-of-rs-1600-icici-direct-8459281.html
8,Buy Tata Steel; target of Rs 1705: Prabhudas Lilladher,https://www.moneycontrol.com/news/business/stocks/buy-tata-steel-target-of-rs-1705-prabhudas-lilladher-8459031.html
9,Buy Tata Steel; target of Rs 1650: Hem Securities,https://www.moneycontrol.com/news/business/stocks/buy-tata-steel-target-of-rs-1650-hem-securities-8459121.html
10,"Tata Steel: Strong cash flows to support capex, debt reduction, dividend payout",https://www.moneycontrol.com/news/business/earnings/tata-steel-strong-cash-flows-to-support-capex-debt-reduction-dividend-payout-8455511.html
11,"Tata Steel Standalone March 2022 Net Sales at Rs 36,680.93 crore, up 73% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/tata-steel-standalone-march-2022-net-sales-at-rs-36680-93-crore-up-73-y-o-y-8449891.html
12,"Tata Steel Consolidated March 2022 Net Sales at Rs 69,323.50 crore, up 38.71% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/tata-steel-consolidated-march-2022-net-sales-at-rs-69323-50-crore-up-38-71-y-o-y-8449471.html
13,"As Tata Steel rises after reporting results, should you buy, sell or hold stock?",https://www.moneycontrol.com/news/business/stocks/as-tata-steel-rises-after-reporting-results-should-you-buy-sell-or-hold-stock-8448791.html
14,Tata Steel to complete NINL acquisition in current quarter: CEO T V Narendran,https://www.moneycontrol.com/news/business/tata-steel-to-complete-ninl-acquisition-in-current-quarter-ceo-t-v-narendran-8448271.html
15,"Tata Steel FY23 capex may be over Rs 12,000 crore, deleveraging will continue: CEO",https://www.moneycontrol.com/news/business/economy/tata-steel-fy23-capex-may-be-over-rs-12000-crore-deleveraging-will-continue-ceo-8448121.html
16,"Tata Steel Q4 result | Net profit rises 37% YoY to Rs 9,835 crore; firm announces 10:1 stock split",https://www.moneycontrol.com/news/business/earnings/tata-steel-q4-result-net-profit-rises-37-to-rs-9835-crore-8447411.html
