,Headlines,Links
0,Top-10 most valued firms lose over Rs 2.29 lakh crore in m-cap,https://www.moneycontrol.com/news/business/markets/top-10-most-valued-firms-lose-over-rs-2-29-lakh-crore-in-m-cap-8675481.html
1,TCS AGM 2022 Highlights | FY22 saw TCS enjoy very good deal wins; $34.6 billion of deals signed: Rajesh Gopinathan,https://www.moneycontrol.com/news/business/tcs-agm-2022-live-updates-tcs-annual-general-meeting-agm-begins-8664141.html
2,Missed filing your income tax returns? Be prepared to pay higher TDS,https://www.moneycontrol.com/news/business/personal-finance/missed-filing-your-income-tax-returns-be-prepared-to-pay-higher-tds-8607391.html
3,Top 10 trading ideas from experts for next 3-4 weeks as bulls lock horns with bears,https://www.moneycontrol.com/news/business/markets/top-10-trading-ideas-from-experts-for-next-3-4-weeks-as-bulls-lock-horns-with-bears-8601091.html
4,"Infosys CEO Salil Parekh to earn $10.2 million a year; how does his salary compare to chief executives at Accenture, Cognizant and IBM?",https://www.moneycontrol.com/news/trends/it/infosys-ceo-salil-parekh-to-earn-10-2-million-a-year-how-does-his-salary-compare-to-chief-executives-at-accenture-cognizant-and-ibm-8593091.html
5,SC tosses Cyrus Mistry's plea against order favouring Tatas,https://www.moneycontrol.com/news/trends/legal-trends/top-court-tosses-mistrys-review-petition-against-order-upholding-his-removal-from-tata-sons-board-8535851.html
6,JP Morgan downgrades Indian IT services sector to underweight,https://www.moneycontrol.com/news/business/earnings/jp-morgan-downgrades-indian-it-services-sector-to-underweight-8536201.html
7,Storyboard18 x Just Sports | How TCS approaches sports sponsorships and marketing?,https://www.moneycontrol.com/news/trends/sports-trends/storyboard18-x-just-sports-how-tcs-approaches-sports-sponsorships-and-marketing-8525741.html
8,"IT stocks fall even as rupee weakens amid bleak outlook, margin pressure",https://www.moneycontrol.com/news/business/it-stocks-fall-even-as-rupee-weakens-amid-bleak-outlook-margin-pressure-8483831.html
9,TCS to power SBI Cards' digital revamp; Big push for e-cards rollout,https://www.moneycontrol.com/news/business/companies/sbi-card-partners-with-tcs-to-improve-customer-onboarding-experience-8405561.html
10,"TCS, Infosys, HCL Tech added two lakh employees in FY22",https://www.moneycontrol.com/news/business/tcs-infosys-hcl-tech-added-two-lakh-employees-in-fy22-8403781.html
11,TCS aims to be world's largest IT company; says large-scale ops not a worry,https://www.moneycontrol.com/news/business/tcs-aims-to-be-worlds-largest-it-company-says-large-scale-ops-not-a-worry-8397871.html
12,"Covering commuting costs, allowing casual attire: How companies are trying to get staff back to office",https://www.moneycontrol.com/news/business/companies/covering-commuting-costs-allowing-casual-attire-how-companies-are-trying-to-get-staff-back-to-office-8379491.html
13,"Infosys, TCS poor show in Q4 weighs on IT stocks, BSE IT index declines over 5%",https://www.moneycontrol.com/news/business/earnings/infosys-tcs-poor-show-in-q4-weighs-on-it-stocks-bse-it-index-declines-over-5-8373431.html
14,Watch out! Tech-tonic shifts are taking hold in India,https://www.moneycontrol.com/news/opinion/watch-out-tech-tonic-shifts-are-taking-hold-in-india-8372241.html
15,"TCS, Infosys hired record 1.85 lakh freshers last financial year as attrition spiked",https://www.moneycontrol.com/news/business/tcs-infosys-hired-record-1-85-lakh-freshers-last-financial-year-as-attrition-spiked-8360271.html
16,"Infosys grows faster than TCS third year in a row, posts 20.3% growth in FY22",https://www.moneycontrol.com/news/business/earnings/infosys-grows-faster-than-tcs-third-year-in-a-row-posts-20-3-growth-in-fy22-8355371.html
17,Neutral TCS; target of Rs 3720: Arihant Capital,https://www.moneycontrol.com/news/business/stocks/neutral-tcs-target-of-rs-3720-arihant-capital-8352391.html
18,Buy TCS; target of Rs 4240 : Motilal Oswal,https://www.moneycontrol.com/news/business/buy-tcs-target-of-rs-4240-motilal-oswal-8349561.html
19,"Decoding TCS results & impact on stock; what to expect from Infosys, Wipro & other IT companies",https://www.moneycontrol.com/news/business/stocks/live-decoding-tcs-results-what-to-expect-from-infosys-wipro-other-it-companies-8347371.html
20,"TCS Consolidated March 2022 Net Sales at Rs 50,591.00 crore, up 15.76% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/tcs-consolidated-march-2022-net-sales-at-rs-50591-00-crore-up-15-76-y-o-y-8347821.html
21,"TCS Standalone March 2022 Net Sales at Rs 42,459.00 crore, up 17.89% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/tcs-standalone-march-2022-net-sales-at-rs-42459-00-crore-up-17-89-y-o-y-8347771.html
22,Over 95% of TCS employees still working from home,https://www.moneycontrol.com/news/business/over-95-of-tcs-employees-still-working-from-home-8346111.html
23,"TCS adds over 1 lakh freshers in FY22, to hire 40,000 freshers in FY23",https://www.moneycontrol.com/news/business/earnings/tcs-makes-record-hiring-by-adding-103546-people-in-fy22-8345361.html
24,"TCS Q4 results | Net profit rises 7% YoY to Rs 9,926 crore, revenue grows to Rs 50,591 crore",https://www.moneycontrol.com/news/business/earnings/tcs-q4-results-net-profit-rises-7-yoy-to-rs-9926-crore-revenue-grows-to-rs-50591-crore-8342861.html
25,TCS March quarter earnings today: Key things to watch out for,https://www.moneycontrol.com/news/business/earnings/tcs-march-quarter-earnings-today-key-things-to-watch-out-for-8344421.html
26,"TCS Earnings Preview: Profit after tax in March quarter may increase 8% from last year, revenue likely to grow 15.5%",https://www.moneycontrol.com/news/business/earnings/tcs-earnings-preview-profit-after-tax-in-march-quarter-may-increase-8-from-last-year-revenue-likely-to-grow-15-5-8341631.html
27,"Four of top-10 firms lose over Rs 1 lakh crore in m-cap; TCS, Infosys biggest laggards",https://www.moneycontrol.com/news/business/markets/four-of-top-10-firms-lose-over-rs-1-lakh-crore-in-m-cap-tcs-infosys-biggest-laggards-8340431.html
28,TCS-led consortium bags Rs 550 crore order for deploying 4G gears in BSNL network,https://www.moneycontrol.com/news/business/tcs-led-consortium-bags-rs-550-crore-order-for-deploying-4g-gears-in-bsnl-network-8336831.html
29,"TCS techie turns Zomato delivery agent. His 6 challenges, including petrol price hike",https://www.moneycontrol.com/news/trends/tcs-techie-turns-zomato-delivery-agent-his-6-challenges-including-petrol-price-hike-8318141.html
30,TCS signs 'material multi-year contract' with large US company,https://www.moneycontrol.com/news/business/tcs-signs-material-multi-year-contract-with-large-us-company-8317551.html
31,"Mcap of top-10 valued firms soars Rs 2.61 lakh cr; HDFC Bank, RIL lead gainers",https://www.moneycontrol.com/news/business/markets/mcap-of-top-10-valued-firms-soars-rs-2-61-lakh-cr-hdfc-bank-ril-lead-gainers-8310701.html
32,TCS ready to roll out 5G network anyday,https://www.moneycontrol.com/news/business/tcs-ready-to-roll-out-5g-network-anyday-8263831.html
33,TCS bags multi-year deal from Australia's Western Power,https://www.moneycontrol.com/news/business/tcs-bags-multi-year-deal-from-australias-western-power-8245731.html
34,"TCS share price rises as company's Rs 18,000-crore buyback offer opens today",https://www.moneycontrol.com/news/business/stocks/tcs-share-price-rises-as-companys-rs-18000-crore-buyback-offer-opens-today-8210341.html
35,TCS share buyback opens today: All you need to know,https://www.moneycontrol.com/news/business/tcs-share-buyback-opens-today-all-you-need-to-know-8210031.html
36,Top stories now on Moneycontrol: Check what is trending,https://www.moneycontrol.com/news/business/markets/top-stories-now-on-moneycontrol-check-what-is-trending-8210021.html
37,HSBC and Edelweiss remain positive on TCS as it chalks out a re-organisation plan to reach $50 billion revenue by 2030,https://www.moneycontrol.com/news/business/stocks/hsbc-and-edelweiss-remain-positive-on-tcs-as-it-chalks-out-a-re-organisation-plan-to-reach-50-billion-revenue-by-2030-8209311.html
38,TCS targets $50 billion in revenue by 2030: Network18 Exclusive with MD & CEO Rajesh Gopinathan,https://www.moneycontrol.com/news/business/tcs-targets-50-billion-in-revenue-by-2030-network18-exclusive-with-md-ceo-rajesh-gopinathan-8182791.html
39,TCS to introduce new operating structure for four business groups: Report,https://www.moneycontrol.com/news/business/tcs-to-introduce-new-operating-structure-for-four-business-groups-report-8177381.html
40,TCS starts taking small virtual steps towards metaverse,https://www.moneycontrol.com/news/business/tcs-starts-taking-small-virtual-steps-towards-metaverse-8152321.html
41,Moneycontrol Daily: Your Essential 7,https://www.moneycontrol.com/news/business/moneycontrol-daily-your-essential-7-245-8139961.html
