,Headlines,Links
0,Tech Mahindra to acquire 26% stake in Huoban Energy for Rs 1.60 crore,https://www.moneycontrol.com/news/business/tech-mahindra-to-acquire-26-stake-in-huoban-energy-for-rs-1-60-crore-8661151.html
1,Top 10 trading ideas from experts for next 3-4 weeks as bulls lock horns with bears,https://www.moneycontrol.com/news/business/markets/top-10-trading-ideas-from-experts-for-next-3-4-weeks-as-bulls-lock-horns-with-bears-8601091.html
2,"Infosys CEO Salil Parekh to earn $10.2 million a year; how does his salary compare to chief executives at Accenture, Cognizant and IBM?",https://www.moneycontrol.com/news/trends/it/infosys-ceo-salil-parekh-to-earn-10-2-million-a-year-how-does-his-salary-compare-to-chief-executives-at-accenture-cognizant-and-ibm-8593091.html
3,Buy Tech Mahindra; target of Rs 1372: Geojit,https://www.moneycontrol.com/news/business/stocks/buy-tech-mahindra-target-of-rs-1372-geojit-8532281.html
4,JP Morgan downgrades Indian IT services sector to underweight,https://www.moneycontrol.com/news/business/earnings/jp-morgan-downgrades-indian-it-services-sector-to-underweight-8536201.html
5,Buy Tech Mahindra: target of Rs 1650: Sharekhan,https://www.moneycontrol.com/news/business/stocks/buy-tech-mahindra-target-of-rs-1650-sharekhan-2-8522791.html
6,Buy Tech Mahindra; target of Rs 1447: KR Choksey,https://www.moneycontrol.com/news/business/stocks/buy-tech-mahindra-target-of-rs-1447-kr-choksey-8522971.html
7,"After committing $955 million on buys, Tech Mahindra to focus on integrating companies",https://www.moneycontrol.com/news/business/after-committing-955-million-on-buys-tech-mahindra-to-focus-on-integrating-companies-8522831.html
8,Neutral Tech Mahindra; target of Rs 1250: Motilal Oswal,https://www.moneycontrol.com/news/business/stocks/neutral-tech-mahindra-target-of-rs-1250-motilal-oswal-8514431.html
9,Buy Tech Mahindra; target of Rs 1410: ICICI Direct,https://www.moneycontrol.com/news/business/stocks/buy-tech-mahindra-target-of-rs-1410-icici-direct-8517141.html
10,"Tech Mahindra Consolidated March 2022 Net Sales at Rs 12,116.28 crore, up 24.53% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/tech-mahindra-consolidated-march-2022-net-sales-at-rs-12116-28-crore-up-24-53-y-o-y-8514541.html
11,"What should investors do with Tech Mahindra post Q4 earnings: Buy, sell or hold?",https://www.moneycontrol.com/news/business/stocks/what-should-investors-do-with-tech-mahindra-post-q4-earnings-buy-sell-or-hold-8511831.html
12,Tech Mahindra – Attractively valued with a great outlook,https://www.moneycontrol.com/news/business/stocks/tech-mahindra-attractively-valued-with-a-great-outlook-8512231.html
13,"Tech Mahindra Standalone March 2022 Net Sales at Rs 9,318.90 crore, up 24.14% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/tech-mahindra-standalone-march-2022-net-sales-at-rs-9318-90-crore-up-24-14-y-o-y-8513481.html
14,Buy Tech Mahindra: target of Rs 1650: Sharekhan,https://www.moneycontrol.com/news/business/stocks/buy-tech-mahindra-target-of-rs-1650-sharekhan-8505751.html
15,"Tech Mahindra clocks best revenue growth in seven years, Gurnani reappointed CEO till December 2023",https://www.moneycontrol.com/news/business/companies/tech-mahindra-clocks-best-growth-in-seven-years-gurnani-reappointed-ceo-till-december-2023-8504991.html
16,"Trade Spotlight | What should you do with ABB India, Tech Mahindra, Dixon Technologies on Friday?",https://www.moneycontrol.com/news/business/markets/trade-spotlight-what-should-you-do-with-abb-india-tech-mahindra-dixon-technologies-on-friday-8459771.html
17,"Tech Mahindra to create 1,000 jobs in UK",https://www.moneycontrol.com/news/business/tech-mahindra-to-create-1000-jobs-in-uk-8397491.html
18,Storyboard18 | What’s common between HR & Marketing? TechM’s global CPO & marketing chief explains,https://www.moneycontrol.com/news/trends/features/storyboard18-whats-common-between-hr-marketing-techms-global-cpo-marketing-chief-explains-8377571.html
