,Headlines,Links
0,UltraTech to leverage Coolbrook's electric tech to reduce carbon dioxide emissions at plants,https://www.moneycontrol.com/news/business/ultratech-to-leverage-coolbrooks-electric-tech-to-reduce-carbon-dioxide-emissions-at-plants-8665191.html
1,Does it make sense for Holcim to quit the Indian market?,https://www.moneycontrol.com/news/opinion/does-it-make-sense-for-holcim-to-quit-the-indian-market-8410351.html
2,Decoded: Inflationary pressures faced by Corporate India,https://www.moneycontrol.com/news/business/decoded-inflationary-pressures-faced-by-corporate-india-7640881.html
3,Ultratech emerges as preferred bidder for limestone block in Madhya Pradesh,https://www.moneycontrol.com/news/business/ultratech-emerges-as-preferred-bidder-for-limestone-block-in-madhya-pradesh-7565111.html
4,UltraTech – A market leader that continues to deliver,https://www.moneycontrol.com/news/business/moneycontrol-research/ultratech-a-market-leader-that-continues-to-deliver-7211201.html
5,"UltraTech Q4 PAT seen up 50.4% YoY to Rs 1,659 cr: Sharekhan",https://www.moneycontrol.com/news/business/ultratech-q4-pat-seen-up-50-4-yoy-to-rs-1659-cr-sharekhan-6769681.html
6,UltraTech – Outstanding results amid market disruptions,https://www.moneycontrol.com/news/business/moneycontrol-research/ultratech-outstanding-results-amid-market-disruptions-5996281.html
7,"No health checkups of workers by cement majors, committee tells NGT",https://www.moneycontrol.com/news/business/no-health-checkups-of-workers-by-cement-majors-committee-tells-ngt-4821251.html
8,Ultratech Q2 PAT seen up 80.4% YoY to Rs. 705 cr: Sharekhan,https://www.moneycontrol.com/news/business/earnings/ultratech-q2-pat-seen-up-80-4-yoy-to-rs-705-cr-sharekhan-4538691.html
9,"D-St Buzz: Pharma stocks gain led by Aurobindo Pharma, RIL at record high; UltraTech spikes",https://www.moneycontrol.com/news/business/markets/d-st-buzz-pharma-stocks-gain-led-by-aurobindo-pharma-ril-at-record-high-ultratech-spikes-3888311.html
10,Why a volatile market in the near term could be good for your portfolio,https://www.moneycontrol.com/news/business/markets/why-a-volatile-market-in-the-near-term-could-be-good-for-your-portfolio-3166391.html
11,UltraTech Q2 PAT seen up 12.6% YoY to Rs. 485 cr: Sharekhan,https://www.moneycontrol.com/news/business/earnings/ultratech-q2-pat-seen-up-12-6-yoy-to-rs-485-cr-sharekhan-3052201.html
12,Portfolio rejigs: Injecting high-conviction ideas amid changing investing landscape,https://www.moneycontrol.com/news/business/moneycontrol-research/portfolio-rejigs-injecting-high-conviction-ideas-amid-changing-investing-landscape-2878241.html
13,Ultratech gets CCI nod to acquire Century cement biz,https://www.moneycontrol.com/news/business/ultratech-gets-cci-nod-to-acquire-century-cement-biz-2868871.html
