,Headlines,Links
0,Buy UPL; target of Rs 930: Emkay Global Financial,https://www.moneycontrol.com/news/business/stocks/buy-upl-target-of-rs-930-emkay-global-financial-8487541.html
1,Buy UPL; target of Rs 1010: Prabhudas Lilladher,https://www.moneycontrol.com/news/business/stocks/buy-upl-target-of-rs-1010-prabhudas-lilladher-8490911.html
2,Backward integration gives UPL an edge in inflationary times,https://www.moneycontrol.com/news/opinion/backward-integration-gives-upl-an-edge-in-inflationary-times-8492781.html
3,"UPL Consolidated March 2022 Net Sales at Rs 15,861.00 crore, up 23.95% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/upl-consolidated-march-2022-net-sales-at-rs-15861-00-crore-up-23-95-y-o-y-8479021.html
4,"UPL Standalone March 2022 Net Sales at Rs 4,326.00 crore, up 65.68% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/upl-standalone-march-2022-net-sales-at-rs-4326-00-crore-up-65-68-y-o-y-8478831.html
5,Top 10 trading ideas for next 3-4 weeks as market expected to be volatile,https://www.moneycontrol.com/news/business/markets/top-10-trading-ideas-for-next-3-4-weeks-as-market-expected-to-be-volatile-8437911.html
6,Top 10 trading ideas for next 3-4 weeks as market ekes out gains despite volatility,https://www.moneycontrol.com/news/business/markets/top-10-trading-ideas-for-next-3-4-weeks-as-market-ekes-out-gains-despite-volatility-8341061.html
7,Buy UPL: target of Rs 930: Sharekhan,https://www.moneycontrol.com/news/business/stocks/buy-upl-target-of-rs-930-sharekhan-3-8243081.html
8,What UPL’s first buyback in 8 years says about its finances,https://www.moneycontrol.com/news/opinion/what-upls-first-buyback-in-8-years-says-about-its-finances-8205171.html
9,UPL promoters likely to have put the company on the block for family separation: Sources,https://www.moneycontrol.com/news/business/companies/upl-promoters-likely-to-have-put-the-company-on-the-block-for-family-separation-sources-8189511.html
10,Buy UPL; target of Rs 901: KR Choksey,https://www.moneycontrol.com/news/business/stocks/buy-upl-target-of-rs-901-kr-choksey-8041941.html
11,Buy UPL; target of Rs 910: Emkay Global Financial,https://www.moneycontrol.com/news/business/stocks/buy-upl-target-of-rs-910-emkay-global-financial-8034321.html
12,Buy UPL; target of Rs 980: Prabhudas Lilladher,https://www.moneycontrol.com/news/business/stocks/buy-upl-target-of-rs-980-prabhudas-lilladher-8025711.html
13,"UPL Consolidated December 2021 Net Sales at Rs 11,297.00 crore, up 23.79% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/upl-consolidated-december-2021-net-sales-at-rs-11297-00-crore-up-23-79-y-o-y-2-8015641.html
14,"UPL Consolidated December 2021 Net Sales at Rs 11,297.00 crore, up 23.79% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/upl-consolidated-december-2021-net-sales-at-rs-11297-00-crore-up-23-79-y-o-y-8012211.html
15,"UPL Standalone December 2021 Net Sales at Rs 4,025.00 crore, up 37.8% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/upl-standalone-december-2021-net-sales-at-rs-4025-00-crore-up-37-8-y-o-y-8011781.html
16,Bunge to pick 33% stake in UPL's associate firm Sinagro in Brazil,https://www.moneycontrol.com/news/business/bunge-to-pick-33-stake-in-upls-associate-firm-sinagro-in-brazil-7961881.html
17,UPL Q3 PAT seen up 11.2% YoY to Rs 883 cr: Sharekhan,https://www.moneycontrol.com/news/business/upl-q3-pat-seen-up-11-2-yoy-to-rs-883-cr-sharekhan-7948281.html
18,Top 10 trading ideas for next 3-4 weeks as bulls rule Dalal Street,https://www.moneycontrol.com/news/business/markets/top-10-trading-ideas-for-next-3-4-weeks-as-bulls-rule-dalal-street-7916901.html
19,"LatAm recovery to give fillip to UPL’s growth, profit margins key",https://www.moneycontrol.com/news/opinion/latam-recovery-to-give-fillip-to-upls-growth-profit-margins-key-7835271.html
20,Buy UPL: target of Rs 930: Sharekhan,https://www.moneycontrol.com/news/business/stocks/buy-upl-target-of-rs-930-sharekhan-2-7824491.html
21,UPL stock in focus after promoter raises stake; global brokerage expects 30% upside,https://www.moneycontrol.com/news/business/stocks/upl-stock-in-focus-after-promoter-raises-stake-global-brokerage-expects-30-upside-7759561.html
22,Buy UPL target of Rs 875: Geojit,https://www.moneycontrol.com/news/business/stocks/buy-upl-target-of-rs-875-geojit-7694911.html
23,Neutral UPL; target of Rs 790: Motilal Oswal,https://www.moneycontrol.com/news/business/stocks/neutral-upl-target-of-rs-790-motilal-oswal-7677051.html
24,"UPL displays manufacturing prowess, but rising costs bite",https://www.moneycontrol.com/news/opinion/upl-displays-manufacturing-prowess-but-rising-costs-bite-7665971.html
25,"Hot Stocks | Sun TV Network, Apollo Tyres and UPL can give up to 38% return in short term",https://www.moneycontrol.com/news/business/markets/hot-stocks-sun-tv-network-apollo-tyres-and-upl-can-give-up-to-38-return-in-short-term-7601451.html
26,"UPL share price edges higher after global brokerage retains 'buy', sees 32% upside",https://www.moneycontrol.com/news/business/stocks/upl-share-price-edges-higher-after-global-brokerage-retains-buy-sees-32-upside-7395841.html
27,"UPL Consolidated June 2021 Net Sales at Rs 8,515.00 crore, up 8.71% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/upl-consolidated-june-2021-net-sales-at-rs-8515-00-crore-up-8-71-y-o-y-7268031.html
28,"UPL Standalone June 2021 Net Sales at Rs 3,960.00 crore, up 49.38% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/upl-standalone-june-2021-net-sales-at-rs-3960-00-crore-up-49-38-y-o-y-7266321.html
29,"What should investors do with UPL after Q1 results: buy, sell or hold?",https://www.moneycontrol.com/news/business/markets/what-should-investors-do-with-upl-after-q1-results-buy-sell-or-hold-7259491.html
30,UPL net profit jumps 23%to Rs 678 crore in June quarter,https://www.moneycontrol.com/news/business/earnings/upl-net-profit-jumps-23to-rs-678-crore-in-june-quarter-7254991.html
31,Bajar Gupshup | Markets end at record close; metals outperform,https://www.moneycontrol.com/news/business/markets/bajar-gupshup-markets-end-at-record-close-metals-outperform-7142371.html
32,Buy UPL: target of Rs 930: Sharekhan,https://www.moneycontrol.com/news/business/stocks/buy-upl-target-of-rs-930-sharekhan-7116541.html
33,Interview | We see potential for steady growth: UPL’s Jaidev Shroff,https://www.moneycontrol.com/news/opinion/interview-we-see-potential-for-steady-growth-upls-jaidev-shroff-7116961.html
34,UPL: Upbeat revenue outlook eclipses corporate governance concerns,https://www.moneycontrol.com/news/opinion/upl-upbeat-revenue-outlook-eclipses-corporate-governance-concerns-6900441.html
35,Buy UPL; target of Rs 850: Dolat Capital Market,https://www.moneycontrol.com/news/business/stocks/buy-upl-target-of-rs-850-dolat-capital-market-6892551.html
36,UPL stock price spikes 9% to 52-week high after earnings beat estimates,https://www.moneycontrol.com/news/business/stocks/upl-stock-price-spikes-9-to-52-week-high-after-earnings-beat-estimates-6891641.html
37,"UPL Consolidated March 2021 Net Sales at Rs 12,796.00 crore, up 14.86% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/upl-consolidated-march-2021-net-sales-at-rs-12796-00-crore-up-14-86-y-o-y-6888241.html
38,"UPL Standalone March 2021 Net Sales at Rs 2,611.00 crore, up 28.56% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/upl-standalone-march-2021-net-sales-at-rs-2611-00-crore-up-28-56-y-o-y-6886901.html
39,"UPL Q4 earnings beat estimates, profit jumps 74%; FY21 EBITDA exceeds guidance",https://www.moneycontrol.com/news/business/earnings/upl-q4-earnings-beat-estimates-profit-jumps-74-fy21-ebitda-exceeds-guidance-6885041.html
40,"UPL likely to report around 50% growth in Q4 profit, over 10% increase in revenue",https://www.moneycontrol.com/news/business/earnings/upl-likely-to-report-around-50-growth-in-q4-profit-over-10-increase-in-revenue-6882181.html
41,UPL share price gains after Australian Court dismisses class action litigation against subsidiary,https://www.moneycontrol.com/news/business/stocks/upl-share-price-gains-after-australian-court-dismisses-class-action-litigation-against-subsidiary-6771081.html
42,UPL Q4 PAT seen up 9.7% YoY to Rs. 972  cr: Sharekhan,https://www.moneycontrol.com/news/business/upl-q4-pat-seen-up-9-7-yoy-to-rs-972-cr-sharekhan-6760451.html
43,Quant Pick - UPL : ICICI Direct,https://www.moneycontrol.com/news/business/stocks/quant-pick-upl-icici-direct-6714201.html
44,Buy UPL: target of Rs 720: Sharekhan,https://www.moneycontrol.com/news/business/stocks/buy-upl-target-of-rs-720-sharekhan-6677551.html
45,"Anupam Rasayan IPO: A tiny version of PI Industries, diversifying beyond agro-chem",https://www.moneycontrol.com/news/business/moneycontrol-research/anupam-rasayan-ipo-a-tiny-version-of-pi-industries-diversifying-beyond-agro-chem-6636081.html
46,Neutral UPL; target of Rs 631: Motilal Oswal,https://www.moneycontrol.com/news/business/stocks/neutral-upl-target-of-rs-631-motilal-oswal-6622311.html
47,Buy UPL; target of Rs 632: Sharekhan,https://www.moneycontrol.com/news/business/buy-upl-target-of-rs-632-sharekhan-5-6469161.html
48,Accumulate UPL; target of Rs 601: Prabhudas Lilladher,https://www.moneycontrol.com/news/business/stocks/accumulate-upl-target-of-rs-601-prabhudas-lilladher-6448731.html
49,Accumulate UPL; target of Rs 609: Dolat Capital Market,https://www.moneycontrol.com/news/business/stocks/accumulate-upl-target-of-rs-609-dolat-capital-market-6439451.html
50,Neutral UPL; target of Rs 574: Motilal Oswal,https://www.moneycontrol.com/news/business/neutral-upl-target-of-rs-574-motilal-oswal-6435991.html
51,"UPL Consolidated December 2020 Net Sales at Rs 9,126.00 crore, up 2.63% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/upl-consolidated-december-2020-net-sales-at-rs-9126-00-crore-up-2-63-y-o-y-6432591.html
52,"UPL Standalone December 2020 Net Sales at Rs 2,921.00 crore, up 16.75% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/upl-standalone-december-2020-net-sales-at-rs-2921-00-crore-up-16-75-y-o-y-6431071.html
53,UPL share price gains 3% after company reduces debt by $410 million,https://www.moneycontrol.com/news/business/stocks/upl-share-price-gains-3-after-company-reduces-debt-by-410-million-6284451.html
54,UPL share price tumbles 13% after whistleblower accused promoters of siphoning; CEO Jai Shroff denies accusation,https://www.moneycontrol.com/news/business/stocks/upl-share-price-tumbles-13-after-whistleblower-accused-promoters-of-siphoning-ceo-jai-shroff-denies-accusation-6211791.html
55,Buy UPL: target of Rs 632 : Sharekhan,https://www.moneycontrol.com/news/business/stocks/buy-upl-target-of-rs-632-sharekhan-4-6203881.html
56,Buy UPL; target of Rs 622 KR Choksey,https://www.moneycontrol.com/news/business/stocks/buy-upl-target-of-rs-622-kr-choksey-6088601.html
