,Headlines,Links
0,Ozonetel Communications appoints former Wipro-exec Keshav Goel as CFO,https://www.moneycontrol.com/news/business/ozonetel-communications-appoints-former-wipro-exec-keshav-goel-as-cfo-8679001.html
1,"Wipro CEO highest paid among Indian IT peers in FY22, taking home $10.5 million pay cheque",https://www.moneycontrol.com/news/business/wipro-ceo-highest-paid-among-indian-it-peers-in-fy22-taking-home-10-5-mn-pay-cheque-8667801.html
2,Hot Stocks | Here's why you should bet on Wipro and Astral for short term?,https://www.moneycontrol.com/news/business/markets/hot-stocks-heres-why-you-should-bet-on-wipro-and-astral-for-short-term-8641911.html
3,"Infosys CEO Salil Parekh to earn $10.2 million a year; how does his salary compare to chief executives at Accenture, Cognizant and IBM?",https://www.moneycontrol.com/news/trends/it/infosys-ceo-salil-parekh-to-earn-10-2-million-a-year-how-does-his-salary-compare-to-chief-executives-at-accenture-cognizant-and-ibm-8593091.html
4,Former Wipro exec’s Dallas Venture Capital to raise $50-million funding for India startups,https://www.moneycontrol.com/news/business/startup/former-wipro-execs-dallas-venture-capital-to-raise-50-million-funding-for-india-startups-8587271.html
5,"IT stocks fall even as rupee weakens amid bleak outlook, margin pressure",https://www.moneycontrol.com/news/business/it-stocks-fall-even-as-rupee-weakens-amid-bleak-outlook-margin-pressure-8483831.html
6,"Wipro, HFCL join hands to develop 5G product portfolio",https://www.moneycontrol.com/news/business/wipro-hfcl-join-hands-to-develop-5g-product-portfolio-8461841.html
7,Neutral Wipro; target of Rs 540: Motilal Oswal,https://www.moneycontrol.com/news/business/stocks/neutral-wipro-target-of-rs-540-motilal-oswal-8443811.html
8,Buy Wipro; target of Rs 630: Emkay Global Financial,https://www.moneycontrol.com/news/business/stocks/buy-wipro-target-of-rs-630-emkay-global-financial-8443421.html
9,Buy Wipro; target of Rs 616: Prabhudas Lilladher,https://www.moneycontrol.com/news/business/stocks/buy-wipro-target-of-rs-616-prabhudas-lilladher-8442951.html
10,Buy Wipro; target of Rs 602: KR Choksey,https://www.moneycontrol.com/news/business/stocks/buy-wipro-target-of-rs-602-kr-choksey-8442901.html
11,Hold Wipro; target of Rs 575: ICICI Direct,https://www.moneycontrol.com/news/business/stocks/hold-wipro-target-of-rs-575-icici-direct-8442371.html
12,"Wipro Consolidated March 2022 Net Sales at Rs 20,860.70 crore, up 28.41% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/wipro-consolidated-march-2022-net-sales-at-rs-20860-70-crore-up-28-41-y-o-y-8440451.html
13,"Wipro Standalone March 2022 Net Sales at Rs 15,585.60 crore, up 17.54% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/wipro-standalone-march-2022-net-sales-at-rs-15585-60-crore-up-17-54-y-o-y-8439811.html
14,Hold Wipro: target of Rs 580: Sharekhan,https://www.moneycontrol.com/news/business/stocks/hold-wipro-target-of-rs-580-sharekhan-8435271.html
15,"Wipro to hire 38,000 freshers in FY23, as attrition spikes to 23.8%",https://www.moneycontrol.com/news/business/earnings/wipro-to-hire-38000-freshers-in-fy23-attrition-spikes-to-23-8-8429061.html
16,Buy Wipro; target of Rs 670: Emkay Global Financial,https://www.moneycontrol.com/news/business/stocks/buy-wipro-target-of-rs-670-emkay-global-financial-8418241.html
17,"Buzzing Stocks | Bajaj Finance, HUL, Bajaj Auto, Wipro and others in news today",https://www.moneycontrol.com/news/photos/business/stocks/buzzing-stocks-bajaj-finance-hul-bajaj-auto-wipro-and-others-in-news-today-8415541.html
18,‘Where the Wipro story began’: See Rishad Premji’s blast from the past,https://www.moneycontrol.com/news/trends/where-the-wipro-story-began-see-rishad-premjis-blast-from-the-past-8399521.html
