"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Apr-2022","EQ","774.50","790.70","774.50","774.20","783.50","785.75","784.47","901.00","638.10",6816743,"5,347,527,396.30",85048
"31-Mar-2022","EQ","767.40","781.00","765.50","767.40","772.65","774.20","774.64","901.00","638.10",5468951,"4,236,462,874.95",81182
"30-Mar-2022","EQ","768.80","775.95","762.10","761.95","765.50","767.40","769.15","901.00","638.10",6913983,"5,317,859,484.35",106951
"29-Mar-2022","EQ","741.00","766.90","738.05","737.00","760.25","761.95","754.87","901.00","638.10",11423551,"8,623,331,266.40",145925
"28-Mar-2022","EQ","747.00","749.70","726.55","743.25","735.90","737.00","735.00","901.00","638.10",5691095,"4,182,966,366.70",114682
"25-Mar-2022","EQ","737.00","746.90","730.05","733.45","744.50","743.25","738.23","901.00","638.10",4003497,"2,955,519,936.45",56980
"24-Mar-2022","EQ","733.00","742.30","731.00","733.75","732.80","733.45","736.05","901.00","638.10",2914647,"2,145,329,570.15",60268
"23-Mar-2022","EQ","747.95","751.00","731.80","739.15","733.80","733.75","740.43","901.00","638.10",4698808,"3,479,160,166.95",76232
"22-Mar-2022","EQ","735.00","743.90","723.05","735.15","739.00","739.15","733.94","901.00","638.10",5010054,"3,677,058,493.05",83770
"21-Mar-2022","EQ","741.00","750.45","725.40","740.10","734.45","735.15","738.78","901.00","638.10",6662688,"4,922,289,691.70",101109
"17-Mar-2022","EQ","730.50","743.80","729.55","723.80","738.50","740.10","738.79","901.00","638.10",4957379,"3,662,437,270.85",83927
"16-Mar-2022","EQ","726.00","729.50","721.00","721.30","724.40","723.80","724.45","901.00","638.10",2693057,"1,950,986,459.60",46850
"15-Mar-2022","EQ","733.00","736.00","716.25","730.55","719.90","721.30","728.37","901.00","638.10",4228582,"3,079,991,788.85",62879
"14-Mar-2022","EQ","725.95","733.50","724.00","729.45","731.35","730.55","729.75","901.00","638.10",1905433,"1,390,483,315.45",47272
"11-Mar-2022","EQ","729.50","731.75","722.30","730.40","726.00","729.45","727.90","901.00","638.10",2864685,"2,085,204,356.50",55397
"10-Mar-2022","EQ","727.90","737.65","720.60","714.10","729.50","730.40","730.32","901.00","638.10",5850213,"4,272,543,704.25",90840
"09-Mar-2022","EQ","697.00","718.00","692.70","688.85","714.00","714.10","708.34","901.00","638.10",5351552,"3,790,729,342.85",103313
"08-Mar-2022","EQ","679.65","692.00","670.60","677.80","689.55","688.85","683.05","901.00","638.10",3831397,"2,617,037,544.15",79726
"07-Mar-2022","EQ","690.00","691.70","663.55","700.15","680.00","677.80","675.57","901.00","638.10",4890958,"3,304,169,997.55",99202
"04-Mar-2022","EQ","699.90","710.70","689.05","706.70","698.00","700.15","699.98","901.00","638.10",7941457,"5,558,880,786.60",99357
"03-Mar-2022","EQ","718.80","724.60","703.00","710.30","708.00","706.70","709.72","901.00","638.10",7533817,"5,346,908,729.25",85752
"02-Mar-2022","EQ","702.95","717.90","697.60","707.50","710.05","710.30","709.26","901.00","638.10",4448558,"3,155,178,708.45",68822
"28-Feb-2022","EQ","690.00","709.65","684.50","695.15","707.20","707.50","700.10","901.00","638.10",4288186,"3,002,158,746.70",78628
"25-Feb-2022","EQ","674.50","703.00","670.25","654.85","697.50","695.15","692.34","901.00","638.10",5738223,"3,972,828,343.00",108630
"24-Feb-2022","EQ","682.00","688.00","651.95","706.70","656.80","654.85","668.81","901.00","638.10",9547717,"6,385,611,547.40",147255
"23-Feb-2022","EQ","711.00","719.40","705.00","705.55","707.00","706.70","712.18","901.00","638.10",2978284,"2,121,067,305.85",60389
"22-Feb-2022","EQ","698.00","711.10","685.00","711.10","711.00","705.55","696.86","901.00","638.10",6112926,"4,259,834,054.05",101897
"21-Feb-2022","EQ","722.70","726.75","709.55","727.50","712.00","711.10","716.56","901.00","638.10",2805791,"2,010,511,420.85",51846
"18-Feb-2022","EQ","729.90","739.20","725.50","734.20","728.45","727.50","732.49","901.00","610.80",2151557,"1,575,999,343.90",41060
"17-Feb-2022","EQ","741.10","745.00","731.35","740.75","733.00","734.20","738.47","901.00","610.80",3407347,"2,516,211,140.90",56595
"16-Feb-2022","EQ","724.90","750.85","722.10","720.60","737.25","740.75","741.33","901.00","610.80",9382605,"6,955,595,852.40",128156
"15-Feb-2022","EQ","699.70","722.45","690.00","695.75","719.05","720.60","707.62","901.00","610.80",3319096,"2,348,651,529.60",66030
"14-Feb-2022","EQ","714.80","714.80","691.00","723.70","692.50","695.75","703.02","901.00","610.80",6219506,"4,372,467,968.80",100965
"11-Feb-2022","EQ","727.90","733.90","719.45","731.05","722.10","723.70","725.80","901.00","550.50",3621116,"2,628,194,138.95",60339
"10-Feb-2022","EQ","736.90","741.55","728.05","733.45","730.30","731.05","734.40","901.00","550.50",4752601,"3,490,310,529.10",78316
"09-Feb-2022","EQ","722.00","735.40","719.05","717.80","732.75","733.45","730.09","901.00","550.50",3186942,"2,326,758,366.35",64251
"08-Feb-2022","EQ","719.00","723.00","703.00","715.15","715.35","717.80","714.30","901.00","550.50",3207780,"2,291,315,332.10",65830
"07-Feb-2022","EQ","728.80","729.90","713.35","726.95","716.50","715.15","720.51","901.00","550.50",2610637,"1,880,985,723.50",52490
