"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Apr-2022","EQ","3,636.00","3,746.00","3,636.00","3,653.00","3,733.30","3,739.90","3,707.46","4,347.00","3,027.05",391985,"1,453,267,345.90",32548
"31-Mar-2022","EQ","3,680.00","3,715.15","3,636.10","3,674.10","3,670.00","3,653.00","3,665.19","4,347.00","3,027.05",511249,"1,873,826,846.90",32941
"30-Mar-2022","EQ","3,729.65","3,729.65","3,665.25","3,689.10","3,689.80","3,674.10","3,698.48","4,347.00","3,027.05",343930,"1,272,018,880.40",31689
"29-Mar-2022","EQ","3,697.80","3,735.00","3,660.85","3,687.75","3,690.00","3,689.10","3,696.41","4,347.00","3,027.05",376929,"1,393,283,373.90",33789
"28-Mar-2022","EQ","3,654.35","3,737.00","3,645.05","3,654.35","3,680.50","3,687.75","3,701.78","4,347.00","3,027.05",688267,"2,547,809,716.35",54974
"25-Mar-2022","EQ","3,592.00","3,659.15","3,592.00","3,583.90","3,652.00","3,654.35","3,639.25","4,347.00","3,027.05",492945,"1,793,948,402.40",39668
"24-Mar-2022","EQ","3,590.30","3,637.90","3,569.70","3,601.50","3,584.00","3,583.90","3,603.26","4,347.00","3,027.05",385957,"1,390,705,000.20",51494
"23-Mar-2022","EQ","3,664.95","3,683.35","3,590.00","3,656.45","3,593.40","3,601.50","3,623.16","4,347.00","3,027.05",281347,"1,019,364,911.05",23181
"22-Mar-2022","EQ","3,580.00","3,662.00","3,564.50","3,589.05","3,650.00","3,656.45","3,611.89","4,347.00","3,027.05",213667,"771,742,207.10",19816
"21-Mar-2022","EQ","3,650.45","3,718.00","3,580.25","3,650.45","3,585.10","3,589.05","3,654.16","4,347.00","3,027.05",432309,"1,579,724,432.55",36804
"17-Mar-2022","EQ","3,580.00","3,664.85","3,575.65","3,569.80","3,642.00","3,650.45","3,642.53","4,347.00","3,027.05",429272,"1,563,636,958.05",31425
"16-Mar-2022","EQ","3,490.05","3,592.20","3,481.00","3,454.05","3,569.80","3,569.80","3,532.62","4,347.00","3,027.05",262987,"929,033,421.30",30017
"15-Mar-2022","EQ","3,441.00","3,494.00","3,426.35","3,452.55","3,450.00","3,454.05","3,461.34","4,347.00","3,027.05",229544,"794,530,529.90",21762
"14-Mar-2022","EQ","3,402.00","3,464.95","3,368.00","3,423.00","3,454.45","3,452.55","3,419.73","4,347.00","3,027.05",245299,"838,856,643.00",21776
"11-Mar-2022","EQ","3,400.00","3,445.50","3,386.45","3,422.35","3,425.00","3,423.00","3,421.96","4,347.00","3,027.05",156038,"533,955,717.00",16176
"10-Mar-2022","EQ","3,399.00","3,440.00","3,385.40","3,339.00","3,420.00","3,422.35","3,412.31","4,347.00","3,027.05",350154,"1,194,835,423.15",32504
"09-Mar-2022","EQ","3,320.00","3,360.00","3,293.00","3,317.10","3,350.00","3,339.00","3,327.17","4,347.00","3,027.05",508262,"1,691,072,116.45",35230
"08-Mar-2022","EQ","3,229.00","3,354.45","3,175.70","3,234.65","3,300.20","3,317.10","3,244.04","4,347.00","3,027.05",557492,"1,808,527,425.70",56980
"07-Mar-2022","EQ","3,185.00","3,279.00","3,125.00","3,242.10","3,229.65","3,234.65","3,186.72","4,347.00","3,027.05",335205,"1,068,205,872.20",37996
"04-Mar-2022","EQ","3,251.00","3,285.95","3,151.00","3,297.10","3,252.05","3,242.10","3,242.46","4,347.00","3,027.05",509620,"1,652,423,498.05",46587
"03-Mar-2022","EQ","3,399.00","3,404.80","3,279.00","3,372.30","3,302.00","3,297.10","3,319.32","4,347.00","3,027.05",536758,"1,781,670,245.45",42706
"02-Mar-2022","EQ","3,498.30","3,498.30","3,333.00","3,530.35","3,367.15","3,372.30","3,387.38","4,347.00","3,027.05",982580,"3,328,367,150.25",86459
"28-Feb-2022","EQ","3,497.70","3,561.00","3,448.05","3,508.40","3,530.40","3,530.35","3,517.60","4,347.00","3,027.05",387040,"1,361,451,726.25",29968
"25-Feb-2022","EQ","3,490.10","3,560.00","3,490.10","3,478.90","3,512.00","3,508.40","3,524.01","4,347.00","3,027.05",327777,"1,155,088,232.85",30526
"24-Feb-2022","EQ","3,485.50","3,559.30","3,435.00","3,580.30","3,435.00","3,478.90","3,505.66","4,347.00","3,027.05",628362,"2,202,825,216.15",49664
"23-Feb-2022","EQ","3,615.10","3,639.90","3,570.00","3,600.70","3,580.00","3,580.30","3,608.71","4,347.00","3,027.05",209392,"755,635,048.15",24310
"22-Feb-2022","EQ","3,520.00","3,615.00","3,515.00","3,579.50","3,591.90","3,600.70","3,580.04","4,347.00","3,027.05",432562,"1,548,588,788.05",35956
"21-Feb-2022","EQ","3,624.15","3,637.95","3,567.35","3,632.15","3,568.75","3,579.50","3,610.43","4,347.00","3,027.05",344326,"1,243,164,919.50",26414
"18-Feb-2022","EQ","3,597.00","3,642.50","3,563.60","3,597.30","3,636.60","3,632.15","3,620.43","4,347.00","3,027.05",277299,"1,003,941,863.40",20737
"17-Feb-2022","EQ","3,590.10","3,660.00","3,590.10","3,586.90","3,598.95","3,597.30","3,630.76","4,347.00","3,027.05",513917,"1,865,907,102.80",38108
"16-Feb-2022","EQ","3,599.00","3,640.00","3,571.10","3,589.20","3,586.40","3,586.90","3,602.78","4,347.00","3,027.05",244587,"881,193,452.75",22049
"15-Feb-2022","EQ","3,490.00","3,601.00","3,473.75","3,487.95","3,594.50","3,589.20","3,550.24","4,347.00","3,027.05",357052,"1,267,621,110.80",37771
"14-Feb-2022","EQ","3,465.00","3,538.00","3,461.35","3,566.65","3,476.95","3,487.95","3,506.77","4,347.00","3,027.05",282645,"991,171,865.65",23878
"11-Feb-2022","EQ","3,530.00","3,575.00","3,508.00","3,569.35","3,569.00","3,566.65","3,549.46","4,347.00","3,027.05",339577,"1,205,315,344.30",30740
"10-Feb-2022","EQ","3,563.35","3,581.55","3,545.65","3,563.55","3,566.20","3,569.35","3,566.78","4,347.00","3,027.05",239918,"855,734,282.40",33142
"09-Feb-2022","EQ","3,452.00","3,570.00","3,452.00","3,458.65","3,559.00","3,563.55","3,541.07","4,347.00","3,027.05",352729,"1,249,037,570.30",42105
"08-Feb-2022","EQ","3,476.10","3,512.95","3,445.90","3,476.00","3,452.00","3,458.65","3,468.26","4,347.00","3,027.05",397493,"1,378,607,513.75",45747
"07-Feb-2022","EQ","3,570.00","3,570.00","3,468.00","3,565.35","3,481.00","3,476.00","3,498.03","4,347.00","3,027.05",286849,"1,003,405,183.75",28190
"04-Feb-2022","EQ","3,621.10","3,621.10","3,550.00","3,621.10","3,564.95","3,565.35","3,575.04","4,361.40","3,027.05",296588,"1,060,314,511.15",31715
"03-Feb-2022","EQ","3,550.00","3,650.95","3,521.00","3,535.00","3,608.85","3,621.10","3,617.39","4,361.40","3,027.05",760774,"2,752,017,269.60",65617
"02-Feb-2022","EQ","3,540.00","3,585.00","3,521.45","3,534.45","3,536.85","3,535.00","3,556.65","4,361.40","3,027.05",212256,"754,919,849.25",23814
"01-Feb-2022","EQ","3,577.00","3,592.35","3,511.55","3,564.65","3,530.95","3,534.45","3,547.64","4,361.40","3,027.05",487464,"1,729,345,853.45",40211
"31-Jan-2022","EQ","3,520.00","3,585.65","3,487.00","3,497.20","3,550.10","3,564.65","3,556.69","4,361.40","3,027.05",470500,"1,673,424,034.85",45492
"28-Jan-2022","EQ","3,505.00","3,562.30","3,485.10","3,501.10","3,496.25","3,497.20","3,523.37","4,361.40","3,027.05",575466,"2,027,576,805.20",54825
"27-Jan-2022","EQ","3,445.00","3,536.80","3,394.20","3,469.10","3,501.00","3,501.10","3,467.98","4,361.40","3,027.05",664333,"2,303,893,841.25",64585
"25-Jan-2022","EQ","3,359.00","3,490.00","3,328.75","3,382.30","3,450.30","3,469.10","3,433.95","4,361.40","3,027.05",571406,"1,962,176,943.70",57954
"24-Jan-2022","EQ","3,421.00","3,454.20","3,350.00","3,419.80","3,390.05","3,382.30","3,391.72","4,361.40","3,027.05",788137,"2,673,136,737.20",81524
"21-Jan-2022","EQ","3,308.75","3,473.95","3,270.00","3,308.75","3,430.05","3,419.80","3,418.53","4,361.40","3,027.05",1609260,"5,501,307,701.30",105355
"20-Jan-2022","EQ","3,398.90","3,448.00","3,295.00","3,436.80","3,309.50","3,308.75","3,350.85","4,361.40","3,027.05",874508,"2,930,342,390.65",70918
"19-Jan-2022","EQ","3,400.95","3,462.30","3,383.05","3,400.95","3,452.15","3,436.80","3,433.18","4,361.40","3,027.05",694189,"2,383,273,520.90",52488
"18-Jan-2022","EQ","3,488.95","3,497.20","3,392.60","3,489.75","3,416.90","3,400.95","3,434.29","4,361.40","3,027.05",656590,"2,254,917,626.10",48554
"17-Jan-2022","EQ","3,450.00","3,527.00","3,434.05","3,432.80","3,488.00","3,489.75","3,499.83","4,361.40","3,027.05",646271,"2,261,839,618.25",40890
"14-Jan-2022","EQ","3,451.00","3,462.20","3,425.00","3,451.00","3,429.00","3,432.80","3,440.00","4,361.40","3,027.05",127752,"439,466,879.40",16949
"13-Jan-2022","EQ","3,445.90","3,474.30","3,430.00","3,440.10","3,449.00","3,451.00","3,450.75","4,361.40","3,027.05",291271,"1,005,104,094.70",27144
"12-Jan-2022","EQ","3,446.10","3,452.00","3,414.25","3,436.75","3,435.10","3,440.10","3,435.42","4,361.40","3,027.05",198452,"681,765,102.75",29217
"11-Jan-2022","EQ","3,413.00","3,445.95","3,413.00","3,435.10","3,435.00","3,436.75","3,434.95","4,361.40","3,027.05",225782,"775,549,513.85",20945
"10-Jan-2022","EQ","3,414.80","3,451.25","3,404.45","3,392.50","3,435.00","3,435.10","3,435.62","4,361.40","3,027.05",318473,"1,094,153,399.75",26305
"07-Jan-2022","EQ","3,437.50","3,437.50","3,377.00","3,418.20","3,395.00","3,392.50","3,402.94","4,361.40","3,027.05",263996,"898,362,585.55",23894
"06-Jan-2022","EQ","3,344.80","3,429.00","3,333.00","3,358.55","3,415.10","3,418.20","3,382.74","4,361.40","3,027.05",410181,"1,387,536,018.85",35382
"05-Jan-2022","EQ","3,289.15","3,365.00","3,281.00","3,289.15","3,350.00","3,358.55","3,338.89","4,361.40","3,027.05",312215,"1,042,451,994.75",22521
"04-Jan-2022","EQ","3,284.00","3,316.00","3,270.65","3,277.10","3,294.95","3,289.15","3,299.08","4,361.40","3,027.05",244503,"806,634,112.85",21754
"03-Jan-2022","EQ","3,258.70","3,292.60","3,251.50","3,249.25","3,279.00","3,277.10","3,276.93","4,361.40","3,027.05",266680,"873,892,682.35",22991
"31-Dec-2021","EQ","3,230.00","3,264.70","3,217.00","3,200.80","3,251.00","3,249.25","3,242.96","4,361.40","3,027.05",248103,"804,588,126.30",21559
"30-Dec-2021","EQ","3,278.00","3,279.15","3,187.00","3,262.50","3,201.00","3,200.80","3,212.05","4,361.40","3,027.05",594987,"1,911,130,932.65",44021
"29-Dec-2021","EQ","3,188.75","3,269.00","3,152.05","3,176.05","3,269.00","3,262.50","3,221.03","4,361.40","3,027.05",563709,"1,815,724,351.95",38276
"28-Dec-2021","EQ","3,161.20","3,187.55","3,150.00","3,154.10","3,175.90","3,176.05","3,170.68","4,361.40","3,027.05",214640,"680,555,095.40",18345
"27-Dec-2021","EQ","3,145.00","3,174.15","3,122.00","3,152.05","3,159.00","3,154.10","3,142.25","4,361.40","3,027.05",94069,"295,588,650.50",11935
"24-Dec-2021","EQ","3,181.30","3,195.00","3,135.00","3,174.10","3,156.40","3,152.05","3,155.23","4,361.40","3,027.05",123753,"390,468,949.35",12432
"23-Dec-2021","EQ","3,150.00","3,190.95","3,138.00","3,135.85","3,180.80","3,174.10","3,171.76","4,361.40","3,027.05",224147,"710,939,784.95",27916
"22-Dec-2021","EQ","3,132.00","3,173.55","3,126.00","3,130.80","3,137.05","3,135.85","3,147.07","4,361.40","3,027.05",294578,"927,057,399.05",32996
"21-Dec-2021","EQ","3,112.00","3,160.05","3,092.00","3,105.20","3,135.45","3,130.80","3,130.13","4,361.40","3,027.05",326850,"1,023,083,461.75",38876
"20-Dec-2021","EQ","3,149.90","3,171.10","3,027.05","3,179.15","3,101.00","3,105.20","3,087.88","4,361.40","3,027.05",595625,"1,839,219,434.65",66732
"17-Dec-2021","EQ","3,248.05","3,261.80","3,149.10","3,253.15","3,205.30","3,179.15","3,188.49","4,361.40","3,149.10",3170631,"10,109,515,814.30",84127
"16-Dec-2021","EQ","3,327.75","3,327.75","3,227.35","3,294.50","3,249.95","3,253.15","3,257.52","4,361.40","3,172.00",324140,"1,055,893,242.95",27159
"15-Dec-2021","EQ","3,289.65","3,329.85","3,275.00","3,291.65","3,303.00","3,294.50","3,308.49","4,361.40","3,172.00",295667,"978,211,361.60",26450
"14-Dec-2021","EQ","3,300.00","3,305.00","3,268.00","3,305.45","3,298.10","3,291.65","3,284.41","4,361.40","3,172.00",181626,"596,534,411.75",21652
"13-Dec-2021","EQ","3,367.00","3,372.45","3,295.00","3,344.75","3,309.95","3,305.45","3,326.19","4,361.40","3,172.00",214515,"713,518,365.80",19737
"10-Dec-2021","EQ","3,320.20","3,364.20","3,320.00","3,341.00","3,344.60","3,344.75","3,350.37","4,361.40","3,172.00",220039,"737,212,146.15",21686
"09-Dec-2021","EQ","3,350.00","3,350.00","3,306.00","3,332.05","3,331.15","3,341.00","3,328.31","4,361.40","3,172.00",237723,"791,216,262.95",28086
