"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Apr-2022","EQ","17,030.00","17,200.00","17,011.20","17,060.45","17,150.00","17,139.20","17,115.78","19,325.00","9,035.85",210141,"3,596,726,777.35",29747
"31-Mar-2022","EQ","17,100.00","17,300.00","16,982.00","17,128.90","17,027.00","17,060.45","17,135.30","19,325.00","9,035.85",298692,"5,118,176,251.40",50696
"30-Mar-2022","EQ","16,600.00","17,249.85","16,531.00","16,501.70","17,045.05","17,128.90","17,019.38","19,325.00","9,035.85",454764,"7,739,801,964.90",72543
"29-Mar-2022","EQ","16,536.00","16,620.00","16,423.15","16,518.95","16,509.00","16,501.70","16,516.50","19,325.00","9,035.85",198138,"3,272,546,175.05",36159
"28-Mar-2022","EQ","16,400.00","16,560.00","16,101.05","16,333.30","16,472.10","16,518.95","16,363.47","19,325.00","9,035.85",175187,"2,866,666,506.50",33084
"25-Mar-2022","EQ","16,500.00","16,500.00","16,240.15","16,378.70","16,320.75","16,333.30","16,356.79","19,325.00","8,960.05",147748,"2,416,683,552.20",31050
"24-Mar-2022","EQ","16,350.00","16,512.00","16,270.00","16,407.35","16,333.00","16,378.70","16,411.71","19,325.00","8,960.05",183924,"3,018,507,777.35",34803
"23-Mar-2022","EQ","16,600.00","16,728.75","16,344.20","16,494.60","16,370.00","16,407.35","16,521.63","19,325.00","8,960.05",229079,"3,784,758,826.45",40329
"22-Mar-2022","EQ","16,250.00","16,590.00","15,951.00","16,180.80","16,570.50","16,494.60","16,262.71","19,325.00","8,960.05",265279,"4,314,156,572.60",44503
"21-Mar-2022","EQ","16,399.95","16,443.95","16,150.00","16,370.80","16,182.00","16,180.80","16,250.74","19,325.00","8,960.05",201635,"3,276,718,433.15",29887
"17-Mar-2022","EQ","16,399.00","16,589.00","16,255.00","16,124.85","16,344.00","16,370.80","16,429.70","19,325.00","8,960.05",402068,"6,605,855,584.65",54788
"16-Mar-2022","EQ","15,900.60","16,240.00","15,851.05","15,708.90","16,071.00","16,124.85","16,101.37","19,325.00","8,960.05",298317,"4,803,312,354.45",49730
"15-Mar-2022","EQ","15,749.00","15,950.00","15,534.05","15,678.50","15,684.65","15,708.90","15,754.42","19,325.00","8,960.05",296511,"4,671,358,665.40",59391
"14-Mar-2022","EQ","15,475.60","15,735.00","15,411.50","15,569.00","15,719.90","15,678.50","15,604.89","19,325.00","8,960.05",285201,"4,450,529,621.70",54324
"11-Mar-2022","EQ","15,400.00","15,750.00","15,280.00","15,467.45","15,550.00","15,569.00","15,588.22","19,325.00","8,960.05",329632,"5,138,375,406.65",60369
"10-Mar-2022","EQ","15,649.00","15,850.00","15,305.05","15,015.20","15,478.00","15,467.45","15,606.58","19,325.00","8,960.05",476405,"7,435,050,940.00",83323
"09-Mar-2022","EQ","14,501.10","15,199.55","14,400.00","14,450.70","15,028.00","15,015.20","14,808.42","19,325.00","8,960.05",391341,"5,795,143,561.90",77581
"08-Mar-2022","EQ","14,400.00","14,525.00","13,951.05","14,373.20","14,435.50","14,450.70","14,283.98","19,325.00","8,960.05",462569,"6,607,325,239.95",94017
"07-Mar-2022","EQ","14,994.00","14,994.00","13,799.90","15,333.20","14,390.00","14,373.20","14,527.58","19,325.00","8,960.05",371521,"5,397,300,002.40",91926
"04-Mar-2022","EQ","15,590.00","15,672.30","15,212.00","15,704.10","15,311.00","15,333.20","15,426.71","19,325.00","8,960.05",338059,"5,215,137,385.15",65983
"03-Mar-2022","EQ","16,300.00","16,347.95","15,646.80","16,053.00","15,680.00","15,704.10","15,894.61","19,325.00","8,960.05",340014,"5,404,389,575.40",58555
"02-Mar-2022","EQ","15,705.00","16,157.15","15,632.00","16,012.55","16,070.00","16,053.00","15,844.20","19,325.00","8,960.05",281715,"4,463,548,371.95",58311
"28-Feb-2022","EQ","15,700.00","16,084.85","15,365.00","15,772.15","16,000.00","16,012.55","15,739.98","19,325.00","8,960.05",373257,"5,875,056,798.90",67030
"25-Feb-2022","EQ","15,788.00","16,065.00","15,570.00","15,245.20","15,760.00","15,772.15","15,814.55","19,325.00","8,960.05",320337,"5,065,986,158.55",56356
"24-Feb-2022","EQ","15,600.00","15,895.90","15,200.00","16,133.60","15,250.00","15,245.20","15,533.06","19,325.00","8,960.05",361563,"5,616,180,420.90",73228
"23-Feb-2022","EQ","16,390.00","16,390.00","16,035.05","16,189.45","16,048.85","16,133.60","16,227.12","19,325.00","8,960.05",241830,"3,924,204,032.45",46829
"22-Feb-2022","EQ","15,300.00","16,270.00","15,275.00","16,012.25","16,201.00","16,189.45","15,902.65","19,325.00","8,960.05",322374,"5,126,600,317.90",65932
"21-Feb-2022","EQ","16,038.00","16,238.15","15,780.00","16,096.55","15,988.00","16,012.25","16,000.21","19,325.00","8,960.05",227592,"3,641,519,700.25",43038
"18-Feb-2022","EQ","16,061.00","16,289.00","16,025.85","16,181.20","16,082.00","16,096.55","16,165.47","19,325.00","8,960.05",174327,"2,818,077,936.45",35662
"17-Feb-2022","EQ","16,366.00","16,418.30","16,081.00","16,272.45","16,178.70","16,181.20","16,245.55","19,325.00","8,960.05",214433,"3,483,582,292.65",41817
"16-Feb-2022","EQ","16,428.00","16,589.90","16,190.10","16,375.25","16,255.00","16,272.45","16,388.17","19,325.00","8,960.05",273874,"4,488,294,585.85",52931
"15-Feb-2022","EQ","15,890.00","16,427.50","15,649.00","15,674.15","16,385.10","16,375.25","16,018.34","19,325.00","8,960.05",359213,"5,753,994,346.65",67466
"14-Feb-2022","EQ","15,805.00","15,887.95","15,451.00","16,113.10","15,650.00","15,674.15","15,708.00","19,325.00","8,960.05",296115,"4,651,374,923.80",54654
"11-Feb-2022","EQ","16,000.00","16,200.00","15,910.00","16,393.60","16,119.95","16,113.10","16,104.67","19,325.00","8,960.05",244696,"3,940,747,457.35",49340
"10-Feb-2022","EQ","16,344.90","16,550.00","16,033.00","16,257.80","16,394.00","16,393.60","16,368.61","19,325.00","8,960.05",299770,"4,906,818,140.95",58366
"09-Feb-2022","EQ","16,180.00","16,414.90","16,120.00","15,989.15","16,268.25","16,257.80","16,275.89","19,325.00","8,960.05",251023,"4,085,623,236.05",51311
"08-Feb-2022","EQ","15,810.00","16,119.80","15,720.00","15,711.35","15,978.00","15,989.15","15,927.24","19,325.00","8,960.05",410373,"6,536,109,438.35",87076
"07-Feb-2022","EQ","16,160.00","16,364.05","15,650.00","16,205.75","15,732.00","15,711.35","15,925.53","19,325.00","8,960.05",356664,"5,680,064,825.55",66454
"04-Feb-2022","EQ","16,348.00","16,469.35","16,145.00","16,348.10","16,160.00","16,205.75","16,289.75","19,325.00","8,638.00",294505,"4,797,411,821.45",50305
"03-Feb-2022","EQ","16,706.00","16,717.00","16,263.70","16,706.00","16,320.00","16,348.10","16,555.64","19,325.00","8,638.00",289137,"4,786,847,321.35",51326
"02-Feb-2022","EQ","16,030.10","16,750.00","15,925.00","15,903.85","16,696.05","16,706.00","16,559.75","19,325.00","8,638.00",525745,"8,706,203,332.85",84649
"01-Feb-2022","EQ","15,828.95","16,014.95","15,500.00","15,689.55","15,924.15","15,903.85","15,853.93","19,325.00","8,638.00",357187,"5,662,819,153.25",71292
"31-Jan-2022","EQ","15,590.00","15,741.00","15,329.70","15,198.75","15,700.10","15,689.55","15,579.62","19,325.00","8,638.00",312992,"4,876,296,241.90",58902
"28-Jan-2022","EQ","15,601.00","15,787.65","15,150.00","15,359.85","15,190.00","15,198.75","15,484.62","19,325.00","8,638.00",350931,"5,434,032,730.55",65639
