"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Apr-2022","EQ","759.80","766.65","749.25","754.95","758.35","758.50","757.01","781.80","514.55",5920139,"4,481,591,819.50",106388
"31-Mar-2022","EQ","753.00","759.00","739.70","749.50","757.00","754.95","748.40","781.80","514.55",7371181,"5,516,573,660.20",122409
"30-Mar-2022","EQ","762.75","769.90","744.60","754.95","748.65","749.50","756.69","781.80","514.55",9938988,"7,520,695,972.55",181513
"29-Mar-2022","EQ","740.40","763.00","737.00","733.05","753.50","754.95","751.53","781.80","514.55",15833573,"11,899,377,451.90",217096
"28-Mar-2022","EQ","715.25","737.00","710.10","709.35","737.00","733.05","722.55","781.80","514.55",7960258,"5,751,720,380.80",128264
"25-Mar-2022","EQ","712.30","714.45","705.85","706.35","711.25","709.35","709.95","781.80","499.55",2930336,"2,080,398,006.35",75077
"24-Mar-2022","EQ","698.00","708.85","697.85","704.95","705.80","706.35","704.70","781.80","499.55",3597143,"2,534,906,530.50",92634
"23-Mar-2022","EQ","719.25","719.85","703.00","719.25","705.80","704.95","706.42","781.80","499.55",7974713,"5,633,501,331.00",128384
"22-Mar-2022","EQ","708.50","721.00","705.85","708.20","717.50","719.25","714.25","781.80","499.55",3000133,"2,142,849,722.20",72315
"21-Mar-2022","EQ","722.00","724.35","706.80","722.90","707.50","708.20","714.53","781.80","499.55",6317305,"4,513,922,556.25",134043
"17-Mar-2022","EQ","720.00","727.95","715.00","712.00","723.85","722.90","723.45","781.80","499.55",8168953,"5,909,814,621.80",118266
"16-Mar-2022","EQ","710.00","715.50","705.00","703.10","713.20","712.00","709.69","781.80","499.55",3843706,"2,727,848,498.40",58888
"15-Mar-2022","EQ","699.00","709.50","695.50","700.40","701.00","703.10","703.60","781.80","499.55",6006439,"4,226,116,846.10",108680
"14-Mar-2022","EQ","688.15","704.85","688.15","694.85","699.40","700.40","699.75","781.80","499.55",4016137,"2,810,303,856.70",82492
"11-Mar-2022","EQ","696.70","702.40","691.50","697.75","694.40","694.85","696.36","781.80","499.55",3353880,"2,335,501,660.00",109928
"10-Mar-2022","EQ","699.95","707.50","690.60","691.50","697.00","697.75","700.04","781.80","499.55",5989327,"4,192,789,257.55",141335
"09-Mar-2022","EQ","682.00","698.00","674.30","683.00","691.35","691.50","690.95","781.80","499.55",9896395,"6,837,953,186.80",172243
"08-Mar-2022","EQ","675.00","686.85","667.60","675.40","681.50","683.00","679.19","781.80","499.55",8462985,"5,747,955,862.95",172611
"07-Mar-2022","EQ","640.00","679.35","639.00","653.70","677.20","675.40","665.01","781.80","499.55",12615451,"8,389,449,156.90",287557
"04-Mar-2022","EQ","665.00","667.95","650.00","672.05","654.75","653.70","657.18","781.80","499.55",7094874,"4,662,610,397.70",141743
"03-Mar-2022","EQ","675.00","679.80","668.60","674.25","672.20","672.05","672.86","781.80","499.55",6517030,"4,385,023,860.95",170940
"02-Mar-2022","EQ","684.00","684.00","666.00","686.50","675.00","674.25","672.92","781.80","499.55",10220908,"6,877,819,127.45",224046
"28-Feb-2022","EQ","681.00","690.00","666.45","688.65","686.00","686.50","681.09","781.80","499.55",8301523,"5,654,064,694.55",193009
"25-Feb-2022","EQ","677.50","695.15","677.50","670.90","689.00","688.65","689.84","781.80","499.55",6452099,"4,450,902,016.30",121428
"24-Feb-2022","EQ","682.00","688.55","645.45","704.40","670.00","670.90","675.30","781.80","499.55",14139461,"9,548,316,519.05",257679
"23-Feb-2022","EQ","700.10","708.95","699.50","699.25","701.20","704.40","704.91","781.80","499.55",4124469,"2,907,363,092.20",99194
"22-Feb-2022","EQ","694.20","702.50","687.50","709.95","696.10","699.25","693.88","781.80","499.55",9148804,"6,348,204,854.45",162755
"21-Feb-2022","EQ","708.05","716.55","703.00","712.55","710.25","709.95","711.19","781.80","499.55",4307430,"3,063,380,672.40",68370
"18-Feb-2022","EQ","712.05","719.55","711.35","717.00","712.00","712.55","715.65","781.80","499.55",4099366,"2,933,719,343.75",78724
"17-Feb-2022","EQ","724.45","727.50","715.00","721.80","716.15","717.00","720.02","781.80","499.55",5107708,"3,677,661,983.35",88553
"16-Feb-2022","EQ","717.40","728.20","708.00","711.55","719.70","721.80","719.33","781.80","499.55",5433910,"3,908,776,019.45",105402
"15-Feb-2022","EQ","696.00","713.10","686.60","689.70","710.05","711.55","698.99","781.80","499.55",4650249,"3,250,471,564.10",94669
"14-Feb-2022","EQ","704.00","704.00","685.00","715.15","689.00","689.70","695.00","781.80","499.55",7441445,"5,171,789,239.20",199472
"11-Feb-2022","EQ","721.70","725.40","710.90","724.05","713.20","715.15","716.33","781.80","499.55",5646980,"4,045,110,736.10",118668
"10-Feb-2022","EQ","722.95","726.95","708.60","719.35","721.50","724.05","718.87","781.80","499.55",6074014,"4,366,441,126.25",176435
"09-Feb-2022","EQ","707.10","726.10","702.15","708.90","719.90","719.35","715.86","781.80","499.55",10185173,"7,291,175,686.95",144952
"08-Feb-2022","EQ","711.20","714.70","701.00","706.50","706.95","708.90","706.62","781.80","499.55",7167684,"5,064,859,595.80",111904
"07-Feb-2022","EQ","718.00","720.10","699.50","720.20","708.00","706.50","707.60","781.80","499.55",6833983,"4,835,739,601.35",115571
"04-Feb-2022","EQ","721.10","723.25","716.50","721.65","719.00","720.20","720.08","781.80","499.55",3284198,"2,364,897,340.35",93139
"03-Feb-2022","EQ","726.00","729.00","718.50","725.05","720.00","721.65","723.41","781.80","499.55",3651578,"2,641,591,234.90",105929
"02-Feb-2022","EQ","726.10","731.75","720.50","723.05","725.10","725.05","724.74","781.80","499.55",3286577,"2,381,909,149.90",85137
"01-Feb-2022","EQ","733.00","735.00","718.30","729.30","725.05","723.05","727.18","781.80","499.55",4814511,"3,501,028,779.55",106248
"31-Jan-2022","EQ","728.00","735.00","719.55","715.80","729.55","729.30","728.03","781.80","499.55",10745370,"7,822,973,341.70",240581
"28-Jan-2022","EQ","714.90","754.00","701.65","707.25","717.00","715.80","718.56","781.80","499.55",21450677,"15,413,494,337.70",360964
"27-Jan-2022","EQ","706.50","716.00","701.50","711.85","709.60","707.25","708.61","781.80","499.55",8937312,"6,333,036,738.35",201463
"25-Jan-2022","EQ","684.00","720.45","682.15","689.90","709.40","711.85","709.71","781.80","499.55",14128764,"10,027,351,546.55",203434
"24-Jan-2022","EQ","690.30","707.00","677.35","695.25","687.65","689.90","693.63","781.80","499.55",11091633,"7,693,451,056.85",181824
