"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Apr-2022","EQ","361.55","375.00","361.55","359.35","374.65","374.40","370.03","503.00","331.10",6386165,"2,363,053,709.10",82299
"31-Mar-2022","EQ","361.00","364.50","358.80","360.05","359.45","359.35","360.85","503.00","331.10",5503682,"1,985,976,840.20",55256
"30-Mar-2022","EQ","360.50","362.40","359.20","358.45","360.10","360.05","360.58","503.00","331.10",4123566,"1,486,876,022.40",57504
"29-Mar-2022","EQ","362.00","362.40","357.95","359.70","358.20","358.45","359.97","503.00","331.10",5708664,"2,054,931,831.90",39902
"28-Mar-2022","EQ","360.00","362.85","356.30","360.30","359.00","359.70","359.75","503.00","331.10",5812191,"2,090,912,707.25",46560
"25-Mar-2022","EQ","362.00","364.55","358.10","362.60","360.10","360.30","360.39","503.00","331.10",3629552,"1,308,042,702.70",47028
"24-Mar-2022","EQ","366.00","367.80","360.80","366.60","362.25","362.60","364.35","503.00","331.10",4848379,"1,766,519,016.75",60774
"23-Mar-2022","EQ","370.90","371.60","365.00","368.40","366.10","366.60","367.77","503.00","331.10",6237729,"2,294,028,844.15",63815
"22-Mar-2022","EQ","358.85","369.70","356.70","357.20","368.00","368.40","364.17","503.00","331.10",7467189,"2,719,355,439.90",115481
"21-Mar-2022","EQ","360.00","367.30","356.30","364.20","356.70","357.20","360.68","503.00","331.10",6184825,"2,230,718,770.80",75660
"17-Mar-2022","EQ","359.60","366.20","357.85","356.30","363.65","364.20","362.78","503.00","331.10",11413836,"4,140,734,622.30",88390
"16-Mar-2022","EQ","353.50","357.70","350.15","350.30","355.50","356.30","354.00","503.00","331.10",4722492,"1,671,784,968.55",46666
"15-Mar-2022","EQ","361.05","361.50","348.10","359.65","349.75","350.30","353.89","503.00","331.10",6065433,"2,146,520,290.20",96593
"14-Mar-2022","EQ","359.80","361.00","352.35","362.00","360.00","359.65","357.13","503.00","331.10",8224912,"2,937,365,600.30",78052
"11-Mar-2022","EQ","351.00","363.70","350.25","349.00","363.20","362.00","356.29","503.00","331.10",8278802,"2,949,694,676.85",99051
"10-Mar-2022","EQ","352.00","354.00","345.50","342.65","349.20","349.00","349.85","503.00","331.10",9054604,"3,167,774,549.40",108399
"09-Mar-2022","EQ","344.50","347.65","337.70","341.60","342.80","342.65","342.23","503.00","331.10",6781953,"2,320,988,420.95",89917
"08-Mar-2022","EQ","337.80","343.00","332.70","338.00","342.75","341.60","338.46","503.00","331.10",6440280,"2,179,755,139.10",100952
"07-Mar-2022","EQ","347.00","347.00","331.80","348.35","338.85","338.00","338.95","503.00","331.10",9968000,"3,378,640,398.95",129601
"04-Mar-2022","EQ","347.95","351.50","343.00","346.40","350.25","348.35","346.65","503.00","331.10",7778930,"2,696,531,357.05",103735
"03-Mar-2022","EQ","347.40","354.00","343.35","342.10","346.60","346.40","346.96","503.00","331.10",6412853,"2,225,033,867.80",95960
"02-Mar-2022","EQ","346.50","356.70","339.80","349.80","343.30","342.10","346.32","503.00","331.10",7734602,"2,678,648,484.00",112919
"28-Feb-2022","EQ","335.35","351.30","332.00","336.35","349.50","349.80","346.02","503.00","331.10",9573141,"3,312,469,052.95",111340
"25-Feb-2022","EQ","340.00","341.50","332.15","333.05","336.50","336.35","336.65","503.00","331.10",5839510,"1,965,884,301.30",107059
"24-Feb-2022","EQ","349.00","352.00","331.10","357.10","333.45","333.05","341.09","503.00","331.10",7047485,"2,403,800,320.75",122502
"23-Feb-2022","EQ","358.50","360.80","356.20","355.30","357.30","357.10","358.42","503.00","349.30",2818071,"1,010,056,071.75",50139
"22-Feb-2022","EQ","360.00","364.45","349.30","368.75","355.20","355.30","356.66","503.00","349.30",7053081,"2,515,578,587.05",103732
"21-Feb-2022","EQ","373.00","373.00","365.05","373.15","368.45","368.75","368.85","503.00","356.60",3103771,"1,144,823,224.30",52726
"18-Feb-2022","EQ","371.45","375.95","371.45","373.00","372.85","373.15","373.85","503.00","356.60",2210217,"826,284,194.70",37647
"17-Feb-2022","EQ","375.95","377.25","371.00","374.10","373.20","373.00","373.94","503.00","356.60",2612160,"976,780,520.35",38903
"16-Feb-2022","EQ","371.00","378.40","370.30","368.90","373.70","374.10","374.52","503.00","356.60",5444908,"2,039,211,165.05",64887
"15-Feb-2022","EQ","362.05","369.75","356.60","361.70","369.10","368.90","362.19","503.00","356.60",5524786,"2,001,048,753.35",104306
"14-Feb-2022","EQ","365.00","365.85","360.55","369.55","362.00","361.70","362.99","503.00","357.40",5098193,"1,850,585,807.70",83779
"11-Feb-2022","EQ","369.65","374.50","365.00","369.65","369.80","369.55","370.76","503.00","357.40",5631276,"2,087,844,282.80",68773
"10-Feb-2022","EQ","372.70","373.50","368.50","375.60","370.00","369.65","370.20","503.00","357.40",6141529,"2,273,623,792.55",104978
"09-Feb-2022","EQ","380.00","382.00","374.70","377.40","374.95","375.60","376.91","503.00","357.40",4646178,"1,751,212,889.10",64621
"08-Feb-2022","EQ","374.40","378.50","370.65","372.45","378.00","377.40","374.45","503.00","357.40",3454806,"1,293,649,816.50",62251
"07-Feb-2022","EQ","378.00","378.40","370.10","375.65","372.50","372.45","372.93","503.00","357.40",4094513,"1,526,984,465.90",73872
"04-Feb-2022","EQ","377.15","380.00","374.05","377.05","376.30","375.65","376.24","503.00","357.40",4478855,"1,685,124,916.25",74136
"03-Feb-2022","EQ","384.00","384.90","376.50","382.10","377.20","377.05","379.07","503.00","357.40",5329147,"2,020,127,031.60",86916
"02-Feb-2022","EQ","385.00","385.60","379.35","378.85","382.65","382.10","382.00","503.00","357.40",5850788,"2,235,011,499.25",91790
"01-Feb-2022","EQ","395.00","395.00","376.00","397.05","379.35","378.85","383.13","503.00","357.40",12757699,"4,887,861,021.00",169094
"31-Jan-2022","EQ","390.00","399.80","387.95","382.50","396.85","397.05","395.83","503.00","357.40",6964092,"2,756,581,458.30",87301
"28-Jan-2022","EQ","384.95","393.50","381.35","382.20","383.95","382.50","388.00","503.00","357.40",4044959,"1,569,450,940.50",62241
"27-Jan-2022","EQ","385.00","385.25","375.00","382.55","381.90","382.20","379.74","503.00","357.40",5737395,"2,178,694,310.25",92808
"25-Jan-2022","EQ","372.10","383.80","368.00","373.10","382.00","382.55","378.24","503.00","357.40",4952650,"1,873,286,866.15",98262
"24-Jan-2022","EQ","381.40","383.85","370.10","381.70","373.05","373.10","376.58","503.00","357.40",5334037,"2,008,713,086.35",83497
"21-Jan-2022","EQ","393.80","396.05","380.00","393.05","382.00","381.70","386.76","503.00","357.40",5155269,"1,993,853,243.05",98629
"20-Jan-2022","EQ","395.00","397.55","390.20","394.35","393.65","393.05","394.01","503.00","357.40",3247617,"1,279,586,756.10",66317
"19-Jan-2022","EQ","396.00","401.50","393.00","398.10","393.95","394.35","396.52","503.00","357.40",5173988,"2,051,591,159.30",92891
"18-Jan-2022","EQ","401.80","406.90","396.35","400.55","399.00","398.10","403.45","503.00","357.40",6610248,"2,666,920,351.40",103625
"17-Jan-2022","EQ","401.00","404.40","398.60","398.45","400.35","400.55","401.84","503.00","357.40",4835805,"1,943,233,616.35",93109
"14-Jan-2022","EQ","395.00","399.95","392.50","394.50","398.60","398.45","397.38","503.00","357.40",3457752,"1,374,048,145.75",54464
"13-Jan-2022","EQ","390.20","397.55","387.25","388.70","395.00","394.50","391.31","503.00","357.40",4245712,"1,661,396,434.00",85055
"12-Jan-2022","EQ","394.50","395.95","386.55","391.15","387.90","388.70","390.06","503.00","357.40",4623410,"1,803,417,855.75",96011
"11-Jan-2022","EQ","398.80","398.80","390.15","397.55","391.00","391.15","392.86","503.00","357.40",3427008,"1,346,338,434.90",76189
"10-Jan-2022","EQ","399.00","399.70","395.60","396.20","397.20","397.55","397.39","503.00","357.40",2089864,"830,494,224.00",39407
"07-Jan-2022","EQ","398.00","402.90","395.00","395.80","396.00","396.20","397.98","503.00","357.40",5957213,"2,370,858,641.75",77591
"06-Jan-2022","EQ","396.00","396.65","390.60","394.70","396.40","395.80","393.60","503.00","357.40",4118574,"1,621,089,060.55",53212
"05-Jan-2022","EQ","384.95","396.50","383.45","385.95","395.85","394.70","390.93","503.00","357.40",6741998,"2,635,669,487.60",66150
"04-Jan-2022","EQ","388.00","393.75","384.75","386.10","385.60","385.95","388.18","503.00","357.40",5899648,"2,290,132,342.35",69656
"03-Jan-2022","EQ","384.00","387.00","384.00","385.45","387.00","386.10","385.86","503.00","357.40",3234192,"1,247,955,801.50",36696
"31-Dec-2021","EQ","376.50","387.40","376.50","377.95","385.50","385.45","384.82","503.00","357.40",3890328,"1,497,076,500.45",54966
"30-Dec-2021","EQ","384.00","385.30","376.00","381.10","378.00","377.95","379.37","503.00","357.40",6085707,"2,308,726,620.30",70762
"29-Dec-2021","EQ","381.00","382.85","377.15","380.40","381.30","381.10","380.14","503.00","357.40",4130329,"1,570,114,418.85",40839
"28-Dec-2021","EQ","375.80","381.40","375.00","374.40","381.25","380.40","378.53","503.00","357.40",3224743,"1,220,673,126.00",40129
"27-Dec-2021","EQ","370.95","375.15","367.50","372.15","374.05","374.40","371.93","503.00","357.40",2316330,"861,503,611.20",35695
"24-Dec-2021","EQ","379.20","379.20","370.30","377.35","372.15","372.15","372.35","503.00","357.00",3143785,"1,170,589,200.10",45442
"23-Dec-2021","EQ","374.80","378.25","372.00","372.45","377.00","377.35","375.22","503.00","357.00",5346933,"2,006,267,473.60",59956
"22-Dec-2021","EQ","366.00","373.80","365.20","364.20","372.75","372.45","370.58","503.00","357.00",5022622,"1,861,297,370.65",57287
"21-Dec-2021","EQ","364.40","365.90","357.40","360.00","364.60","364.20","363.03","503.00","357.00",6427779,"2,333,489,005.55",99111
"20-Dec-2021","EQ","380.85","380.85","359.00","384.70","359.75","360.00","366.14","503.00","357.00",11255280,"4,120,960,934.80",136706
"17-Dec-2021","EQ","393.00","394.55","382.10","391.05","385.65","384.70","384.96","503.00","357.00",8024861,"3,089,259,172.55",72956
"16-Dec-2021","EQ","386.50","392.00","384.45","384.30","391.85","391.05","388.36","503.00","357.00",3954683,"1,535,846,740.70",61020
"15-Dec-2021","EQ","391.00","392.40","383.10","391.65","385.20","384.30","387.11","503.00","357.00",5557592,"2,151,402,984.55",91075
"14-Dec-2021","EQ","392.95","392.95","389.10","392.35","391.00","391.65","390.61","503.00","357.00",3291399,"1,285,658,131.90",52686
"13-Dec-2021","EQ","398.95","400.50","391.05","396.95","392.70","392.35","394.54","503.00","357.00",2599708,"1,025,694,225.35",47303
"10-Dec-2021","EQ","393.50","397.90","391.00","393.75","397.20","396.95","396.07","503.00","357.00",2282959,"904,212,004.50",40491
"09-Dec-2021","EQ","394.25","401.50","392.30","391.15","393.90","393.75","397.01","503.00","357.00",6485041,"2,574,595,058.60",97933
"08-Dec-2021","EQ","389.50","392.25","389.15","387.80","391.45","391.15","391.01","503.00","357.00",3593664,"1,405,155,046.60",35610
"07-Dec-2021","EQ","385.90","388.75","385.25","383.45","388.00","387.80","387.43","503.00","357.00",3637703,"1,409,344,719.45",46121
"06-Dec-2021","EQ","387.35","389.40","381.00","385.90","384.05","383.45","385.38","503.00","357.00",4459906,"1,718,769,580.30",85296
"03-Dec-2021","EQ","382.50","388.40","381.30","378.85","386.00","385.90","385.66","503.00","357.00",8656623,"3,338,539,840.30",128035
"02-Dec-2021","EQ","370.00","379.95","369.05","368.75","379.75","378.85","377.11","503.00","357.00",6224888,"2,347,468,932.65",136232
"01-Dec-2021","EQ","372.75","375.95","365.80","370.00","369.70","368.75","369.32","503.00","357.00",6528783,"2,411,195,381.00",108877
"30-Nov-2021","EQ","370.00","379.50","368.00","367.45","368.00","370.00","372.61","503.00","357.00",9196735,"3,426,763,772.50",143799
"29-Nov-2021","EQ","379.00","380.00","367.00","376.85","367.20","367.45","370.47","503.00","357.00",7518776,"2,785,458,269.15",114146
"26-Nov-2021","EQ","397.15","397.20","375.00","400.10","377.40","376.85","382.65","503.00","357.00",10023331,"3,835,453,300.05",186535
"25-Nov-2021","EQ","404.00","404.40","398.00","403.35","400.90","400.10","400.43","503.00","357.00",3161909,"1,266,136,065.55",51464
"24-Nov-2021","EQ","401.10","409.30","398.80","397.60","402.00","403.35","404.57","503.00","357.00",4241408,"1,715,943,776.95",74310
"23-Nov-2021","EQ","395.00","401.30","394.05","395.60","397.70","397.60","397.99","503.00","357.00",3382706,"1,346,295,032.25",57726
"22-Nov-2021","EQ","406.00","407.90","393.10","405.30","395.50","395.60","399.28","503.00","357.00",5282894,"2,109,367,289.65",87429
"18-Nov-2021","EQ","413.50","415.65","405.00","413.80","405.70","405.30","408.75","503.00","357.00",4995398,"2,041,854,358.40",84271
"17-Nov-2021","EQ","420.50","420.75","412.20","419.90","413.35","413.80","415.34","503.00","357.00",3769399,"1,565,566,320.70",75189
"16-Nov-2021","EQ","426.00","426.55","418.15","426.35","419.25","419.90","421.50","503.00","357.00",2766721,"1,166,165,803.75",53440
"15-Nov-2021","EQ","427.90","430.05","424.65","427.70","426.00","426.35","426.37","503.00","357.00",1919944,"818,602,469.80",42166
"12-Nov-2021","EQ","428.00","430.00","426.35","425.30","427.50","427.70","428.24","503.00","357.00",2144462,"918,348,782.45",38741
"11-Nov-2021","EQ","425.95","427.25","422.05","431.25","426.20","425.30","424.50","503.00","357.00",3316769,"1,407,977,935.95",85928
"10-Nov-2021","EQ","432.00","434.00","430.15","430.50","430.75","431.25","431.69","503.00","357.00",3282554,"1,417,053,665.70",46542
"09-Nov-2021","EQ","432.70","432.75","427.00","431.75","430.65","430.50","429.88","503.00","357.00",2933590,"1,261,090,152.15",50960
"08-Nov-2021","EQ","424.00","432.75","421.45","419.75","432.75","431.75","427.74","503.00","357.00",5935209,"2,538,704,988.85",150180
"04-Nov-2021","EQ","419.85","420.25","418.10","414.90","420.10","419.75","419.40","503.00","344.20",987512,"414,165,330.85",26616
"03-Nov-2021","EQ","418.00","421.55","414.20","416.15","414.50","414.90","416.95","503.00","344.20",5258243,"2,192,398,890.00",100212
"02-Nov-2021","EQ","423.00","423.90","415.60","421.65","416.30","416.15","418.60","503.00","344.20",4049673,"1,695,174,666.95",97920
"01-Nov-2021","EQ","428.00","428.00","419.90","417.70","422.70","421.65","422.32","503.00","344.20",5826200,"2,460,501,398.10",99655
"29-Oct-2021","EQ","419.00","425.00","413.60","420.80","419.30","417.70","419.05","503.00","338.20",6037509,"2,530,027,731.85",101024
"28-Oct-2021","EQ","429.00","431.00","419.05","427.70","421.00","420.80","423.03","503.00","338.20",3621241,"1,531,890,757.25",66949
"27-Oct-2021","EQ","433.45","434.50","427.00","431.05","427.40","427.70","430.87","503.00","338.20",3368898,"1,451,557,746.05",67882
"26-Oct-2021","EQ","431.00","436.95","428.05","431.70","431.50","431.05","431.38","503.00","338.20",4972613,"2,145,077,284.10",54492
"25-Oct-2021","EQ","447.00","448.40","429.85","447.25","432.40","431.70","437.41","503.00","338.20",7275177,"3,182,238,714.05",85059
"22-Oct-2021","EQ","451.00","453.00","442.50","451.05","447.00","447.25","446.99","503.00","338.20",3914996,"1,749,953,289.85",60904
"21-Oct-2021","EQ","445.25","454.00","443.05","441.10","448.65","451.05","450.16","503.00","338.20",9887576,"4,450,958,872.45",91831
